,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48310,"""2:06""", hi. my name is jean and i disabled vet i live in ohio.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48393,"""2:15""", hi. my name is kate. i am 24 years old. i'm an iowa and i work in education.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,10282,"""2:25"""," hi. my name is jeremy and i'm based in central, california, and i'm a mechanical engineer.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,10458,"""2:32"""," hi, my name is logan. i'm a software engineer out of colorado.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48422,"""2:47"""," hi, my name is lauren. i live in wyoming. i'm married to a military member in the air force and we have a five-year-old.",Yes,"1. The speaker's name is Lauren.
2. She lives in Wyoming.
3. She is married to a military member in the Air Force.
4. They have a five-year-old child.",,,"1. [C] Reason: The speaker's name and personal information are not relevant to the proposal of implementing more accessibility to voting.
2. [C] Reason: Where the speaker lives is not relevant to the proposal.
3. [C] Reason: The fact that the speaker is married to a military member in the Air Force is not relevant to the proposal.
4. [C] Reason: The fact that the speaker has a five-year-old child is not relevant to the proposal.
5. [A] Reason: This argument is pro because it directly relates to the proposal of implementing more accessibility to voting, indicating support for the idea.",,,"1. [C] Reason: The speaker's name and personal information are not relevant to the proposal of implementing more fairness and transparency in the election process.
2. [C] Reason: Where the speaker lives is not relevant to the proposal of implementing more fairness and transparency in the election process.
3. [C] Reason: The speaker's marital status and spouse's occupation are not relevant to the proposal of implementing more fairness and transparency in the election process.
4. [C] Reason: The speaker's child is not relevant to the proposal of implementing more fairness and transparency in the election process.
5. [A] Reason: This statement is directly related to the proposal and expresses support for the idea of implementing more fairness and transparency in the election process.",,,"1. [C] Reason: The speaker's name being Lauren is not relevant to the proposal to change the electoral college.
2. [C] Reason: Where the speaker lives in Wyoming is not relevant to the proposal to change the electoral college.
3. [C] Reason: The fact that the speaker is married to a military member in the Air Force is not relevant to the proposal to change the electoral college.
4. [C] Reason: The fact that the speaker has a five-year-old child is not relevant to the proposal to change the electoral college.
5. [A] Reason: This argument is pro because it directly addresses the proposal to change the current electoral college.",1. The speaker's name is Lauren.,"2. She lives in Wyoming.
3. She is married to a military member in the Air Force.
4. They have a five-year-old child.","1. A Reason: The speaker's name being Lauren is not relevant to the proposal of using proportional representatives to elect elected officials.
2. B Reason: Where the speaker lives is not relevant to the proposal of using proportional representatives to elect elected officials.
3. B Reason: The speaker being married to a military member in the Air Force is not relevant to the proposal of using proportional representatives to elect elected officials.
4. B Reason: The speaker having a five-year-old child is not relevant to the proposal of using proportional representatives to elect elected officials.
5. C Reason: This statement is not applicable to the given proposal as it does not provide any argument for or against using proportional representatives to elect elected officials.","1. The speaker's name is Lauren.
2. She lives in Wyoming.
3. She is married to a military member in the Air Force.
4. They have a five-year-old child.",,"1. A Reason: The speaker's name being Lauren is not relevant to the proposal on implementing limits on financing individual candidates and parties.
2. A Reason: Where the speaker lives in Wyoming is not relevant to the proposal on implementing limits on financing individual candidates and parties.
3. A Reason: Being married to a military member in the Air Force is not directly related to the proposal on implementing limits on financing individual candidates and parties.
4. A Reason: Having a five-year-old child is not directly related to the proposal on implementing limits on financing individual candidates and parties.
5. A Reason: This argument is not applicable as it does not provide a clear pro or con stance on the proposal.",1. The speaker's name is Lauren.,,"1. A Reason: The speaker's name being Lauren is not relevant to the proposal to change the primary system.
2. C Reason: Where the speaker lives is not relevant to the proposal to change the primary system.
3. C Reason: The speaker being married to a military member in the Air Force is not relevant to the proposal to change the primary system.
4. C Reason: Having a five-year-old child is not relevant to the proposal to change the primary system.
5. A Reason: This statement is in support of the proposal to change the primary system.",1. The speaker's name is Lauren.,,"1. A Reason: The speaker's name being Lauren is not relevant to the proposal of increasing public funding for campaigns.
2. C Reason: Where the speaker lives is not relevant to the proposal of increasing public funding for campaigns.
3. C Reason: The speaker being married to a military member in the Air Force is not directly related to the proposal of increasing public funding for campaigns.
4. C Reason: Having a five-year-old child is not directly related to the proposal of increasing public funding for campaigns.
5. A Reason: This argument is in support of the proposal to increase public funding and financing for campaigns. This would suggest that the speaker is in favor of the proposal.",,,"1. [C] Reason: The speaker's name and personal information are not relevant to the proposal of implementing RCV.
2. [C] Reason: Where the speaker lives is not relevant to the proposal of implementing RCV.
3. [C] Reason: The speaker's marital status and spouse's occupation are not relevant to the proposal of implementing RCV.
4. [C] Reason: The speaker's child and family status are not relevant to the proposal of implementing RCV.
5. [A] Reason: This argument is applicable to the proposal as it directly addresses the implementation of RCV as an alternative method for electing officials and representatives.",,,"1. [C] Reason: The speaker's name and personal information are not relevant to the proposal of implementing a term limit for Supreme Court Justices.
2. [C] Reason: Where the speaker lives is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
3. [C] Reason: The speaker being married to a military member in the Air Force is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
4. [C] Reason: The speaker having a five-year-old child is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
5. [A] Reason: This is a pro argument for implementing a term limit for Supreme Court Justices as it can prevent justices from serving for an extended period of time, potentially leading to outdated perspectives and a lack of diversity on the court.",,,"1. C Reason: The speaker's name and personal information are not relevant to the proposal to implement more measures to address voter fraud.
2. C Reason: Where the speaker lives is not relevant to the proposal to implement more measures to address voter fraud.
3. C Reason: The speaker's marital status and spouse's occupation are not relevant to the proposal to implement more measures to address voter fraud.
4. C Reason: The speaker's child and their age are not relevant to the proposal to implement more measures to address voter fraud.
5. A Reason: This argument is in support of the proposal to implement more measures to address voter fraud.",,,"1. Pro Reason: Restoring voting rights to citizens with felony convictions upon their release from prison promotes inclusivity and democracy by allowing all citizens to participate in the electoral process.
2. Not applicable Reason: The speaker's location in Wyoming and marital status to a military member in the Air Force do not directly impact the argument for or against restoring voting rights to citizens with felony convictions.
3. Not applicable Reason: The speaker's marital status to a military member in the Air Force does not directly impact the argument for or against restoring voting rights to citizens with felony convictions.
4. Not applicable Reason: The speaker having a five-year-old child does not directly impact the argument for or against restoring voting rights to citizens with felony convictions.
5. Pro Reason: The proposal to restore federal and state voting rights to citizens with felony convictions upon their release from prison is a positive step towards reintegration and rehabilitation of individuals who have served their time and should have the opportunity to participate in the democratic process.",,,"1. C Reason: The speaker's name and personal information are not relevant to the proposal about increasing opportunities for learning about civic education in schools.
2. C Reason: Where the speaker lives is not relevant to the proposal about increasing opportunities for learning about civic education in schools.
3. C Reason: The speaker's marital status and spouse's occupation are not relevant to the proposal about increasing opportunities for learning about civic education in schools.
4. C Reason: The speaker's child and their age are not relevant to the proposal about increasing opportunities for learning about civic education in schools.
5. A Reason: This argument is pro because it directly relates to the proposal and supports the idea of increasing opportunities for learning about civic education in schools.",,,"1. [C] Reason: The speaker's name and personal information are not relevant to the proposal of implementing less strict voting standards.
2. [C] Reason: Where the speaker lives is not relevant to the proposal of implementing less strict voting standards.
3. [C] Reason: The speaker's marital status and spouse's occupation are not relevant to the proposal of implementing less strict voting standards.
4. [C] Reason: The speaker's child and family situation are not relevant to the proposal of implementing less strict voting standards.
5. [A] Reason: This argument is pro because it directly addresses the proposal of implementing less strict voting standards.",False,False,False,False,False,False,False,False,False
5,6,48463,"""3:00"""," hi, my name is lucy. i live in tennessee.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48464,"""3:18"""," hi, my name is yang. i live in berkeley california.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,9500,"""3:28"""," hi, my name is hannah. i live in norman oklahoma.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,48479,"""3:58"""," hi, my name is ryan. sloan ami geico claims representative.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,10538,"""12:01"""," i would definitely saying having it so that majority have more of a stay would be, probably more ideal going forward. so i believe that lines more with the ranked choice voting. so that's, that's what i feel is best.",Yes,"1. Having a system where the majority have more of a say is ideal.
2. Ranked choice voting aligns with this belief.
3. Ranked choice voting is the best option going forward.",,,"1. [A] Reason: This argument is a pro because it supports the idea of having a system where the majority have more of a say, which aligns with the proposal of implementing more accessibility to voting.
2. [A] Reason: This argument is a pro because it suggests that ranked choice voting aligns with the belief of having a system where the majority have more of a say, which supports the proposal.
3. [A] Reason: This argument is a pro because it states that ranked choice voting is the best option going forward, which supports the proposal of implementing more accessibility to voting.
4. [A] Reason: This argument is a pro because it directly supports the proposal of implementing more accessibility to voting.
5. [B] Reason: This argument is a con because it states that implementing more accessibility to voting is bad, which goes against the proposal.","1. Having a system where the majority have more of a say is ideal.
2. Ranked choice voting aligns with this belief.
3. Ranked choice voting is the best option going forward.",,"1. A Reason: This argument is pro because it supports the idea of majority rule, which is a key aspect of fairness in the election process.
2. A Reason: This argument is pro because ranked choice voting allows for a more fair representation of voters' preferences, aligning with the proposal to implement more fairness in the election process.
3. A Reason: This argument is pro because it supports the idea that ranked choice voting is the best option for achieving fairness in the election process.
4. A Reason: This argument is not applicable because it simply states that implementing more fairness and transparency in the election process is okay without providing any reasoning for or against it.
5. B Reason: This argument is con because it states that implementing more fairness and transparency in the election process is bad without providing any reasoning for why it is bad.","1. Having a system where the majority have more of a say is ideal.
2. Ranked choice voting aligns with this belief.
3. Ranked choice voting is the best option going forward.",,"1. A Reason: This argument is pro because it supports the idea of changing the current electoral college to a system where the majority have more of a say.
2. A Reason: This argument is pro because it suggests that ranked choice voting, which allows for a more representative outcome based on majority preferences, aligns with the belief that the majority should have more of a say.
3. A Reason: This argument is pro because it advocates for ranked choice voting as the best option going forward, which would likely involve changing the current electoral college system.
4. A Reason: This argument is not applicable because it simply states that changing the current electoral college is okay without providing any reasoning for why it is okay or not okay.
5. B Reason: This argument is con because it states that changing the current electoral college is bad without providing any reasoning for why it is bad.","1. Having a system where the majority have more of a say is ideal.
2. Ranked choice voting aligns with this belief.
3. Ranked choice voting is the best option going forward.",,"1. A Reason: This argument is in favor of the proposal as it supports the idea of the majority having more influence in the decision-making process.
2. A Reason: This argument is in favor of the proposal as ranked choice voting can help ensure that the majority's preferences are taken into account.
3. A Reason: This argument is not applicable to the proposal as it does not directly address the use of proportional representatives to elect elected officials.
4. A Reason: This argument is not applicable to the proposal as it simply states that the proposal is acceptable without providing any specific reasoning.
5. B Reason: This argument is against the proposal as it states that using proportional representatives to elect elected officials is bad without providing any specific reasoning.",,,"1. [A] Reason: This argument supports the proposal by suggesting that limiting financing would give more power to the majority.
2. [A] Reason: Ranked choice voting is not directly related to the proposal of implementing limits on financing, so it is not applicable.
3. [C] Reason: This argument is not directly related to the proposal of implementing limits on financing, so it is not applicable.
4. [A] Reason: This argument supports the proposal by suggesting that implementing limits on financing is acceptable.
5. [B] Reason: This argument opposes the proposal by suggesting that implementing limits on financing is bad.",,,"1.  [A] Reason: This argument is a pro because it supports the idea of changing the primary system to give the majority more of a say in the process.
2. [A] Reason: This argument is a pro because it suggests that ranked choice voting, which is often associated with changing the primary system, aligns with the belief that the majority should have more of a say.
3. [A] Reason: This argument is a pro because it directly states that ranked choice voting is the best option going forward, implying that changing the primary system to implement ranked choice voting would be beneficial.
4. [A] Reason: This argument is a pro because it indicates that changing the primary system is acceptable.
5. [B] Reason: This argument is a con because it states that changing the primary system is bad, going against the proposal to change the primary system.","1. Having a system where the majority have more of a say is ideal.
2. Ranked choice voting aligns with this belief.
3. Ranked choice voting is the best option going forward.",,"1. A Reason: This argument supports the proposal by suggesting that a system where the majority have more of a say is ideal, which can be achieved through increased public funding and financing for campaigns.
2. A Reason: Ranked choice voting aligns with the belief that the majority should have more of a say, which supports the proposal for increased public funding and financing for campaigns.
3. A Reason: This argument is not directly related to the proposal, as it focuses on the benefits of ranked choice voting rather than public funding and financing for campaigns.
4. A Reason: This argument is not applicable as it simply states that an increase in public funding and financing for campaigns is okay without providing any reasoning or support for the proposal.
5. B Reason: This argument is against the proposal, stating that an increase in public funding and financing for campaigns is bad without providing any reasoning or support for this stance.","1. Having a system where the majority have more of a say is ideal.
2. Ranked choice voting aligns with this belief.
3. Ranked choice voting is the best option going forward.",,"1. A Reason: Ranked choice voting allows for a more representative outcome by ensuring that the candidate with the majority support wins.
2. A Reason: Ranked choice voting allows voters to express their preferences more accurately, leading to a fairer and more democratic election process.
3. A Reason: This argument is a pro because it supports the idea that ranked choice voting is the best option for improving the electoral system.
4. A Reason: This argument is not applicable as it simply states that implementing RCV is acceptable without providing any specific reasoning for or against it.
5. B Reason: This argument is a con as it states that implementing RCV at all levels is bad without providing any specific reasoning for why it is bad.",,,"1. [A] Reason: This argument is pro because implementing a term limit for Supreme Court Justices would allow for more turnover and potentially more opportunities for the majority to have a say in the selection of new justices.
2. [C] Reason: This argument is not applicable to the given proposal as it discusses ranked choice voting, which is not directly related to implementing a term limit for Supreme Court Justices.
3. [C] Reason: This argument is not applicable to the given proposal as it discusses the benefits of ranked choice voting, not term limits for Supreme Court Justices.
4. [A] Reason: This argument is pro because it indicates a level of acceptance or neutrality towards implementing a term limit for Supreme Court Justices.
5. [B] Reason: This argument is con because it states that implementing a term limit for Supreme Court Justices is bad, suggesting opposition to the proposal.","1. Having a system where the majority have more of a say is ideal.
2. Ranked choice voting aligns with this belief.",,"1. A Reason: This argument supports the proposal by emphasizing the importance of ensuring that the majority's voice is accurately represented in the voting process.
2. A Reason: Ranked choice voting can help address voter fraud by allowing voters to rank their preferences, potentially reducing the impact of fraudulent votes.
3. C Reason: While ranked choice voting may be a good option for improving the voting process, it is not directly related to the proposal of implementing more measures to address voter fraud.
4. A Reason: This argument aligns with the proposal by supporting the idea of implementing more measures to address voter fraud.
5. B Reason: This argument goes against the proposal by suggesting that implementing more measures to address voter fraud is bad.",,,"1. [A] Reason: This argument supports the proposal by emphasizing the importance of allowing the majority of citizens to have a say in the democratic process.
2. [A] Reason: Ranked choice voting allows for a more representative system where the majority's preferences are taken into account.
3. [A] Reason: This argument supports the proposal by suggesting that ranked choice voting is the best option for ensuring fair representation in elections.
4. [A] Reason: This argument supports the proposal by stating that restoring voting rights to citizens with felony convictions upon release is acceptable.
5. [B] Reason: This argument is against the proposal, stating that restoring voting rights to citizens with felony convictions upon release is bad.","1. Having a system where the majority have more of a say is ideal.
2. Ranked choice voting aligns with this belief.",3. Ranked choice voting is the best option going forward.,"1. A Reason: This argument supports the proposal by emphasizing the importance of majority rule in decision-making processes.
2. A Reason: This argument supports the proposal by suggesting that ranked choice voting can help ensure that the majority's preferences are taken into account.
3. B Reason: This argument is not directly related to the proposal about increasing opportunities for learning about civic education in schools. It focuses on the benefits of ranked choice voting instead.
4. A Reason: This argument supports the proposal by stating that increasing opportunities for learning about civic education in schools is acceptable.
5. B Reason: This argument is against the proposal, stating that increasing opportunities for learning about civic education in schools is bad.","1. Having a system where the majority have more of a say is ideal.
2. Ranked choice voting aligns with this belief.
3. Ranked choice voting is the best option going forward.",,"1. A Reason: This argument supports the proposal by suggesting that a system where the majority have more of a say is ideal, which could be achieved by implementing less strict voting standards.
2. A Reason: This argument supports the proposal by stating that ranked choice voting aligns with the belief that the majority should have more of a say, which could be facilitated by less strict voting standards.
3. A Reason: This argument supports the proposal by suggesting that ranked choice voting is the best option going forward, which could be implemented through less strict voting standards.
4. A Reason: This argument supports the proposal by stating that implementing less strict voting standards is okay, indicating a positive stance towards the proposal.
5. B Reason: This argument is against the proposal by stating that implementing less strict voting standards is bad, indicating a negative stance towards the proposal.",True,False,False,False,False,False,False,False,False
