,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,10539,"""2:05"""," hello, my name is mike. i live in honolulu hawaii and i am in the insurance and retirement industry.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,10678,"""2:16"""," hey, i'm david, i'm from tennessee.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,10428,"""2:22"""," hi, i'm sean. i'm in central pennsylvania.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48448,"""2:28"""," hi, i'm jim, i'm retired and right outside of denver.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48494,"""2:38"""," hi, i'm deuce on. i'm from new jersey.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,10710,"""2:49""", hi lyle from los angeles. how's everybody doing today?,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,9457,"""3:01""", good morning. i'm patrick from new mexico.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,10678,"""11:31"""," both of them, still singing complicated to me.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,10539,"""11:38"""," i tend to agree, i think that we're going to do the rc v. i would probably want to test it with a local elections before we moved on to anything bigger.",Yes,"1. The speaker agrees with the idea of conducting a ranked-choice voting (RCV) test.
2. The speaker suggests testing RCV with local elections before implementing it on a larger scale.",,,"1.  [A] Reason: This argument is a pro because implementing ranked-choice voting can potentially increase accessibility to voting by allowing voters to rank their preferences, leading to more accurate representation of the voters' choices.
2. [A] Reason: This argument is a pro because testing ranked-choice voting in local elections first allows for a trial period to assess its effectiveness and potential impact before implementing it on a larger scale, which can help ensure successful implementation.
3. [A] Reason: This argument is a pro because increasing accessibility to voting can help ensure that more individuals have the opportunity to participate in the democratic process, leading to a more representative government.
4. [B] Reason: This argument is a con because it goes against the proposal of implementing more accessibility to voting, which aims to remove barriers and increase opportunities for individuals to vote.
5. [A] Reason: This argument is a pro because increasing accessibility to voting can be seen as a positive step towards promoting democracy and ensuring that all eligible individuals have the opportunity to participate in the electoral process.","1. The speaker agrees with the idea of conducting a ranked-choice voting (RCV) test.
2. The speaker suggests testing RCV with local elections before implementing it on a larger scale.",,"1. A Reason: The speaker agrees with conducting a ranked-choice voting test, which could potentially address voter fraud by ensuring a more accurate representation of voter preferences.
2. A Reason: The speaker suggests testing RCV with local elections first, which could help identify any potential issues related to voter fraud before implementing it on a larger scale.
3. A Reason: This argument is not applicable as it simply restates the proposal without providing a clear stance for or against it.
4. B Reason: This argument is against implementing more measures to address voter fraud, which goes against the proposal.
5. C Reason: This argument is not applicable as it does not provide any specific reasoning or stance on the proposal.","1. The speaker agrees with the idea of conducting a ranked-choice voting (RCV) test.
2. The speaker suggests testing RCV with local elections before implementing it on a larger scale.",,"1.  A Reason: This argument is a pro because implementing ranked-choice voting can potentially increase fairness and transparency in the election process by allowing voters to rank candidates in order of preference.
2. A Reason: This argument is a pro because testing ranked-choice voting in local elections first can help determine its effectiveness and potential impact before implementing it on a larger scale, thus promoting fairness and transparency in the election process.
3. A Reason: This argument is not applicable as it simply restates the proposal without providing any specific reasoning for or against it.
4. B Reason: This argument is a con because it opposes the idea of implementing more fairness and transparency in the election process without providing any justification for this stance.
5. A Reason: This argument is a pro because it supports the proposal of implementing more fairness and transparency in the election process, suggesting that it is beneficial and necessary for improving the electoral system.",,,"1. [A] Reason: This argument is pro because it suggests a potential solution to the current electoral college system.
2. [A] Reason: This argument is pro because it recommends a cautious approach to implementing ranked-choice voting, starting with local elections.
3. [C] Reason: This argument is not applicable as it simply states the proposal without providing a clear stance.
4. [B] Reason: This argument is con because it opposes changing the current electoral college system.
5. [A] Reason: This argument is pro because it supports changing the current electoral college system.",,,"1.  [A] Reason: This argument is a pro because implementing ranked-choice voting (RCV) can be seen as a less strict voting standard, which aligns with the proposal.
2. [A] Reason: This argument is a pro because testing RCV with local elections before implementing it on a larger scale can help determine the effectiveness of less strict voting standards.
3. [A] Reason: This argument is a pro because it directly aligns with the proposal to implement less strict voting standards.
4. [B] Reason: This argument is a con because it goes against the proposal to implement less strict voting standards.
5. [A] Reason: This argument is a pro because it supports the idea of implementing less strict voting standards.",,,"1.  [A] Reason: This argument is a pro because it supports the idea of conducting a ranked-choice voting test, which is a potential change to the primary system.
2. [A] Reason: This argument is a pro because it suggests testing ranked-choice voting with local elections before implementing it on a larger scale, which aligns with the proposal of changing the primary system.
3. [A] Reason: This argument is a pro because it directly supports the proposal to change the primary system.
4. [B] Reason: This argument is a con because it opposes the proposal to change the primary system.
5. [C] Reason: This argument is not applicable as it does not provide any specific reasoning or evidence for or against the proposal to change the primary system.",,,"1. C Reason: This argument is not applicable to the given proposal as it does not directly relate to implementing limits on financing individual candidates and parties.
2. C Reason: This argument is not applicable to the given proposal as it does not directly relate to implementing limits on financing individual candidates and parties.
3. A Reason: This argument is a pro for the given proposal as it supports the idea of implementing limits on financing individual candidates and parties.
4. B Reason: This argument is a con for the given proposal as it opposes the idea of implementing limits on financing individual candidates and parties.
5. C Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or context for why implementing limits on financing individual candidates and parties is the best thing ever.","1. The speaker agrees with the idea of conducting a ranked-choice voting (RCV) test.
2. The speaker suggests testing RCV with local elections before implementing it on a larger scale.",,"1. A Reason: Ranked-choice voting (RCV) is a separate proposal from implementing a term limit for Supreme Court Justices, so this argument is not applicable to the given proposal.
2. A Reason: Suggesting testing RCV with local elections before implementing it on a larger scale is not directly related to implementing a term limit for Supreme Court Justices, so this argument is not applicable to the given proposal.
3. A Reason: This argument is in support of implementing a term limit for Supreme Court Justices, making it a pro argument.
4. B Reason: This argument is against implementing a term limit for Supreme Court Justices, making it a con argument.
5. C Reason: This argument is an extreme statement and does not provide any specific reasoning, so it is not applicable to the given proposal.","1. The speaker agrees with the idea of conducting a ranked-choice voting (RCV) test.
2. The speaker suggests testing RCV with local elections before implementing it on a larger scale.",,"1. A Reason: Ranked-choice voting (RCV) is often seen as a way to increase voter turnout and representation, which aligns with the goal of increasing public funding and financing for campaigns.
2. A Reason: Testing RCV with local elections allows for a smaller scale trial run before implementing it on a larger scale, which can help identify any potential issues or challenges.
3. A Reason: This argument is in support of the proposal to increase public funding and financing for campaigns.
4. B Reason: This argument is against the proposal to increase public funding and financing for campaigns.
5. C Reason: This argument does not provide any specific reasoning or evidence for or against the proposal, so it is not applicable.",,,"1. C Reason: Ranked-choice voting is not directly related to the proposal of restoring voting rights to citizens with felony convictions, so it is not applicable.
2. C Reason: Testing ranked-choice voting with local elections is not directly related to the proposal of restoring voting rights to citizens with felony convictions, so it is not applicable.
3. A Reason: This argument is in support of the proposal, as it advocates for restoring voting rights to citizens with felony convictions upon their release from prison.
4. B Reason: This argument is against the proposal, as it states that restoring voting rights to citizens with felony convictions upon their release from prison is bad.
5. A Reason: This argument is in support of the proposal, as it states that restoring voting rights to citizens with felony convictions upon their release from prison is the best thing ever.",2. The speaker suggests testing RCV with local elections before implementing it on a larger scale.,1. The speaker agrees with the idea of conducting a ranked-choice voting (RCV) test.,"1. B Reason: The argument is not applicable to the given proposal as it does not directly relate to increasing opportunities for learning about civic education in schools.
2. A Reason: The argument is a pro because it suggests a practical approach to testing ranked-choice voting before implementing it on a larger scale, which could potentially enhance civic education.
3. A Reason: The argument is a pro as it directly supports the proposal to increase opportunities for learning about civic education in schools.
4. B Reason: The argument is a con as it goes against the proposal to increase opportunities for learning about civic education in schools without providing any valid reasoning.
5. C Reason: The argument is not applicable as it does not provide any specific reasoning or evidence to support its claim that increasing opportunities for learning about civic education in schools is the best thing ever.","1. The speaker agrees with the idea of conducting a ranked-choice voting (RCV) test.
2. The speaker suggests testing RCV with local elections before implementing it on a larger scale.",,"1. A Reason: The speaker agrees with the idea of conducting a ranked-choice voting (RCV) test, indicating support for the proposal.
2. A Reason: The speaker suggests testing RCV with local elections before implementing it on a larger scale, showing a cautious approach to the proposal.
3. A Reason: This argument is not applicable as it simply restates the proposal without providing any specific reasoning for or against it.
4. B Reason: This argument is a con as it states that implementing RCV as an alternative method to elected officials and representatives at all levels is bad without providing any justification.
5. C Reason: This argument is not applicable as it simply states that implementing RCV as an alternative method to elected officials and representatives at all levels is the best thing ever without providing any reasoning.","1. The speaker agrees with the idea of conducting a ranked-choice voting (RCV) test.
2. The speaker suggests testing RCV with local elections before implementing it on a larger scale.",,"1. A Reason: This argument is a pro because it supports the idea of conducting a ranked-choice voting test, which is a method that can be used in conjunction with proportional representation.
2. A Reason: This argument is a pro because it suggests testing ranked-choice voting with local elections before implementing it on a larger scale, which can help determine its effectiveness and feasibility.
3. A Reason: This argument is not applicable because it simply states that using proportional representatives to elect elected officials is okay without providing any reasoning or justification.
4. B Reason: This argument is a con because it states that using proportional representatives to elect elected officials is bad without providing any reasoning or justification.
5. A Reason: This argument is a pro because it states that using proportional representatives to elect elected officials is the best thing ever, indicating strong support for the proposal.",False,False,False,True,False,False,False,False,False
9,10,10428,"""11:56"""," am i the current speaker? oh i thought alex was still okay, so i do agree that it would be more complicated for voters but i don't see that as going to be the end of the discussion. the end of the idea, i think some voters will apply themselves completely to the opportunity and rank all of the candidates other voters will just do what they always have done and just vote for one and that will be fine.",Yes,"1. It would be more complicated for voters if they have to rank all of the candidates.
2. Some voters may apply themselves completely to the opportunity and rank all of the candidates.
3. Other voters may just vote for one candidate as they always have done.",,,"1. [A] Reason: This argument is a con because it suggests that implementing ranked-choice voting would make the voting process more complicated for voters.
2. [A] Reason: This argument is a pro because it highlights the potential benefits of voters being able to rank all candidates if they choose to do so.
3. [A] Reason: This argument is a pro because it acknowledges that some voters may continue to vote for just one candidate, maintaining their current voting habits.
4. [C] Reason: This argument is not applicable as it does not provide any specific reasoning for or against the proposal.
5. [C] Reason: This argument is not applicable as it does not provide any specific reasoning for or against the proposal.",,,"1. [A] Reason: This argument is a con because it suggests that implementing more measures to address voter fraud, such as ranking all candidates, would complicate the voting process for voters.
2. [B] Reason: This argument is a pro because it highlights the potential positive outcome of some voters fully engaging with the opportunity to rank all candidates.
3. [B] Reason: This argument is a pro because it acknowledges that some voters may continue to vote for only one candidate, which may not necessarily be a negative outcome.
4. [C] Reason: This argument is not applicable to the given proposal as it simply states that implementing more measures to address voter fraud is acceptable without providing any specific reasoning.
5. [C] Reason: This argument is not applicable to the given proposal as it simply states that implementing more measures to address voter fraud is bad without providing any specific reasoning.",2. Some voters may apply themselves completely to the opportunity and rank all of the candidates.,"1. It would be more complicated for voters if they have to rank all of the candidates.
3. Other voters may just vote for one candidate as they always have done.","1. B Reason: This argument is a con because it suggests that implementing ranked-choice voting, which is a method to increase fairness and transparency in the election process, would make it more complicated for voters.
2. A Reason: This argument is a pro because it highlights the potential positive impact of some voters fully engaging with the opportunity to rank all candidates, which could lead to a more informed and fair election process.
3. B Reason: This argument is a con because it suggests that some voters may not fully engage with the opportunity to rank all candidates, potentially undermining the goal of increasing fairness and transparency in the election process.
4. A Reason: This argument is a pro because it directly supports the proposal to implement more fairness and transparency in the election process.
5. C Reason: This argument is not applicable as it does not provide any specific reasoning or evidence for why implementing more fairness and transparency in the election process would be bad.",,,"1.  [A] Reason: This argument is a con because it suggests that changing the electoral college system to a ranked choice voting system would make it more complicated for voters.
2. [A] Reason: This argument is a pro because it suggests that some voters may take the opportunity to rank all candidates under a new system.
3. [B] Reason: This argument is a con because it suggests that some voters may not fully engage with a ranked choice voting system and continue to only vote for one candidate.
4. [C] Reason: This argument is not applicable as it does not provide a clear stance on whether changing the electoral college is good or bad.
5. [C] Reason: This argument is not applicable as it does not provide a clear stance on whether changing the electoral college is good or bad.","2. Some voters may apply themselves completely to the opportunity and rank all of the candidates.
3. Other voters may just vote for one candidate as they always have done.",1. It would be more complicated for voters if they have to rank all of the candidates.,"1. B Reason: This argument is a con because it suggests that implementing less strict voting standards, such as ranking all candidates, could make the voting process more complicated for some voters.
2. A Reason: This argument is a pro because it highlights the potential benefit of some voters fully engaging with the opportunity to rank all candidates under less strict voting standards.
3. A Reason: This argument is a pro because it acknowledges that some voters may continue to vote for just one candidate, even with less strict voting standards in place.
4. C Reason: This argument is not applicable as it simply states that implementing less strict voting standards is okay without providing any reasoning.
5. C Reason: This argument is not applicable as it simply states that implementing less strict voting standards is bad without providing any reasoning.",,,"1.  [A] Reason: This argument is a con because it suggests that changing the primary system to a ranked choice voting system would make it more complicated for voters.
2. [A] Reason: This argument is a pro because it suggests that some voters may fully engage with the ranked choice voting system and rank all of the candidates.
3. [A] Reason: This argument is a pro because it suggests that some voters may not fully engage with the ranked choice voting system and just vote for one candidate as they always have done.
4. [C] Reason: This argument is not applicable as it does not provide any reasoning for or against changing the primary system.
5. [C] Reason: This argument is not applicable as it does not provide any reasoning for or against changing the primary system.",,1. It would be more complicated for voters if they have to rank all of the candidates.,"1. B Reason: This argument is a con because it suggests that implementing limits on financing individual candidates and parties could make the voting process more complicated for voters.
2. C Reason: This argument is not applicable to the given proposal as it does not directly relate to the implementation of limits on financing individual candidates and parties.
3. C Reason: This argument is not applicable to the given proposal as it does not directly relate to the implementation of limits on financing individual candidates and parties.
4. A Reason: This argument is a pro because it supports the idea of implementing limits on financing individual candidates and parties.
5. B Reason: This argument is a con because it opposes the idea of implementing limits on financing individual candidates and parties.",,1. It would be more complicated for voters if they have to rank all of the candidates.,"1. B Reason: This argument is a con because it suggests that implementing a term limit for Supreme Court Justices would make the voting process more complicated for voters.
2. C Reason: This argument is not applicable as it does not directly relate to the proposal of implementing a term limit for Supreme Court Justices.
3. C Reason: This argument is not applicable as it does not directly relate to the proposal of implementing a term limit for Supreme Court Justices.
4. A Reason: This argument is a pro because it supports the idea of implementing a term limit for Supreme Court Justices.
5. B Reason: This argument is a con because it opposes the idea of implementing a term limit for Supreme Court Justices.",,,"1.  [A] Reason: This argument is a pro because ranked-choice voting can provide voters with more options and a more accurate representation of their preferences.
2. [A] Reason: This argument is a pro because it highlights the potential for increased voter engagement and participation in the electoral process.
3. [B] Reason: This argument is a con because it suggests that some voters may not fully engage with the ranked-choice voting system, potentially leading to less informed or strategic voting.
4. [A] Reason: This argument is a pro because it supports the proposal of increasing public funding and financing for campaigns.
5. [B] Reason: This argument is a con because it opposes the proposal of increasing public funding and financing for campaigns.","2. Some voters may apply themselves completely to the opportunity and rank all of the candidates.
3. Other voters may just vote for one candidate as they always have done.",,"1. C Reason: This argument is not applicable to the given proposal as it does not directly address the restoration of voting rights to citizens with felony convictions.
2. A Reason: This argument is a pro argument as it suggests that some voters may take the opportunity to fully engage in the voting process if their rights are restored.
3. A Reason: This argument is also a pro argument as it acknowledges that some voters may continue to vote as they always have, which could potentially increase voter turnout.
4. A Reason: This argument is a pro argument as it directly supports the proposal to restore voting rights to citizens with felony convictions.
5. B Reason: This argument is a con argument as it directly opposes the proposal to restore voting rights to citizens with felony convictions.",,,"1.  [A] Reason: This argument is a con because it suggests that ranked-choice voting would make the voting process more complicated for voters.
2. [A] Reason: This argument is a pro because it highlights the potential positive outcome of voters fully engaging with the opportunity to rank all candidates.
3. [A] Reason: This argument is a con because it suggests that some voters may not take advantage of the opportunity to rank all candidates.
4. [C] Reason: This argument is not applicable to the given proposal as it does not directly relate to increasing opportunities for learning about civic education in schools.
5. [C] Reason: This argument is not applicable to the given proposal as it does not provide any reasoning or evidence for why increasing opportunities for learning about civic education in schools would be bad.","2. Some voters may apply themselves completely to the opportunity and rank all of the candidates.
3. Other voters may just vote for one candidate as they always have done.",1. It would be more complicated for voters if they have to rank all of the candidates.,"1. B Reason: This argument is a con because it suggests that implementing RCV may be more complicated for voters, which could be seen as a disadvantage of the proposal.
2. A Reason: This argument is a pro because it highlights the potential for some voters to fully engage with the RCV system and rank all candidates, which could lead to a more informed and representative outcome.
3. A Reason: This argument is a pro because it acknowledges that some voters may choose to continue voting for just one candidate, which is a valid choice under RCV and does not necessarily detract from the proposal.
4. C Reason: This argument is not applicable as it simply states that implementing RCV is okay without providing any specific reasoning or analysis.
5. C Reason: This argument is not applicable as it simply states that implementing RCV is bad without providing any specific reasoning or analysis.",2. Some voters may apply themselves completely to the opportunity and rank all of the candidates.,"1. It would be more complicated for voters if they have to rank all of the candidates.
3. Other voters may just vote for one candidate as they always have done.","1. B Reason: This argument is a con because it suggests that having to rank all candidates would make the voting process more complicated for voters.
2. A Reason: This argument is a pro because it highlights the potential for voters to fully engage with the opportunity to rank all candidates.
3. B Reason: This argument is a con because it suggests that some voters may not fully engage with the opportunity to rank all candidates.
4. C Reason: This argument is not applicable as it simply states that the proposal is okay without providing any specific reasoning.
5. C Reason: This argument is not applicable as it simply states that the proposal is bad without providing any specific reasoning.",False,False,False,False,False,False,False,True,False
