,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48600,"""2:06"""," hi. i am carla and very much looking forward to this. i'm not strongly republican or strongly democratic. so i'm really looking forward to kind of hearing what other people have to say, and sharing my thoughts.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48616,"""2:29""", i am a terry cub i'm from kalamazoo michigan. i'm a republican right now but i'm willing to be persuaded if we find a strong democrat down the road. my mind is open.,Yes,"1. The speaker is a Republican from Kalamazoo, Michigan.
2. The speaker is open to being persuaded to support a strong Democrat in the future.
3. The speaker's mind is open to different political perspectives.",,,"1. [C] Reason: The speaker's political affiliation does not necessarily determine their stance on implementing measures to address voter fraud.
2. [C] Reason: The speaker's openness to supporting a Democrat in the future does not directly relate to their stance on implementing measures to address voter fraud.
3. [C] Reason: The speaker's open-mindedness to different political perspectives does not directly relate to their stance on implementing measures to address voter fraud.
4. [A] Reason: This argument is in support of the proposal to implement more measures to address voter fraud.
5. [B] Reason: This argument is against the proposal to implement more measures to address voter fraud.",,,"1.  [A] Reason: The speaker being a Republican from Kalamazoo, Michigan suggests a potential bias towards supporting the current electoral college system, which tends to benefit Republicans.
2. [C] Reason: The speaker's openness to supporting a strong Democrat in the future does not directly relate to their stance on changing the electoral college system.
3. [C] Reason: The speaker's open-mindedness towards different political perspectives does not directly indicate their stance on changing the electoral college system.
4. [A] Reason: This argument is in support of changing the current electoral college system, indicating a pro stance.
5. [B] Reason: This argument is against changing the current electoral college system, indicating a con stance.",,,"1. [A] Reason: The speaker being a Republican suggests a potential bias towards limited government intervention in campaign financing, which aligns with the typical Republican stance.
2. [C] Reason: The speaker's openness to supporting a Democrat in the future does not directly relate to the proposal of increasing public funding for campaigns.
3. [C] Reason: The speaker's open-mindedness towards different political perspectives does not directly relate to the proposal of increasing public funding for campaigns.
4. [A] Reason: This argument is a pro for the proposal as it indicates support for increasing public funding and financing for campaigns.
5. [B] Reason: This argument is a con for the proposal as it indicates opposition to increasing public funding and financing for campaigns.",,"1. The speaker is a Republican from Kalamazoo, Michigan.","1. B Reason: The speaker being a Republican may be more likely to be against implementing limits on financing individual candidates and parties, as Republicans tend to be more in favor of less government regulation.
2. C Reason: The speaker's openness to supporting a strong Democrat in the future does not directly relate to whether they support or oppose implementing limits on financing individual candidates and parties.
3. C Reason: The speaker's open-mindedness to different political perspectives does not directly relate to whether they support or oppose implementing limits on financing individual candidates and parties.
4. A Reason: This argument is in favor of the proposal to implement limits on financing individual candidates and parties.
5. B Reason: This argument is against the proposal to implement limits on financing individual candidates and parties.",,,"1. C Reason: The speaker's political affiliation and location are not directly relevant to the proposal of implementing more fairness and transparency in the election process.
2. C Reason: The speaker's openness to supporting a Democrat in the future does not directly relate to the proposal of implementing more fairness and transparency in the election process.
3. C Reason: The speaker's open-mindedness to different political perspectives may be beneficial in considering different approaches to implementing more fairness and transparency in the election process.
4. A Reason: This argument is in support of the proposal, indicating that implementing more fairness and transparency in the election process is acceptable.
5. B Reason: This argument is against the proposal, indicating that implementing more fairness and transparency in the election process is bad.",,,"1.  [A] Reason: The speaker being a Republican from Kalamazoo, Michigan may be seen as a pro argument as it shows a potential bipartisan support for changing the primary system.
2. [A] Reason: The speaker being open to being persuaded to support a strong Democrat in the future indicates a willingness to consider different perspectives, which could be beneficial in discussing and implementing changes to the primary system.
3. [A] Reason: The speaker's open-mindedness to different political perspectives is a pro argument as it suggests a willingness to engage in discussions about changing the primary system.
4. [A] Reason: This argument is a pro because it directly supports the proposal to change the primary system.
5. [B] Reason: This argument is a con as it opposes the proposal to change the primary system.",,,"1. C Reason: The speaker's political affiliation does not necessarily determine their stance on implementing more accessibility to voting.
2. C Reason: The speaker's openness to supporting a Democrat in the future does not directly relate to their stance on implementing more accessibility to voting.
3. C Reason: The speaker's open-mindedness to different political perspectives does not directly relate to their stance on implementing more accessibility to voting.
4. A Reason: This argument is a pro for the proposal as it indicates support for implementing more accessibility to voting.
5. B Reason: This argument is a con for the proposal as it indicates opposition to implementing more accessibility to voting.","1. The speaker is a Republican from Kalamazoo, Michigan.",,"1. A Reason: The speaker being a Republican may lean towards supporting term limits for Supreme Court Justices, as it is a common conservative viewpoint.
2. C Reason: The speaker's openness to supporting a Democrat in the future does not directly relate to the proposal of implementing term limits for Supreme Court Justices.
3. C Reason: The speaker's open-mindedness to different political perspectives does not directly relate to the proposal of implementing term limits for Supreme Court Justices.
4. A Reason: This argument is pro the proposal of implementing term limits for Supreme Court Justices.
5. B Reason: This argument is con the proposal of implementing term limits for Supreme Court Justices.",,"1. The speaker is a Republican from Kalamazoo, Michigan.","1. B Reason: The speaker being a Republican may have a bias against implementing RCV, as it may not align with their party's beliefs or interests.
2. C Reason: The speaker being open to supporting a strong Democrat in the future does not directly relate to the proposal of implementing RCV as an alternative method.
3. C Reason: The speaker's open-mindedness to different political perspectives does not directly relate to the proposal of implementing RCV as an alternative method.
4. A Reason: This argument is in favor of the proposal, as it suggests that implementing RCV as an alternative method is acceptable.
5. B Reason: This argument is against the proposal, as it suggests that implementing RCV as an alternative method is bad.",,,"1.  [A] Reason: The speaker being a Republican from Kalamazoo, Michigan may indicate a conservative viewpoint, which could be in favor of less strict voting standards.
2. [C] Reason: The speaker being open to being persuaded to support a strong Democrat in the future does not directly relate to the proposal of implementing less strict voting standards.
3. [C] Reason: The speaker's open-mindedness to different political perspectives does not directly relate to the proposal of implementing less strict voting standards.
4. [A] Reason: This argument is in favor of the proposal, indicating that it is okay to implement less strict voting standards.
5. [B] Reason: This argument is against the proposal, indicating that implementing less strict voting standards is bad.",,,"1. [A] Reason: The speaker being a Republican may lean towards supporting policies that align with conservative values, which may include limiting voting rights for individuals with felony convictions.
2. [C] Reason: The speaker's openness to supporting a strong Democrat in the future does not directly relate to their stance on restoring voting rights to individuals with felony convictions.
3. [C] Reason: The speaker's open-mindedness to different political perspectives does not directly indicate their stance on restoring voting rights to individuals with felony convictions.
4. [A] Reason: This argument supports the proposal to restore voting rights to individuals with felony convictions, indicating a pro stance.
5. [B] Reason: This argument opposes the proposal to restore voting rights to individuals with felony convictions, indicating a con stance.",,,"1. [C] Reason: The speaker's political affiliation is not directly relevant to the proposal about increasing opportunities for learning about civic education in schools.
2. [C] Reason: The speaker's openness to supporting a Democrat in the future is not directly relevant to the proposal about increasing opportunities for learning about civic education in schools.
3. [C] Reason: The speaker's open-mindedness to different political perspectives is not directly relevant to the proposal about increasing opportunities for learning about civic education in schools.
4. [A] Reason: This argument is in support of the proposal to increase opportunities for learning about civic education in schools.
5. [B] Reason: This argument is against the proposal to increase opportunities for learning about civic education in schools.",,,"1. [C] Reason: The speaker's political affiliation and location are not relevant to the proposal of using proportional representatives to elect elected officials.
2. [C] Reason: The speaker's openness to supporting a Democrat in the future does not directly relate to the proposal of using proportional representatives.
3. [C] Reason: The speaker's open-mindedness to different political perspectives is not directly related to the proposal of using proportional representatives.
4. [A] Reason: This argument is in support of the proposal, as it states that using proportional representatives to elect elected officials is okay.
5. [B] Reason: This argument is against the proposal, as it states that using proportional representatives to elect elected officials is bad.",False,False,False,False,False,True,False,False,False
2,3,48616,"""2:29""", i'm always open to a greater way. i'm here because i love america and i want things to change.,Yes,"- The speaker is open to a greater way of doing things
- The speaker loves America
- The speaker wants things to change",- The speaker is open to a greater way of doing things,- The speaker loves America,"4. A Reason: The argument is in support of the proposal to implement more measures to address voter fraud, indicating a pro stance.
5. B Reason: The argument is against the proposal to implement more measures to address voter fraud, indicating a con stance.","- The speaker is open to a greater way of doing things
- The speaker loves America
- The speaker wants things to change",,"1. A Reason: The speaker being open to a greater way of doing things suggests a pro stance on changing the current electoral college, as they are willing to consider alternative methods.
2. A Reason: The speaker loving America does not necessarily indicate a specific stance on changing the electoral college, as love for the country can be interpreted in different ways.
3. A A Reason: The speaker wanting things to change aligns with a pro stance on changing the current electoral college, as they desire change in the system.
4. A Reason: This argument is a pro stance on changing the current electoral college, as it directly states that it is okay to make the change.
5. B Reason: This argument is a con stance on changing the current electoral college, as it states that making the change is bad.",,- The speaker loves America,"4. C Reason: The argument does not directly support or oppose the proposal, it simply states that it is ""okay"" which does not provide a clear stance on the issue.
5. B Reason: This argument is a con because it directly states that increasing public funding and financing for campaigns is bad.",- The speaker is open to a greater way of doing things,- The speaker loves America,"4. A Reason: Implementing limits on financing individual candidates and parties can be seen as a positive step towards reducing the influence of money in politics and promoting fairness in elections.

5. B Reason: Some may argue that implementing limits on financing individual candidates and parties could restrict free speech and hinder the ability of candidates and parties to effectively communicate their message to voters.",- The speaker is open to a greater way of doing things,- The speaker loves America,"4. A Reason: This argument is in support of the proposal to implement more fairness and transparency in the election process, indicating a pro stance.
5. B Reason: This argument is against the proposal, stating that implementing more fairness and transparency in the election process is bad, indicating a con stance.","- The speaker is open to a greater way of doing things
- The speaker loves America
- The speaker wants things to change",,"1. A Reason: The speaker being open to a greater way of doing things aligns with the proposal to change the primary system, as it suggests a willingness to explore new ideas and methods.
2. A Reason: Loving America does not necessarily have a direct correlation to the proposal to change the primary system. This argument is not applicable to the given proposal.
3. A Reason: Wanting things to change directly supports the proposal to change the primary system, as it indicates a desire for reform and improvement.
4. A Reason: This argument is pro, as it directly states that changing the primary system is okay.
5. B Reason: This argument is con, as it states that changing the primary system is bad.",,,"4. [A] Reason: This argument is a pro because it supports the proposal of implementing more accessibility to voting.
5. [B] Reason: This argument is a con because it opposes the proposal of implementing more accessibility to voting.",- The speaker is open to a greater way of doing things,- The speaker loves America,"4. A Reason: Implementing a term limit for Supreme Court Justices can bring fresh perspectives and prevent justices from becoming too entrenched in their positions, leading to more diverse and dynamic decision-making.

5. B Reason: Implementing a term limit for Supreme Court Justices could potentially disrupt the stability and consistency of the court, as justices with experience and expertise may be forced to step down before their time, leading to potential gaps in knowledge and decision-making.",- The speaker is open to a greater way of doing things,- The speaker loves America,"4. A Reason: Implementing RCV allows for a more fair and representative way of electing officials, giving voters more choice and ensuring that the candidate with the broadest support wins.

5. B Reason: This argument is against implementing RCV, stating that it is a bad idea. This could be due to concerns about the complexity of RCV, potential for confusion among voters, or resistance to change in the current electoral system.",- The speaker is open to a greater way of doing things,- The speaker loves America,"4. A Reason: This argument is a pro because it supports the proposal of implementing less strict voting standards.
5. B Reason: This argument is a con because it opposes the proposal of implementing less strict voting standards, indicating that it is bad.",,- The speaker loves America,"4. C Reason: This argument is not applicable to the given proposal as it simply states the proposal without providing any specific reasoning for or against it.

5. B Reason: This argument is a con because it expresses a negative opinion about the proposal to restore voting rights to citizens with felony convictions upon their release from prison.",,- The speaker loves America,"4. C Reason: This argument is not applicable to the given proposal because it simply states that increasing opportunities for learning about civic education in schools is okay without providing any specific reasoning or evidence to support this claim.

5. B Reason: This argument is a con because it states that increasing opportunities for learning about civic education in schools is bad without providing any specific reasoning or evidence to support this claim. This argument is not in favor of the proposal to increase opportunities for learning about civic education in schools.",- The speaker is open to a greater way of doing things,- The speaker loves America,"4. A Reason: Proportional representation allows for a more accurate reflection of the electorate's preferences and can lead to more diverse representation in government.
5. B Reason: Some may argue that proportional representation can lead to instability and difficulty in forming stable governments, as seen in some countries with this system.",False,False,False,False,False,False,False,True,False
3,4,48616,"""2:29"""," i'm also open to another republican other than donald trump. so, my mind is open to everyone who wants to step up. i'm here because i love our country.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,10406,"""3:14"""," hi, my name is david. looking forward to",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,10406,"""3:14""", speaking and hearing everyone's opinions.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48692,"""3:37"""," hey, my name is bob. i actually am a poll worker for the elections. i've been doing it for 30 years, i do work for the republican party, but i",Yes,"1. I have been a poll worker for the elections for 30 years.
2. I work for the Republican party.
3. I have experience and knowledge in the election process.",,,"1. [C] Reason: This argument does not directly support or oppose the proposal to implement more measures to address voter fraud. It is not applicable.
2. [A] Reason: This argument is a pro argument because working for the Republican party may suggest a bias towards supporting measures to address voter fraud.
3. [A] Reason: This argument is a pro argument because having experience and knowledge in the election process may lead to supporting measures to address voter fraud.
4. [A] Reason: This argument is a pro argument because it directly supports the proposal to implement more measures to address voter fraud.
5. [B] Reason: This argument is a con argument because it directly opposes the proposal to implement more measures to address voter fraud.",,,"1. [A] Reason: This argument is not applicable to the proposal to change the current electoral college as it does not provide any specific reasoning for or against the proposal.
2. [A] Reason: This argument is not applicable to the proposal to change the current electoral college as it does not provide any specific reasoning for or against the proposal.
3. [A] Reason: This argument is not applicable to the proposal to change the current electoral college as it does not provide any specific reasoning for or against the proposal.
4. [A] Reason: This argument is a pro argument for changing the current electoral college, as it indicates support for the proposal.
5. [B] Reason: This argument is a con argument against changing the current electoral college, as it indicates opposition to the proposal.",,,"1. C Reason: Being a poll worker for 30 years does not necessarily make this argument applicable to the proposal of increasing public funding for campaigns.
2. C Reason: Working for the Republican party does not directly relate to the proposal of increasing public funding for campaigns.
3. C Reason: Having experience and knowledge in the election process does not directly relate to the proposal of increasing public funding for campaigns.
4. A Reason: This argument is pro increasing public funding and financing for campaigns.
5. B Reason: This argument is con increasing public funding and financing for campaigns.",,,"1. C Reason: This argument does not directly relate to the proposal of implementing limits on financing individual candidates and parties.
2. C Reason: This argument does not directly relate to the proposal of implementing limits on financing individual candidates and parties.
3. C Reason: This argument does not directly relate to the proposal of implementing limits on financing individual candidates and parties.
4. A Reason: This argument is a pro argument as it supports the proposal of implementing limits on financing individual candidates and parties.
5. B Reason: This argument is a con argument as it opposes the proposal of implementing limits on financing individual candidates and parties.",,,"1. [A] Reason: This argument is pro because the experience of being a poll worker for 30 years likely means the individual has seen areas where fairness and transparency could be improved in the election process.
2. [B] Reason: This argument is con because working for a specific political party may introduce bias and conflict of interest in implementing fairness and transparency in the election process.
3. [A] Reason: This argument is pro because having experience and knowledge in the election process can help in identifying areas where improvements can be made to enhance fairness and transparency.
4. [A] Reason: This argument is pro as it directly supports the proposal to implement more fairness and transparency in the election process.
5. [B] Reason: This argument is con as it opposes the proposal to implement more fairness and transparency in the election process without providing any specific reasons or evidence to support this stance.",,,"1. [A] Reason: This argument is a pro because the individual has experience working in elections and may have insights on how changing the primary system could improve the process.
2. [B] Reason: This argument is a con because the individual's affiliation with a specific political party may bias their opinion on changing the primary system.
3. [A] Reason: This argument is a pro because the individual's experience and knowledge in the election process could provide valuable insights on how changing the primary system could be beneficial.
4. [A] Reason: This argument is a pro because the individual supports changing the primary system.
5. [B] Reason: This argument is a con because the individual believes changing the primary system is bad.",,,"1. [A] Reason: This argument is pro because the individual has experience working in elections and may have insights on how to improve accessibility to voting.
2. [B] Reason: This argument is con because the individual's political affiliation may bias their opinion on implementing more accessibility to voting.
3. [A] Reason: This argument is pro because the individual's experience and knowledge in the election process can provide valuable input on how to make voting more accessible.
4. [A] Reason: This argument is pro as it directly supports the proposal to implement more accessibility to voting.
5. [B] Reason: This argument is con as it opposes the proposal without providing any specific reasons or evidence.",,,"1. C Reason: This argument does not directly relate to the proposal of implementing a term limit for Supreme Court Justices.
2. C Reason: This argument does not directly relate to the proposal of implementing a term limit for Supreme Court Justices.
3. C Reason: This argument does not directly relate to the proposal of implementing a term limit for Supreme Court Justices.
4. A Reason: This argument is in favor of the proposal, indicating support for implementing a term limit for Supreme Court Justices.
5. B Reason: This argument is against the proposal, indicating opposition to implementing a term limit for Supreme Court Justices.",,,"1. C Reason: This argument does not directly relate to the proposal of implementing RCV as an alternative method for elections.
2. C Reason: This argument does not directly relate to the proposal of implementing RCV as an alternative method for elections.
3. C Reason: This argument does not directly relate to the proposal of implementing RCV as an alternative method for elections.
4. A Reason: This argument is in favor of implementing RCV as an alternative method for elections.
5. B Reason: This argument is against implementing RCV as an alternative method for elections.",,,"1. [A] Reason: This argument is a pro because the person has experience working in elections and may have insights into how strict voting standards can impact the voting process.
2. [B] Reason: This argument is a con because the person's affiliation with a political party may bias their opinion on the proposal.
3. [A] Reason: This argument is a pro because the person's experience and knowledge in the election process can provide valuable insights into the potential impact of less strict voting standards.
4. [A] Reason: This argument is a pro because it directly supports the proposal to implement less strict voting standards.
5. [B] Reason: This argument is a con because it directly opposes the proposal to implement less strict voting standards.",,,"1. C Reason: This argument does not directly relate to the proposal of restoring voting rights to citizens with felony convictions.
2. C Reason: This argument does not directly relate to the proposal of restoring voting rights to citizens with felony convictions.
3. C Reason: This argument does not directly relate to the proposal of restoring voting rights to citizens with felony convictions.
4. A Reason: This argument is in support of the proposal to restore voting rights to citizens with felony convictions.
5. B Reason: This argument is against the proposal to restore voting rights to citizens with felony convictions.",,,"1. [A] Reason: This argument is a pro because it demonstrates firsthand experience and involvement in the democratic process, which could be beneficial in promoting civic education in schools.
2. [B] Reason: This argument is a con because it suggests a potential bias towards one political party, which could impact the objectivity of civic education in schools.
3. [A] Reason: This argument is a pro because it highlights the importance of having knowledgeable individuals involved in the election process, which could contribute to the effectiveness of civic education in schools.
4. [A] Reason: This argument is a pro because it supports the proposal to increase opportunities for learning about civic education in schools.
5. [B] Reason: This argument is a con because it opposes the proposal to increase opportunities for learning about civic education in schools without providing any specific reasons or evidence.",3. I have experience and knowledge in the election process.,,"1. C Reason: This argument does not directly relate to the proposal of using proportional representatives to elect elected officials.
2. C Reason: This argument does not directly relate to the proposal of using proportional representatives to elect elected officials.
3. A Reason: This argument supports the proposal by indicating that the individual has experience and knowledge in the election process, which could be beneficial in implementing proportional representation.
4. A Reason: This argument is in favor of the proposal, stating that using proportional representatives to elect elected officials is okay.
5. B Reason: This argument is against the proposal, stating that using proportional representatives to elect elected officials is bad.",False,False,False,False,False,False,False,False,True
7,8,48692,"""3:37""", don't always agree with what they're putting out at the moment.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,48622,"""4:04"""," hi, my name is rachel. i'm a stay-at-home mom. and i am a republican. and i've never done anything like this before. so i'm excited to see how this all goes.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48616,"""12:18""", hello. because it all seems a little confusing.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
