,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,9687,"""2:08"""," hi, i'm mike. i live in connecticut, i'm a software engineer.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48743,"""2:16"""," hi, my name is bob live outside of denver and i'm retired.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,9780,"""2:24"""," i am. so i'm in the hudson, valley and new york, former property manager and looking forward to hearing your info.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48738,"""2:34"""," i'm jessi, i live in west virginia and i'm currently a postal employee.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48739,"""2:46"""," hi, my name is priscilla. i'm from missouri, and i work in the cannabis industry.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,48742,"""2:55"""," hi, i'm katya. i'm a dental, hygienist. and i live in vermont.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48741,"""3:03""", hi melissa. i'm carly. and i'm carolina and i look forward to getting to see,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,9687,"""11:45"""," i think the rank choice, voting is very complicated and may be difficult for people to understand.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,48743,"""11:53"""," i kind of agree. the, you know i think our system right now is complicated enough. if we complicate it more. bye.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48743,"""11:53""", expecting the polls and other things to rank and expect secondary elections afterwards. it's just going to be way too complicated.,Yes,"1. Expecting the polls and other things to rank
2. Expecting secondary elections afterwards
3. It will be way too complicated",,,"1. [A] Reason: This argument is in favor of changing the current electoral college system as it suggests that relying on polls and other rankings may not accurately reflect the will of the people.
2. [B] Reason: This argument is against changing the current electoral college system as it suggests that having secondary elections would be a negative consequence of the change.
3. [B] Reason: This argument is against changing the current electoral college system as it suggests that the proposed change would make the electoral process too complicated.
4. [A] Reason: This argument is in favor of changing the current electoral college system.
5. [B] Reason: This argument is against changing the current electoral college system as it suggests that the change would be bad.",1. Expecting the polls and other things to rank,"2. Expecting secondary elections afterwards
3. It will be way too complicated","1. A Reason: This argument is a pro because it suggests that changing the primary system will lead to more accurate rankings based on polls and other factors.
2. B Reason: This argument is a con because it suggests that changing the primary system will lead to the need for secondary elections, which could be seen as a negative aspect.
3. B Reason: This argument is a con because it suggests that changing the primary system will make the process too complicated, which could be a disadvantage.
4. A Reason: This argument is a pro because it simply states that changing the primary system is okay, indicating support for the proposal.
5. B Reason: This argument is a con because it suggests that changing the primary system is bad, indicating opposition to the proposal.",,,"1. [A] Reason: This argument is in favor of the proposal as it suggests that using proportional representatives will help in accurately reflecting the polls and rankings of candidates.
2. [B] Reason: This argument is against the proposal as it suggests that there may be a need for secondary elections after using proportional representatives, which could complicate the process.
3. [B] Reason: This argument is against the proposal as it suggests that using proportional representatives may be too complicated.
4. [A] Reason: This argument is in favor of the proposal as it states that using proportional representatives to elect elected officials is acceptable.
5. [B] Reason: This argument is against the proposal as it states that using proportional representatives to elect elected officials is bad.",,,"1. [A] Reason: This argument is a pro because having polls and rankings can help ensure that the election process is fair and transparent.
2. [A] Reason: This argument is a pro because having secondary elections can also help ensure that the election process is fair and transparent by allowing for a more thorough decision-making process.
3. [B] Reason: This argument is a con because complexity should not be a reason to avoid implementing fairness and transparency in the election process. It may require more effort, but it is necessary for a democratic system.
4. [A] Reason: This argument is a pro because it aligns with the proposal to implement more fairness and transparency in the election process.
5. [B] Reason: This argument is a con because it goes against the proposal to implement more fairness and transparency in the election process.",,3. It will be way too complicated,"1. C Reason: This argument does not directly relate to the proposal of implementing a term limit for Supreme Court Justices.
2. C Reason: This argument does not directly relate to the proposal of implementing a term limit for Supreme Court Justices.
3. B Reason: This argument is a con because it suggests that implementing a term limit for Supreme Court Justices would be too complicated.
4. A Reason: This argument is pro because it supports the proposal of implementing a term limit for Supreme Court Justices.
5. B Reason: This argument is a con because it suggests that implementing a term limit for Supreme Court Justices is bad.","1. Expecting the polls and other things to rank
2. Expecting secondary elections afterwards",3. It will be way too complicated,"1. A Reason: This argument is not applicable to the given proposal as it does not directly address the increase in public funding and financing for campaigns.
2. A Reason: This argument is not applicable to the given proposal as it does not directly address the increase in public funding and financing for campaigns.
3. B Reason: This argument is a con because it suggests that increasing public funding and financing for campaigns will make the process too complicated.
4. A Reason: This argument is a pro as it directly supports the proposal of increasing public funding and financing for campaigns.
5. B Reason: This argument is a con as it directly opposes the proposal of increasing public funding and financing for campaigns.",,3. It will be way too complicated,"1. C Reason: This argument does not directly relate to the proposal of implementing limits on financing individual candidates and parties.
2. C Reason: This argument does not directly relate to the proposal of implementing limits on financing individual candidates and parties.
3. B Reason: This argument is a con because it suggests that implementing limits on financing individual candidates and parties would be too complicated to effectively enforce.
4. A Reason: This argument is a pro because it supports the proposal of implementing limits on financing individual candidates and parties.
5. B Reason: This argument is a con because it opposes the proposal of implementing limits on financing individual candidates and parties.",,,"1. [C] Reason: This argument does not directly relate to the proposal of implementing more accessibility to voting. It is unclear how expecting the polls and other things to rank would impact accessibility to voting.
2. [C] Reason: This argument also does not directly relate to the proposal. It is unclear how expecting secondary elections afterwards would impact accessibility to voting.
3. [B] Reason: This argument is a con because it suggests that implementing more accessibility to voting will be too complicated. This could be a barrier to actually achieving the goal of increased accessibility.
4. [A] Reason: This argument is a pro because it directly supports the proposal of implementing more accessibility to voting.
5. [B] Reason: This argument is a con because it suggests that implementing more accessibility to voting is bad. This goes against the goal of increasing accessibility to voting.",,,"1. [A] Reason: This argument is in favor of the proposal as it suggests that the implementation of less strict voting standards will lead to better rankings in polls and other related activities.
2. [B] Reason: This argument is against the proposal as it suggests that implementing less strict voting standards may lead to the need for secondary elections, which could be seen as a negative consequence.
3. [B] Reason: This argument is against the proposal as it suggests that making voting standards less strict could result in increased complexity, which is seen as a drawback.
4. [A] Reason: This argument is in favor of the proposal as it directly states that implementing less strict voting standards is acceptable.
5. [B] Reason: This argument is against the proposal as it directly states that implementing less strict voting standards is bad.",,,"1. [A] Reason: This argument is in support of the proposal as it suggests that expecting the polls and other things to rank can help address voter fraud.
2. [A] Reason: This argument is in support of the proposal as it suggests that expecting secondary elections afterwards can help address voter fraud.
3. [B] Reason: This argument is against the proposal as it suggests that implementing more measures to address voter fraud will be way too complicated.
4. [A] Reason: This argument is in support of the proposal as it directly aligns with the proposal itself.
5. [B] Reason: This argument is against the proposal as it suggests that implementing more measures to address voter fraud is bad.",,,"1. [C] Reason: This argument does not directly relate to the proposal of restoring voting rights to citizens with felony convictions upon release from prison.
2. [C] Reason: This argument does not directly relate to the proposal of restoring voting rights to citizens with felony convictions upon release from prison.
3. [B] Reason: This argument is a con because it suggests that restoring voting rights to citizens with felony convictions upon release from prison would be too complicated.
4. [A] Reason: This argument is a pro because it directly supports the proposal of restoring voting rights to citizens with felony convictions upon release from prison.
5. [B] Reason: This argument is a con because it suggests that restoring voting rights to citizens with felony convictions upon release from prison is bad.",1. Expecting the polls and other things to rank,"2. Expecting secondary elections afterwards
3. It will be way too complicated","1. A Reason: This argument is a pro for the proposal as it highlights the benefit of using RCV to rank candidates in polls and other situations.
2. B Reason: This argument is a con for the proposal as it suggests that implementing RCV may lead to the need for secondary elections, which could be seen as a drawback.
3. B Reason: This argument is a con for the proposal as it raises concerns about the complexity of implementing RCV, which could be a barrier to its adoption.
4. C Reason: This argument is not applicable to the proposal as it simply states that implementing RCV is okay without providing any specific reasoning.
5. C Reason: This argument is not applicable to the proposal as it simply states that implementing RCV is bad without providing any specific reasoning.",,"1. Expecting the polls and other things to rank
3. It will be way too complicated","1. B Reason: This argument is a con because it suggests that expecting polls and other things to rank is a negative aspect of increasing opportunities for learning about civic education in schools.
2. C Reason: This argument is not applicable as it does not directly relate to the proposal of increasing opportunities for learning about civic education in schools.
3. B Reason: This argument is a con because it suggests that increasing opportunities for learning about civic education in schools will be way too complicated.
4. A Reason: This argument is a pro because it supports the proposal of increasing opportunities for learning about civic education in schools.
5. B Reason: This argument is a con because it suggests that increasing opportunities for learning about civic education in schools is bad.",False,False,False,False,False,False,False,True,False
