,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48611,"""2:07""", hello. i am glenda. i live in missouri and i'm happy to fix participate with you all today. thank you.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48658,"""2:25"""," i'm dave nelson, born in minnesota but now i've lived in montana for 35 years and i'm an engineer.",Yes,"1. Born in Minnesota
2. Lived in Montana for 35 years
3. Engineer profession",,,"1. [A] Reason: Not applicable, the fact that the individual was born in Minnesota does not directly relate to the proposal to change the electoral college system.
2. [A] Reason: Not applicable, the fact that the individual lived in Montana for 35 years does not directly relate to the proposal to change the electoral college system.
3. [C] Reason: Not applicable, the individual's profession as an engineer does not directly relate to the proposal to change the electoral college system.
4. [A] Reason: Pro, this argument supports the proposal to change the current electoral college system.
5. [B] Reason: Con, this argument opposes the proposal to change the current electoral college system.",,,"1. [A] Reason: Not applicable, the argument does not relate to the proposal to implement more measures to address voter fraud.
2. [A] Reason: Not applicable, the argument does not relate to the proposal to implement more measures to address voter fraud.
3. [A] Reason: Not applicable, the argument does not relate to the proposal to implement more measures to address voter fraud.
4. [A] Reason: Pro, this argument supports the proposal by stating that implementing more measures to address voter fraud is okay.
5. [B] Reason: Con, this argument opposes the proposal by stating that implementing more measures to address voter fraud is bad.",3. Engineer profession,,"1. C Reason: Being born in Minnesota or living in Montana for 35 years does not directly relate to the proposal of implementing more fairness and transparency in the election process.
2. C Reason: Being an engineer does not directly relate to the proposal of implementing more fairness and transparency in the election process.
3. A Reason: This argument is a pro for the proposal as it supports the idea of improving the election process by making it fairer and more transparent.
4. A Reason: This argument is a pro for the proposal as it agrees with the idea of implementing more fairness and transparency in the election process.
5. B Reason: This argument is a con for the proposal as it disagrees with the idea of implementing more fairness and transparency in the election process.",3. Engineer profession,,"1. C Reason: The fact that someone was born in Minnesota or lived in Montana for 35 years does not directly relate to whether implementing limits on financing individual candidates and parties is a good or bad idea.
2. C Reason: The fact that someone is an engineer does not directly relate to whether implementing limits on financing individual candidates and parties is a good or bad idea.
3. A Reason: This argument is a pro argument because it supports the proposal to implement limits on financing individual candidates and parties.
4. A Reason: This argument is a pro argument because it supports the proposal to implement limits on financing individual candidates and parties.
5. B Reason: This argument is a con argument because it opposes the proposal to implement limits on financing individual candidates and parties.",,,"1. [A] Reason: Not applicable to the proposal of using proportional representatives to elect elected officials as it does not directly relate to the effectiveness or feasibility of the proposal.
2. [A] Reason: Not applicable to the proposal of using proportional representatives to elect elected officials as it does not directly relate to the effectiveness or feasibility of the proposal.
3. [A] Reason: Not applicable to the proposal of using proportional representatives to elect elected officials as it does not directly relate to the effectiveness or feasibility of the proposal.
4. [A] Reason: Pro, as this argument supports the proposal of using proportional representatives to elect elected officials.
5. [B] Reason: Con, as this argument opposes the proposal of using proportional representatives to elect elected officials.",,,"1. [A] Reason: Not applicable to the given proposal as it does not pertain to the topic of public funding and financing for campaigns.
2. [A] Reason: Not applicable to the given proposal as it does not pertain to the topic of public funding and financing for campaigns.
3. [A] Reason: Not applicable to the given proposal as it does not pertain to the topic of public funding and financing for campaigns.
4. [A] Reason: Pro, as it supports the proposal of increasing public funding and financing for campaigns.
5. [B] Reason: Con, as it opposes the proposal of increasing public funding and financing for campaigns.",,,"1. [A] Reason: Being born in Minnesota does not necessarily have any bearing on whether changing the primary system is a good idea or not.
2. [C] Reason: Living in Montana for 35 years also does not directly relate to the proposal to change the primary system.
3. [C] Reason: Being an engineer does not inherently make someone more qualified to determine whether changing the primary system is a good idea.
4. [A] Reason: This argument is in favor of changing the primary system, so it is a pro argument.
5. [B] Reason: This argument is against changing the primary system, so it is a con argument.",,,"1. C Reason: The fact that the individual was born in Minnesota is not relevant to the proposal of implementing less strict voting standards.
2. C Reason: The fact that the individual lived in Montana for 35 years is not relevant to the proposal of implementing less strict voting standards.
3. C Reason: The individual's profession as an engineer is not relevant to the proposal of implementing less strict voting standards.
4. A Reason: This argument is a pro for the proposal as it supports the idea of making voting standards less strict.
5. B Reason: This argument is a con for the proposal as it opposes the idea of making voting standards less strict.",,,"1. [A] Reason: Being born in Minnesota does not directly relate to the proposal of implementing more accessibility to voting. 
2. [A] Reason: Living in Montana for 35 years does not directly relate to the proposal of implementing more accessibility to voting. 
3. [C] Reason: The profession of being an engineer does not directly relate to the proposal of implementing more accessibility to voting. 
4. [A] Reason: This argument is in favor of the proposal, stating that implementing more accessibility to voting is okay. 
5. [B] Reason: This argument is against the proposal, stating that implementing more accessibility to voting is bad.",,,"1. [A] Reason: Not applicable, as being born in Minnesota does not directly relate to the proposal of restoring voting rights to citizens with felony convictions.
2. [A] Reason: Not applicable, as living in Montana for 35 years does not directly relate to the proposal of restoring voting rights to citizens with felony convictions.
3. [A] Reason: Not applicable, as being an engineer does not directly relate to the proposal of restoring voting rights to citizens with felony convictions.
4. [A] Reason: Pro, as restoring voting rights to citizens with felony convictions upon their release from prison can be seen as a way to reintegrate them back into society and promote civic engagement.
5. [B] Reason: Con, as some may argue that individuals who have committed felonies have violated the social contract and should not have the privilege of voting restored to them.","1. Born in Minnesota
2. Lived in Montana for 35 years
3. Engineer profession",,"1. A Reason: Not applicable, personal background does not directly relate to the proposal.
2. A Reason: Not applicable, personal background does not directly relate to the proposal.
3. A Reason: Not applicable, profession does not directly relate to the proposal.
4. A Reason: A, increasing opportunities for learning about civic education in schools can lead to a more informed and engaged citizenry.
5. A Reason: B, increasing opportunities for learning about civic education in schools can help address the lack of civic knowledge and engagement in society.",,,"1. [C] Reason: The fact that someone was born in Minnesota is not relevant to the proposal of implementing RCV as an alternative method.
2. [C] Reason: The fact that someone lived in Montana for 35 years is not relevant to the proposal of implementing RCV as an alternative method.
3. [C] Reason: The fact that someone is an engineer is not relevant to the proposal of implementing RCV as an alternative method.
4. [A] Reason: This argument is a pro for the proposal as it supports the idea of implementing RCV as an alternative method to elected officials and representatives at all levels.
5. [B] Reason: This argument is a con for the proposal as it opposes the idea of implementing RCV as an alternative method to elected officials and representatives at all levels.",,,"1. C Reason: The fact that someone was born in Minnesota is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
2. C Reason: The fact that someone lived in Montana for 35 years is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
3. C Reason: The fact that someone is an engineer is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
4. A Reason: This argument is pro because it supports the proposal of implementing a term limit for Supreme Court Justices.
5. B Reason: This argument is con because it opposes the proposal of implementing a term limit for Supreme Court Justices.",False,False,False,False,False,False,False,False,True
2,3,10380,"""2:37"""," hello, i'm in i live in virginia. i'm a 40 year old father of three teenagers.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48644,"""2:45""", i am andrew. i live in oklahoma.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48644,"""2:45""", full-time restaurant employee looking forward to the discussion.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,48623,"""2:53"""," hi, i'm taylor and we live in arkansas.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48679,"""2:59"""," hi, i'm karen. i live in florida.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,48605,"""3:05"""," hi, i'm jerry, i'm retired and i live in ohio.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,9795,"""3:15"""," hi, i'm michaela. i'm from chicago.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48658,"""11:31"""," i have a strong interest in trying to get a third party, going to",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
10,11,48658,"""11:31""", it would serve us better than our present situation.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
11,12,48679,"""11:55"""," okay, i guess what i'll say is i think that rank choice. voting is is a strong idea, but i also have some problems in that, it makes it it only benefits centrist candidates a lot it want. it makes people want to appeal to large audiences rather than strong base blocks. and so, i think that",Yes,"1. Ranked choice voting is a strong idea
2. Ranked choice voting benefits centrist candidates
3. Ranked choice voting incentivizes candidates to appeal to large audiences rather than strong base blocks","1. Ranked choice voting is a strong idea
2. Ranked choice voting benefits centrist candidates
3. Ranked choice voting incentivizes candidates to appeal to large audiences rather than strong base blocks",,"1. A Reason: Ranked choice voting allows for more diverse representation and gives voters more options.
2. A Reason: Ranked choice voting can help prevent extreme candidates from winning and promote compromise.
3. A Reason: Ranked choice voting encourages candidates to appeal to a broader range of voters, rather than just focusing on their base.
4. B Reason: Changing the current electoral college system could potentially disenfranchise smaller states and lead to less representation for certain regions.
5. B Reason: Changing the current electoral college system could disrupt the balance of power between states and potentially lead to unintended consequences.","1. Ranked choice voting is a strong idea
2. Ranked choice voting benefits centrist candidates
3. Ranked choice voting incentivizes candidates to appeal to large audiences rather than strong base blocks",,"1. A Reason: Ranked choice voting is not directly related to implementing measures to address voter fraud, so it is not applicable to the proposal.
2. A Reason: Ranked choice voting may benefit centrist candidates, but it is not directly related to implementing measures to address voter fraud, so it is not applicable to the proposal.
3. A Reason: Ranked choice voting incentivizing candidates to appeal to large audiences rather than strong base blocks is not directly related to implementing measures to address voter fraud, so it is not applicable to the proposal.
4. A Reason: This argument is in support of the proposal to implement more measures to address voter fraud, so it is a pro argument.
5. B Reason: This argument is against the proposal to implement more measures to address voter fraud, so it is a con argument.","1. Ranked choice voting is a strong idea
2. Ranked choice voting benefits centrist candidates
3. Ranked choice voting incentivizes candidates to appeal to large audiences rather than strong base blocks",,"1. A Reason: Ranked choice voting allows voters to rank candidates in order of preference, leading to a more fair and transparent election process.
2. A Reason: Ranked choice voting can benefit centrist candidates by allowing them to appeal to a broader range of voters.
3. A Reason: Ranked choice voting incentivizes candidates to appeal to a larger audience rather than relying solely on a strong base, promoting fairness and transparency in the election process.
4. A Reason: This argument is in support of the proposal to implement more fairness and transparency in the election process.
5. B Reason: This argument is against the proposal, but it does not provide a specific reason for why implementing more fairness and transparency in the election process would be bad.","1. Ranked choice voting is a strong idea
2. Ranked choice voting benefits centrist candidates
3. Ranked choice voting incentivizes candidates to appeal to large audiences rather than strong base blocks",,"1. A Reason: Ranked choice voting is not directly related to the proposal of implementing limits on financing individual candidates and parties.
2. A Reason: Ranked choice voting benefits centrist candidates, which is not directly related to the proposal of implementing limits on financing individual candidates and parties.
3. A Reason: Ranked choice voting incentivizes candidates to appeal to large audiences rather than strong base blocks, which is not directly related to the proposal of implementing limits on financing individual candidates and parties.
4. A Reason: Pro, as implementing limits on financing individual candidates and parties is in line with this argument.
5. B Reason: Con, as this argument goes against the proposal of implementing limits on financing individual candidates and parties.","1. Ranked choice voting is a strong idea
2. Ranked choice voting benefits centrist candidates
3. Ranked choice voting incentivizes candidates to appeal to large audiences rather than strong base blocks",,"1. A Reason: Ranked choice voting allows voters to rank candidates in order of preference, leading to a more representative outcome.
2. A Reason: Ranked choice voting can help centrist candidates by allowing voters to rank them as a second or third choice if their preferred candidate is eliminated.
3. A Reason: Ranked choice voting encourages candidates to appeal to a broader range of voters in order to secure second or third choice rankings.
4. A Reason: Using proportional representatives can lead to a more diverse and representative group of elected officials.
5. B Reason: It is not clear why using proportional representatives to elect elected officials would be considered bad without further explanation.","1. Ranked choice voting is a strong idea
2. Ranked choice voting benefits centrist candidates
3. Ranked choice voting incentivizes candidates to appeal to large audiences rather than strong base blocks",,"1. A Reason: Ranked choice voting can be seen as a pro for the proposal as it can potentially lead to more diverse and representative candidates being elected.
2. A Reason: Ranked choice voting can benefit centrist candidates by allowing them to appeal to a broader range of voters and potentially win elections.
3. A Reason: Ranked choice voting can incentivize candidates to appeal to larger audiences rather than just their strong base blocks, which can lead to more inclusive and representative campaigns.
4. A Reason: Increase in public funding and financing for campaigns is a pro for the proposal as it can help level the playing field for candidates who may not have access to large donors or special interest groups.
5. B Reason: Increase in public funding and financing for campaigns may be seen as bad by some who believe that it could lead to wasteful spending or government interference in the electoral process.","1. Ranked choice voting is a strong idea
2. Ranked choice voting benefits centrist candidates
3. Ranked choice voting incentivizes candidates to appeal to large audiences rather than strong base blocks",,"1. A Reason: Ranked choice voting is a potential solution to improve the primary system.
2. A Reason: Ranked choice voting can help centrist candidates gain more support.
3. A Reason: Ranked choice voting encourages candidates to broaden their appeal, which can be seen as a positive aspect of changing the primary system.
4. C Reason: This argument does not provide a clear stance on whether changing the primary system is good or bad.
5. B Reason: This argument is against changing the primary system without providing any specific reasons.","1. Ranked choice voting is a strong idea
2. Ranked choice voting benefits centrist candidates
3. Ranked choice voting incentivizes candidates to appeal to large audiences rather than strong base blocks",,"1.  A Reason: Ranked choice voting allows for more diverse representation and can lead to more accurate election outcomes.
2. A Reason: Ranked choice voting encourages candidates to appeal to a broader range of voters, including centrists.
3. A Reason: Ranked choice voting encourages candidates to appeal to a wider audience rather than just focusing on their base.
4. A Reason: Implementing less strict voting standards can increase voter turnout and make the voting process more accessible.
5. B Reason: Implementing less strict voting standards could potentially lead to voter fraud or manipulation of election results.",,,"1. [A] Reason: Ranked choice voting is a pro argument because it can increase voter turnout and representation of diverse viewpoints.
2. [A] Reason: Ranked choice voting benefits centrist candidates by allowing voters to rank their preferences, potentially leading to more moderate candidates being elected.
3. [A] Reason: Ranked choice voting incentivizes candidates to appeal to large audiences rather than strong base blocks, which can lead to more inclusive and representative elections.
4. [C] Reason: This argument is not directly related to the proposal of implementing more accessibility to voting.
5. [C] Reason: This argument is not directly related to the proposal of implementing more accessibility to voting.",,,"1. [C] Reason: Ranked choice voting is not directly related to the proposal of restoring voting rights to citizens with felony convictions.
2. [C] Reason: Ranked choice voting is not directly related to the proposal of restoring voting rights to citizens with felony convictions.
3. [C] Reason: Ranked choice voting is not directly related to the proposal of restoring voting rights to citizens with felony convictions.
4. [A] Reason: This argument is in support of the proposal as it advocates for restoring voting rights to citizens with felony convictions upon their release from prison.
5. [B] Reason: This argument is against the proposal as it states that restoring voting rights to citizens with felony convictions upon their release from prison is bad.","1. Ranked choice voting is a strong idea
2. Ranked choice voting benefits centrist candidates
3. Ranked choice voting incentivizes candidates to appeal to large audiences rather than strong base blocks",,"1. A Reason: This argument is not applicable to the given proposal as it does not directly relate to increasing opportunities for learning about civic education in schools.
2. A Reason: This argument is not applicable to the given proposal as it does not directly relate to increasing opportunities for learning about civic education in schools.
3. A Reason: This argument is not applicable to the given proposal as it does not directly relate to increasing opportunities for learning about civic education in schools.
4. A Reason: This argument is pro the given proposal as it supports the idea of increasing opportunities for learning about civic education in schools.
5. B Reason: This argument is con the given proposal as it opposes the idea of increasing opportunities for learning about civic education in schools.","1. Ranked choice voting is a strong idea
2. Ranked choice voting benefits centrist candidates
3. Ranked choice voting incentivizes candidates to appeal to large audiences rather than strong base blocks",,"1. A Reason: Ranked choice voting is seen as a positive change in the electoral system by many, as it allows for more diverse representation and eliminates the ""spoiler effect"" often seen in traditional voting systems.
2. A Reason: Ranked choice voting can benefit centrist candidates by allowing them to appeal to a broader range of voters, rather than just their base, in order to secure second or third choice votes.
3. A Reason: Ranked choice voting does incentivize candidates to appeal to a larger audience, as they need to be able to garner support beyond just their core base in order to secure enough votes to win.
4. A Reason: This argument is not applicable as it simply states the proposal without providing any specific reasoning for or against it.
5. B Reason: This argument is a con as it states that implementing RCV as an alternative method to elected officials and representatives at all levels is bad, without providing any specific reasoning for why it would be detrimental.","1. Ranked choice voting is a strong idea
2. Ranked choice voting benefits centrist candidates
3. Ranked choice voting incentivizes candidates to appeal to large audiences rather than strong base blocks",,"1. A Reason: Ranked choice voting is a separate proposal and not directly related to implementing a term limit for Supreme Court Justices.
2. A Reason: Ranked choice voting benefits centrist candidates, which may or may not be relevant to the proposal of implementing a term limit for Supreme Court Justices.
3. A Reason: Ranked choice voting incentivizes candidates to appeal to large audiences rather than strong base blocks, which may or may not be relevant to the proposal of implementing a term limit for Supreme Court Justices.
4. C Reason: Implementing a term limit for Supreme Court Justices is the proposal being discussed, so this argument is not applicable.
5. B Reason: This argument is against implementing a term limit for Supreme Court Justices, as it is labeled as ""bad.""",False,False,False,False,False,True,False,True,False
