Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48509,"""9:56""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,48509,"""9:56""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,48509,"""9:56""","Hey there everyone. You know, I'm really curious more about why spending and cost of campaigning has increased so substantially lately, I'd be I'd be more interested instead of saying. Yeah, let's give more money because they need more money to understanding why it's happening. Kind of like with a backpack. You know, the bigger the backpack. Of course, you're going to put more stuff in it even if you don't need it. So,",yes," 1. The author is curious about the substantial increase in spending and cost of campaigning.
2. They would prefer to understand why this increase is happening, rather than simply providing more money.
3. The author uses the metaphor of a backpack to explain their viewpoint - if a backpack is larger, more items will be put in it, whether they are needed or not.",,,,,,,,,,,,,,," They would prefer to understand why this increase is happening, rather than simply providing more money  The author uses the metaphor of a backpack to explain their viewpoint - if a backpack is larger, more items will be put in it, whether they are needed or not", The author is curious about the substantial increase in spending and cost of campaigning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
4,10780,"""10:27""","I definitely agree that that's a valid concern. One of the things, there's a couple of things that popped up on my mind. But number four, when they talked about the amount that businesses were able to contribute, my thoughts were okay, are these same big companies, are they getting access to contracts? First before other companies do they have other tax breaks or looser? Pollution laws, things of that nature because",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,10780,"""10:27"""," then that would make it an issue. If these big companies are donating donating, a lot of money,",yes," 1. The text discusses the impact of big companies donating large amounts of money.
2. A potential issue is raised if these donations result in the companies gaining significant influence.
3. This influence could lead to biased decisions that may not be in the best interest of the public.
4. The donations could also potentially suppress innovation and competition.
5. The text suggests that there is a need for regulations and oversight to ensure that donations do not result in unethical practices.", The text discusses the impact of big companies donating large amounts of money,,,,,,,,,,,,,, A potential issue is raised if these donations result in the companies gaining significant influence  The donations could also potentially suppress innovation and competition  The text suggests that there is a need for regulations and oversight to ensure that donations do not result in unethical practices, This influence could lead to biased decisions that may not be in the best interest of the public,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
6,10780,"""11:17""","Well, I'll make another Point since no one's saying anything. The part about disclosure about how they're wondering, why they should just close, who's donating to what I'm somewhat on the fence with that. But at the same time, there's many things that happen in our country that we would probably want to be private, that becomes public knowledge. Like just when you go to court for something, you may not want that everyone to know that. Even on your resume, you may put on it that you say you work with a certain",yes," 1. The author is introducing a new point, as they feel no one else is contributing to the discussion.
2. They express some reservations about the issue of disclosure, specifically in the context of people questioning why they should close a matter, and who is donating to what.
3. The author is somewhat undecided about this issue.
4. They bring up the example of events that occur in the country which people might prefer to keep private, but still become public knowledge.
5. They give the example of court proceedings, where the details of the case become public record and accessible to anyone.
6. The author also mentions that even on a resume, one might not want to disclose certain information, such as the specific companies they have worked for.",,,,,,,,," They give the example of court proceedings, where the details of the case become public record and accessible to anyone"," They express some reservations about the issue of disclosure, specifically in the context of people questioning why they should close a matter, and who is donating to what",,,,," The author is introducing a new point, as they feel no one else is contributing to the discussion"," The author is somewhat undecided about this issue  They bring up the example of events that occur in the country which people might prefer to keep private, but still become public knowledge  The author also mentions that even on a resume, one might not want to disclose certain information, such as the specific companies they have worked for",False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True
7,10780,"""11:17""", Organization or did nonprofit work? That's disclosing a stance. So we're differences in.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48462,"""11:52""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,48462,"""11:52""","Oh, Benson. I agree with you on your first point.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,48462,"""11:52"""," ask for the disclosure, I think that there should be more disclosure because when, When there's less than disclosure they can get money from God knows where",yes," 1. It is suggested to ask for more disclosure.
2. The reason given is that with less disclosure, money can be obtained from unknown sources.",,,,,,,,," It is suggested to ask for more disclosure  The reason given is that with less disclosure, money can be obtained from unknown sources",,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
11,48462,"""11:52"""," And do with it, God knows what.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,48462,"""11:52"""," well yeah, I think I think the disclosure is is",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
