Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,10383,"""9:51""","I think citizens united was a mistake. I think allowing so much money to be pumped into these campaigns was just a bad idea. In general, I think there should be a Max not contribution but like Max budget for every candidate at each level because I think that would lit level the playing field a bit and especially allow more third-party candidates to have a voice. That's just as loud.",yes," 1. The speaker thinks that the Citizens United decision was a mistake.
2. They believe that allowing large amounts of money to be contributed to campaigns was a bad idea.
3. The speaker thinks that there should be a maximum budget for every candidate at each level.
4. They believe this would level the playing field and allow more third-party candidates to have a voice that is just as loud.", They believe that allowing large amounts of money to be contributed to campaigns was a bad idea  The speaker thinks that there should be a maximum budget for every candidate at each level  They believe this would level the playing field and allow more third-party candidates to have a voice that is just as loud,,,,,,,,,,,,,, The speaker thinks that the Citizens United decision was a mistake,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,10383,"""9:51""", One reasons that third-party candidates are pushed out is because we allow these two party candidates gets so much money.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,10383,"""9:51""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,48475,"""10:32""","I definitely agree with what James is saying as far as there should be a budget limit. But as far as what people contribute this their money, they earned it, they went out and they work for it and have or they want to spend it. That's up them, that's their business. So I'm completely okay. With that, as far as individual donations, it could be whatever you want but I agree there should be a limit to as far as a budget. I want a degree.",yes," 1. The speaker agrees with the idea of having a budget limit for something, likely a campaign or project.
2. The speaker believes that individuals should have the freedom to decide how to use their own money, which they have earned through work.
3. The speaker is in favor of having no limit for individual donations.
4. The speaker wants a degree."," The speaker agrees with the idea of having a budget limit for something, likely a campaign or project", The speaker is in favor of having no limit for individual donations,,,,,,,,,,,,,," The speaker believes that individuals should have the freedom to decide how to use their own money, which they have earned through work  The speaker wants a degree",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,48263,"""11:02""","Yeah, I think limits, they have to be raced at every level, you know, due to inflation 3,000 hours. Ten years ago, was a lot right now is, how much. And so it should be raised better, man. I have a problem with corporations. You know, being seen as a Corp, you know, as an entity would free speech. I just, nope. Nope, sorry, corporations robots, a eyes. Nope. They shouldn't have a say, so.",yes," 1. Limits should be raced at every level due to inflation.
2. 3,000 hours is now considered a lot, compared to ten years ago when it was not.
3. The speaker thinks that limits should be raised.
4. The speaker has a problem with corporations being seen as entities with free speech.
5. The speaker does not believe that corporations, including robots, should have a say.",, The speaker thinks that limits should be raised,,,,,,,,,,,,," The speaker has a problem with corporations being seen as entities with free speech  The speaker does not believe that corporations, including robots, should have a say"," Limits should be raced at every level due to inflation  3,000 hours is now considered a lot, compared to ten years ago when it was not",False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
6,48263,"""11:02"""," And it elections better. Everything else. Yes, control foreign entities from influencing. There should be some restrictions on that and raise the limits, I didn't see any issues or problems on raising those limits.",yes," 1. Elections should be improved.
2. There should be restrictions on foreign entities to prevent them from influencing elections.
3. The limits on these restrictions should be raised.
4. No issues or problems were mentioned regarding the raising of these limits.",, The limits on these restrictions should be raised, There should be restrictions on foreign entities to prevent them from influencing elections,,,,,,,,,,,,, Elections should be improved  No issues or problems were mentioned regarding the raising of these limits,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
7,48265,"""11:55""","Seems to me that the amount or adequate like has been said before people you know, work hard so they want to contribute that, you know, that's what it is. But just looking at, what was given his background, 14 billion dollars was spent on the last national election. Think about that 14 billion dollars on campaign contributions.",yes," 1. A large amount of money, specifically 14 billion dollars, was spent on the last national election.
2. This money was spent on campaign contributions.
3. The reason for this large expenditure is that people who work hard want to contribute to the election process.
4. It is implied that this is a well-known fact or has been discussed before.",,,,,,,,,,,,,,,," A large amount of money, specifically 14 billion dollars, was spent on the last national election  This money was spent on campaign contributions  The reason for this large expenditure is that people who work hard want to contribute to the election process  It is implied that this is a well-known fact or has been discussed before",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,48265,"""11:55"""," Abuse ins. Wow. And that seems like that quite a bit. I mean, it is double the amount from the previous election. So anyway, I think the current amounts are we need",yes," I apologize, but the text you provided seems incomplete and difficult to summarize. Here is a summary based on the given text:

1. There is an issue of abuse involving insufficient information.
2. The abuse seems significant and has doubled since the previous election.
3. It is important to address the issue and take necessary actions.",,,,,,,,,,,,,,, Here is a summary based on the given text:  There is an issue of abuse involving insufficient information  The abuse seems significant and has doubled since the previous election,"apologize, but the text you provided seems incomplete and difficult to summarize  It is important to address the issue and take necessary actions",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
9,48326,"""12:40""",I agree with Clinton James that there should be some cap on how much they can spend on.,yes," 1. There is agreement with Clinton James' viewpoint.
2. Clinton James believes there should be a limit on spending.
3. This limit on spending applies to a particular entity or entities, but the text does not specify who or what.", Clinton James believes there should be a limit on spending,,,,,,,,,,,,,," This limit on spending applies to a particular entity or entities, but the text does not specify who or what", There is agreement with Clinton James' viewpoint,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
10,48326,"""12:40"""," Campaigns. Because it's just going to keep going up and up, as just got into his ridiculous. And loopholes, it's, you know, why of there are loopholes that exist for foreign-controlled entities, making contributions and everything that's just for them to get more money. So it all comes back to the money.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
