Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,10604,"""9:51""","I was going to say if I don't know about the first two but the second to like what the fight was about the raising limits, I don't know. But those but the other ones are definitely would say. Definitely a lot on those because even if your because the it says that they have to basically tell them what they're basically, they're afraid he's out there for like who they're supporting us and yeah you shouldn't. If you're if you're she's not supportive, you shouldn't matter who you're trying to.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,10604,"""9:51"""," Matter who knows that you're supporting them. And also I support school closed, loopholes because foreign people, if you're not part of this country, should be able to influence our",yes," 1. It does not matter who knows that you are supporting an entity.
2. The speaker expresses support for schools being closed and the elimination of loopholes for foreign influence.
3. The speaker believes that if individuals are not part of a country, they should not be able to influence it.",,," The speaker believes that if individuals are not part of a country, they should not be able to influence it",,,,,,,,,,,,, It does not matter who knows that you are supporting an entity  The speaker expresses support for schools being closed and the elimination of loopholes for foreign influence,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
3,48391,"""10:29""","You'll never see any money coming out of my pocket for campaign contributions. Why do they need more? Why do they need more money? So they can do more. And mudslinging ads on television, I say, let's go in a different direction like they did with cigarette commercials or no drinking beer on beer commercials. Why don't we ban negative ads? Knowingly, allow ads that",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,48391,"""10:29"""," Confirm the person's positions will how he's going to change the country, what he would do better or differently than the previous administration, maybe they wouldn't need to raise the death condition of ads. Maybe they wouldn't need to raise some money.",yes," 1. Confirm the person's positions.
2. Understand how he plans to change the country.
3. Identify what he would do better or differently than the previous administration.
4. Discuss the death condition of ads and if they would need to be raised.
5. Discuss if they would need to raise some money.",,,,,,,,,,,,,,,, Confirm the person's positions  Understand how he plans to change the country  Identify what he would do better or differently than the previous administration  Discuss the death condition of ads and if they would need to be raised  Discuss if they would need to raise some money,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,10604,"""11:08""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48288,"""11:15""","So I like, I like the idea of the Congressional, or whatever the tax vouchers, where everybody gets donation box and they get to donate to wherever, they want to anonymously without being recorded. I like that idea. I don't think about, I don't think raising the limits on what people can individually. Donate now is a good idea, leave it where it is because it leaves too. Many rich people able to get funds to improve to",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,48288,"""11:15"""," As people with but that's about it. Dang, it could be one. You said something I wanted to talk on a come back to it.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48309,"""11:56""","Yeah, I kind of agree with that. They don't need any more money. I want to know about the independence. I want to know about the little guys that get to run. There's never any funding for them and they never get to really be in the competition for voicing what they're there for. And then I agree. We should close loop loop loop holes for any kind of foreign intervention. Whether",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,48309,"""11:56""", It's donations opinions or anything. They need to stay out of our business.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,10471,"""12:31""","I know this wasn't one of the discussion points, but I've just kind of opposed to donations for campaigns in general because I feel like it just makes the whole thing rigged. I can't remember who said it but one of you said it allows for too many rich people that influence our elections, and I absolutely agree it. I just don't like it here.",yes," 1. The speaker opposes donations for campaigns.
2. The speaker believes that donations make the political process feel rigged.
3. The speaker agrees with a previous statement that donations allow too much influence for wealthy individuals in elections.
4. The speaker does not like this influence in the current context.", The speaker agrees with a previous statement that donations allow too much influence for wealthy individuals in elections, The speaker opposes donations for campaigns,,,,,,,,,,,,, The speaker believes that donations make the political process feel rigged, The speaker does not like this influence in the current context,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
11,48288,"""12:51""","So, there was this thing called equal time Doctrine on. It was a Doctrine, but to be a nude, in order to have a FCC license for political things, you had to give equal time to equal sides. And in those days we didn't have mudslinging ads and everybody got they were Round Table discussions on national news now that there's no FCC licenses that particular Doctrine is gone. I'd like to see something like that. Come back in. None of those High money high-value mudslinging advertising campaigns rather.",yes," 1. The Equal Time Doctrine was a rule that the Federal Communications Commission (FCC) enforced for political content on television and radio.
2. To have a FCC license for political purposes, equal time had to be given to opposing sides.
3. In the past, this resulted in round table discussions on national news.
4. The Equal Time Doctrine is no longer in effect due to the absence of FCC licenses for political content.
5. The speaker expresses a desire for the Equal Time Doctrine to be reinstated, in order to reduce high-money, negative political advertising campaigns.",,,,,,,,," To have a FCC license for political purposes, equal time had to be given to opposing sides  The speaker expresses a desire for the Equal Time Doctrine to be reinstated, in order to reduce high-money, negative political advertising campaigns",,,,,,," The Equal Time Doctrine was a rule that the Federal Communications Commission (FCC) enforced for political content on television and radio  In the past, this resulted in round table discussions on national news  The Equal Time Doctrine is no longer in effect due to the absence of FCC licenses for political content",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
12,48288,"""12:51""", either actual more frequent debates on TV equal time where everybody know where once I can't buy more time than the,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,48391,"""13:31""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,48391,"""13:31""",Do we really want tax dollars in the form of vouchers going to favor? Somebody's political,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,48395,"""13:41""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,48395,"""13:41""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,48395,"""13:41""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,48478,"""14:22""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
