Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48409,"""9:53""","For me, I'm all for closing loopholes that sounds like a great idea to me.",yes," 1. The speaker is in favor of closing loopholes.
2. The idea of closing loopholes seems like a good one to the speaker.",,, The speaker is in favor of closing loopholes  The idea of closing loopholes seems like a good one to the speaker,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,48269,"""10:00""","Yeah, I'm for closing loopholes to, I honestly don't. Yeah, I honestly don't think that individual limits for their contributions right now or an issue. I know I make.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,48269,"""10:00""", About what average American does and I wouldn't be able to hit those limits as they are right now. So raising them doesn't really make any sense. I think it's a super Pacs that need to get a look taken it.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,48301,"""10:28""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48301,"""10:28""","Oh yeah, I'm all for closing loopholes but I think I'm the other issue. I'm for anything that increases the potential for more individual candidates to be in and decreases the contributions from corporate or or organized type of",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48301,"""10:28"""," Foundations and corporations and also from National political parties. Even into the individuals because they can then hijacked that process. I think we need more candidates basically in there possibly more parties, but not more money.",yes," 1. The text discusses the sources of funding for political activities.
2. The sources mentioned are foundations, corporations, and national political parties.
3. The text also mentions that individuals can be sources of funding, which can then be used to influence the political process.
4. The text suggests that the solution to the problem of excessive political funding is not more money, but rather more candidates and possibly more political parties."," The text also mentions that individuals can be sources of funding, which can then be used to influence the political process",,,,,,,,,,,,,," The text discusses the sources of funding for political activities  The text suggests that the solution to the problem of excessive political funding is not more money, but rather more candidates and possibly more political parties"," The sources mentioned are foundations, corporations, and national political parties",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
7,9833,"""11:27""","Yes, I'm all for closing. The loop comes in it. We have no business reform in our politics.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48417,"""11:41""","I agree and closing the loopholes we should have government officials, voted on not purchased.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,48477,"""12:01""","I agree with a closing loopholes and then you know, in regards to financing I have a I'm not too sure. I trust the government dispensing that money but then again even though they're Greg said regulations or whatever. Come up to people always have a back door way. It's just like the tax code you can you have all going to end rounds and if ands or buts that taken lawyer out of the situation. So I'm not sure about the, I'd like to know more about",yes," 1. The speaker agrees with closing loopholes in a certain system.
2. They are unsure about financing in relation to this system.
3. The speaker trusts the government to dispense money, but they also acknowledge the possibility of people finding ways around regulations.
4. They compare this to the tax code, which they say has many loopholes that can only be navigated with the help of a lawyer.
5. The speaker expresses a desire to know more about the system in question.",,, The speaker agrees with closing loopholes in a certain system,,,,,,,,,,,," The speaker trusts the government to dispense money, but they also acknowledge the possibility of people finding ways around regulations  They compare this to the tax code, which they say has many loopholes that can only be navigated with the help of a lawyer", They are unsure about financing in relation to this system  The speaker expresses a desire to know more about the system in question,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
10,48477,"""12:01"""," Financing. And if we need to raise those limits,",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
