Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48298,"""9:55""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,48298,"""9:55""","I think the current limits on contributions are enough. If you raise those in reading the cons, I agree that it just favors the wealthy wealthy people can afford to donate like that and all the candidates are going to do with more donations is buy more air time. Against each other will have to watch more and hear more TV and radio ads. So I think the limits are good. I think that",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,48298,"""9:55""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,48298,"""9:55"""," It's see I've read about the note last one and I don't, and I don't, and I don't think foreign-owned interested companies should be able to influence.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48338,"""10:40""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48338,"""10:40""","I agree with you about not needing to raise the limits on any contributions. There's too much money now, in politics, I do believe that foreigners should not be influencing our elections. However, it was documented and proven that in 2016. There was Russian interference according to our FBI, which is reliable source. And citizens, united has done more to damage.",yes," 1. No need to raise limits on contributions.
2. There is already too much money in politics.
3. Foreigners should not influence American elections.
4. Russian interference in the 2016 election is documented and proven, according to the FBI.
5. Citizens United has caused damage.",, No need to raise limits on contributions," Foreigners should not influence American elections  Russian interference in the 2016 election is documented and proven, according to the FBI",,,,,,,,,,,, There is already too much money in politics, Citizens United has caused damage,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True
7,48338,"""10:40"""," Damage our election integrity and so much. Dark money is in our campaigns that it's just hard to track through shell companies, so that's my stance.",yes," 1. Dark money is present in political campaigns.
2. Dark money is hard to track due to its passage through shell companies.
3. The presence of dark money in campaigns can potentially damage election integrity.
4. The speaker is against the presence of dark money in political campaigns.",,,,,,,,, Dark money is hard to track due to its passage through shell companies  The presence of dark money in campaigns can potentially damage election integrity  The speaker is against the presence of dark money in political campaigns,,,,,, Dark money is present in political campaigns,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
8,9872,"""11:24""","I think the angle for me is mostly to add transparency to how the money in orders is coming from some of the arm Arguments for, is that raising these contributions would help? I think that without, I would need to learn a little bit more evidence to see if that if there's some substantial way to that actually increases the transparency because I think that's the end goal that I would want to reach and if it means to raise",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,9872,"""11:24"""," Ethan the contribution limit that I can get that transparency, then it would be worthwhile for for the end goal.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,48579,"""14:11""","I don't think public funds should be used on elections. I feel that there's better uses that the Public's money can go to other things that can be done. I mean, they're receiving donations from everything else everywhere else. So I feel that they're pretty good with money and they don't need the money from the public to also fund their campaign.",yes," 1. The speaker believes that public funds should not be used for elections.
2. The speaker thinks that there are better uses for the public's money.
3. The speaker feels that political candidates have sufficient donations from other sources.
4. The speaker believes that political candidates do not require additional funding from the public for their campaigns.",, The speaker feels that political candidates have sufficient donations from other sources,,,,,,,,,,,, The speaker believes that public funds should not be used for elections  The speaker thinks that there are better uses for the public's money  The speaker believes that political candidates do not require additional funding from the public for their campaigns,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
