Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48513,"""10:00""","I mean me personally I think they get to like that campaigning and things like that is already too much of a money game that makes an uneven playing field. So really the only one of these I'm for is kind of closing out the loopholes for I guess, in a sense like foreign interference for campaigning and stuff like that because I've always wanted it to be more on an even playing field. That's not like hey you're a Democrat or Republican.",yes," 1. The person thinks that campaigning is already too much of a ""money game"" which creates an uneven playing field.
2. They personally support closing loopholes for foreign interference in campaigning.
3. They want election campaigns to be more even, and not favor one party over the other."," The person thinks that campaigning is already too much of a ""money game"" which creates an uneven playing field",, They personally support closing loopholes for foreign interference in campaigning,," They want election campaigns to be more even, and not favor one party over the other",,,,,,,,,,,,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
2,48513,"""10:00"""," Public and primary Senate Congress, presidential, whatever. So you're going to we're going to donate a lot of money to you while everyone else is Left Behind. So I don't really agree with raising the limit on the other stuff for getting them. More money, doesn't make sense to me.",yes," 1. The text mentions several political offices and institutions, including the Senate, Congress, and the presidency.
2. The speaker plans to donate a large amount of money to a political campaign or cause.
3. The phrase ""Left Behind"" may refer to other people or entities who are not receiving the same level of financial support.
4. The speaker does not agree with increasing the limit on something, possibly campaign contributions or spending, in relation to the supported campaign or cause.
5. The argument that ""More money doesn't make sense"" suggests that the speaker believes there is a limit to the effectiveness of additional financial resources in this context.",," The speaker does not agree with increasing the limit on something, possibly campaign contributions or spending, in relation to the supported campaign or cause",,,,,,,,,,,,," The argument that ""More money doesn't make sense"" suggests that the speaker believes there is a limit to the effectiveness of additional financial resources in this context"," The text mentions several political offices and institutions, including the Senate, Congress, and the presidency  The speaker plans to donate a large amount of money to a political campaign or cause  The phrase ""Left Behind"" may refer to other people or entities who are not receiving the same level of financial support",False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
3,48366,"""10:45""","Yeah, I agree with you Christian. I don't know why, even there's a proposal to raise the limit beyond the foreign contributions in right now. Is it required to disclose if any candidate or party getting money from foreign organizations that that should be already in place? I would believe but we should also",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,48366,"""10:45""", Close the roof host.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48272,"""11:20""","I am, I am actually for raising the limits on contributions because",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48272,"""11:20"""," Big corporations such as probably one that will be that will be coming about in the coming election. One political candidate, you know, they're I don't know. They they get an extra boost by having wealthy financers towards their back them up.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,48272,"""11:20"""," so, yes, I think there should be a cap individual and for parties,",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,10677,"""13:57""","I like the idea of full disclosure of contributors to campaign ads. I know I often ask myself whenever I'm watching campaign ads on TV during election Cycles, they don't always disclosure is not clearly disclosed, you know, who the major I guess supporter is my oftentimes but I really want to know where this is coming from.",yes," 1. The reader expresses a preference for full disclosure of contributors to campaign ads.
2. They often wonder who the major supporters of campaign ads are, as clear disclosure is not always provided.
3. They express a desire to know where campaign ads are coming from.",,,,,,,,," The reader expresses a preference for full disclosure of contributors to campaign ads  They often wonder who the major supporters of campaign ads are, as clear disclosure is not always provided  They express a desire to know where campaign ads are coming from",,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
9,10677,"""13:57"""," Me, that gives me a better idea of, you know, it is someone is an agency or entity that I don't support supporting this candidate and it will probably actually influence the way I would vote.",yes," 1. The text is about someone's opinion on a political candidate.
2. The opinion is influenced by whether or not the candidate is supported by a specific agency or entity that the person does not support.
3. The person's vote may be influenced by their lack of support for the agency or entity backing the candidate.",,,,,,,,,,,,,,, The opinion is influenced by whether or not the candidate is supported by a specific agency or entity that the person does not support  The person's vote may be influenced by their lack of support for the agency or entity backing the candidate, The text is about someone's opinion on a political candidate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
10,10364,"""14:36""","I'm not really understanding here, the giving the public funds to like the Democracy vouchers. I feel like honestly they get enough donations and they have enough funds from the people that want to donate. I don't really think I agree with using more public funds and then turn around and matching it as well.",yes," 1. The person expresses a lack of understanding about the concept of providing the public with democracy vouchers.
2. They believe that political candidates already receive sufficient donations and funds from willing donors.
3. The speaker does not agree with the idea of allocating more public funds for this purpose.
4. They also express disagreement with the notion of matching these funds.",, They believe that political candidates already receive sufficient donations and funds from willing donors,,,,,,,,,,,, The speaker does not agree with the idea of allocating more public funds for this purpose  They also express disagreement with the notion of matching these funds, The person expresses a lack of understanding about the concept of providing the public with democracy vouchers,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
