Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48348,"""9:57""",Hello everybody.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,48443,"""9:59""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,48443,"""9:59""",I don't think they should put. Leave the regulation on how much money he had to give to the political party. They think you should be open and he shouldn't be like a sir.,yes," 1. It is not recommended to regulate the amount of money an individual has to donate to a political party.
2. The speaker believes in open regulation.
3. The individual in question should not be treated like a ""sir"" in this context.
4. The speaker thinks there should be transparency in the regulation.",, It is not recommended to regulate the amount of money an individual has to donate to a political party,,,,,,, The speaker thinks there should be transparency in the regulation,,,,,, The speaker believes in open regulation," The individual in question should not be treated like a ""sir"" in this context",False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True
4,48443,"""9:59""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48443,"""9:59""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48413,"""10:44""","I really disagree. I think that there's plenty of money in elections. Now, I mean from the amount of ads and things but we see leading up to elections even over a year out. I think that there's plenty of spending on elections, and I think that any increases in contributions especially with individual donors or with, you know, political action committees would",yes," 1. The speaker strongly disagrees with the idea that there is not enough money in elections.
2. They believe that there is already significant spending in elections, as evidenced by the numerous ads and other expenses that occur in the lead-up to elections, even more than a year in advance.
3. The speaker thinks that there is already plenty of money in elections.
4. They also believe that any increase in campaign contributions, particularly from individual donors or political action committees, would be unnecessary.",," They also believe that any increase in campaign contributions, particularly from individual donors or political action committees, would be unnecessary",,,,,,,,,,,,," They believe that there is already significant spending in elections, as evidenced by the numerous ads and other expenses that occur in the lead-up to elections, even more than a year in advance  The speaker thinks that there is already plenty of money in elections", The speaker strongly disagrees with the idea that there is not enough money in elections,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
7,48413,"""10:44""", Just increase the amount of maybe disinformation out there.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48348,"""11:20""","I agree and it should be a cat in full disclosure, should be also made of public because a lot of these corporations do spend a lot of money on these candidates for their own personal gain and not for the, the US",yes," 1. The subject is in agreement that it should be disclosed if a cat is involved.
2. It is noted that this disclosure should be made publicly.
3. The text suggests that many corporations spend large amounts of money on candidates for their own benefit, rather than for the good of the US."," The text suggests that many corporations spend large amounts of money on candidates for their own benefit, rather than for the good of the US",,,,,,,, It is noted that this disclosure should be made publicly,,,,,,, The subject is in agreement that it should be disclosed if a cat is involved,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
9,48295,"""11:36""","Yeah, I struggle with this a little bit because I think the value of a contribution to an individual candidate, maybe how effective that is maybe up to question concerning the cause of airtime, the cross of advertisement, all of those things. But I think the bigger issue is the dark money of issue ads of attack ads that don't have that arm for a specific.",yes," 1. The effectiveness of a contribution to an individual candidate's campaign is questionable.
2. Factors that may affect the contribution's impact include the availability of airtime and cross-advertisement.
3. A more significant issue is the presence of ""dark money"" in politics.
4. Dark money refers to the funding of issue ads or attack ads that do not advocate for a specific candidate.",,,,,,,,,,,,,,," The effectiveness of a contribution to an individual candidate's campaign is questionable  Factors that may affect the contribution's impact include the availability of airtime and cross-advertisement  A more significant issue is the presence of ""dark money"" in politics  Dark money refers to the funding of issue ads or attack ads that do not advocate for a specific candidate",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10,48295,"""11:36"""," If a candidate but are for a specific position and I don't think any of these cover that. So even if the the contribution limits were to increase, decrease, whatever there are still those that I think are a big source of money.",yes," 1. The candidate is running for a specific position.
2. The contribution limits for the race could change.
3. The speaker believes that there are still significant sources of money in the race, regardless of changes to the contribution limits.
4. The speaker does not think that the current list of contribution sources covers all of the significant contributors.", The contribution limits for the race could change," The speaker believes that there are still significant sources of money in the race, regardless of changes to the contribution limits",,,,,,,,,,,,, The speaker does not think that the current list of contribution sources covers all of the significant contributors, The candidate is running for a specific position,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
