Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48355,"""9:54""","So, I just want to get it on record that I think political donations are incredibly toxic to the whole system and I realize that there's not a lot that can maybe necessarily be done with it. But if we went to something where it was illegal to donate or fund, you know, campaigns like this, we I think it would get things a lot more on the merits rather than a whole bunch of attack ads and everything like that saying like Joe schmo's you know corrupt and",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,48355,"""9:54"""," he's going to be a bad person in office, so",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,9948,"""10:27""","I am 100% for the last points to close any loopholes to prevent foreign basically foreign involvement in federal elections. The other ones, not at all. I think it's a horrible idea to. I mean, the fact that it says substantially raise the limits. I mean, everybody knows that nothing is free in this world. So the more money that you allow somebody to give the more expectations that they're going to have on the back end and I think you're opening the door.",yes," 1. Supports the last points to prevent foreign involvement in federal elections.
2. Opposes other points that would substantially raise the limits on campaign donations.
3. Believes that allowing more money for campaign donations would result in more expectations from donors.
4. Concerned that raising the limits would open the door to more corruption.
5. Thinks that nothing is free in this world, implying that more money for campaigns would come with strings attached.", Concerned that raising the limits would open the door to more corruption, Opposes other points that would substantially raise the limits on campaign donations  Believes that allowing more money for campaign donations would result in more expectations from donors, Supports the last points to prevent foreign involvement in federal elections,,,,,,,,,,,," Thinks that nothing is free in this world, implying that more money for campaigns would come with strings attached",,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
4,9948,"""10:27"""," For even more, you know, tongue-in-cheek promises during the campaign that people are trying to just get their own agendas push through on somebody's elected.",yes," 1. Promises were made during the campaign that were tongue-in-cheek.
2. People are trying to push their own agendas through, now that someone has been elected.",,,,,,,,,,,,,,,," Promises were made during the campaign that were tongue-in-cheek  People are trying to push their own agendas through, now that someone has been elected",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,10483,"""11:07""","I am definitely against raising contribution limits. I just feel like wealthy individuals and corporations have too much of the thumb on the scale, and it doesn't reflect what's going on with normal people. Also. Yes, I am against allowing foreign",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,10483,"""11:07""", Bodies to contribute to our elections.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,48352,"""11:42""","Same against raising, the cap on substantially reason, the cap contributions. It's already ridiculously money driven to begin with. I like the last two points, get rid of the Super PAC. The video set itself in doubled, the cost of Elections, you shouldn't have to cater to Millionaires and rich people, to have any kind of chance to get elected into office. That's completely against the point of trying to, you know, represent the people. And obviously",yes," 1. The text argues against raising the cap on campaign contributions.
2. It states that campaigns are already too focused on money and catering to millionaires and rich people.
3. The text supports getting rid of Super PACs.
4. The author believes that the high cost of elections goes against the principle of representing the people.
5. The video mentioned in the text discusses the doubled cost of elections.
6. The text suggests that running for office should not require catering to wealthy donors.",, The text argues against raising the cap on campaign contributions, The text supports getting rid of Super PACs,,,,,,,, The text suggests that running for office should not require catering to wealthy donors,,,, The author believes that the high cost of elections goes against the principle of representing the people, It states that campaigns are already too focused on money and catering to millionaires and rich people  The video mentioned in the text discusses the doubled cost of elections,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True
8,48352,"""11:42""", Like the clothes of any loopholes that prevent foreign control? I don't know why the loopholes would be yeah.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,48491,"""12:21""","Yeah, I agree. I don't. Why would we have anything foreign having any kind of influence on something that has to do with our country? I think that should be totally illegal and all loophole should be closed, and I also agree that we shouldn't be like the amount of money that gets put into a web collections is already. Absolutely ridiculous. We have kids in this country who can't even eat.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,48491,"""12:21"""," Breakfast, lunch and dinner regularly. Why would we put any more money towards? I don't know that. I have a hard time with.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
