Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48467,"""10:01""","I think we should really get rid of citizens united. That one was a really a detriment to the entire country where we allow dark money to kind of flow in and, you know, corporations to buy out with Century all the politicians right for their own just needs. So that one's got to go for sure.",yes," 1. The speaker believes that the Citizens United decision should be abolished.
2. The decision is seen as a detriment to the country.
3. Dark money is allowed to flow in due to this decision.
4. Corporations are able to use their wealth to influence politicians for their own needs.
5. The speaker thinks that this is not beneficial for the country.", Corporations are able to use their wealth to influence politicians for their own needs,,,,,,,,,,,,,, Dark money is allowed to flow in due to this decision, The speaker believes that the Citizens United decision should be abolished  The decision is seen as a detriment to the country  The speaker thinks that this is not beneficial for the country,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2,48506,"""10:21""","I don't get into the money. I don't get into money. Let me explain why I don't get into money. I don't get into money because anytime you cluster and you heard people into political parties, it becomes a situation where they're easier to Corral into voting a certain way versus if you get rid of political parties then guess what? You got to pay each and every single individual off which cost significantly more, which most people would just give up.",yes," 1. The speaker avoids getting involved with money in politics.
2. The reason for this is that when people are grouped by political parties, they can be more easily influenced to vote in a certain way.
3. If there were no political parties, it would require paying each individual voter separately to influence their vote.
4. Paying individual voters would cost significantly more than using political parties.
5. Most people would give up on the idea of paying individual voters due to the high cost.",,,,," The reason for this is that when people are grouped by political parties, they can be more easily influenced to vote in a certain way",,,,,,,,,," If there were no political parties, it would require paying each individual voter separately to influence their vote  Paying individual voters would cost significantly more than using political parties  Most people would give up on the idea of paying individual voters due to the high cost", The speaker avoids getting involved with money in politics,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
3,48506,"""10:21"""," At that point, we got to get rid of political parties, folks. That's the answer and the rest of the folks that are just kind of hung up on campaign, Finance reform. Just want to keep the current system in place and not change the current",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,48479,"""11:03""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48479,"""11:03""",I don't I'm not against the increasing of the finances for say just because there is the that would be something that would allow for people who aren't necessarily rich or well off to,yes," 1. The text does not express a clear stance against increasing finances for a specific cause.
2. There is a mention of a potential ""that"" which could allow for financial opportunities for less affluent individuals.
3. However, the specifics of this ""that"" are not provided in the text.",,,,,,,,,,,,,,," There is a mention of a potential ""that"" which could allow for financial opportunities for less affluent individuals"," The text does not express a clear stance against increasing finances for a specific cause  However, the specifics of this ""that"" are not provided in the text",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
6,48479,"""11:03"""," Become a part of the political structure, but like Rob said, and there's just too much involved. Were still swinging the votes and swing the",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,48479,"""11:03"""," The our political structure one way or another, just through where the money is coming from.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48393,"""11:45""","I agree that we need to do something to completely get rid of the two party system and have candidates running on policy rather than the letter next to their name. But I strongly believe that without getting rid of citizens united, there are corporations out there that can pay off as many people as they want their hoarding wealth. Like little dragons on top of a pile of gold. So without taking away that dark money or that ability for these corporations.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,48393,"""11:45""", Nations to funnel money into politics were kind of going to be in trouble.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,48310,"""12:23""",I agree with Kate.,yes," 1. You agree with Kate.

This is a simple summary of the statement ""I agree with Kate."" There is only one argument in this sentence, which is the agreement with Kate.",""" There is only one argument in this sentence, which is the agreement with Kate",,,,,,,,,,,,,,," You agree with Kate   s is a simple summary of the statement ""I agree with Kate",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11,9839,"""12:29""",I also agree with Kate.,yes," 1. The author of the summary agrees with Kate's perspective.
2. There are no specific arguments or points mentioned that the author agrees with.",,,,,,,,,,,,,,,, The author of the summary agrees with Kate's perspective  There are no specific arguments or points mentioned that the author agrees with,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12,10282,"""12:33""","Yeah, I agree with Kate and Rob.",yes," 1. The speaker agrees with the opinions of Kate and Rob.
2. No specific arguments or points of agreement are provided in the text.",,,,,,,,,,,,,,,, The speaker agrees with the opinions of Kate and Rob  No specific arguments or points of agreement are provided in the text,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13,48506,"""14:54""","I don't think we should be encouraging people to give money to campaigns. I also agree that public money should not be used for campaigns, and I do believe that disclosure is absolutely necessary when you give it a book party system such as the one that we've been having that doesn't work very well. So I just think it's really important to know what people are getting it from, whom they're getting it and even if it's five dollars,",yes," 1. The speaker expresses their disagreement with encouraging people to donate money to campaigns.
2. They agree that public funding should not be used for campaigns.
3. The speaker believes that disclosure is necessary for a book party system.
4. They think it is important to know the source and recipient of campaign donations, regardless of the amount.",, The speaker expresses their disagreement with encouraging people to donate money to campaigns,,,,,,," The speaker believes that disclosure is necessary for a book party system  They think it is important to know the source and recipient of campaign donations, regardless of the amount",,,,, They agree that public funding should not be used for campaigns,,,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
14,48506,"""14:54"""," I want to know about that, I want to know exactly what they're getting who they're getting it from.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,10458,"""15:27""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,10458,"""15:27""",It robbed if we're not encouraging people to give money. Or how do we prevent just the wealthy from running for office?,yes," 1. The text suggests that not encouraging people to give money may result in robbery.
2. It is implied that finding a way to prevent only the wealthy from running for office is a concern.",,,,,,,,,,,,,,, It is implied that finding a way to prevent only the wealthy from running for office is a concern, The text suggests that not encouraging people to give money may result in robbery,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
17,48506,"""15:41""","I think that again, you know, we should be using public money for political campaigns at all, period. I don't know whether they answers your question.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,48479,"""15:53""",Where would we get begin money from for the for the politicians or are they funding themselves?,yes," 1. The question refers to the source of funding for politicians.
2. The text does not provide a specific answer to this question.
3. It can be inferred that the funding for politicians could be through personal funds or through campaign donations.
4. Political campaigns may receive donations from various sources, including individuals, organizations, and political action committees (PACs).
5. There may also be public funding available for political campaigns, depending on the laws and regulations of a particular country or region.
6. Ultimately, the specific sources of funding for politicians may vary depending on the individual and the political system in which they operate.",,,,,,,,,,,,," There may also be public funding available for political campaigns, depending on the laws and regulations of a particular country or region",, The question refers to the source of funding for politicians," The text does not provide a specific answer to this question  It can be inferred that the funding for politicians could be through personal funds or through campaign donations  Political campaigns may receive donations from various sources, including individuals, organizations, and political action committees (PACs)  Ultimately, the specific sources of funding for politicians may vary depending on the individual and the political system in which they operate",False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
19,10458,"""16:02""",If politicians are only allowed to use their own funds for this.,yes," 1. The use of political funds would be eliminated.
2. Politicians would be restricted to using only their personal funds for their campaigns.
3. This could potentially reduce the influence of wealthy donors in politics.
4. However, it may also limit the ability of less affluent politicians to run effective campaigns.
5. Additionally, it may not address the underlying issue of money in politics.
6. Overall, allowing politicians to use only their own funds for campaigns could have both positive and negative consequences.", Politicians would be restricted to using only their personal funds for their campaigns," However, it may also limit the ability of less affluent politicians to run effective campaigns",,,,,,,,,,,,," Additionally, it may not address the underlying issue of money in politics  Overall, allowing politicians to use only their own funds for campaigns could have both positive and negative consequences", The use of political funds would be eliminated  This could potentially reduce the influence of wealthy donors in politics,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
20,10458,"""16:02""", Then we're stuck with just the wealthy.,yes," 1. The text discusses a situation where only the wealthy have access to advanced education or training.
2. This situation would limit the potential of those who are not wealthy.
3. The text warns that if this continues, society will be left with only the wealthy.
4. This outcome is presented as undesirable.", This situation would limit the potential of those who are not wealthy,,,,,,,,,,,,,," The text discusses a situation where only the wealthy have access to advanced education or training  The text warns that if this continues, society will be left with only the wealthy", This outcome is presented as undesirable,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
21,48464,"""16:14""","So while I think it's closure should be necessary. I don't think disclosure of all amounts shit is pretty good because what would happen if you know that, say your neighbor donated like a buck or five bucks, like what purpose does that serve like it could lead to like this is essentially equivalent to like public option which is revealing of",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,48464,"""16:14""", like personal information.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
