Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,9484,"""9:52""","I think they should change all of us, get rid of all, the loopholes foreign entities can vote in our election process. Completely other than that, I don't have a problem with people giving money to vote for other people.",yes," 1. The speaker thinks there should be changes to the election process.
2. The speaker believes that loopholes allowing foreign entities to participate in the election process should be eliminated.
3. The speaker has no issue with people donating money to support candidates.
4. The speaker does not object to voters supporting other people by voting for them.",,, The speaker believes that loopholes allowing foreign entities to participate in the election process should be eliminated,,,,,,,,,,,, The speaker thinks there should be changes to the election process, The speaker has no issue with people donating money to support candidates  The speaker does not object to voters supporting other people by voting for them,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
2,48455,"""10:12""","I don't really have a reasoning behind it, but I don't really think that any of these levels really need to be raised. I think Financial contributions and campaigns, are not really an issue right now, in my mind,",yes," 1. The text does not provide a clear reasoning to raise any levels.
2. The text states that financial contributions and campaigns are not currently seen as an issue.",,,,,,,,,,,,,,,, The text does not provide a clear reasoning to raise any levels  The text states that financial contributions and campaigns are not currently seen as an issue,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3,48307,"""10:27""","I agree raising the current limits. However, I do think that the large corporation super packs and packs should be strictly reduced or controlled some way and definitely no foreign contributions to political campaigns.",yes," 1. Agreement to raise current limits.
2. Suggestion to strictly reduce or control large corporation super packs.
3. Strong opposition to foreign contributions to political campaigns.", Agreement to raise current limits,, Strong opposition to foreign contributions to political campaigns,,,,,,,,,,,,, Suggestion to strictly reduce or control large corporation super packs,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
4,10516,"""10:51""","I'm in agreement, I don't see any reason to raise limits. They seem to have gotten more money in this last election than, you know, most people see in their lifetime. So I don't think that that's an issue as far as for loopholes, I can't even imagine why that should have been an issue in the first place. What the heck? And as far as whether or not contributions from packs and things like that should be different than they are. I don't even know why there are packs quite frankly it well",yes," 1. The speaker is in agreement and does not see a reason to raise limits.
2. The speaker points out that the entities in question received a large amount of money in the last election.
3. The speaker questions the existence of loopholes and why they could have been an issue.
4. The speaker expresses confusion about the issue of contributions from ""packs"" and other entities.
5. The speaker expresses skepticism about the existence and purpose of ""packs.""",, The speaker is in agreement and does not see a reason to raise limits,,,,,,,,,,,"""",," The speaker expresses confusion about the issue of contributions from ""packs"" and other entities"," The speaker points out that the entities in question received a large amount of money in the last election  The speaker questions the existence of loopholes and why they could have been an issue  The speaker expresses skepticism about the existence and purpose of ""packs",False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True
5,10516,"""10:51"""," If they're going to be packs, they have being incredibly transparent. So everybody knows who's contributing what they're contributing and what their platforms are.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,10176,"""11:29""","I agree with everything Harriet just said and the rest of you before, I don't think the limit should be increased. If they don't have enough money, then convince more people to back them. And as far as the loopholes, I mean, if you couldn't write a bill that covered excluded them already, who's to say, you're going to figure it out.",yes," 1. The speaker agrees with Harriet and the others who spoke before them.
2. They do not think the limit should be increased.
3. If a group does not have enough money, they should convince more people to back them.
4. The speaker questions the ability of the group to close loopholes in the bill.
5. They imply that if the group could not write a bill that covered excluded parties already, they may not be able to figure it out in the future.",, They do not think the limit should be increased,, The speaker questions the ability of the group to close loopholes in the bill,,,,,,,,,,," If a group does not have enough money, they should convince more people to back them  They imply that if the group could not write a bill that covered excluded parties already, they may not be able to figure it out in the future", The speaker agrees with Harriet and the others who spoke before them,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
7,48307,"""12:06""","You know, it's very difficult to legislate against everything. Those loopholes are hard to close because no matter what you write, somebody will find a way around it. And that's the reason I think there should be a limited pretty much the individual donations with the limits that are presently in place.",yes," 1. Legislating against everything is difficult.
2. Loopholes are hard to close.
3. No matter what is written, someone will find a way around it.
4. There should be limited individual donations.
5. The limits for individual donations should be the ones presently in place.", There should be limited individual donations,,,,,,,,,,,,,," Loopholes are hard to close  No matter what is written, someone will find a way around it", Legislating against everything is difficult  The limits for individual donations should be the ones presently in place,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
8,10176,"""14:16""",I don't like the idea of using public funds to pay for any elections. I think the public funds should be spent on infrastructure and things of that nature.,yes," 1. The author does not support the idea of using public funds for elections.
2. The author believes that public funds should be used for infrastructure and similar needs.",,,,,,,,,,,,,, The author does not support the idea of using public funds for elections,, The author believes that public funds should be used for infrastructure and similar needs,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
9,10176,"""14:16""", I also don't want a voucher.,yes, 1. The speaker does not want a voucher.,,,,,,,,,,,,,,,, The speaker does not want a voucher,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10,10176,"""14:16"""," Because what if I would choose not to vote because I don't like my choices. I don't want a voucher and it's just super Pacs. Yeah, I don't know. I still feel like they're going to be able to hide stuff.",yes," 1. The person is considering not voting because they do not like their choices.
2. They do not want a voucher.
3. The person is skeptical of Super PACs.
4. They are concerned that politicians will still be able to hide information.",,,,,,,,,,,,,,, The person is skeptical of Super PACs  They are concerned that politicians will still be able to hide information, The person is considering not voting because they do not like their choices  They do not want a voucher,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
