Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48389,"""9:54""","Well, people been given and buying elections since, as long as elections have been around. I think the way to control it is to probably reduce the cost and maybe prohibit the politicians from seeking the amount of money they need to Prevail on the airwaves.",yes," 1. People have been attempting to influence elections by giving and spending money for a long time.
2. Elections have been around for a while and people have been trying to buy them or give money to influence them.
3. A way to control this issue might be to reduce the cost of elections.
4. Another solution could be to prohibit politicians from seeking and accepting large sums of money for campaigning.
5. Specifically, limiting the amount of money politicians can use for advertising on airwaves could help prevent the buying of elections."," Another solution could be to prohibit politicians from seeking and accepting large sums of money for campaigning  Specifically, limiting the amount of money politicians can use for advertising on airwaves could help prevent the buying of elections",,,,,,,,,,,,,, Elections have been around for a while and people have been trying to buy them or give money to influence them  A way to control this issue might be to reduce the cost of elections, People have been attempting to influence elections by giving and spending money for a long time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2,10169,"""10:14""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,10169,"""10:14""",There's one part in there about Federal donations anybody from anywhere than United States shouldn't be able to donate to a politician.,yes," 1. Federal donations should not be accepted from individuals located outside of the United States.
2. This restriction applies to any individual, regardless of their citizenship or country of origin.
3. The prohibition of non-US donations is intended to prevent foreign influence in American politics.",,, Federal donations should not be accepted from individuals located outside of the United States  The prohibition of non-US donations is intended to prevent foreign influence in American politics,,,,,,,,,,,,," This restriction applies to any individual, regardless of their citizenship or country of origin",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
4,48401,"""10:34""","I leave you with that. Nothing. Nobody out of the outside of this country, should have any say-so in any of it. No contributions or anything and I don't think any of these contributions should be raised again, the more money we throw out on the more ads and mudslinging and nastiness and ends up happening.",yes," 1. The speaker believes that no one from outside of their country should have any influence on its matters.
2. The speaker thinks that no contributions should be made by outsiders and these contributions should not be brought up again.
3. The speaker is against spending money on ads and mudslinging, which they believe leads to nastiness.",,, The speaker believes that no one from outside of their country should have any influence on its matters  The speaker thinks that no contributions should be made by outsiders and these contributions should not be brought up again,,,,,,," The speaker is against spending money on ads and mudslinging, which they believe leads to nastiness",,,,,,,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
5,48378,"""10:53""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48378,"""10:53""","Yeah, like I don't think our issues, the current contribution limits, it's more of the fact that people can easily get around the limits. Be a super Pacs which have effectively no contribution limit. And technically, the Super PAC is not supposed to coordinate with the candidate or the party along. That's enforced. A different question there. Like ways you can like, say what you want to say in public without directly coordinating. So Super PAC, effectively has no contribution limit.",yes," 1. The current contribution limits have an issue with people easily getting around them.
2. A Super PAC can be formed, which has effectively no contribution limit.
3. Super PACs are not supposed to coordinate with the candidate or the party, according to regulations.
4. There is a question regarding how ways people can express what they want to say in public without directly coordinating with a Super PAC.
5. Enforcement of the non-coordination between Super PACs and candidates or parties is a separate concern.", The current contribution limits have an issue with people easily getting around them," A Super PAC can be formed, which has effectively no contribution limit",,,,,,,,,,,,, There is a question regarding how ways people can express what they want to say in public without directly coordinating with a Super PAC  Enforcement of the non-coordination between Super PACs and candidates or parties is a separate concern," Super PACs are not supposed to coordinate with the candidate or the party, according to regulations",True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
7,10534,"""11:22""","First of all, hi everyone. I keep getting shoved into other groups, so it's nice to see y'all again. So yeah, closing loopholes to prevent foreign controlled entities to donate, is to me a huge factor that that really needs to be done. I agree. Also that increasing substantially increasing the amounts of people or organizations can donate",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,10534,"""11:22"""," just doesn't feel right to me. I think, you know, when they talk about the billions of dollars spent on the last election is just is just ridiculous. So so I agree with the statements that have been made is I guess what I'm saying. Thanks.",yes," 1. The speaker has a negative opinion about the large amount of money spent on the last election.
2. The speaker agrees with statements that have been made about the issue.
3. The speaker is expressing gratitude to the listener.",,,,,,,,,,,,,,,, The speaker has a negative opinion about the large amount of money spent on the last election  The speaker agrees with statements that have been made about the issue  The speaker is expressing gratitude to the listener,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,9748,"""12:03""","I agree with closing the loopholes, yeah, foreign foreign foreigners, should not have any say in in the election process, with regards, to increasing the amounts, I would say that electioneering should be made free to the candidates. We have C-SPAN. So just have a C-SPAN for each candidate and have have them battle it out that way.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,10534,"""12:40""","I'd like to also mention, I'm, I have an uneasiness about the federal government paying for campaigns, especially when people, the federal government or one's running for office as well. And and where does that money come from? That money comes from you and me. And so I just little I just have some uneasiness about that concept.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
