Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48369,"""9:57""",I'm a big proponent for closing loopholes so foreign people in foreign entities cannot contribute money to our campaigns and cannot cannot change any interest in our elections.,yes," 1. The speaker is in favor of closing loopholes.
2. The loopholes allow foreign people and entities to contribute money to campaigns.
3. The loopholes also allow foreign entities to have an interest in elections.
4. The speaker wants to prevent foreign influence in elections.",,, The speaker is in favor of closing loopholes  The loopholes allow foreign people and entities to contribute money to campaigns  The loopholes also allow foreign entities to have an interest in elections  The speaker wants to prevent foreign influence in elections,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,9775,"""10:13""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,9775,"""10:13""","I agree as well. I also say I agree with increasing the individual contribution limit 3300 seemed pretty low for an individual to contribute knowing that, you know, organizations can spend a lot more",yes," 1. The speaker agrees to increasing the individual contribution limit.
2. The current individual contribution limit of 3300 is considered low.
3. Organizations have the ability to contribute more than individuals.", The current individual contribution limit of 3300 is considered low  Organizations have the ability to contribute more than individuals, The speaker agrees to increasing the individual contribution limit,,,,,,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,9775,"""10:13""", on ads and things like that.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48421,"""10:35""",I couldn't agree more with closing the loopholes against foreign contributions and I don't know about raising the limit on contributions have a problem.,yes," 1. Agreement to close loopholes against foreign contributions
2. No opinion or knowledge about raising the limit on contributions",,, Agreement to close loopholes against foreign contributions No opinion or knowledge about raising the limit on contributions,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48421,"""10:35""", Against with.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,48421,"""10:35""", The whole funding of Elections. I think their everything should stay as it is.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48258,"""11:02""","I completely agree also with closing loopholes as far as raising limits. I do not agree with that. Right now, individual can contribute forty one thousand three hundred dollars to a national party. The median, household income for the USA is 44 thousand dollars. So you telling me that we need to raise limits because the average American, that's what they make in a year is contributing it. That's ridiculous. That's just given power.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,48258,"""11:02""", To the people. I have money.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,10425,"""11:35""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,10425,"""11:35""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,48369,"""11:49""",You're on me.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,48375,"""11:54""","Yeah, I mean, agree with Dan. I actually am for the Constitutional amendment. I think that political spending is just kind of a tit-for-tat game. And that the only people that really benefit from it, or the Googles and Facebooks and network television, and cable, television, and those sorts of folks, that benefited from all the advertising. I don't think it helps us choose a better candidate. So I would like to see a lot less money.",yes," 1. Speaker is in agreement with Dan.
2. They support the Constitutional amendment.
3. Political spending is viewed as a ""tit-for-tat"" game.
4. Only a select group benefits from political spending, including Google, Facebook, network television, and cable television.
5. The speaker does not believe that political spending helps select better candidates.
6. The speaker would like to see significantly less money in political spending.",,,,,,,,,,,,,,," Political spending is viewed as a ""tit-for-tat"" game  Only a select group benefits from political spending, including Google, Facebook, network television, and cable television  The speaker does not believe that political spending helps select better candidates  The speaker would like to see significantly less money in political spending", Speaker is in agreement with Dan  They support the Constitutional amendment,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
14,48375,"""11:54""", Go into Political campaigns.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,48411,"""12:26""",I agree. Let's get rid of the loopholes for sure. That's the no-brainer. I don't know how I feel about.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,48411,"""12:26"""," Campaign contributions. Supreme Court says it's free speech that may be so. But I have, I think I would have to study that more",yes," 1. The Supreme Court views campaign contributions as a form of free speech.
2. The text suggests that the author is unsure about this ruling and may need to study it further.",,,,,,,,,,,,,,, The Supreme Court views campaign contributions as a form of free speech, The text suggests that the author is unsure about this ruling and may need to study it further,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
17,10425,"""12:49""","Yeah, you can't hear me now?",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
