Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48344,"""9:56""","Close the loopholes for foreign Nationals donating but honestly, anything you do to try to limit the money being spent is going to fail because they will just donate to a third-party organization, like a Super PAC that spends money for the campaign. Anyway, I don't, I don't see the point in trying to",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,48344,"""9:56""", Spend money and time on reforming this. I don't think it's going to work.,yes," 1. It is suggested to spend money and time on reforming something.
2. The speaker doubts the reforming effort will be successful.",,,,,,,,,,,,,,, It is suggested to spend money and time on reforming something, The speaker doubts the reforming effort will be successful,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
3,48415,"""10:21""",Can you hear me this time?,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,48415,"""10:21"""," Yes. All right. Anyway, I have a really simple thing. They're attacking this wrong way. I think get rid of packs get little get rid of any of that and allow a person to donate to a candidate as much money as he wants. Only, the catch, is you have to be able to vote for that candidate. If you can't vote for that candidate. You can't contribute to that candidate. Otherwise we're not going to you're not going to stop any money from flowing to anybody. That's",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48415,"""10:21""", sell simple way to do it.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48361,"""10:58""","I like it for my part. I don't want to raise the amount of people or companies could contribute, either two candidates, or two parties. I also want full disclosure if that you currently $200. If you spend more than $200 giving to a campaign, I think you should be willing to",yes," 1. The speaker is in favor of the current limit on the number of people and companies that can contribute to a candidate or party.
2. They support maintaining the limit for both candidates and parties.
3. The speaker believes in full disclosure of campaign contributions.
4. If a person gives more than $200 to a campaign, the speaker thinks they should be willing to disclose that information.", The speaker is in favor of the current limit on the number of people and companies that can contribute to a candidate or party,,,,,,,," The speaker believes in full disclosure of campaign contributions  If a person gives more than $200 to a campaign, the speaker thinks they should be willing to disclose that information",,,,,,, They support maintaining the limit for both candidates and parties,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
7,48361,"""10:58"""," Beyond record having that. And I just want to reiterate, what Kelly said earlier, just tighten the time for campaigning and you'd get rid of a lot of these problems.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,10413,"""11:41""","I was just going to say I totally agree to. I think they're too much of. Wow, individuals are persons companies that are Computing. I think we need to put a stop to that.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,9511,"""12:00""","I agree with what's been said, absolutely close. The loopholes on any foreign entities and certainly the limits are getting, too high. I mean, this far too much money being spent on these campaigns, and it's not being spent in the right way and where it needs to be spent. So I don't want to see any races on it either.",yes," 1. The speaker agrees with previous statements.
2. They believe there are loopholes for foreign entities that need to be closed.
3. The speaker thinks campaign spending limits are too high.
4. They argue that money is not being spent in the right ways or where it is needed.
5. The speaker does not want to see any loopholes for races either.",,, They believe there are loopholes for foreign entities that need to be closed  The speaker does not want to see any loopholes for races either,,,,,,,,,,,, They argue that money is not being spent in the right ways or where it is needed, The speaker agrees with previous statements  The speaker thinks campaign spending limits are too high,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
10,48415,"""12:16""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
