Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48282,"""9:57""","My first thought was raising the, the contribution amounts can mean more negative ads, which I already think there's enough out there and there's enough other advertising. I don't know. That's my thought. Anyway,",yes," 1. The text discusses the idea of raising contribution amounts for some purpose.
2. The author's initial reaction is that this could result in more negative ads.
3. The author believes that there are already enough negative ads and other advertising.
4. The author expresses uncertainty and skepticism about the idea.",, The text discusses the idea of raising contribution amounts for some purpose,,,,,,,, The author's initial reaction is that this could result in more negative ads  The author believes that there are already enough negative ads and other advertising,,,,,, The author expresses uncertainty and skepticism about the idea,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2,48335,"""10:19""","The biggest thing that pops in my mind is let's get these loopholes closed for foreign contributions. This is America. Nothing about our election should be financially, contribute contributions, whatever. Nothing from any other country should have any contribution or anything to do with electing anybody in our country. So getting those loopholes",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,48335,"""10:19""", is close to me is very important.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,10329,"""11:03""",I agree with Terry.,yes," 1. You agree with someone named Terry.

(Note: The text you provided only states that you agree with someone named Terry. It does not provide any context or arguments for what you agree with.)",,,,,,,,,,,,,),,, You agree with someone named Terry   te: The text you provided only states that you agree with someone named Terry  It does not provide any context or arguments for what you agree with,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
5,48293,"""13:07""",I just want to thank you.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48293,"""13:07""", Alexis need to be going to Public Finance going from Public Funding or anything like that.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,10329,"""13:27""","Yes, called the closure full disclosure of any funds contributed. I want to know who George Soros is buying who",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,10329,"""13:27""", All these rich people are.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,9510,"""13:42""","I definitely agree that there should be full disclosure especially with organizations disclosing their donors, as well as Public Funding. Should not be used to finance elections.",yes," 1. The person agrees that organizations should disclose their donors fully.
2. Public Funding should not be used to finance elections. |end of text|",,,,,,,,, The person agrees that organizations should disclose their donors fully,,,, |end of text|, Public Funding should not be used to finance elections,,,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
10,48563,"""13:57""","I completely agree. I was going to say the same thing, full disclosure I think is the most important thing of it all.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,48282,"""14:04""","It'll here, full disclosure transparency and no public funds. That's my thought.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,9411,"""14:14""","yeah, I'm on my way to the full disclosure and just full knowledge on just the",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,9411,"""14:14"""," Just the phone is in general, just as much information as possible, so that everybody is a confused or by the either. We're just where it's coming from.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
