Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48408,"""9:54""","I'm actually against private money in political campaigns in any capacity. So, I am completely against raising the amount of money that private individuals are able to donate to campaigns. Whether it be individual politicians or political parties in general, I think that should be Public Funding.",yes," 1. Opposed to private money in political campaigns.
2. Against raising the amount of money for individual donations to campaigns.
3. Believes political campaigns should be funded publicly, not privately.
4. Includes both individual politicians and political parties in the argument for public funding.",, Against raising the amount of money for individual donations to campaigns,,,,,,,,,,," Believes political campaigns should be funded publicly, not privately  Includes both individual politicians and political parties in the argument for public funding", Opposed to private money in political campaigns,,,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
2,48439,"""10:14""","I agree with Rim. Maybe a couple of slightly different reasons but I think that there's too much money in politics now. And you know, packs and super Pacs have far too much influence.",yes," 1. The person agrees with Rim.
2. They think there is too much money in politics now.
3. The influence of packs and super PACs is considered too great.", The influence of packs and super PACs is considered too great,,,,,,,,,,,,,, They think there is too much money in politics now, The person agrees with Rim,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
3,48416,"""10:28""",I completely agree with ran and Tom that's with the same information. I mean I agree to them to a tee.,yes," 1. You agree with ran.
2. You agree with Tom.
3. The agreement is about the same information or points.
4. The level of agreement is strong, as indicated by ""to a tee"".",,,,,,,,,,,,,,,," You agree with ran  You agree with Tom  The agreement is about the same information or points  The level of agreement is strong, as indicated by ""to a tee""",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4,48406,"""10:40""","I guess I might not agree if I was a billionaire, but I have to agree from my status and state in this country. Also the point about",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48406,"""10:40"""," Foreign entities donating to campaigns. That's, that's very concerning. I know, some of that's been rhetoric in the news and perhaps not reality, but certainly that seems like a very legitimate and real concern for an operator, to put undue influence on an election.",yes," 1. Foreign entities donating to campaigns is a concerning issue.
2. This concern has been raised in news rhetoric.
3. It is seen as a legitimate and real threat to the integrity of an election.
4. The influence of foreign entities on elections is a concern for election operators.",,, Foreign entities donating to campaigns is a concerning issue  The influence of foreign entities on elections is a concern for election operators,,,,,,,,,,,, It is seen as a legitimate and real threat to the integrity of an election, This concern has been raised in news rhetoric,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
6,48343,"""11:08""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,48343,"""11:08""","Yeah, I would also agree. I would also put severe limitations on the, the the limits anybody can put in as you know I wouldn't even allow somebody to put 3,000 in let alone. 41,000, I would tie, I would say no more than $25 a month and every dollar would be tied to a name.",yes," 1. The person advocates for severe limitations on the amount that can be put in.
2. They would not allow someone to put in $3,000.
3. They would not allow someone to put in $41,000.
4. They would limit the amount to $25 per month.
5. Every dollar would be tied to a name."," The person advocates for severe limitations on the amount that can be put in  They would not allow someone to put in $3,000  They would not allow someone to put in $41,000  They would limit the amount to $25 per month",,,,,,,, Every dollar would be tied to a name,,,,,,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
8,9711,"""11:32""","I'm in agreement with, you know, ran Tom Ashley everybody so far. It's",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,9711,"""11:32""", It's way too. Cop money can buy elections.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,48285,"""11:48""","The problem with using Public Funding, that's our money, that's our taxes, that's Public Funding. So if somebody wants to get elected, let them get private donations packs or whatever. Foreign money, known, close them loopholes because they have no right to interfere with our election. But as far as using our tax dollars from to run a campaign, I don't think so. You know.",yes," 1. The argument against using Public Funding is that it is taxpayer money.
2. Public Funding is collected from taxes paid by citizens.
3. It is suggested that candidates should rely on private donations for their campaigns.
4. The use of foreign money in campaigns is discouraged.
5. It is argued that foreign money should not interfere with domestic elections.
6. The loopholes for foreign money should be closed.
7. The speaker does not think that tax dollars should be used for campaigns.",, It is suggested that candidates should rely on private donations for their campaigns, The use of foreign money in campaigns is discouraged  It is argued that foreign money should not interfere with domestic elections  The loopholes for foreign money should be closed,,,,,,,,,, Public Funding is collected from taxes paid by citizens, The argument against using Public Funding is that it is taxpayer money  The speaker does not think that tax dollars should be used for campaigns,,,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False
11,48480,"""12:15""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
