Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48357,"""9:53""","Hi, I guess I feel like money is power and as we know, power corrupts. And so the less money that's involved with any of this the better. So I don't really support raising any limit. I do like this Constitutional Amendment that would get rid of Corporations being having free speech, and then closing loopholes that are there.",yes," 1. The speaker believes that money is equivalent to power.
2. The speaker thinks that power corrupts.
3. Therefore, the speaker does not support raising any limit related to money.
4. The speaker knows of a Constitutional Amendment that, if passed, would eliminate corporations' free speech rights.
5. The speaker also supports closing loopholes related to this issue.",," Therefore, the speaker does not support raising any limit related to money", The speaker also supports closing loopholes related to this issue,,,,,,,,,,,," The speaker knows of a Constitutional Amendment that, if passed, would eliminate corporations' free speech rights", The speaker believes that money is equivalent to power  The speaker thinks that power corrupts,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True
2,48448,"""10:22""","Thanks. Yeah, I think the first two were we're talking about limits on the amounts individual can contribute. I wouldn't raise those much, that still seems like a lot of money to me. So, that would give the very wealthy, a lot more influence than regular people. I think letting the party contribute more to the candidate is fine with me and that might make sense. Then, you know, the money is coming from the party and certainly I agree",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,48448,"""10:22""", with doing away with Citizens United and stopping the unlimited expenditure through the packs and such,yes," 1. Need to do away with Citizens United
2. Stopping unlimited expenditure through political action committees (PACs) and similar groups is necessary.",,,,,,,,,,,,,,,, Need to do away with Citizens United Stopping unlimited expenditure through political action committees (PACs) and similar groups is necessary,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4,10539,"""10:59""","Yeah, I think I agree with the previous speaker as well. I'm if I was going to consider raising the contributions, it would only be to equal the inflation so that, yes. If it gets more expensive, it makes sense that we need to have a little bit more money, but we also need to have a limit on that. Definitely don't believe that corporations are people.",yes," 1. The speaker agrees with the previous speaker.
2. They would consider raising contributions only to equal inflation.
3. They believe that if expenses increase, more money is needed.
4. However, there should be a limit on the increased contributions.
5. The speaker does not believe that corporations are people."," They would consider raising contributions only to equal inflation  However, there should be a limit on the increased contributions",,,,,,,,,,,,,," They believe that if expenses increase, more money is needed", The speaker agrees with the previous speaker  The speaker does not believe that corporations are people,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
5,10710,"""11:20""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,10710,"""11:20""","Hey, welcome back, everybody. Good to see everybody again. Hope you enjoyed your lunch. I agree with Mike. I mean we when you do inflation in there, I mean, everything is more expensive. So he's campaigns have to be way more expensive. Like I mean that's just a reality of it is are if we're going through it, I'm sure they have issues too. So I think they need to define the word substantially. You know do they mean double do they mean you know another 20% like I need more, I would need a number.",yes," 1. The speaker welcomes the audience back and hopes they enjoyed their lunch.
2. The speaker agrees with Mike that inflation makes campaigns more expensive.
3. The speaker finds it necessary for the campaigns to define the term ""substantially"" in their context, specifying if they mean double or an additional 20%.
4. The speaker expresses a need for a specific number to better understand the situation.",,,,,,,,,,,,,,," The speaker finds it necessary for the campaigns to define the term ""substantially"" in their context, specifying if they mean double or an additional 20%", The speaker welcomes the audience back and hopes they enjoyed their lunch  The speaker agrees with Mike that inflation makes campaigns more expensive  The speaker expresses a need for a specific number to better understand the situation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
7,10710,"""11:20"""," You know, instead of just saying substantially but I'm okay with them, raising its own, because I understand inflation. So they're gonna they gonna need a little bit more money.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48336,"""11:59""","I agree with Tom on these that I feel like it's already high enough and I guess if they did have to raise it if they went by like a custom, Lizzie living raise or an inflation rates, may be just a small amount. And I also think that citizens united is bad. So I am in favor of passing the Constitutional Constitutional Amendment allowing",yes," 1. The writer agrees with Tom that the current minimum wage is already at a satisfactory level.
2. If an increase in the minimum wage is necessary, it should be a small increase, tied to a measure such as the cost of living or inflation rates.
3. The writer also believes that the Citizens United ruling is negative.
4. The writer supports passing a Constitutional Amendment to address this issue.
5. The phrase ""Constitutional Constitutional Amendment"" is used, which may be a mistake and could mean that the writer intends to support a Constitutional Amendment, but it is not clear.", The writer also believes that the Citizens United ruling is negative,,,,,,,,,,,,,," The writer supports passing a Constitutional Amendment to address this issue  The phrase ""Constitutional Constitutional Amendment"" is used, which may be a mistake and could mean that the writer intends to support a Constitutional Amendment, but it is not clear"," The writer agrees with Tom that the current minimum wage is already at a satisfactory level  If an increase in the minimum wage is necessary, it should be a small increase, tied to a measure such as the cost of living or inflation rates",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
9,48336,"""11:59""", Regulation.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,48541,"""12:35""","Angry with adjusting for inflation, with the caveat. That that that citizens united would be, would be removed. I think that removing citizens united also helps its mentioned here in the closing loopholes for foreign entities. Because if they're not able to use these companies directly that helps solve quite a bit of those problems.",yes," 1. The text expresses dissatisfaction with the effect of inflation.
2. It is stated that if Citizens United was removed, it would address this issue.
3. The removal of Citizens United would also help in closing loopholes for foreign entities.
4. The text suggests that if foreign entities are not able to use companies directly, it would solve a significant portion of the problems.",,," The removal of Citizens United would also help in closing loopholes for foreign entities  The text suggests that if foreign entities are not able to use companies directly, it would solve a significant portion of the problems",,,,,,,,,,,," It is stated that if Citizens United was removed, it would address this issue", The text expresses dissatisfaction with the effect of inflation,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
11,48287,"""13:13""",I'm against substantially raising things. I'm,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,48287,"""13:13"""," even the idea of inflation is, I'm not sure about it. I think that we could get more small donors involved. If we keep the number low, it would force as if prices go up candidates to seek out and get consensus amongst more and more of the electorate.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,9457,"""15:53""","Yeah, I'm I'm not in favor of a black public financing. If that means that they're going to increase my taxes, I just don't have any faith in what our government does. With our money, I",yes," 1. The speaker is not in favor of black public financing.
2. The speaker's opposition is based on the potential for increased taxes.
3. The speaker does not have faith in what the government does with money.",,,,,,,,,,,,,, The speaker is not in favor of black public financing  The speaker's opposition is based on the potential for increased taxes,, The speaker does not have faith in what the government does with money,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
14,9457,"""15:53""", I do think that the disclosure and transparency of who's donating to to who is should be open for examination and just completely transparent.,yes," 1. The importance of disclosure and transparency of donors should be highlighted.
2. Donations should be open for examination.
3. Complete transparency is preferred in such matters.",,,,,,,,, The importance of disclosure and transparency of donors should be highlighted  Donations should be open for examination  Complete transparency is preferred in such matters,,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
15,48541,"""16:32""","I agree with the transparency aspect even so far. As I mean, we all pretty much said that we weren't a fan of the pack situation, but I would disagree with just closing their top donors. I think they should be fully transparent if they exist at all. You shouldn't be able to use a pact to to circumvent the kind of transparency that exists with individual donations.",yes," 1. The speaker agrees with the importance of transparency.
2. The speaker recalls a previous discussion where they didn't favor a certain ""pack situation.""
3. The speaker disagrees with just closing the top donors of the pack.
4. The speaker thinks that if the pack exists, there should be full transparency.
5. The speaker believes that a pact should not be used to circumvent the transparency that exists with individual donations.",,""" The speaker disagrees with just closing the top donors of the pack",,,,,,," The speaker agrees with the importance of transparency  The speaker thinks that if the pack exists, there should be full transparency  The speaker believes that a pact should not be used to circumvent the transparency that exists with individual donations",,,,,,," The speaker recalls a previous discussion where they didn't favor a certain ""pack situation",False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
16,10710,"""17:02""","Hey Patrick, welcome back. We didn't see you in the first Stitch. Yeah, I pretty much agree with the consensus so far. You know, I think everybody thinks transparency is important. So the more the more people that have to, you know say how much they're contributing into who I feel like the better, you know, instead of just allowing these, you know, contributions to go unchecked but I definitely don't want to use public funds. I mean, I'm glad",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,10710,"""17:02"""," That there are thinking, you know, these democracy vouchers. I mean, at least are trying to be Innovative but I don't think that's it. I think that's I think that's a bad idea especially having use taxpayer money to do that.",yes," 1. The person is discussing democracy vouchers.
2. They recognize that the concept is an attempt at innovation.
3. However, they express their opinion that democracy vouchers are a bad idea.
4. They believe that using taxpayer money for democracy vouchers is not appropriate.",,,,,,,,,,,,, The person is discussing democracy vouchers," However, they express their opinion that democracy vouchers are a bad idea  They believe that using taxpayer money for democracy vouchers is not appropriate",, They recognize that the concept is an attempt at innovation,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
18,10539,"""17:42""","So I definitely agree with transparency. I mean if you're spending, if you're going to be donating more than $200, you definitely need to show who you are. They need to show a list of their donors that should go without saying, um, as far as this. I've never heard of this these Democratic vouchers before and I would have to say that as far as I'm concerned, if it gives people who don't have much money and opportunity to support their their political choices, then that's something I'm all for. I don't want to see it be on the backs of taxpayers.",yes," 1. The person agrees with transparency, especially if a donation exceeds $200.
2. They believe that donors' names should be made public.
3. They are not familiar with Democratic vouchers.
4. They support the idea of vouchers if it provides an opportunity for people with less money to support their political choices.
5. They do not want the voucher system to be funded by taxpayers.",,,,,,,,," The person agrees with transparency, especially if a donation exceeds $200  They believe that donors' names should be made public",,,, They support the idea of vouchers if it provides an opportunity for people with less money to support their political choices, They do not want the voucher system to be funded by taxpayers,, They are not familiar with Democratic vouchers,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True
19,10539,"""17:42""",Let's it comes from maybe the top 10%.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,48448,"""18:15""","Yeah, I think I'm bad in some agreement there though. I had never heard of these democracy vouchers again, and I hate the idea of raising taxes, but it is interesting to be able to give everybody the ability to make some sort of political donations. So I'm not quite sure how to do it without costing the world too much, but I did find it interesting. And yeah, I think the transparency is key. And being able to look up who's voting, who's donating",yes," 1. The person is unsure about agreeing with something, possibly related to democracy vouchers.
2. They were not familiar with democracy vouchers before.
3. The idea of raising taxes is not appealing to them.
4. They find the concept of giving everyone the ability to make political donations interesting.
5. They are uncertain about implementing the idea without incurring significant costs.
6. They think transparency is crucial.
7. They believe being able to look up who is voting and donating is important.",,,,,,,,, They find the concept of giving everyone the ability to make political donations interesting  They think transparency is crucial  They believe being able to look up who is voting and donating is important,,,,,," The person is unsure about agreeing with something, possibly related to democracy vouchers", They were not familiar with democracy vouchers before  The idea of raising taxes is not appealing to them  They are uncertain about implementing the idea without incurring significant costs,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
21,48448,"""18:15""", Money. Especially the little local issues is is really interesting sometimes.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,48287,"""18:49""","Yeah, the using public funds for those those democracy vouchers. I'm I think we might be able to use that as a replacement for that that 1040 tax question about you or do you want to give X dollars to support elections? There might be a way to reduce the cost of managing individual contributions. We've already got packs and political organizations that a viruses as is I don't think we need to",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,48287,"""18:49""", To really do that much more. I also think we don't need use public funds to finance elections. I think we should use those for building out the infrastructure instead.,yes," 1. The speaker thinks that they can do much more.
2. They believe that there is no need to use public funds for financing elections.
3. Instead, they propose that public funds should be used for building out the infrastructure.",,,,,,,,,,,,," Instead, they propose that public funds should be used for building out the infrastructure", They believe that there is no need to use public funds for financing elections,, The speaker thinks that they can do much more,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
24,48357,"""19:33""","Anything that takes money out of the political process. I think it's a good thing. I know other countries do use public funds to fund their elections, and I think that something might want to consider all those billions of dollars that go out of there. I think that's crazy that any. So anything that would lessen the number of political ads we have to see during an election cycle. I think that's a positive thing. So we take the money out of that. That would be good, but",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,48357,"""19:33"""," I also kind of like the idea of being able to put a cap on what individuals can affect change like that. So they are only be able to put money in their own races, their own districts.",yes," 1. The speaker likes the idea of placing a limit on an individual's ability to influence change.
2. The limit would apply to the amount of money an individual can contribute to their own political races.
3. The limit would also apply to the individual's own districts.", The speaker likes the idea of placing a limit on an individual's ability to influence change  The limit would also apply to the individual's own districts,,,,,,,,,,,,,,, The limit would apply to the amount of money an individual can contribute to their own political races,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
26,10710,"""20:18""","I want to comment on something Jim said about the vouchers, give people an opportunity to donate. I mean, at the end of the day, I think everyone has some opportunity to donate, you know, some people obviously have way more money than others but you know, everybody has to have. When you, you know, there's something you care about. You're going to make that decision. If you really want to donate, you're going to do it. I mean, he and his five dollars, you know, it's something but you know, I think I don't think it should be coming out of the taxpayer money to give people these changes.",yes," 1. The speaker wants to comment on a point Jim made about vouchers.
2. They believe everyone has the opportunity to donate, regardless of their wealth.
3. They emphasize that people should donate if they care about a cause and have the means to do so.
4. The speaker does not think taxpayer money should be used to fund these changes.
5. They mention that while Jim's five-dollar donation is something, they do not think it should come from taxpayer funds.",," They believe everyone has the opportunity to donate, regardless of their wealth",,,,,,,,,,,," The speaker does not think taxpayer money should be used to fund these changes  They mention that while Jim's five-dollar donation is something, they do not think it should come from taxpayer funds",, The speaker wants to comment on a point Jim made about vouchers  They emphasize that people should donate if they care about a cause and have the means to do so,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
27,10710,"""20:18"""," Specially, if they're going to, you know, they can be voting for the opposition. I want to give anybody money to put money towards somebody else that I don't like, at all this. But I'm sure that's not true. What you're trying to say, I just want to come",yes," 1. The speaker expresses concern about people donating money to support opposition candidates that they personally dislike.
2. The speaker is unsure if this is a common occurrence.
3. The speaker wants to clarify the intended message being conveyed to them.",,,,,,,,,,,,,,, The speaker expresses concern about people donating money to support opposition candidates that they personally dislike, The speaker is unsure if this is a common occurrence  The speaker wants to clarify the intended message being conveyed to them,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
28,48372,"""21:44""",Well I'm all-in. I don't know why my camera didn't turn on but any case I'm all in favor of of getting rid of gerrymandering I think it leads to the extra people going to the extreme and and and districts that are more Centrist will will create more Centrist candidates.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,10539,"""22:11""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,10539,"""22:11""","Yeah, I definitely am not a fan of gerrymandering. What I would appreciate would be a little bit of research so that we could go back and see how many times mines have been redrawn so that we can understand, you know, what, the political basis was for that. And then from your kind of move forward to make sure that every area is represented equally and again gerrymandering not up.",yes," 1. The person is not a fan of gerrymandering.
2. They would like some research to be done to determine how many times their district has been redrawn.
3. They want to understand the political basis for the redrawing of their district.
4. They want to ensure that every area is represented equally in the future.
5. They are against gerrymandering and want to prevent it from happening.",,,,, The person is not a fan of gerrymandering  They want to ensure that every area is represented equally in the future  They are against gerrymandering and want to prevent it from happening,,,,,,,,,, They would like some research to be done to determine how many times their district has been redrawn, They want to understand the political basis for the redrawing of their district,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
31,48541,"""22:37""","Yes, I feel like this kind of ties into a conversation earlier about the Secretary of State question. I don't understand why politicians and legislative is in control of setting districts. Anyway, I feel like that should be a job for professional statisticians and political scientist.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,48448,"""22:58""","Professional statisticians. I like it. I was just going to say, I love the idea. I don't know how you make sure the commission stays independent and doesn't get bribed in such. And I always wonder if there's some mechanical way to do this, where you just start in, the upper left-hand corner of the state, and make a box big enough to incorporate the right amount of the population. It seems like it shouldn't be as hard as it is, but I'm sure there are complications, I don't recognize",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,48357,"""23:26""","We'll just kind of add on to what Jim just said, you know, I've read that, you know, with the technology we have today, you can use a computer to redistricting about five minutes and have it be even and fair without it meeting. A whole lot of individual input.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,48372,"""23:43""",Here in Florida DeSantis and legislature just redrew for districts. That were Democratic districts and now the Republican districts,yes," 1. Florida's districts have been redrawn by Governor DeSantis and the legislature.
2. Districts that were previously favorable to the Democratic party have been changed to benefit the Republican party.
3. This action has resulted in the transformation of Democratic districts into Republican districts.",,,,,,,,,,,,,,, Districts that were previously favorable to the Democratic party have been changed to benefit the Republican party  This action has resulted in the transformation of Democratic districts into Republican districts, Florida's districts have been redrawn by Governor DeSantis and the legislature,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
35,48287,"""23:54""","Yeah, gerrymandering it's not a wonderful thing. The concern I have is that it's really hard to get a consistent number of people per district. For example, you may have a high population density that gives you two thousand people per square mile and out. In the rural areas. You you suddenly have, you know, two people per square mile. It's it's difficult to keep that",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,48287,"""23:54""","distant, especially with rate. The people move around the state lines are redrawn every 10 years after the census. And I think we need to do that a little bit more often.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,48336,"""24:35""",I agree with drawn them more often. I was just wondering how often it was and we do need to stop this gerrymandering and I suppose the independent nonpartisan commissions for each state is the best. We need some way to oversee them and just have to trust I guess.,yes," 1. The speaker agrees to draw legislative districts more often.
2. The speaker has concerns about the frequency of redrawing districts.
3. The speaker believes that gerrymandering needs to be stopped.
4. The speaker suggests the use of independent nonpartisan commissions for redrawing districts in each state.
5. The speaker acknowledges the need for oversight of these commissions.
6. The speaker expresses a need to trust the process of redrawing districts.",,,,, The speaker believes that gerrymandering needs to be stopped  The speaker suggests the use of independent nonpartisan commissions for redrawing districts in each state  The speaker expresses a need to trust the process of redrawing districts,,,,,,,,,, The speaker agrees to draw legislative districts more often  The speaker has concerns about the frequency of redrawing districts  The speaker acknowledges the need for oversight of these commissions,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
38,9457,"""25:00""","I'm okay with the adopting within each state independent process, but I do not want the national law that mandates. How the states do it. I, we need to maintain that separation of state and federal rules governing elections. And as a side note, I did participate this morning but I didn't see any of you.",yes," 1. The speaker is open to the adoption of laws regarding election processes on a state-by-state basis.
2. The speaker does not support a national law that mandates how states should govern their elections.
3. It is important to maintain the separation of state and federal rules governing elections.
4. The speaker attended a meeting this morning but did not see the other people mentioned in the text.",,,,,,,,,,,,,,, It is important to maintain the separation of state and federal rules governing elections, The speaker is open to the adoption of laws regarding election processes on a state-by-state basis  The speaker does not support a national law that mandates how states should govern their elections  The speaker attended a meeting this morning but did not see the other people mentioned in the text,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
39,9457,"""25:00"""," So maybe I was in a different group, I don't know, but just to let you know.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,48372,"""26:49""",I'm in favor of all of them except allowing 16 year olds to vote for the school board.,yes," 1. In favor of allowing people to vote in local elections.
2. In favor of allowing 17 year olds to vote for the school board.
3. Not in favor of allowing 16 year olds to vote for the school board.",,,,,,,,,,,,,,,, In favor of allowing people to vote in local elections  In favor of allowing 17 year olds to vote for the school board  Not in favor of allowing 16 year olds to vote for the school board,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41,48541,"""26:56""","I'm actually in favor of allowing 16 year olds to vote in School Board elections. That's something that actually directly impacts them. Not a fan of making voting, a Civic obligation with small fines, and that's going to be really difficult to enforce if not impossible, due to the fact that there are multiple religions that make not voting, it's part of their religion like Jehovah's,",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,48541,"""26:56"""," this is,",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,10539,"""27:26""","Let's see if he can see me here. I think my camera is off a little bit. Anyhow, just to let you know how I feel is that I believe that third parties can be spoilers, I should, that's probably true election is should be a holiday. I agree with that. Definitely should not be any fines and I think that if you allow 16 year olds to vote that can't be a bad thing in a school board at least it gets them ready to vote in a general election.",yes," 1. The speaker believes that third parties can be spoilers in an election.
2. The speaker agrees that election should be a holiday.
3. The speaker thinks there should not be any fines for voting.
4. The speaker believes that allowing 16-year-olds to vote in school board elections could be a good thing, as it prepares them for voting in general elections.",,,,,,,,,,,,,,, The speaker believes that third parties can be spoilers in an election," The speaker agrees that election should be a holiday  The speaker thinks there should not be any fines for voting  The speaker believes that allowing 16-year-olds to vote in school board elections could be a good thing, as it prepares them for voting in general elections",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
44,48448,"""27:53""","Regarding third parties. After yesterday's discussion, I went back to my ballot and last presidential election, I have 22 different candidates. I could vote for. So I think it's good to have third parties, but some places you can already get on the ballot fairly easily. I think a Federal holiday would be a wonderful idea. If you go back to in-person voting, maybe and deal with some of the issues we talked about before.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
