Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48445,"""10:04""","Personally, I don't think you should be like, you know, find or anything. If you choose not to vote like it should still be a choice at the end of the day whether you want to or not, but that's just me.",yes," 1. The person thinks that you should have the choice not to vote.
2. They believe that it should still be your decision, regardless of whether you vote or not.
3. This is their personal opinion.",,,,,,,,,,,,,,,," The person thinks that you should have the choice not to vote  They believe that it should still be your decision, regardless of whether you vote or not  This is their personal opinion",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2,48508,"""10:19""","I feel like the main reason some people don't vote. This is anecdotal is they don't want to go to jury duty, and having 16 year, olds vote is is outrageous. It's just, this should be leaving at 18. Otherwise, we can have 16 and 7 year olds joining, the military",yes," 1. Some people don't vote because they don't want to go to jury duty.
2. The idea of 16 year olds voting is considered outrageous.
3. The minimum voting age is suggested to remain at 18.
4. The argument against lowering the voting age is that it could lead to even younger children, such as 7 year olds, joining the military.",,,,,,,,,,,,,,,," Some people don't vote because they don't want to go to jury duty  The idea of 16 year olds voting is considered outrageous  The minimum voting age is suggested to remain at 18  The argument against lowering the voting age is that it could lead to even younger children, such as 7 year olds, joining the military",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3,48405,"""10:45""",I agree with both of those issues.,yes," 1. The reader agrees with the first issue.
2. The reader agrees with the second issue.",, The reader agrees with the second issue,,,,,,,,,,,,,, The reader agrees with the first issue,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4,48535,"""10:57""","I think some people don't see the value value of 14, that's why they don't vote.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48405,"""11:31""","I do think we should close the loopholes for especially foreign donations, Etc. We've heard of that and then not so recent elections of foreign money going into these campaigns. Kind of a quid pro quo issue thinking",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48508,"""11:56""","Yeah. Close the loopholes but it's kind of self-regulating, because any candidate of was found out, they received large chunks of money from China. That would be destroyed in harmed by that. And, you know, controlling Federal money coming in for money coming in. I mean, we can't even shut down the economy of Russia. So I don't know how running stop all this money coming in from all these different sources from foreign countries.",yes," 1. The process of identifying and closing loopholes in the system is largely self-regulating.
2. If a candidate is discovered to have received large sums of money from China, it would harm or destroy their reputation.
3. Controlling Federal money coming in and out of the country is a challenge.
4. The US government has struggled to shut down the economy of Russia, which indicates the difficulty in stopping money from coming in from various foreign sources.",,,," The US government has struggled to shut down the economy of Russia, which indicates the difficulty in stopping money from coming in from various foreign sources",,,,," If a candidate is discovered to have received large sums of money from China, it would harm or destroy their reputation",,,,,, Controlling Federal money coming in and out of the country is a challenge, The process of identifying and closing loopholes in the system is largely self-regulating,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True
7,48405,"""14:53""","I'm not sure about the disclosure of the donors, you know, maybe some people want to remain anonymous.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48456,"""15:26""","I think I'm fine with regular donations, but with large amounts of donations because money is power and I would like to know which power or influence the candidate is receiving.",yes," 1. The person is open to regular donations.
2. They believe that money is associated with power and influence.
3. They want to be aware of the power or influence that a candidate would gain through large donations.",,,,,,,,,,,,,,, They believe that money is associated with power and influence, The person is open to regular donations  They want to be aware of the power or influence that a candidate would gain through large donations,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
9,48405,"""16:01""","I'm not sure how I feel about using public funds, what areas would possibly suffer by implementing a broad use of public funds?",yes," 1. Public funds might be diverted from other important areas or projects.
2. Essential services, such as education or healthcare, could potentially receive less funding.
3. The private sector may experience reduced investment, leading to slower growth.
4. There could be a potential increase in government debt and taxes.
5. Less efficient use of public funds might occur due to bureaucratic inefficiencies.
6. The opportunity cost of using public funds for broad purposes could result in missed opportunities for more targeted investments.",,,,,,,,,,,,,, Public funds might be diverted from other important areas or projects  There could be a potential increase in government debt and taxes  Less efficient use of public funds might occur due to bureaucratic inefficiencies  The opportunity cost of using public funds for broad purposes could result in missed opportunities for more targeted investments," Essential services, such as education or healthcare, could potentially receive less funding  The private sector may experience reduced investment, leading to slower growth",,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
10,10005,"""17:11""",I'm in favor of redrawing the lines and so that there aren't just political reasons based on population density,yes," 1. The speaker is in favor of redrawing lines.
2. The speaker believes that the redrawing should not be based on political reasons related to population density.
3. The speaker does not provide specific details on how the lines should be redrawn.",,,,, The speaker is in favor of redrawing lines  The speaker believes that the redrawing should not be based on political reasons related to population density,,,,,,,,,,, The speaker does not provide specific details on how the lines should be redrawn,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
11,48405,"""17:40""",Would redrawing. The lines getting more diverse selection of Voters?,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,48405,"""17:49""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,10005,"""17:51""",I think that's the idea. And so that politicians couldn't try to target areas where they draw lines just to Encompass people who think alike and only campaign toward those to get votes.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,48405,"""19:39""",I would hate to see as soon as situation in this country of being fined or isolated due to the fact that we chose not to vote. It is a choice at this point and also I don't think sixteen-year-old should be voting in the local school board.,yes," 1. The situation in the country of being fined or isolated for not voting is regrettable.
2. Voting is currently a choice.
3. Sixteen-year-olds should not be allowed to vote in local school board elections.",,,,,,,,,,,,,,,, The situation in the country of being fined or isolated for not voting is regrettable  Voting is currently a choice  Sixteen-year-olds should not be allowed to vote in local school board elections,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15,48535,"""20:12""","I don't think we should have the election day as a Federal holiday, because if we can have a mail-in ballot for early voting system, I think it should be okay.",yes," 1. The text suggests not having election day as a Federal holiday.
2. The reasoning behind this is the availability of a mail-in ballot system for early voting.
3. It is implied that this early voting system should be a sufficient alternative to a Federal holiday for voting.",,,,,,,,,,,,,,,, The text suggests not having election day as a Federal holiday  The reasoning behind this is the availability of a mail-in ballot system for early voting  It is implied that this early voting system should be a sufficient alternative to a Federal holiday for voting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16,10226,"""20:34""","I'm not sure if a 16 year old should be allowed to vote. Just get, you know, basically because the easy be easy to be persuaded and don't have enough voter education, that's my thoughts on it.",yes," 1. The text expresses a point of view that a 16 year old should not be allowed to vote.
2. The reasons given are that 16 year olds may be easily persuaded and may not have enough voter education.",,,,,,,,,,,, The reasons given are that 16 year olds may be easily persuaded and may not have enough voter education,,,, The text expresses a point of view that a 16 year old should not be allowed to vote,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
17,48405,"""21:40""","Well, I think it would be okay to make it easier for third parties. That way you would have a good mix of opinions. Thoughts, ideas into our system.",yes," 1. It is suggested to make it easier for third parties.
2. This would result in a variety of opinions being contributed.
3. Thoughts and ideas from third parties would be included in the system.",,,,,,,,,,,,,,, This would result in a variety of opinions being contributed  Thoughts and ideas from third parties would be included in the system, It is suggested to make it easier for third parties,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
18,10005,"""26:38""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,48405,"""26:47""","I think it would have a tendency to give people with more power, more money, more power. I'd not sure how you could guarantee transparency and the donation phase",yes," 1. The text suggests that a certain situation may result in people with more power and money gaining even more power.
2. The author is unsure how transparency could be guaranteed during a donation phase.",,,,,,,,, The author is unsure how transparency could be guaranteed during a donation phase,,,,,, The text suggests that a certain situation may result in people with more power and money gaining even more power,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
20,48508,"""27:08""","It would be on their tax returns, people probably give money to get a write off.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
