Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48322,"""9:53""","kick-off, I like,",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,48322,"""9:53"""," And agree with the first skinny, I disagree with the first three pros, which involve raising the limit on contributions.",yes," 1. The author agrees with the first point about skinny margins.
2. The author disagrees with the first three pros, which are about raising the limit on contributions.",," The author disagrees with the first three pros, which are about raising the limit on contributions",,,,,,,,,,,,,, The author agrees with the first point about skinny margins,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3,48322,"""9:53""","One, two, and three. Three different proposals. The last two, I like talking about the first three. I don't know anybody to spend thirty three hundred dollars on an individual election, much less wants to raise the limit to 41,000. I've got some, my thoughts on the other issues as well.",yes," 1. The text mentions three different proposals.
2. The speaker expresses a preference for discussing the first three proposals.
3. The speaker states that they do not know anyone who would spend thirty-three hundred dollars on an individual election.
4. The speaker also states that they do not want to raise the limit to 41,000 dollars.
5. The speaker mentions that they have thoughts on other issues as well.",," The speaker also states that they do not want to raise the limit to 41,000 dollars",,,,,,,,,,,,, The speaker expresses a preference for discussing the first three proposals  The speaker states that they do not know anyone who would spend thirty-three hundred dollars on an individual election, The text mentions three different proposals  The speaker mentions that they have thoughts on other issues as well,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
4,48542,"""10:34""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48542,"""10:34""","Hi, I'm absolutely against the first three. We already have too much money in politics. I want to see less. I definitely think that the small donor idea and the matching is of excellent idea because that gives people who don't really have the money to donate, but do have a view and it does, you know, give them some more ability to donate. And I think that,",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48542,"""10:34"""," At closing and the loopholes and ending citizens. United is the number one thing we need to do. That's where all the dark money comes from. That's it, get rid of it.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,48410,"""11:19""","I also don't believe that we need to increase the limits on lump on contributions. It's those higher levels of contributions, which actually sways the balance between the candidates. Those that don't have the don't yet have the backing, but may actually have the skill and aptitude to, to hold up particular position. It really puts them at the bottom of the list as far as getting their word out, I think,",yes," 1. The text states the speaker's opposition to increasing limits on lump sum contributions.
2. The speaker believes that higher levels of contributions have the power to sway the balance between candidates.
3. The speaker thinks that limiting contributions can prevent candidates who have skill and aptitude but lack backing from being able to get their message out.
4. The speaker suggests that limiting contributions can result in those candidates being at a disadvantage and being ""at the bottom of the list"" in terms of visibility.", The speaker believes that higher levels of contributions have the power to sway the balance between candidates  The speaker thinks that limiting contributions can prevent candidates who have skill and aptitude but lack backing from being able to get their message out," The text states the speaker's opposition to increasing limits on lump sum contributions  The speaker suggests that limiting contributions can result in those candidates being at a disadvantage and being ""at the bottom of the list"" in terms of visibility",,,,,,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48410,"""11:19"""," It just really skews the equal voice that the candidates might otherwise have. So those that have the ability to get that money, they don't need more ability to get that money.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,48486,"""12:04""","I think I'd be inconsequential one way or the other in terms of increasing the amount that each individual and provide each that the parties can provide because people really want to contribute more money, just give it to the past. So given the fact that there was 14 billion dollars spent in 2020 on federal election, which is astonishing, that amount of money is still going to happen.",yes," 1. The amount of money spent in the 2020 federal election was 14 billion dollars.
2. The speaker thinks they would not have a significant impact on the amount of money individuals or parties can provide.
3. People have a strong desire to contribute more money to elections.
4. The speaker believes that the stated amount of money for the 2020 federal election will still be spent, regardless.",, The speaker thinks they would not have a significant impact on the amount of money individuals or parties can provide  People have a strong desire to contribute more money to elections,,,,,,,,,,,,,," The amount of money spent in the 2020 federal election was 14 billion dollars  The speaker believes that the stated amount of money for the 2020 federal election will still be spent, regardless",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10,48486,"""12:04""", Open because it's going to come in through the packs.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,48542,"""12:37""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
