Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48595,"""2:08""","Hey, it's Daniel from Georgia.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,48631,"""2:14""","Hi, it's Ann from Tennessee.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,48631,"""2:14""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,10183,"""2:20""",Hi. It's Sheila from Champlin Minnesota.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,9811,"""2:24""","Hey, Janice from Missouri.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,10183,"""12:33""","Well, I definitely think we need to close loopholes because I hate to think that we have foreign countries dictating who should be in our offices.",yes," 1. The speaker thinks it's necessary to close loopholes.
2. The speaker is concerned about foreign countries influencing who should be in political offices.",,, The speaker thinks it's necessary to close loopholes  The speaker is concerned about foreign countries influencing who should be in political offices,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7,9811,"""12:45""",I agree with that. I don't think it's right that anybody from a foreign country can contribute to our elections. I belong thought that and I think that it needs to be more publicized whoever is donating and how much they're donating. I don't think they should be a corporation. Should be able to hide behind that either. I think it should all be matter of public record When anybody donates to any kind of campaign,yes," 1. The speaker believes that no one from a foreign country should be able to contribute to elections.
2. They think that the amount of donations and the identity of donors should be made public.
3. The speaker does not think corporations should be able to donate to campaigns.
4. The speaker believes that all donations to campaigns should be a matter of public record.", The speaker does not think corporations should be able to donate to campaigns,, The speaker believes that no one from a foreign country should be able to contribute to elections,,,,,, They think that the amount of donations and the identity of donors should be made public  The speaker believes that all donations to campaigns should be a matter of public record,,,,,,,,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
8,48595,"""13:20""",I agree with that. I also think that we do not really need to increase anymore amounts as far as contributions by individuals.,yes," 1. You agree with a certain point.
2. You believe there is no need to increase the amount of contributions made by individuals.", You believe there is no need to increase the amount of contributions made by individuals,,,,,,,,,,,,,,, You agree with a certain point,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,10183,"""13:35""","I agree that we shouldn't increase the limits on contributions for individuals and stuff because I mean, let's face it, not everybody could get the look, the guys that don't come from million dollar families, have enough of a struggle.",yes," 1. The speaker does not agree to increase the limits on contributions for individuals.
2. The speaker believes that not everyone has the same opportunities to contribute more.
3. The speaker points out that not everyone comes from wealthy families.
4. The speaker suggests that those who are not from wealthy families may struggle to contribute.", The speaker believes that not everyone has the same opportunities to contribute more  The speaker suggests that those who are not from wealthy families may struggle to contribute, The speaker does not agree to increase the limits on contributions for individuals,,,,,,,,,,,,, The speaker points out that not everyone comes from wealthy families,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10,48631,"""14:04""",I agree that loopholes should be closed and that we should not raise the limits on contributions to slow down the amount of people that are not,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,48631,"""14:04""", United States citizens from contributing.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,48634,"""14:26""","Yeah, I think we go with the Constitutional Amendment that reverses corporations have free speech as individuals, like that has really disrupted. The national elections drastically since it has been ruled that way.",yes," 1. The text proposes a Constitutional Amendment.
2. The Amendment would reverse a ruling that allows corporations to have free speech rights like individuals.
3. The text suggests that this ruling has had a significant negative impact on national elections.",,, The Amendment would reverse a ruling that allows corporations to have free speech rights like individuals,,,,,,,,,,,, The text proposes a Constitutional Amendment, The text suggests that this ruling has had a significant negative impact on national elections,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
13,48675,"""16:38""","On the public financing, I don't understand where they think the Public Funding is coming from. It's coming from us and I guess I don't want to pay other people to vote or",yes," 1. The text is about the speaker's confusion about public financing.
2. The speaker questions where the public funding comes from.
3. The funding comes from the people, according to the speaker.
4. The speaker expresses their unwillingness to pay other people to vote.",,,,,,,,," The funding comes from the people, according to the speaker",,,,, The text is about the speaker's confusion about public financing  The speaker questions where the public funding comes from,, The speaker expresses their unwillingness to pay other people to vote,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
14,48675,"""16:38""", Or to send money to their favorite candidate.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,9811,"""17:03""","I agree. I don't think that we should fund that. I think at the candidates want to run, then they need to get out there and get contributors and pay for that. And I just don't think it's right. That they put another burden on US. Public citizens to fund that I do. I just don't agree.",yes," 1. The speaker does not agree to fund a certain thing, possibly a campaign or a project.
2. They believe that if candidates want to run, they should get their own contributors and pay for it.
3. The speaker thinks it is not right to put the burden on public citizens to fund it.
4. The speaker expresses a clear disagreement with the idea of public funding for this unspecified thing.",," They believe that if candidates want to run, they should get their own contributors and pay for it",,,,,,,,,,,," The speaker does not agree to fund a certain thing, possibly a campaign or a project  The speaker thinks it is not right to put the burden on public citizens to fund it  The speaker expresses a clear disagreement with the idea of public funding for this unspecified thing",,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
16,48634,"""17:26""","So part of the thought process for public speaking or public financing is to take all of these private donors out of the situation. So they less influence, politicians. I'm just giving the reason why they're suggesting it not necessarily agreeing with it. That being said, if you're going to use your taxpayer dollars, I could see using a little bit of it to have a little bit more influence if",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
