Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48674,"""2:04""",I am Peter from Wisconsin and I'm glad I don't have to listen to that again.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,48614,"""2:14""",I'm Margaret from Michigan and I totally agree with you.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,48651,"""2:19""",This is Jim from Buffalo.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,48659,"""2:23""",This is Mark from Maine.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,9671,"""2:28""",This is Mary from Mississippi. I here I am.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48621,"""2:37""",Aaron from Michigan.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,48790,"""2:41""",Rich from Connecticut.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48673,"""2:46""",And Kerry from Maryland.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,48614,"""13:24""","I guess I'll go. First, I have a problem. I have concerns about two of the items. One is both the foreign influence in elections, I think there are very real threat, but I don't. We've already got supposedly loopholes closed, and it seems like, there's always more opening up. So I don't know how we could go about closing more loopholes, I support the idea.",yes," 1. The speaker plans to take action.
2. The speaker has a concern about foreign influence in elections.
3. The speaker believes there is a real threat from foreign influence in elections.
4. The speaker thinks there are already supposed loopholes closed to address this issue.
5. The speaker is unsure how to close more loopholes.
6. The speaker supports the idea of closing more loopholes.",,, The speaker has a concern about foreign influence in elections  The speaker believes there is a real threat from foreign influence in elections  The speaker supports the idea of closing more loopholes,,,,,,,,,,,, The speaker is unsure how to close more loopholes, The speaker plans to take action  The speaker thinks there are already supposed loopholes closed to address this issue,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
10,48614,"""13:24""", But I like to know how they would want to. The other concern I have is with a strong influence financially of packs the political action committees. I think that's more of a concern than may be individual contributors.,yes," 1. The speaker prefers to know how people want things.
2. The speaker has a concern about the strong financial influence of political action committees.
3. The speaker thinks the financial influence of political action committees is a bigger concern than individual contributors.", The speaker has a concern about the strong financial influence of political action committees  The speaker thinks the financial influence of political action committees is a bigger concern than individual contributors,,,,,,,,,,,,,,, The speaker prefers to know how people want things,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11,48674,"""14:09""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,48674,"""14:09""","Yeah, I agree especially about packs. I think that citizens united was a bad decision and I think I would like to see that overturn. So that money is not equated with speech because I think that's just a Grazie idea that allows corporations to give money and the Super PAC thing is connected to that and there's no accountability and they're not",yes," 1. The speaker agrees with the previous statement, particularly about ""packs,"" likely referring to political action committees (PACs).
2. The speaker thinks that the Citizens United decision was a bad one.
3. The speaker would like to see the Citizens United decision overturned.
4. The speaker believes that money should not be equated with speech.
5. The speaker thinks that the idea of equating money with speech is a dangerous one.
6. This notion allows corporations to give money, contributing to the problem.
7. The ""Super PAC"" thing is connected to this issue.
8. There is no accountability for these Super PACs.
9. These Super PACs are not identified or disclosed.", The speaker believes that money should not be equated with speech," This notion allows corporations to give money, contributing to the problem", The speaker would like to see the Citizens United decision overturned,,,,,,,,,,,," The speaker thinks that the Citizens United decision was a bad one  The speaker thinks that the idea of equating money with speech is a dangerous one  The ""Super PAC"" thing is connected to this issue  There is no accountability for these Super PACs  These Super PACs are not identified or disclosed"," The speaker agrees with the previous statement, particularly about ""packs,"" likely referring to political action committees (PACs)",True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True
13,48674,"""14:09"""," wired to identify themselves, which I think is is really bad for the election system.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,48614,"""14:52""",Regardless of how things shake out. I think there has to be total transparency. Whether packs or anyone else is allowed to contribute. I think the focus definitely needs to be on transparency of all contributions.,yes," 1. Regardless of the outcome, there needs to be total transparency.
2. This transparency applies to all contributors, including packs or any other entities.
3. The primary focus should be on the transparency of all contributions.",,,,,,,,," Regardless of the outcome, there needs to be total transparency  This transparency applies to all contributors, including packs or any other entities  The primary focus should be on the transparency of all contributions",,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
15,48673,"""15:15""","So, as far as the limits on contributions, I don't know many people at all that are contributing three or five thousand dollars individually to election campaigns. So, raising those limits, I think is really only going to go for a really wealthy people and I don't want, I don't want candidates just skewing their agenda to attract wealthy people.",yes," 1. The limits on campaign contributions are being discussed.
2. The speaker knows few people who contribute $3,000 or $5,000 individually to election campaigns.
3. The speaker thinks that increasing the limits will only benefit wealthy people.
4. The speaker does not want candidates to skew their agenda to attract wealthy people.",, The speaker thinks that increasing the limits will only benefit wealthy people,,,,,,,,,,,,," The speaker knows few people who contribute $3,000 or $5,000 individually to election campaigns", The limits on campaign contributions are being discussed  The speaker does not want candidates to skew their agenda to attract wealthy people,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
16,48673,"""15:15"""," And same as now for National political parties, maybe you can make a case for that, but I don't think it makes sense for individuals.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,9671,"""15:59""",I agree with Kerry even though you know the new 20 is 100,yes," 1. The speaker agrees with Kerry.
2. The new 20 mentioned is equivalent to 100. However, the specific context or meaning of ""the new 2", The speaker agrees with Kerry,,,,,,,,,,,,, The new 20 mentioned is equivalent to 100,," However, the specific context or meaning of ""the new 2",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
18,9671,"""15:59""", I don't think they need any.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
