Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,9780,"""2:06""","Welcome back, everybody. It's that's okay. Here in the Hudson Valley, New York area.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,9687,"""2:12""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,9687,"""2:12""",I get everyone Mike. It's been nice talking to you all the past couple of times here.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,48742,"""2:19""",Hi again everybody. This is Katia from Vermont.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48738,"""2:23""",I am Jesse. I'm from West Virginia.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48741,"""2:26""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,48743,"""2:30""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,9687,"""12:59""","Me personally, I would never be a donor of anywhere near any of these amounts. Did contrary to many candidates these dollar amounts are way too high for me to even think about",yes," 1. The speaker feels that the dollar amounts mentioned are too high for them to consider donating.
2. The speaker states that they have never been, and never would be, a donor of such amounts.
3. The speaker contrasts themselves with many other candidates, implying that these candidates may be more willing to donate such high amounts.", The speaker feels that the dollar amounts mentioned are too high for them to consider donating," The speaker states that they have never been, and never would be, a donor of such amounts",,,,,,,,,,,,,," The speaker contrasts themselves with many other candidates, implying that these candidates may be more willing to donate such high amounts",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,9780,"""13:17""","Yeah, I tend to agree with that. Mike. I think our candidates are more inclined to listen to the, the upper echelon. The one percenters as opposed to Everyday people like you and",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,48742,"""13:35""","I agree with Mike as well, and these amounts already high and I think just increasing the limit would just make it harder for Less wealthy individuals to participate in to support that. So I think they probably should be left alone since they already high enough as it is.",yes," 1. The speaker agrees with Mike's viewpoint.
2. The amounts being discussed are already high.
3. The speaker thinks increasing the limit would make it harder for less wealthy individuals to participate.
4. The speaker believes the amounts should be left alone since they are already high enough.", The speaker thinks increasing the limit would make it harder for less wealthy individuals to participate, The speaker believes the amounts should be left alone since they are already high enough,,,,,,,,,,,,, The amounts being discussed are already high, The speaker agrees with Mike's viewpoint,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
11,48743,"""14:00""","Yeah, I'm in complete agreement to that. Those numbers are high enough. I think we all suffer the consequences of seeing when these campaigns get going with the extra money especially from the packs how their commercials on TV and everything else really don't accomplish anything other than negative advertising.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,9687,"""14:31""","I do like the idea of closing loopholes for foreign control money coming into the election because I don't think the foreigners should have any kind of influence over the US election system. However, no matter what laws, you make to close, loopholes someone who still going to find a way to break them or around them.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,9780,"""14:53""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,9780,"""14:53""","Well, I think this is an evolutionary I'll Endeavor the more we know, the more we can Institute change. I am all for closing, those loopholes from foreign entities and that influence that comes with it, particularly with the online ads. So yes, someone will find a way to get through but then we'll have to go back and address that as well.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
