Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48762,"""2:11""","Hi again, pops probably for the last time I am Rose Rosemary. Custard again, I live right outside of Detroit and Harper Woods. Michigan. I have truly enjoyed three days of America in one room. And I just hope everybody. After this, just tells everybody about the experience and I hope everybody has had a positive experience is, as I have",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,48762,"""2:11""", Have.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,48764,"""2:42""",Hi everyone. I'm Tina. I'm from Louisiana and I also enjoyed everyone learning new things and talk with everybody.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,48758,"""2:58""","James Carroll from Kalamazoo Michigan, glad to be back.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48754,"""3:03""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48754,"""3:03""",Oil. All this is Robert and Connecticut. Appreciate the conversations that we've had all together and I think you all for for making this so interesting and really pleasant experience. Thank you.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,9900,"""3:19""","Hey, my name is Rick Kennedy. I'm from Indiana. It's nice seeing everybody. Again. That's been a fun. Three days listening to everybody.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48752,"""3:37""",Sheila Hubbard from Alabama and I've enjoyed,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,9900,"""14:08""","I hate the thought of campaign contributions, whether it be mostly to the political action committees, these big money. Donors are getting spots as ambassador's. They have no.",yes," 1. The text expresses a dislike for campaign contributions.
2. These contributions are described as mainly going to political action committees and consisting of large amounts of money.
3. Donors are reportedly being rewarded with positions as ambassadors.
4. It is implied that these donors may not be qualified for the positions they are given.", These contributions are described as mainly going to political action committees and consisting of large amounts of money, The text expresses a dislike for campaign contributions,,,,,,,,,,,,, It is implied that these donors may not be qualified for the positions they are given, Donors are reportedly being rewarded with positions as ambassadors,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
10,9900,"""14:08""", No reason to be getting them other than the fact that they donated a lot of money.,yes," 1. It is not necessary to get them otherwise.
2. The only reason to get them is that they donated a large amount of money.",,,,,,,,,,,,,,,, It is not necessary to get them otherwise  The only reason to get them is that they donated a large amount of money,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11,48758,"""14:37""",I agree with Rick and Charlie. I think there's one of the biggest problems we have in our country is there's too much money and in politics as it is this I think the other thing is that I'm in favor of reversing that Supreme Court decision. I don't think that corporations should be treated as a single person. The same way I think that was just a terrible.,yes," 1. The user agrees with Rick and Charlie.
2. The user believes that one of the biggest problems in the country is the amount of money in politics.
3. The user is in favor of reversing the Supreme Court decision that treats corporations as a single person.
4. The user thinks that the Supreme Court decision was terrible.",,,,,,,,,,,,,,, The user believes that one of the biggest problems in the country is the amount of money in politics  The user is in favor of reversing the Supreme Court decision that treats corporations as a single person, The user agrees with Rick and Charlie  The user thinks that the Supreme Court decision was terrible,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
12,48754,"""15:01""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,48754,"""15:01""","Oh, I'm with James 100% on both of those yet. Raising the donation limits, only increases the ability of money to individuals and entities to affect the Electoral outcome and a knight 100% agreed that that decision by the Supreme Court was a miscarriage. So I'm 100% there. Thanks James.",yes," 1. The speaker agrees with James' viewpoint on raising donation limits.
2. The speaker believes that increasing donation limits enhances the ability of individuals and entities to influence the outcome of elections.
3. A knight also shares the same opinion as the speaker about the Supreme Court's decision on donation limits.
4. The speaker considers the Supreme Court's decision on donation limits as a miscarriage.
5. The speaker expresses gratitude towards James for his views.", A knight also shares the same opinion as the speaker about the Supreme Court's decision on donation limits, The speaker agrees with James' viewpoint on raising donation limits  The speaker believes that increasing donation limits enhances the ability of individuals and entities to influence the outcome of elections,,,,,,,,,,,,,, The speaker considers the Supreme Court's decision on donation limits as a miscarriage  The speaker expresses gratitude towards James for his views,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
14,9900,"""15:28""","Amen, brother.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,48762,"""15:31""","I agree with James Rick and Robert. However, there's still the problem of campaign financing and what do you do?",yes," 1. The text mentions agreement with the views of James Rick and Robert.
2. There is a problem mentioned, related to campaign financing.
3. A question is posed, about what to do regarding the campaign financing problem.",,,,,,,,,,,,,,," There is a problem mentioned, related to campaign financing"," The text mentions agreement with the views of James Rick and Robert  A question is posed, about what to do regarding the campaign financing problem",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
16,48762,"""15:31"""," When they are, I don't think that there are enough restrictions on the financing or contributions for these candidates. But how, what can be done to make sure that there is a little more transparency as far as who and how much these people are contributing?",yes," 1. The text expresses concern about a lack of restrictions on financing and contributions for certain candidates.
2. The speaker suggests that there should be more transparency regarding who is contributing and how much they are contributing.
3. The speaker questions how this can be achieved.", The text expresses concern about a lack of restrictions on financing and contributions for certain candidates,,,,,,,, The speaker suggests that there should be more transparency regarding who is contributing and how much they are contributing,,,,,,, The speaker questions how this can be achieved,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
17,48754,"""16:12""","What a great question, Rose. Thank you again for another great comment. What if we proposed that the Electoral contribution in any given for any given office or jurisdiction is tied to the number per capita population of that area would be a fairly straightforward. You know, arithmetic calculation, I think, anybody think about that,",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,48758,"""16:47""",I like that idea. I think it's a really solid when I've never actually heard it.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,48758,"""16:47""", Anybody Express that before and I think it's a really good idea. The other thing I think that needs to be done is that any Cantor campaign contributions to anybody? That needs to be absolutely clear and above board where that money came from on whether they don't but they don't like it and they think it's going to reduce the amount of money they get. That's too bad but I think it should everybody should be the all corporations should be made to present themselves when they,yes," 1. The idea of expressing gratitude towards anybody before starting is a good one.
2. It is important that the origin of Cantor's campaign contributions should be clear and transparent.
3. It should be determined if any corporations have made contributions to Cantor's campaign.
4. Corporations should be required to disclose their identity when making campaign contributions.",,,,,,,,, It is important that the origin of Cantor's campaign contributions should be clear and transparent  Corporations should be required to disclose their identity when making campaign contributions,,,,,,, The idea of expressing gratitude towards anybody before starting is a good one  It should be determined if any corporations have made contributions to Cantor's campaign,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
20,48762,"""17:29""","I agree. Another thing when we're talking about imposing caps, I just think that regardless of what the cap is there, still going to be a lot of improprieties in the process. I mean, what stops my father from giving me money and saying, hey put this toward John Doe's campaign. You know, it doesn't make a difference but they're still",yes," 1. The speaker agrees that there will be issues with implementing campaign contribution caps.
2. They believe that even with a cap in place, there will still be improprieties in the process.
3. An example is given of how a father could give money to their child and ask them to contribute it to a specific campaign, bypassing the cap.
4. The speaker implies that this behavior would not be prevented by the existence of a cap.",," The speaker agrees that there will be issues with implementing campaign contribution caps  They believe that even with a cap in place, there will still be improprieties in the process  An example is given of how a father could give money to their child and ask them to contribute it to a specific campaign, bypassing the cap",,,,,,,,,,,,,, The speaker implies that this behavior would not be prevented by the existence of a cap,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
