Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48778,"""2:03""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,48778,"""2:03""",I'm really glad you're here. I'm retired Carpenter.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,48778,"""2:03""", I live in the mountains of Western North Carolina.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,48745,"""2:20""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48745,"""2:20""","I am. STI. Live in Houston, Texas.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48774,"""2:33""","Hi everybody. My name is Matt and I'm a supervisor at AT&T Center in San Antonio. Texas. And I'm, that's your buddy here.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,48783,"""2:48""","Hi, my name is Catherine pyro. I'm here for this last session. I really enjoyed most of us. I appreciate being there.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48789,"""3:03""",My name is Bruce and 84 year old guy living in New Jersey. Glad to be here with all the rest of you.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,48783,"""14:00""","It's too much money are coming for outside individual special outside the country going to our elections. They need to stop, but no, but they need to put a limit on it.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,48778,"""14:12""","I totally agree with Katherine, I believe it's improper for funds from outside the country to be involved in any way. Russia tried that the previous election and while I don't think it had an influence did a great deal, it still should not be allowed.",yes," 1. The speaker agrees with Katherine's viewpoint.
2. The speaker believes that it is inappropriate for funds from outside the country to be involved in any way in elections.
3. The speaker mentions Russia's attempt to be involved in the previous election.
4. The speaker does not think that Russia's involvement had an influence on the previous election.
5. The speaker still believes that outside involvement should not be allowed.",,, The speaker believes that it is inappropriate for funds from outside the country to be involved in any way in elections  The speaker still believes that outside involvement should not be allowed, The speaker mentions Russia's attempt to be involved in the previous election,,,,,,,,,,,, The speaker agrees with Katherine's viewpoint  The speaker does not think that Russia's involvement had an influence on the previous election,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
11,48745,"""14:37""","I agree there. Definitely needs to be a limit if we let them, you know, spend as much as they want, then that leaves it open for anyone to come in and, you know, not be honest. So I think they're neat.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,48776,"""14:56""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,48776,"""14:56""",I agree. I agree with,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,48776,"""14:56"""," Ali, the people here foreign country shouldn't be allowed to participate in our voting",yes," 1. Ali has made a statement regarding a foreign country
2. Ali believes that people from this foreign country should not be allowed to participate in their voting process",,, Ali has made a statement regarding a foreign country Ali believes that people from this foreign country should not be allowed to participate in their voting process,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
15,48774,"""15:14""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,48774,"""15:14""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,48789,"""15:38""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,48789,"""15:38""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,48789,"""15:38""","Lesser person is a citizen, they should not be allowed to vote. And I think that particularly when talking about foreign entities, but to me is just something that's unheard of, it's not unheard of it was, it's been done but it shouldn't be allowed.",yes," 1. A ""lesser person"" is a citizen who should not be allowed to vote.
2. Allowing foreign entities to vote is unheard of and should not be allowed.
3. Although allowing foreign entities to vote has been done in the past, it is not something that should be permitted.",,,," Although allowing foreign entities to vote has been done in the past, it is not something that should be permitted",,,,,,,,,,,," A ""lesser person"" is a citizen who should not be allowed to vote  Allowing foreign entities to vote is unheard of and should not be allowed",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
20,48783,"""16:14""","I don't think special obvious is like the NRA should be given on the money they give in to just sway for their guns and stuff. People dying. Needlessly over it, they need to start using some comments.",yes," 1. The text expresses concern about the influence of the NRA (National Rifle Association) on political decisions related to guns.
2. The concern is that the NRA gives money to sway politicians to support their agenda, which allegedly results in needless deaths.
3. The text calls for the NRA to start making comments, possibly referring to the need for more open and transparent discussions about gun control."," The concern is that the NRA gives money to sway politicians to support their agenda, which allegedly results in needless deaths",,,,,,,,,,,,,, The text expresses concern about the influence of the NRA (National Rifle Association) on political decisions related to guns," The text calls for the NRA to start making comments, possibly referring to the need for more open and transparent discussions about gun control",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
21,48778,"""16:35""","I have to disagree with you, Catherine. I believe that the efforts to control guns will only affect the honest gun owner. It's not like I should have much effect on criminal but I appreciate your point of view.",yes," 1. The reader disagrees with Catherine's viewpoint.
2. The reader believes that gun control efforts will only affect law-abiding gun owners.
3. The reader acknowledges that gun control may not affect criminals.
4. The reader appreciates Catherine's perspective.",,,,,,,,,,,,,,,, The reader disagrees with Catherine's viewpoint  The reader believes that gun control efforts will only affect law-abiding gun owners  The reader acknowledges that gun control may not affect criminals  The reader appreciates Catherine's perspective,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
22,48783,"""18:51""",I think we deserve the right to know who's donating. Why not much?,yes," It is not clear what text you would like summarized in a numbered list. Here is a general numbered list based on the given text:

1. The right to know who is donating is being discussed.
2. The question of why donations are not more frequent is raised.",,,,,,,,, Here is a general numbered list based on the given text:  The right to know who is donating is being discussed,,,,,,, is not clear what text you would like summarized in a numbered list  The question of why donations are not more frequent is raised,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
23,48789,"""19:00""","Seems to me that if people are donating large amounts of money, very wealthy people there, their investment is giving their candidate an age. I think that it should be done by public funds. The public funds should be distributed to each candidate. So,",yes," 1. Wealthy individuals donate large amounts of money to candidates.
2. This donation is seen as an investment in their chosen candidate.
3. The process of funding should be changed to using public funds.
4. Public funds should be evenly distributed to all candidates.", Wealthy individuals donate large amounts of money to candidates  This donation is seen as an investment in their chosen candidate,,,,,,,,,,,, The process of funding should be changed to using public funds  Public funds should be evenly distributed to all candidates,,,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
24,48789,"""19:00""", That everybody is on a level basis.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,48778,"""19:37""","I just like the idea of federal funds are governmental funds, going into an election.",yes," 1. Federal funds are governmental funds.
2. These funds are used in elections.
3. The speaker expresses a positive opinion about the idea of federal funds being used in elections.",,,,,,,,,,,,, The speaker expresses a positive opinion about the idea of federal funds being used in elections,,, Federal funds are governmental funds  These funds are used in elections,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
26,48778,"""19:37""", What I would like to see is a financial limit on top limit that any candidate could spend on his elect his or her election and make it a very firm and very solid amount that everybody would then have the same amount of money to spend,yes," 1. A proposal for a financial limit on the amount of money a candidate can spend on their election campaign.
2. The limit would be a fixed and unchanging amount.
3. All candidates would have the same amount of money to spend on their campaigns.", A proposal for a financial limit on the amount of money a candidate can spend on their election campaign,,,,,,,,,,,,,,, The limit would be a fixed and unchanging amount  All candidates would have the same amount of money to spend on their campaigns,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
27,48783,"""20:20""","Yes, I agree with that. Totally",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,48774,"""20:27""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,48774,"""20:27""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,48774,"""20:27""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,48776,"""20:58""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,48776,"""20:58""","I'm having connectivity issues here, but I hopefully you can hear me. But I agree with the fact that each candidate should have equal amounts of money to campaign with.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,48789,"""21:19""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,48789,"""21:19""",I wanted to let you know math that your microphone is not working.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,48774,"""21:40""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,48783,"""21:50""","I couldn't hear that. Last gentleman, not speaking at all.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,48774,"""21:58""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,48778,"""23:25""",Seem like I have a tendency to go ahead of everybody. But here goes,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,48778,"""23:25""", Redistricting has been a constant battle everywhere in the world. It seems.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,48778,"""23:25""", Or the years.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,48778,"""23:25"""," surely there is a better way and the idea of a nonpartisan commission if you can find them in to fill it or Middle Ages feel, it would be better than",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,48778,"""23:25"""," Munch politicians trying to get their own way. Sorry, politicians.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,48774,"""24:03""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,48774,"""24:03""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,48774,"""24:03""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,48745,"""24:26""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,48776,"""24:39""","Yes, I have personal experience here in Southern California where a politician redistrict, my area, for basically, his political gain. So I don't. I'm not a fan of redistricting at all.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,48789,"""25:00""","That's my opinion as well. I think that the redistricting redistricting usually has to do with one of the parties seeking to exclude the or minimize the votes of certain districts. And unfortunately, it seems like",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
