Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,9417,"""2:05""","Hello everyone. I don't know why my cameras fuzzy. It's Jen from man, again, I'm looking forward to this discussion with you, and it will be our last time. So have a blessed rest of the Year, everyone.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,48642,"""2:21""","Hi. I'm Steve against even be from Florida, retired. And what a way to go out talking about the mother's milk of politics.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,48642,"""2:21""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,48684,"""2:36""","Hey, hi everyone, Barb's back. It has been a pleasure doing this with all of you and wish you all the best of luck and as you go through life.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48684,"""2:36""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48760,"""2:54""","Hey everyone, it's Amber again from Texas. This is the last session. It was nice to meet all you guys and hope you have a good rest of the year like Jen said,",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,48664,"""3:06""","Hi everybody. This is farmer from Illinois. Once again and it's good to see y'all and looks like everybody still healthy and alive, right? Hope everybody takes care and it was good to know everybody's different opinions.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48847,"""3:22""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,48694,"""3:30""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,48694,"""3:30""","Sorry, we couldn't hear you Ed. Hopefully you'll come back on. Hi. It's Janine from Baltimore. I really enjoyed this. I have to say I didn't know what to expect. I've never done this before but it's been really interesting to get to meet all of you and hear what you had to say. Thank you.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,48766,"""3:50""",Hey guys Scott from North Carolina last day. It was fun hearing everyone's opinions and,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,48766,"""3:50""", look forward to hearing everybody's opinions today.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,9405,"""4:04""",Carlos from South Florida.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,9405,"""4:04""", Nice to see everybody was back here.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,48847,"""4:13""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,48847,"""4:13""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,9417,"""4:24""",We can't hear you but we know you're here with us in spirit.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,48664,"""14:29""","Hi everybody. I'll go straight to the loopholes regarding the foreign policy and stuff. They say it's a federal law for against form, you know, contributors to donate to any of the candidates which they don't follow that. I don't think because they always put money involved in our elections, which I don't think they should",yes," 1. It is alleged that there are loopholes in the foreign policy.
2. There is a federal law that prohibits contributors from donating to candidates, but this law is not followed.
3. Large amounts of money are involved in elections, which the speaker thinks is inappropriate.",,, It is alleged that there are loopholes in the foreign policy,,,,,,,,,,,," There is a federal law that prohibits contributors from donating to candidates, but this law is not followed  Large amounts of money are involved in elections, which the speaker thinks is inappropriate",,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
19,48664,"""14:29""", I think it's should be totally not in void. I don't think they should even try to get somebody else to bring it in for them and raising their limit on contributions. I don't think they should raise it.,yes," 1. The speaker thinks it is inappropriate for the action to be done in an empty or undefined state (indicated by ""void"").
2. The speaker believes that attempting to have someone else bring in the subject matter is not advisable.
3. The speaker suggests that increasing the limit on contributions is not a good idea.
4. The speaker is against the idea of raising the limit.",, The speaker suggests that increasing the limit on contributions is not a good idea  The speaker is against the idea of raising the limit,,,,,,,,,,,,,," The speaker thinks it is inappropriate for the action to be done in an empty or undefined state (indicated by ""void"")  The speaker believes that attempting to have someone else bring in the subject matter is not advisable",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
20,48642,"""15:12""","Yeah, first of all, regarding the political action committees, I think they, first of all, should disclose completely who their donors are and where the contributions are coming from. I don't understand why someone or some entity would not want it known, who they are, who they are, who they're donating to. We have a lot of problems here in this state regarding what's called pay-for-play in other",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,48642,"""15:12"""," kids, we are giving our public retirement money to money managers who in turn are donating to packs and other political action committees, this should definitely be just outlawed.",yes," 1. The public's retirement money is being given to money managers.
2. These money managers are donating to political action committees, such as ""packs.""
3. This situation should be illegal.",,,,,,,,,,,,,,,," The public's retirement money is being given to money managers  These money managers are donating to political action committees, such as ""packs "" This situation should be illegal",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
22,9417,"""15:57""","Yeah, I have to agree with Steven, you know, I think the it needs to be visibility across the board. You're representing the people. And to be honest, I'd rather know the evil that I'm going to phase once they've donated all this money. Like what the turnout? Like what are you really supporting? I think the whole well, you know, maybe, I'll suppose, I'll let,",yes," 1. The text suggests the importance of transparency in political representation.
2. The author believes that it is necessary to be aware of the actions and intentions of politicians, as they are representing the people.
3. The author would rather know about any potential negative actions or consequences of politicians, even if they have received significant campaign donations.
4. The author is interested in understanding the true intentions and goals of politicians, and what they are really supporting.
5. The author mentions the idea of ""evil"" in relation to politicians, suggesting a skeptical or negative view of political motivations.
6. The author uses phrases like ""you know,"" ""to be honest,"" and ""let me suppose"" indicating a conversational and informal tone.",,,,,,,,," The text suggests the importance of transparency in political representation  The author believes that it is necessary to be aware of the actions and intentions of politicians, as they are representing the people",,,,,," The author would rather know about any potential negative actions or consequences of politicians, even if they have received significant campaign donations"," The author is interested in understanding the true intentions and goals of politicians, and what they are really supporting  The author mentions the idea of ""evil"" in relation to politicians, suggesting a skeptical or negative view of political motivations  The author uses phrases like ""you know,"" ""to be honest,"" and ""let me suppose"" indicating a conversational and informal tone",False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
23,9417,"""15:57""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,9417,"""15:57"""," If you're too afraid to donate money because of your political views, then they don't really matter to me. I feel like you should be able to voice your views and and let it be known. So if you're not going to donate money for that, okay?",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,48766,"""16:39""","Hey, I think the biggest problem we got going is lack of transparency.",yes," 1. The biggest problem identified is lack of transparency.
2. This issue is considered to be the most significant.
3. No further arguments are provided in the text.",,,,,,,,, The biggest problem identified is lack of transparency,,,,,,, This issue is considered to be the most significant  No further arguments are provided in the text,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
26,48766,"""16:39"""," You got people buying their elected officials? I don't know how to get around that. I don't know if people will actually follow the rules. I feel that our governments have no place in our election process, you know, the fact I'm I'm going to go into that. Transparency is huge for me. Thank you.",yes," 1. The presence of people buying elected officials is a significant issue.
2. It is unclear how to address this problem.
3. There is uncertainty about whether people will follow rules regarding elections.
4. The speaker believes that governments should not be involved in the election process.
5. Transparency is a major concern for the speaker in regards to elections.",,,,,,,,, Transparency is a major concern for the speaker in regards to elections,,,,,, The presence of people buying elected officials is a significant issue  There is uncertainty about whether people will follow rules regarding elections, It is unclear how to address this problem  The speaker believes that governments should not be involved in the election process,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
