Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48669,"""2:05""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,48669,"""2:05""","Hi, my name is Randy from Chicago's. Good to see everybody today. I hope you can hear me clearly.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,48629,"""2:13""","Hi Bonnie from Colorado, glad that our thunderstorms have stopped. So I don't have to worry about losing power.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,48643,"""2:23""",My from Chattanooga Tennessee. Glad to see everybody.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48635,"""2:29""","Hey, Mike from Pennsylvania night to see everybody again.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48612,"""2:34""","hello, Phyllis from",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,48697,"""2:37""",Charles from San Francisco in Louisiana where it's currently 110 degrees.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48698,"""2:47""",Hi everybody. This is a Peter fishing guide from Maryland.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,48630,"""2:56""",What are from Phoenix. It's also hot here but we don't have the humidity.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,48669,"""13:16""","I'm sorry. I have to laugh about it. I have to laugh about it. Anybody that knows it's the money behind the candidate. It don't matter if it's get a dollar person $20 over here, $30 over there that don't even matter the people that want that person in office. Got to find a way to give them that money. Regardless, any other thing? Like I said that, if they don't even matter, that may be concerned,",yes," 1. The speaker finds it amusing that the candidate with the most money tends to win elections.
2. The amount of money a candidate receives, whether it's $1, $20, or $30, is not important.
3. What matters is finding a way to give money to the people who want that candidate in office.
4. The speaker implies that other factors, such as the candidate's qualifications or policies, are not as important as the amount of money they receive.",,,,,,,,,,,,,,," The speaker implies that other factors, such as the candidate's qualifications or policies, are not as important as the amount of money they receive"," The speaker finds it amusing that the candidate with the most money tends to win elections  The amount of money a candidate receives, whether it's $1, $20, or $30, is not important  What matters is finding a way to give money to the people who want that candidate in office",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
11,48669,"""13:16"""," Me, I'm laughing over here.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,48630,"""13:48""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,48630,"""13:48""","I understand your frustration laughing but I think reversing citizens united would be a huge win for everyday people because it equates feet with money and when you do that, some people have more speech more money than the rest of us and they can take over the airwaves and say what they want to.",yes," 1. The text is about the desirability of reversing the Citizens United decision.
2. The author believes that reversing this decision would be a significant victory for ordinary people.
3. The Citizens United decision is criticized for equating money with speech.
4. The author argues that this equation allows some people to have more speech (because they have more money) than others.
5. The author suggests that this disparity in speech allows some people to dominate the airwaves and say what they want.",,,,,,,,, The author argues that this equation allows some people to have more speech (because they have more money) than others, The author suggests that this disparity in speech allows some people to dominate the airwaves and say what they want,,,,, The text is about the desirability of reversing the Citizens United decision  The Citizens United decision is criticized for equating money with speech, The author believes that reversing this decision would be a significant victory for ordinary people,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True
14,48630,"""13:48""", essay about these political campaigns and we don't have any way of restricting or limiting that,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,48629,"""14:28""","Yes I agree. Reversing citizens united would be great but Randy, I am so with you they will find a way some other way legally or illegally to make it happen and the entire system from top to bottom needs to be looked at not tweaking it here and tweaking it. There there are other countries in the world that don't have the crazy television carrying on ways of holding serious.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,48629,"""14:28"""," selections, that we",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,48698,"""15:00""","Yeah, it seems like they're just so much money goes into the Sami doubled from in the past two elections, there's got to be some some way to control that it may be more even more open disclosure of who, is putting the money up.",yes," 1. A large amount of money is being spent on Sami elections, which is double the amount from the past two elections.
2. There is a need for more control over the money spent on Sami elections.
3. Increased open disclosure of who is funding the elections is suggested as a solution.", There is a need for more control over the money spent on Sami elections,,,,,,,, Increased open disclosure of who is funding the elections is suggested as a solution,,,,,,," A large amount of money is being spent on Sami elections, which is double the amount from the past two elections",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
18,48643,"""15:29""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,48643,"""15:29""","You're right fishing guide for the closing, disclosure is very important, don't raise the limits, if anything lower and that's my opinion. Maybe we could see less tv ads because I for one am sick of TV ads. Election time and overturn citizens. United would be vantastic. So",yes," 1. It is important for fishing guides to ensure proper disclosure.
2. The speaker suggests not raising limits, but potentially lowering them.
3. The speaker expresses frustration with the amount of TV ads.
4. The speaker mentions election time.
5. The speaker would like to see ""overturn citizens united,"" possibly referring to a political movement to overturn the Citizens United v. FEC Supreme Court decision which allows for unlimited political spending by corporations and unions.
6. The speaker uses the term ""vantastic,"" possibly as a typo or a colloquialism for ""fantastic."""," The speaker suggests not raising limits, but potentially lowering them", FEC Supreme Court decision which allows for unlimited political spending by corporations and unions,,,,,,,,,,,"""",,," It is important for fishing guides to ensure proper disclosure  The speaker expresses frustration with the amount of TV ads  The speaker mentions election time  The speaker would like to see ""overturn citizens united,"" possibly referring to a political movement to overturn the Citizens United v  The speaker uses the term ""vantastic,"" possibly as a typo or a colloquialism for ""fantastic",True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
