Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48607,"""2:09""","Hey, look, it's the same group of people I'm done. It's been a great time and I'm from Missouri.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,48618,"""2:21""",Hi there. Matt and Minneapolis. Hi again.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,48620,"""2:27""","Hi Lawrence, a boy Sulphur? Louisiana.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,9757,"""2:32""","Freddy and San Diego, California.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,10045,"""2:36""","Hi again, still Kyle from Portland.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48610,"""2:40""","Hi, this is a head from North Carolina.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,10388,"""2:48""",Try the family from Oklahoma. I've enjoyed the discussion and looking forward to tonight. Thank you.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48610,"""13:10""","Let me go first, okay? Because I don't have that problem.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,48610,"""13:10""","Regarding that individual could contribute chinon, that part of the never had that much money. Okay. Which ever thought about that of you just donate to any parties or individual candidates on that part but I believe, okay, these limits. Okay, the first one, okay, that we should not raise the limits on that part of it. That is 3300 for each election, okay? Or 40 1300 for the individual donors, to the parties type stuff, I think, okay, those",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,48610,"""13:10"""," So what once, okay, those are fine with that. Thank you.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,48607,"""13:58""","I personally think the should we do see the amount that they spend on elections, not increase it. And I don't understand why we can't make a general pool where if you want to contribute it goes half and half 2 or 1 thirds if Independence. But everybody splits the puck pool of money and then there's no, you know, it's",yes," 1. The speaker thinks that the amount spent on elections should not be increased.
2. They suggest creating a general pool for campaign contributions.
3. The contributions to this pool would be divided equally among all candidates.
4. The speaker proposes a 50/50 or 1/3 division of the pool for party-affiliated and independent candidates respectively.
5. This pool would eliminate the need for individual candidates to raise large amounts of money.",,,,,,,,,,,,,, The speaker thinks that the amount spent on elections should not be increased, They suggest creating a general pool for campaign contributions  The speaker proposes a 50/50 or 1/3 division of the pool for party-affiliated and independent candidates respectively, The contributions to this pool would be divided equally among all candidates  This pool would eliminate the need for individual candidates to raise large amounts of money,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
12,48607,"""13:58"""," Not coming to a specific individual or a group, that's my opinion.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,10045,"""14:34""","I agree with Don and part. I would love to get as much money out of campaigns as possible. So I would keep the limits the same or lower them. I think the citizens united case, in this idea that legitimate corporations and entities that are formed, just for the purpose of funneling, money to candidates are allowed to contribute unlimited sums of money. I think is one of the probably most corrupting and coercive influences on our politics.",yes," 1. The speaker agrees with Don's viewpoint.
2. They would like to acquire as much money as possible for campaigns.
3. The speaker proposes keeping campaign contribution limits the same or reducing them.
4. The speaker criticizes the Citizens United case, which permits corporations and entities to contribute unlimited funds to campaigns.
5. The speaker considers this to be one of the most corrupting and coercive influences on politics.",, They would like to acquire as much money as possible for campaigns  The speaker proposes keeping campaign contribution limits the same or reducing them," The speaker criticizes the Citizens United case, which permits corporations and entities to contribute unlimited funds to campaigns",,,,,,,,,,,, The speaker considers this to be one of the most corrupting and coercive influences on politics, The speaker agrees with Don's viewpoint,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True
14,10045,"""14:34"""," Ex and I absolutely would support a constitutional amendment to limit that kind of expenditure, which just further dilutes, the will of individual people as voters.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,48618,"""15:19""","I'd like to see less money as well, you know, the less money that's involved, you know, the more, I don't know, I think money is inversely proportional to, you know, the ideas, you know, meaning, if there's less money, you know, in these campaigns the more these candidates will have to campaign on ideas, rather than, you know, advertisement and and, you know, shoving",yes," 1. The speaker believes that less money in political campaigns is desirable.
2. In the speaker's opinion, money is inversely proportional to the number of ideas and meaningful content in a campaign.
3. The speaker suggests that if there is less money in campaigns, candidates will be forced to focus more on their ideas and policy proposals.
4. The speaker implies that with more money, campaigns tend to prioritize advertisement and ""shoving"" their message, rather than engaging in meaningful dialogue."," In the speaker's opinion, money is inversely proportional to the number of ideas and meaningful content in a campaign  The speaker suggests that if there is less money in campaigns, candidates will be forced to focus more on their ideas and policy proposals",,,,,,,," The speaker implies that with more money, campaigns tend to prioritize advertisement and ""shoving"" their message, rather than engaging in meaningful dialogue",,,,,,, The speaker believes that less money in political campaigns is desirable,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
16,48618,"""15:19"""," They're crap onto the airwaves, all of them and closing loopholes on foreign investment in elections. It's going to be real cat and mouse but do it find a loophole close, it foreigners. Don't have any business in",yes," 1. The text criticizes unnamed individuals for ""crap"" being put on the airwaves.
2. There is a plan to close loopholes on foreign investment in elections.
3. The process of closing these loopholes is described as ""real cat and mouse.""
4. The goal is to find a loophole and close it to prevent foreign involvement in elections.
5. The text suggests that foreigners should not have any business in these elections.",,," There is a plan to close loopholes on foreign investment in elections  The process of closing these loopholes is described as ""real cat and mouse "" The goal is to find a loophole and close it to prevent foreign involvement in elections  The text suggests that foreigners should not have any business in these elections",,,,,,," The text criticizes unnamed individuals for ""crap"" being put on the airwaves",,,,,,,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
17,48620,"""16:04""","I agree with you foreigners do not have or shouldn't have any business in our elections and I'm with you if they would worry less about financing the campaign per say and they would have to come up with a legitimate speeches, legitimate things that they're going to do to create correct areas in the country that need",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,48620,"""16:04"""," their focus instead of just bad-mouthing and bashing each other is what basically I see happening with the more money that they have, the more ways they can Bash.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,9757,"""16:45""","Yeah, I agree with all of you the less money, it gives the independent a better, better chance of competing.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,10045,"""16:52""","When a House of Representatives member gets elected, they immediately start fundraising for the next campaign, they spend multiple hours a day on the phone calling people who have money so they can get re-elected in two years and they all have to do it. Like the less they're doing that the better off we all are in my opinion.",yes," 1. A member of the House of Representatives begins fundraising for their next campaign as soon as they are elected.
2. They spend multiple hours a day on the phone, seeking donations from people with money.
3. The goal of their fundraising is to get re-elected in two years.
4. The more time they spend on fundraising, the worse it is for the public, in the opinion of the speaker."," They spend multiple hours a day on the phone, seeking donations from people with money", The goal of their fundraising is to get re-elected in two years,,,,,,,," The more time they spend on fundraising, the worse it is for the public, in the opinion of the speaker",,,,, A member of the House of Representatives begins fundraising for their next campaign as soon as they are elected,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
21,48618,"""17:12""","Like 100% true yet, maybe if they'd actually work and do the job that they were elected to do rather than having to be on the phones and at fundraisers all the time. Yeah. I think that's gotten way out of control because it is, the moment they're elected. It's time to think forward to the you know, the next election, you know, two years later.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,48618,"""19:54""","I don't know. I'm I'm for 100% Public Funding and you know I'm not really a big big government guy but you know at each level Congress you know person running for congress, get sex a person running for president, gets you know this amount. If you're a third-party candidate you have to you have to present a petition to qualify for the funds. Whatever the case may be, take a lot of the",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,48618,"""19:54"""," us out of it, a lot of the corruption out of it, if you don't do that, then as far as the disclosure, make it, as make it as transparent as possible.",yes," 1. The speaker suggests that getting the US out of a certain situation would help eliminate corruption.
2. The speaker emphasizes the importance of transparency in disclosure if the first point is not achieved.",,,,,,,,, The speaker emphasizes the importance of transparency in disclosure if the first point is not achieved,,,,,,, The speaker suggests that getting the US out of a certain situation would help eliminate corruption,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
24,48610,"""20:39""","I just stood disagree with a minute on that one. Okay, because I think okay, democracy voters, okay, which are better spent on some other issues on that part of you but we have okay in this nation instead of just spending public money on that part. Okay. And I believe, okay, the only option with we have okay that anybody should get it in June individually, okay? From small persons will be like about each and",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,48610,"""20:39"""," Bridget look alike, but hundred dollars, fifty dollars, whatever that amount. It's okay. So that will be easy to collect it, okay. And that way, okay, it will be more appropriate for my people think.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,48607,"""21:26""","I'm off for the private donations. However, I if we are donating to the party then it's full disclosure, 100%, no exceptions. Also, like Iris said, the first time around, I really, really want a pool of money divided evenly amongst all the candidates and that money comes from donations.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,48607,"""21:26""", It's not from public funds.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,10045,"""22:01""","I think public financing is really great in practice. I lived in a state where it happened, and what you had to do was collect some number of small donations, just to prove that you were a viable candidate. And if you met that minimum threshold, then the state would give you a relatively small amount of money to run your your campaign. And this worked all the way up to the governor. And it just, it kept people from having to do the fundraising, right? And it kept them.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,10045,"""22:01"""," Them talking to voters more voters, who otherwise, they would not have the time to talk to. And I think that's really, really healthy and low, although I really recognize its, you know, it's spending public money right. There are other things we can spend public money on. I will never oppose",yes," 1. Them communicating with more voters, who they otherwise would not have the time to reach out to.
2. This is considered healthy for democracy.
3. It is recognized as spending public money.
4. The author acknowledges that there are other areas where public money can be spent.
5. The author will never oppose this initiative.",,,,,,,,," Them communicating with more voters, who they otherwise would not have the time to reach out to",,,,, It is recognized as spending public money,, This is considered healthy for democracy  The author acknowledges that there are other areas where public money can be spent  The author will never oppose this initiative,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
30,9757,"""22:46""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,9757,"""22:46""","Yeah, I was uh, I was going to say I was against the Public Funding, but after hearing Kyle, I'm kind of going to toss up because I think if you just have straight Public Funding, you'll have everybody coming out of the woodwork just because it's free money, and you'll have way more candidates than you have now. But what Kyle said with you have to get so much funds before you can apply for that Public Funding. I would agree to that. And then as Don said, I'm for full disclosure,",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
