Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,9820,"""2:07""","It's Richie, give me. It's Richie I'm the IT guy. Looks like we have the same people from the other day.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,10299,"""2:14""","Except that our group is shrinking. Not sure why. Or I mean, you know, we're getting close to the Finish Line. Personally, I'm a little frustrated that our question has never been chosen some of the letters, you know, they've called on two or three times and not once have they called on our question,",yes," 1. The group is shrinking in size.
2. The reason for the group shrinking is unclear.
3. The group is nearing the finish line.
4. The speaker expresses frustration that their question has never been chosen.
5. Some letters in the group have been called on multiple times.
6. The speaker's question has never been called on.",,,,,,,,,,,,,,, Some letters in the group have been called on multiple times, The group is shrinking in size  The reason for the group shrinking is unclear  The group is nearing the finish line  The speaker expresses frustration that their question has never been chosen  The speaker's question has never been called on,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
3,9734,"""2:32""",Right. We've had some really good questions to ask as well. I don't understand where people have gone and it's the last day.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,9734,"""2:32""", That's confusing to me. It's um hi everybody. I'm still here.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48678,"""2:50""","I'm John. I again, yeah, this last night I've enjoyed our discussions as I agree with the statements on the experts. I'm a good churchgoer. And I've sat through some really boring sermons.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48678,"""2:50"""," But oh, well, you can't.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,48667,"""3:20""","Steve Kerr. Michigan, I agree our group keeps getting smaller and smaller. I think we had 12 or something to start with. Yeah, I'm with you Stacy. I keep waiting for one of our questions to be asked and when you know they're not and I'm guessing that a lot of the questions that are come up with are similar, although I didn't hear one the other night. I didn't hear one Tuesday. That was that was the same one that we had come up with. So, but again, I enjoy this.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48667,"""3:20"""," A little sad. It's our last night to me this is this has been kind of fun, been it very interesting and I appreciate it was nice. No one in our life, get to know everybody here.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,10299,"""3:58""",Yeah the other thing they did have one person or one question that had something to do with voter ID and their response was ridiculous basically said oh well that's that's fraud that's a felony people wouldn't do that. I mean what world do they live in?,yes," 1. The text mentions a voter ID question in a list of topics discussed.
2. The response to the voter ID issue was described as ridiculous.
3. The response was said to claim that voter ID fraud is a felony and therefore unlikely to occur.
4. The text expresses disbelief at the response, indicating that the author thinks people would still commit voter ID fraud.
5. The text implies that the responders are out of touch with reality.",,,,,,,,,,,,,,,," The text mentions a voter ID question in a list of topics discussed  The response to the voter ID issue was described as ridiculous  The response was said to claim that voter ID fraud is a felony and therefore unlikely to occur  The text expresses disbelief at the response, indicating that the author thinks people would still commit voter ID fraud  The text implies that the responders are out of touch with reality",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10,48667,"""4:18""","Yeah, I agree. It seemed like they were a little too quick to just say oh it's not as bad as you think and like well then why did we have that as a discussion? If it's not if it's not as bad as you're making up, making out to not be.",yes," 1. The person disagrees with someone who downplayed an issue.
2. The person thinks the issue is worse than the other person suggested.
3. The other person's response was dismissive, saying ""it's not as bad as you think.""
4. The person questions why the issue was discussed if it's not as bad as they presented it to be.",,,,,,,,,,,,,,,," The person disagrees with someone who downplayed an issue  The person thinks the issue is worse than the other person suggested  The other person's response was dismissive, saying ""it's not as bad as you think "" The person questions why the issue was discussed if it's not as bad as they presented it to be",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
