Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48753,"""2:16""",I think everybody knows the ready. My name is Joe and I'm a retired teacher wife mother grandmother and great-grandmother and I'm really enjoying the discussion with all of you. Thank you.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,48748,"""12:28""","I think that was way too much info for my head to wrap around all at once, but I'll address the first part, I don't think we should raise the limit on contributions. It's just going to give the wealthier and upper hand and stuff and they're the ones that will be the ones contributing",yes," 1. The text suggests not raising the limit on contributions.
2. The author's reason for this is that it would give an advantage to wealthier individuals and those who already have an upper hand.
3. These wealthy and upper-handed individuals would be the ones contributing more if the limit was raised.", The author's reason for this is that it would give an advantage to wealthier individuals and those who already have an upper hand, The text suggests not raising the limit on contributions  These wealthy and upper-handed individuals would be the ones contributing more if the limit was raised,,,,,,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,48768,"""12:54""",I agree. I don't think we should raise the limits on contributions. I think they're pretty high as they stand for individuals and corporations and everything. I do think that maybe finding a way to close. The loopholes to prevent foreign controls entities would be a good thing because I don't think foreign countries should have any say in our elections.,yes," 1. The reader does not think limits on contributions should be raised.
2. They believe the current limits for individuals and corporations are already high.
3. The reader thinks finding a way to close loopholes that prevent foreign control entities from having influence would be a good idea.
4. They believe that foreign countries should not have any say in our elections.", The reader does not think limits on contributions should be raised, They believe the current limits for individuals and corporations are already high, The reader thinks finding a way to close loopholes that prevent foreign control entities from having influence would be a good idea  They believe that foreign countries should not have any say in our elections,,,,,,,,,,,,,,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,48744,"""13:20""","I agree with that. I don't think foreign country is need to be in in our country when it comes to the election. And and what they think is best for our country, my thought 0 is 2 is contributions and I don't even know if this is relevant, but it is. I think it would be nice to have a limit on everybody where they only have so much that they can spend on a campaign and we're",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48744,"""13:20"""," Getting inundated with, you know, County and State commercials, and just it's annoying. I'm tired of it.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48749,"""14:00""","I actually have no problem raising the limit on individual contributions just because I feel like the wealthy wealthy donors are able to channel their funds into Super Pacs right now. And I think just having individual limits raised coming down a funnel, some of that money directly to candidates, as opposed to having it, you know, flow to the super Pacs. So I'm gonna get lost and then go to the candidates. Then when it comes to",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,48749,"""14:00"""," To the foreign regulations against, you know, foreign-controlled entities I think absolutely I think is a no-brainer.",yes," 1. The text recommends supporting foreign regulations against foreign-controlled entities.
2. The recommendation is presented as a ""no-brainer.""",,, The text recommends supporting foreign regulations against foreign-controlled entities,,,,,,,,,,"""",," The recommendation is presented as a ""no-brainer",,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
8,48740,"""14:39""","I agree on the on closing loopholes, so that foreign powers do not have a voice in our election. It's ridiculous. They even have a chance to have a voice in our elections.",yes," 1. Agreement on closing loopholes that allow foreign powers to have a voice in elections.
2. Foreign powers should not have a voice in elections.
3. The existence of loopholes allowing foreign powers to have a chance to influence elections is considered ridiculous.",,, Agreement on closing loopholes that allow foreign powers to have a voice in elections  Foreign powers should not have a voice in elections  The existence of loopholes allowing foreign powers to have a chance to influence elections is considered ridiculous,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9,48737,"""14:54""","I agree that foreign entities shouldn't have any say in our elections. I'm not, I don't know. I don't really have an opinion on raising the limit. Personally, I don't know.",yes," 1. The reader agrees that foreign entities should not have a say in elections.
2. The reader does not express an opinion on raising the limit of something.
3. The reader admits to not having enough personal knowledge to form an opinion on certain matters.",,, The reader agrees that foreign entities should not have a say in elections,,,,,,,,,,,,, The reader does not express an opinion on raising the limit of something  The reader admits to not having enough personal knowledge to form an opinion on certain matters,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
10,48753,"""15:11""","If we can pass a constitutional amendment that would make contributions, not equivalent to free speech, and thereby close down these super Pacs. I think that would be great. It's just I don't like the power that they have. Definitely, we foreign countries should stay out of our elections and we should stay out of",yes," 1. The text suggests passing a constitutional amendment to change the classification of campaign contributions, presumably to something other than free speech.
2. This amendment would have the effect of closing down Super PACs, which the text's author views as powerful entities that they do not like.
3. The text also expresses the opinion that foreign countries should not interfere in American elections.
4. Additionally, the text suggests that America should also refrain from interfering in other countries' elections.",,," This amendment would have the effect of closing down Super PACs, which the text's author views as powerful entities that they do not like  The text also expresses the opinion that foreign countries should not interfere in American elections",,,,,,,,,,,," The text suggests passing a constitutional amendment to change the classification of campaign contributions, presumably to something other than free speech  Additionally, the text suggests that America should also refrain from interfering in other countries' elections",,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
