Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48598,"""2:06""",Hello. My name is Angela crab and I'm from Louisville Mississippi.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,10194,"""2:14""",Hello. My name is Patrick. I'm from Bethlehem Pennsylvania. Thank you.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,48785,"""2:26""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,48785,"""2:26""","Hello, my name is Sharon and I'm from Ohio.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48784,"""2:45""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,48787,"""13:25""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,48787,"""13:25""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,10194,"""13:56""","I'm sorry. Illinois is I did not hear a word you said, I even have the subtitles on and nothing came up on the screen at any rate. I do not support raising anything, especially they got use it under the guise of hearing from the little people.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,10194,"""13:56"""," because all you're going to do is get blown out of the water with the higher money higher dollar,",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,10194,"""13:56"""," Corporate world getting their way. Anyway, we guess we could go on to other topics from here. That's my opinion on raising any type of limit. I'm against it.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,48784,"""14:40""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,10194,"""15:09""","As for the second one, passing an amendment reverse me Supreme Court, Lord's death. You don't like the Supreme Court's decision, take it back to court, don't simply pass an amendment because you have the power.",yes," 1. The second topic refers to passing an amendment to reverse a Supreme Court decision.
2. The speaker expresses their disapproval of this action.
3. They believe that if you disagree with a Supreme Court decision, you should take it back to court.
4. Passing an amendment because you have the power is discouraged.",,,,,,,,,,,,,,, The second topic refers to passing an amendment to reverse a Supreme Court decision," The speaker expresses their disapproval of this action  They believe that if you disagree with a Supreme Court decision, you should take it back to court  Passing an amendment because you have the power is discouraged",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
13,48598,"""19:31""","I don't think public funds should be used for elections. I think they should come up with their own money, not ours.",yes," 1. The speaker thinks that public funds should not be used for elections.
2. The speaker believes that candidates for election should provide their own money for campaigning, not use funds from the public.
3. The speaker's opinion is based on the idea that public funds should not be used for political purposes.",," The speaker believes that candidates for election should provide their own money for campaigning, not use funds from the public",,,,,,,,,,,, The speaker thinks that public funds should not be used for elections  The speaker's opinion is based on the idea that public funds should not be used for political purposes,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
