,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48268,"""2:05"""," hello everybody. my name is scott is currently was my last name i live in show low arizona, and i retired",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48268,"""2:05""", i drove check a trail over 40 years.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,48268,"""2:05""", i was a first responder for seven years back east.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48268,"""2:05"""," i'm from brooklyn new york, i grew up in new jersey, freehold, new jersey.",Yes,"1. The speaker is from Brooklyn, New York.
2. The speaker grew up in Freehold, New Jersey.",,,"1. [A] Reason: The speaker being from Brooklyn, New York may indicate a bias towards changing the current electoral college system, as New York is a state with a large population and potentially less influence in the current system.
2. [C] Reason: The speaker growing up in Freehold, New Jersey does not necessarily indicate a bias for or against changing the current electoral college system.
3. [A] Reason: This argument is pro changing the current electoral college system.
4. [B] Reason: This argument is con changing the current electoral college system.
5. [A] Reason: This argument is pro changing the current electoral college system.",,,"1.  [A] Reason: The speaker being from Brooklyn, New York is not relevant to whether changing the primary system is a good idea or not.
2. [B] Reason: The speaker growing up in Freehold, New Jersey is not relevant to whether changing the primary system is a good idea or not.
3. [A] Reason: This argument is a pro for the proposal as it indicates support for changing the primary system.
4. [B] Reason: This argument is a con for the proposal as it indicates opposition to changing the primary system.
5. [A] Reason: This argument is a pro for the proposal as it indicates strong support for changing the primary system.",,,"1. C Reason: The speaker's location is not relevant to the argument for or against implementing more measures to address voter fraud.
2. C Reason: The speaker's upbringing is not relevant to the argument for or against implementing more measures to address voter fraud.
3. A Reason: This argument is in favor of the proposal to implement more measures to address voter fraud.
4. B Reason: This argument is against the proposal to implement more measures to address voter fraud.
5. A Reason: This argument is in favor of the proposal to implement more measures to address voter fraud.",,,"1.  C Reason: The speaker's location is not relevant to the argument for or against the proposal.
2.  C Reason: The speaker's upbringing is not relevant to the argument for or against the proposal.
3.  A Reason: This argument is in favor of the proposal, stating that it is okay.
4.  B Reason: This argument is against the proposal, stating that it is bad.
5.  A Reason: This argument is in favor of the proposal, stating that it is the best thing ever.",,,"1. [A] Reason: Not applicable to the proposal of implementing more accessibility to voting. The speaker's location does not impact the argument for or against the proposal.
2. [A] Reason: Not applicable to the proposal of implementing more accessibility to voting. The speaker's hometown does not impact the argument for or against the proposal.
3. [A] Reason: Implementing more accessibility to voting is a pro argument as it allows for more individuals to participate in the democratic process.
4. [B] Reason: Implementing more accessibility to voting is a con argument for some individuals who may believe that it could lead to voter fraud or dilution of the voting process.
5. [A] Reason: Implementing more accessibility to voting is seen as a positive change by those who believe it will increase voter turnout and engagement in the democratic process.",,,"1. [A] Reason: The speaker being from Brooklyn, New York does not impact whether implementing more fairness and transparency in the election process is a pro or con.
2. [B] Reason: The speaker growing up in Freehold, New Jersey does not impact whether implementing more fairness and transparency in the election process is a pro or con.
3. [A] Reason: This argument is a pro for the proposal as it aligns with the goal of increasing fairness and transparency in the election process.
4. [B] Reason: This argument is a con for the proposal as it goes against the goal of implementing more fairness and transparency in the election process.
5. [A] Reason: This argument is a pro for the proposal as it supports the idea that implementing more fairness and transparency in the election process is beneficial.",,,"1. C Reason: The speaker's location is not relevant to the argument for or against implementing a term limit for Supreme Court Justices.
2. C Reason: The speaker's upbringing is not relevant to the argument for or against implementing a term limit for Supreme Court Justices.
3. A Reason: This argument is in favor of implementing a term limit for Supreme Court Justices as it suggests that it is an acceptable idea.
4. B Reason: This argument is against implementing a term limit for Supreme Court Justices as it suggests that it is a bad idea.
5. A Reason: This argument is in favor of implementing a term limit for Supreme Court Justices as it suggests that it is the best thing ever.",,,"1. C Reason: The speaker's location or origin does not impact whether restoring voting rights to citizens with felony convictions is a good or bad idea.
2. C Reason: The speaker's location or origin does not impact whether restoring voting rights to citizens with felony convictions is a good or bad idea.
3. A Reason: This argument is in support of the proposal to restore voting rights to citizens with felony convictions.
4. B Reason: This argument is against the proposal to restore voting rights to citizens with felony convictions.
5. A Reason: This argument is in support of the proposal to restore voting rights to citizens with felony convictions.",,,"1.  [A] Reason: The speaker's location is not relevant to whether implementing less strict voting standards is a good idea or not.
2. [C] Reason: The speaker's upbringing is not relevant to whether implementing less strict voting standards is a good idea or not.
3. [A] Reason: This argument is in favor of the proposal, stating that it is okay to implement less strict voting standards.
4. [B] Reason: This argument is against the proposal, stating that it is bad to implement less strict voting standards.
5. [A] Reason: This argument is in favor of the proposal, stating that it is the best thing ever to implement less strict voting standards.",,,"1. [C] Reason: The speaker's location does not impact whether implementing RCV is a good idea or not.
2. [C] Reason: The speaker's hometown does not impact whether implementing RCV is a good idea or not.
3. [A] Reason: This argument is in favor of the proposal as it suggests that implementing RCV is acceptable.
4. [B] Reason: This argument is against the proposal as it suggests that implementing RCV is bad.
5. [A] Reason: This argument is in favor of the proposal as it suggests that implementing RCV is the best thing ever.",,,"1. [A] Reason: The speaker being from Brooklyn, New York does not impact whether increasing opportunities for learning about civic education in schools is a good idea or not.
2. [A] Reason: The speaker growing up in Freehold, New Jersey does not impact whether increasing opportunities for learning about civic education in schools is a good idea or not.
3. [A] Reason: This argument is in support of the proposal to increase opportunities for learning about civic education in schools.
4. [B] Reason: This argument is against the proposal to increase opportunities for learning about civic education in schools.
5. [A] Reason: This argument is in support of the proposal to increase opportunities for learning about civic education in schools.",,,"1. C Reason: The speaker's location is not relevant to the argument for or against the proposal.
2. C Reason: The speaker's hometown is not relevant to the argument for or against the proposal.
3. A Reason: This argument is in favor of the proposal as it suggests that implementing limits on financing individual candidates and parties is acceptable.
4. B Reason: This argument is against the proposal as it suggests that implementing limits on financing individual candidates and parties is bad.
5. A Reason: This argument is in favor of the proposal as it suggests that implementing limits on financing individual candidates and parties is the best thing ever.",,,"1. C Reason: The speaker's location is not relevant to the argument for or against the proposal.
2. C Reason: The speaker's upbringing is not relevant to the argument for or against the proposal.
3. A Reason: This argument is in favor of the proposal as it supports the idea of increasing public funding and financing for campaigns.
4. B Reason: This argument is against the proposal as it states that increasing public funding and financing for campaigns is bad.
5. A Reason: This argument is in favor of the proposal as it states that increasing public funding and financing for campaigns is the best thing ever.",False,False,False,False,False,False,False,False,False
4,5,48268,"""2:05""", and that's it.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,48370,"""2:48"""," hi. my name is andy. i was born in milwaukee wisconsin. i am currently living there. i really the big thing about me is i work as a data analyst and yeah, i really have much else about me.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,10332,"""3:05"""," hi, my name is latoya, norman. i'm from south carolina. i'm a behavior therapist. i have three kids and that's about it.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,10459,"""3:20"""," hi, i'm anna. i'm from colorado. i do, specialty, insurance underwriting. it's a lot of fun. i don't have three kids but i have three cats. they're pretty fun.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,48186,"""3:34"""," hello. my name is kevin. i'm from upstate, new york originally and lived in the midwest for about 20 years, currently, retired and living in south florida. so i'll keep looking forward to today's discussion. maybe i can learn something. thank you.",Yes,"1. The speaker's name is Kevin.
2. He is originally from upstate New York.
3. He lived in the Midwest for about 20 years.
4. He is currently retired and living in South Florida.
5. He is looking forward to today's discussion and hopes to learn something.",,,"1. [C] Reason: The speaker's name being Kevin is not relevant to the proposal to change the electoral college.
2. [C] Reason: His origin from upstate New York is not relevant to the proposal to change the electoral college.
3. [C] Reason: His time living in the Midwest is not relevant to the proposal to change the electoral college.
4. [C] Reason: His current retirement in South Florida is not relevant to the proposal to change the electoral college.
5. [C] Reason: His interest in learning something from today's discussion is not relevant to the proposal to change the electoral college.",,,"1. [A] Reason: Knowing the speaker's name can help establish credibility and trustworthiness.
2. [C] Reason: The speaker's origin does not directly relate to the proposal to change the primary system.
3. [C] Reason: The speaker's past residence in the Midwest is not relevant to the proposal.
4. [C] Reason: The speaker's current retirement location in South Florida does not impact the proposal.
5. [A] Reason: The speaker's interest in learning and engaging in the discussion shows a willingness to consider different perspectives and potentially be open to change.",,,"1. [C] Reason: The speaker's name and personal background are not relevant to the proposal to implement more measures to address voter fraud.
2. [C] Reason: The speaker's origin from upstate New York is not relevant to the proposal to implement more measures to address voter fraud.
3. [C] Reason: The speaker's time living in the Midwest is not relevant to the proposal to implement more measures to address voter fraud.
4. [C] Reason: The speaker's current retirement in South Florida is not relevant to the proposal to implement more measures to address voter fraud.
5. [C] Reason: The speaker's anticipation for the discussion and desire to learn something is not relevant to the proposal to implement more measures to address voter fraud.",,,"1. [C] Reason: The speaker's name and personal background are not relevant to the proposal of using proportional representatives to elect elected officials.
2. [C] Reason: The speaker's origin from upstate New York is not relevant to the proposal.
3. [C] Reason: The speaker's time living in the Midwest is not relevant to the proposal.
4. [C] Reason: The speaker's current retirement in South Florida is not relevant to the proposal.
5. [C] Reason: The speaker's anticipation for the discussion and desire to learn something is not relevant to the proposal.",,,"1. [C] Reason: The speaker's name and personal background are not relevant to the proposal of implementing more accessibility to voting.
2. [C] Reason: The speaker's origin from upstate New York is not relevant to the proposal of implementing more accessibility to voting.
3. [C] Reason: The speaker's time living in the Midwest is not relevant to the proposal of implementing more accessibility to voting.
4. [C] Reason: The speaker's current retirement in South Florida is not relevant to the proposal of implementing more accessibility to voting.
5. [C] Reason: The speaker's anticipation for the discussion and desire to learn something is not relevant to the proposal of implementing more accessibility to voting.",,,"1. [C] Reason: The speaker's name and background information are not relevant to the proposal of implementing more fairness and transparency in the election process.
2. [C] Reason: The speaker's origin from upstate New York is not relevant to the proposal.
3. [C] Reason: The speaker's time spent living in the Midwest is not relevant to the proposal.
4. [C] Reason: The speaker's current retirement in South Florida is not relevant to the proposal.
5. [C] Reason: The speaker's anticipation for the discussion and desire to learn something is not relevant to the proposal.",,,"1. [C] Reason: The speaker's name and personal background are not relevant to the proposal of implementing term limits for Supreme Court Justices.
2. [C] Reason: The speaker's origin from upstate New York is not relevant to the proposal of implementing term limits for Supreme Court Justices.
3. [C] Reason: The speaker's time living in the Midwest is not relevant to the proposal of implementing term limits for Supreme Court Justices.
4. [C] Reason: The speaker's current retirement in South Florida is not relevant to the proposal of implementing term limits for Supreme Court Justices.
5. [C] Reason: The speaker's anticipation for the discussion and desire to learn something is not relevant to the proposal of implementing term limits for Supreme Court Justices.",,,"1. [C] Reason: The speaker's name and background information are not relevant to the proposal about restoring voting rights to citizens with felony convictions.
2. [C] Reason: The speaker's origin from upstate New York is not relevant to the proposal about restoring voting rights to citizens with felony convictions.
3. [C] Reason: The speaker's time living in the Midwest is not relevant to the proposal about restoring voting rights to citizens with felony convictions.
4. [C] Reason: The speaker's current retirement in South Florida is not relevant to the proposal about restoring voting rights to citizens with felony convictions.
5. [C] Reason: The speaker's interest in learning something from the discussion is not relevant to the proposal about restoring voting rights to citizens with felony convictions.",1. The speaker's name is Kevin.,,"1. A Reason: The speaker's name being Kevin is not relevant to the proposal of implementing less strict voting standards.
2. C Reason: Where the speaker is originally from is not relevant to the proposal of implementing less strict voting standards.
3. C Reason: The speaker's past living location is not relevant to the proposal of implementing less strict voting standards.
4. C Reason: The speaker's current location is not relevant to the proposal of implementing less strict voting standards.
5. C Reason: The speaker's interest in the discussion is not relevant to the proposal of implementing less strict voting standards.",,,"1. [C] Reason: The speaker's name and background information are not relevant to the proposal to implement RCV as an alternative method for elected officials and representatives.
2. [C] Reason: The speaker's origin from upstate New York is not relevant to the proposal.
3. [C] Reason: The speaker's time living in the Midwest is not relevant to the proposal.
4. [C] Reason: The speaker's current retirement in South Florida is not relevant to the proposal.
5. [C] Reason: The speaker's interest in learning something from the discussion is not relevant to the proposal.",,,"1. C Reason: The speaker's name and background information are not relevant to the proposal about increasing opportunities for learning about civic education in schools.
2. C Reason: The speaker's origin and past residences are not relevant to the proposal about increasing opportunities for learning about civic education in schools.
3. C Reason: The speaker's past residences are not relevant to the proposal about increasing opportunities for learning about civic education in schools.
4. C Reason: The speaker's current residence and retirement status are not relevant to the proposal about increasing opportunities for learning about civic education in schools.
5. C Reason: The speaker's interest in the discussion is not relevant to the proposal about increasing opportunities for learning about civic education in schools.",,,"1. [C] Reason: The speaker's name and background information are not relevant to the proposal on implementing limits on financing individual candidates and parties.
2. [C] Reason: The speaker's origin and past residences are not relevant to the proposal on implementing limits on financing individual candidates and parties.
3. [C] Reason: The speaker's past residences are not relevant to the proposal on implementing limits on financing individual candidates and parties.
4. [C] Reason: The speaker's current residence and retirement status are not relevant to the proposal on implementing limits on financing individual candidates and parties.
5. [C] Reason: The speaker's interest in learning something from the discussion is not relevant to the proposal on implementing limits on financing individual candidates and parties.",,,"1. [C] Reason: The speaker's name and background do not have any relevance to the proposal for increasing public funding and financing for campaigns.
2. [C] Reason: The speaker's origin from upstate New York is not relevant to the proposal.
3. [C] Reason: The speaker's time spent living in the Midwest is not relevant to the proposal.
4. [C] Reason: The speaker's current retirement in South Florida is not relevant to the proposal.
5. [C] Reason: The speaker's anticipation for the discussion and desire to learn something is not relevant to the proposal.",False,False,False,False,False,False,False,False,False
9,10,9744,"""3:59"""," hi, i'm joyce. i'm from southern california. i'm a small business owner and this is the third time. i've gotten to participate in american one room.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
