,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,8586532,"""2:18"""," my name is carol mcgowan and i couldn't hear a speaking. i am, i live in albuquerque. new mexico? i am retired but maybe about to go back to work again.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,8586836,"""2:37""", gina granberry from massachusetts.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,8586991,"""2:43"""," hey, my name is nick. i am a software engineer and i live in huntington west virginia.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,8587141,"""2:52""", i'm mad as i am also in virginia.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,8587385,"""3:04""", i'll give another shot here. i think i might have been on mute. i met simon billings montana.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,8587548,"""3:14""", i'm alex. i live in arizona.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,8590038,"""11:44"""," i'll start out first. i'm a big fan of rank choice voting. i think it's really the way to go. it's used in many other countries around the world with a lot of success. i know there's definitely some concern about it. might be confusing or whatnot but i think people are pretty smart and realistically, if you vote just for the single candidate and don't vote, you know don't continue to rank. anyone else you lose? absolutely nothing in my mind, it's exactly the same as what you have. i",Yes,"1. Rank choice voting is used successfully in many other countries.
2. People are smart enough to understand and use rank choice voting.
3. Not ranking candidates does not result in any loss or difference in the outcome.",,,"1.  [A] Reason: This argument is a pro because it highlights the success of rank choice voting in other countries, suggesting that it could be successful in this proposal as well.
2. [A] Reason: This argument is a pro because it suggests that people are capable of understanding and using rank choice voting, which would be necessary for the proposal to be successful.
3. [C] Reason: This argument is not applicable to the proposal as it does not directly address the use of proportional representatives to elect elected officials.
4. [A] Reason: This argument is a pro because it directly supports the proposal to use proportional representatives to elect elected officials.
5. [B] Reason: This argument is a con because it directly opposes the proposal, suggesting that it is bad to use proportional representatives to elect elected officials.","1. Rank choice voting is used successfully in many other countries.
2. People are smart enough to understand and use rank choice voting.",3. Not ranking candidates does not result in any loss or difference in the outcome.,"1. A Reason: Rank choice voting is a pro argument as it suggests a potential alternative to the current electoral college system.
2. A Reason: People being smart enough to understand and use rank choice voting is a pro argument as it suggests that the implementation of a new voting system is feasible.
3. B Reason: Not ranking candidates resulting in no loss or difference in the outcome is a con argument as it implies that the current system is sufficient and does not need to be changed.
4. A Reason: Change the current electoral college being okay is a pro argument as it suggests that there is room for improvement in the current system.
5. B Reason: Change the current electoral college being bad is a con argument as it implies that the current system is preferable to any potential changes.",,,"1.  [A] Reason: This argument is a pro because it highlights the success of rank choice voting in other countries, suggesting that it could be a beneficial option for increasing accessibility to voting.
2. [A] Reason: This argument is a pro because it suggests that people are capable of understanding and using rank choice voting, which could make voting more accessible to a wider range of individuals.
3. [B] Reason: This argument is a con because it suggests that not ranking candidates does not impact the outcome, which could be seen as a reason to not implement rank choice voting as a means of increasing accessibility to voting.
4. [C] Reason: This argument is not applicable to the proposal as it does not provide any specific reasoning for or against implementing more accessibility to voting.
5. [C] Reason: This argument is not applicable to the proposal as it simply states an opinion without providing any reasoning for why implementing more accessibility to voting would be bad.",,,"1. [A] Reason: This argument is pro because it highlights the success of rank choice voting in other countries, suggesting that it could be beneficial to implement in this proposal.
2. [A] Reason: This argument is pro because it suggests that people are capable of understanding and using rank choice voting, which could support the implementation of this proposal.
3. [C] Reason: This argument is not applicable to the given proposal as it discusses the outcome of not ranking candidates, which is not directly related to implementing limits on financing individual candidates and parties.
4. [A] Reason: This argument is pro because it supports the proposal to implement limits on financing individual candidates and parties.
5. [B] Reason: This argument is con because it opposes the proposal to implement limits on financing individual candidates and parties.","1. Rank choice voting is used successfully in many other countries.
3. Not ranking candidates does not result in any loss or difference in the outcome.",2. People are smart enough to understand and use rank choice voting.,"1.  A Reason: Rank choice voting being used successfully in other countries is a pro argument for changing the primary system as it shows that the system can work effectively.
2. A Reason: People being smart enough to understand and use rank choice voting is a pro argument for changing the primary system as it suggests that the system is feasible for implementation.
3. B Reason: Not ranking candidates resulting in no loss or difference in the outcome is a con argument for changing the primary system as it implies that the current system is sufficient and does not need to be changed.
4. A Reason: ""Change the primary system is okay"" is a pro argument for changing the primary system as it indicates a willingness to consider and potentially implement a new system.
5. B Reason: ""Change the primary system is bad"" is a con argument for changing the primary system as it suggests that the current system is preferable and should not be altered.",,,"1.  [A] Reason: This argument is not applicable to the given proposal because it does not directly address the implementation of more measures to address voter fraud.
2. [C] Reason: This argument is not applicable to the given proposal because it does not directly address the implementation of more measures to address voter fraud.
3. [C] Reason: This argument is not applicable to the given proposal because it does not directly address the implementation of more measures to address voter fraud.
4. [A] Reason: This argument is a pro for the given proposal as it supports the idea of implementing more measures to address voter fraud.
5. [B] Reason: This argument is a con for the given proposal as it opposes the idea of implementing more measures to address voter fraud.",2. People are smart enough to understand and use rank choice voting.,3. Not ranking candidates does not result in any loss or difference in the outcome.,"1. C Reason: Rank choice voting is not directly related to the proposal of increasing public funding and financing for campaigns.
2. A Reason: This argument is a pro for the proposal as it suggests that people are capable of understanding and using rank choice voting, which could potentially be implemented with increased public funding.
3. B Reason: This argument is a con for the proposal as it suggests that not ranking candidates could potentially impact the outcome, which could be a concern with increased public funding and financing for campaigns.
4. A Reason: This argument is a pro for the proposal as it directly supports the idea of increasing public funding and financing for campaigns.
5. B Reason: This argument is a con for the proposal as it directly opposes the idea of increasing public funding and financing for campaigns.","1. Rank choice voting is used successfully in many other countries.
2. People are smart enough to understand and use rank choice voting.",,"1. A Reason: Rank choice voting being used successfully in other countries is a pro argument for implementing a term limit for Supreme Court Justices as it shows that the concept of implementing new voting systems can be successful.
2. A Reason: People being smart enough to understand and use rank choice voting is a pro argument for implementing a term limit for Supreme Court Justices as it suggests that the public is capable of adapting to new voting systems.
3. C Reason: Not ranking candidates does not result in any loss or difference in the outcome is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not directly relate to the issue at hand.
4. A Reason: Implement a term limit for Supreme Court Justices is okay is a pro argument for the proposal itself, indicating support for the idea.
5. B Reason: Implement a term limit for Supreme Court Justices is bad is a con argument against the proposal, suggesting that term limits for Supreme Court Justices may have negative consequences.",,,"1. [A] Reason: This argument is pro because it highlights the success of rank choice voting in other countries, suggesting that it could be beneficial to implement in the proposal to increase opportunities for learning about civic education in schools.
2. [A] Reason: This argument is pro because it suggests that people are capable of understanding and using rank choice voting, which supports the idea of incorporating it into civic education curriculum in schools.
3. [B] Reason: This argument is con because it suggests that not ranking candidates does not make a difference in the outcome, which goes against the idea of promoting rank choice voting as a valuable learning opportunity in schools.
4. [C] Reason: This argument is not applicable as it simply states that the proposal is okay without providing any reasoning for or against it.
5. [B] Reason: This argument is con because it states that increasing opportunities for learning about civic education in schools is bad, which directly opposes the proposal.","1. Rank choice voting is used successfully in many other countries.
2. People are smart enough to understand and use rank choice voting.",3. Not ranking candidates does not result in any loss or difference in the outcome.,"1. A Reason: Rank choice voting is a pro argument as it promotes fairness and transparency in the election process.
2. A Reason: People being smart enough to understand and use rank choice voting is a pro argument as it supports the idea that implementing more fairness and transparency in the election process is achievable.
3. B Reason: Not ranking candidates can result in a loss or difference in the outcome, which goes against the proposal of implementing more fairness and transparency in the election process.
4. A Reason: Implementing more fairness and transparency in the election process is a pro argument as it aligns with the proposal itself.
5. B Reason: Saying that implementing more fairness and transparency in the election process is bad is a con argument as it goes against the proposal's goal of improving the election process.","1. Rank choice voting is used successfully in many other countries.
2. People are smart enough to understand and use rank choice voting.",3. Not ranking candidates does not result in any loss or difference in the outcome.,"1. A Reason: Rank choice voting being used successfully in other countries is a pro argument because it shows that the system can work effectively in practice.
2. A Reason: People being smart enough to understand and use rank choice voting is a pro argument because it suggests that the system is accessible and can be easily adopted by the public.
3. B Reason: Not ranking candidates does result in a difference in the outcome in rank choice voting, as it can impact the final result and potentially lead to a less representative outcome.
4. C Reason: This argument is not applicable to the proposal as it does not provide a clear stance on the use of rank choice voting.
5. C Reason: This argument is not applicable to the proposal as it does not provide a clear stance on the use of rank choice voting.",,,"1.  [A] Reason: This argument is a pro because it highlights the success of rank choice voting in other countries, suggesting that it could be beneficial to implement less strict voting standards.
2. [A] Reason: This argument is a pro because it suggests that people are capable of understanding and using rank choice voting, supporting the idea of less strict voting standards.
3. [C] Reason: This argument is not applicable to the proposal as it does not directly address the idea of implementing less strict voting standards.
4. [A] Reason: This argument is a pro because it directly supports the proposal to implement less strict voting standards.
5. [B] Reason: This argument is a con because it opposes the proposal to implement less strict voting standards.",,,"1. [C] Reason: This argument is not applicable to the given proposal as it does not directly address the restoration of voting rights to citizens with felony convictions.
2. [C] Reason: This argument is not applicable to the given proposal as it does not directly address the restoration of voting rights to citizens with felony convictions.
3. [B] Reason: This argument is a con because not ranking candidates in a rank choice voting system can potentially impact the outcome and may not accurately reflect the preferences of voters.
4. [A] Reason: This argument is a pro as it supports the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
5. [B] Reason: This argument is a con as it opposes the proposal to restore voting rights to citizens with felony convictions upon their release from prison.",False,False,False,False,False,False,False,True,False
7,8,8590038,"""11:44""", i would be a little bit concerned about looking to update polling. like i don't understand why they couldn't just use a simple scantron sheet just like you know you did for your sats or standardized test just fill in the bubbles.,Yes,"1. Concerned about updating polling methods
2. Believes scantron sheets could be a simple and effective alternative
3. Questions the need for more advanced polling technology",2. Believes scantron sheets could be a simple and effective alternative,1. Concerned about updating polling methods,"1. B Reason: Concern about updating polling methods suggests a potential con to the proposal, as it may require new technology or methods.
2. A Reason: Belief that scantron sheets could be a simple and effective alternative is a pro for the proposal, as it suggests a potential benefit of using current technology.
3. C Reason: Questioning the need for more advanced polling technology does not directly relate to the proposal of using proportional representatives to elect officials.
4. A Reason: Agreeing that using proportional representatives to elect officials is okay is a pro for the proposal.
5. B Reason: Believing that using proportional representatives to elect officials is bad is a con for the proposal.",1. Concerned about updating polling methods,2. Believes scantron sheets could be a simple and effective alternative,"1. A Reason: Concerned about updating polling methods could be seen as a pro argument for changing the current electoral college, as updating polling methods could potentially lead to a more accurate and fair election process.
2. B Reason: Believes scantron sheets could be a simple and effective alternative could be seen as a con argument for changing the current electoral college, as it suggests that the current system may not need to be changed if a simple and effective alternative already exists.
3. C Reason: Questions the need for more advanced polling technology is not applicable to the given proposal, as the proposal is specifically about changing the electoral college system, not about implementing more advanced polling technology.
4. A Reason: Change the current electoral college is okay could be seen as a pro argument for the proposal, as it indicates support for making changes to the current system.
5. B Reason: Change the current electoral college is bad could be seen as a con argument for the proposal, as it suggests that changing the current system would have negative consequences.",,,"1. [B] Reason: This argument is a con because it suggests that updating polling methods could be a challenge or concern.
2. [A] Reason: This argument is a pro because it suggests that scantron sheets could be a simple and effective alternative to improve accessibility to voting.
3. [B] Reason: This argument is a con because it questions the need for more advanced polling technology, which could hinder efforts to implement more accessibility to voting.
4. [A] Reason: This argument is a pro because it directly supports the proposal to implement more accessibility to voting.
5. [B] Reason: This argument is a con because it suggests that implementing more accessibility to voting is bad, without providing any reasoning.",,,"1. [C] Reason: This argument is not applicable to the given proposal as it does not address the issue of implementing limits on financing individual candidates and parties.
2. [C] Reason: This argument is not applicable to the given proposal as it does not address the issue of implementing limits on financing individual candidates and parties.
3. [C] Reason: This argument is not applicable to the given proposal as it does not address the issue of implementing limits on financing individual candidates and parties.
4. [A] Reason: This argument is a pro for the given proposal as it supports the idea of implementing limits on financing individual candidates and parties.
5. [B] Reason: This argument is a con for the given proposal as it opposes the idea of implementing limits on financing individual candidates and parties.","1. Concerned about updating polling methods
2. Believes scantron sheets could be a simple and effective alternative",,"1. A Reason: Concerned about updating polling methods could be seen as a con argument because it suggests potential challenges or complications in implementing a new primary system.
2. A Reason: Believes scantron sheets could be a simple and effective alternative could be seen as a pro argument because it suggests a potential solution that could make the primary system more efficient.
3. C Reason: Questions the need for more advanced polling technology is not applicable to the given proposal because it does not directly address the idea of changing the primary system.
4. A Reason: Change the primary system is okay could be seen as a pro argument because it indicates support for the proposal.
5. B Reason: Change the primary system is bad could be seen as a con argument because it expresses opposition to the proposal.",,,"1. [A] Reason: This argument is a pro because updating polling methods could potentially help address voter fraud by implementing more secure and efficient voting processes.
2. [A] Reason: This argument is a pro because using scantron sheets could provide a simple and effective alternative to traditional voting methods, potentially reducing the risk of voter fraud.
3. [B] Reason: This argument is a con because questioning the need for more advanced polling technology may hinder efforts to address voter fraud effectively.
4. [A] Reason: This argument is a pro because implementing more measures to address voter fraud is in line with the proposal and would likely help improve the integrity of the voting process.
5. [B] Reason: This argument is a con because stating that implementing more measures to address voter fraud is bad goes against the proposal and the goal of ensuring fair and secure elections.",,,"1. C Reason: Updating polling methods is not directly related to the proposal of increasing public funding and financing for campaigns.
2. C Reason: Using scantron sheets as an alternative to polling methods is not directly related to the proposal of increasing public funding and financing for campaigns.
3. C Reason: Questioning the need for more advanced polling technology is not directly related to the proposal of increasing public funding and financing for campaigns.
4. A Reason: This argument is in support of the proposal, indicating that the increase in public funding and financing for campaigns is acceptable.
5. B Reason: This argument is against the proposal, indicating that the increase in public funding and financing for campaigns is bad.",,,"1. C Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not address the issue at hand.
2. C Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not address the issue at hand.
3. C Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not address the issue at hand.
4. A Reason: This argument is pro the proposal as it supports the idea of implementing a term limit for Supreme Court Justices.
5. B Reason: This argument is con the proposal as it opposes the idea of implementing a term limit for Supreme Court Justices.",,1. Concerned about updating polling methods,"1. B Reason: This argument is not applicable to the given proposal as it is about updating polling methods, not about increasing opportunities for learning about civic education in schools.
2. C Reason: This argument is not applicable to the given proposal as it is about using scantron sheets as an alternative to polling methods, not about increasing opportunities for learning about civic education in schools.
3. C Reason: This argument is not applicable to the given proposal as it is questioning the need for more advanced polling technology, not about increasing opportunities for learning about civic education in schools.
4. A Reason: This argument is pro the given proposal as it supports increasing opportunities for learning about civic education in schools.
5. B Reason: This argument is con the given proposal as it states that increasing opportunities for learning about civic education in schools is bad.","1. Concerned about updating polling methods
2. Believes scantron sheets could be a simple and effective alternative",3. Questions the need for more advanced polling technology,"1. A Reason: This argument is not directly related to the proposal of implementing more fairness and transparency in the election process. It focuses on updating polling methods, which could potentially be a separate issue.
2. A Reason: This argument is not directly related to the proposal of implementing more fairness and transparency in the election process. It suggests an alternative method for voting, which may or may not contribute to fairness and transparency.
3. B Reason: This argument is a con because it questions the need for more advanced polling technology, which could potentially enhance fairness and transparency in the election process.
4. A Reason: This argument is a pro because it directly supports the proposal of implementing more fairness and transparency in the election process.
5. B Reason: This argument is a con because it states that implementing more fairness and transparency in the election process is bad, without providing any reasoning.",,,"1. [A] Reason: This argument is a pro because implementing RCV would involve updating polling methods, which could lead to more accurate and representative election results.
2. [B] Reason: This argument is a con because using scantron sheets is not a viable alternative to RCV, as it does not address the issues of representation and fairness that RCV aims to solve.
3. [B] Reason: This argument is a con because questioning the need for more advanced polling technology suggests a lack of understanding of the benefits that RCV can bring to the electoral process.
4. [A] Reason: This argument is a pro because implementing RCV as an alternative method to elected officials and representatives at all levels can lead to more inclusive and representative governance.
5. [B] Reason: This argument is a con because simply stating that implementing RCV is bad without providing any reasoning or evidence does not contribute to a constructive discussion on the topic.",2. Believes scantron sheets could be a simple and effective alternative,1. Concerned about updating polling methods,"1. B Reason: Concerns about updating polling methods suggest a potential con to implementing less strict voting standards, as it may hinder progress in modernizing voting processes.
2. A Reason: Believing scantron sheets could be a simple and effective alternative is a pro for implementing less strict voting standards, as it suggests a potential solution that could make voting more accessible.
3. C Reason: Questioning the need for more advanced polling technology is not directly related to the proposal of implementing less strict voting standards, so it is not applicable.
4. A Reason: This statement directly supports the proposal, indicating it is okay to implement less strict voting standards.
5. B Reason: This statement directly opposes the proposal, indicating it is bad to implement less strict voting standards.",,,"1. [C] Reason: This argument is not applicable to the given proposal as it does not address the issue of restoring voting rights to citizens with felony convictions.
2. [C] Reason: This argument is not applicable to the given proposal as it does not address the issue of restoring voting rights to citizens with felony convictions.
3. [C] Reason: This argument is not applicable to the given proposal as it does not address the issue of restoring voting rights to citizens with felony convictions.
4. [A] Reason: This argument is pro because it supports the proposal to restore federal and state voting rights to citizens with felony convictions upon their release from prison.
5. [B] Reason: This argument is con because it opposes the proposal to restore federal and state voting rights to citizens with felony convictions upon their release from prison.",False,False,False,False,False,False,False,True,False
8,9,8590259,"""12:28"""," i'm intrigued by the possibility of ranked choice voting. i noticed in the alaska election, how sometimes the, the results that might have been more predictable with the usual way of voting turned out a little differently. so, i'd actually like to have a chance to use in other arenas. some rank choice voting and just see. how does that work? you know, how to get?",Yes,"1. The speaker is intrigued by the possibility of ranked choice voting.
2. They noticed in the Alaska election that the results were different than what might have been predicted with traditional voting methods.
3. The speaker would like to see ranked choice voting used in other arenas to see how it works and its impact.","2. They noticed in the Alaska election that the results were different than what might have been predicted with traditional voting methods.
3. The speaker would like to see ranked choice voting used in other arenas to see how it works and its impact.",,"1. C Reason: The argument is not directly related to the proposal of using proportional representatives to elect elected officials.
2. A Reason: This argument is a pro for the proposal as it highlights the potential benefits of using ranked choice voting, which is a form of proportional representation.
3. A Reason: This argument is also a pro for the proposal as it shows interest in exploring different voting methods, including proportional representation.
4. A Reason: This argument is a pro for the proposal as it indicates acceptance or approval of using proportional representatives to elect elected officials.
5. B Reason: This argument is a con for the proposal as it states that using proportional representatives to elect elected officials is bad.",,,"1.  [A] Reason: Ranked choice voting is a potential alternative to the current electoral college system, so the speaker's interest in it aligns with the proposal to change the current electoral college.
2. [A] Reason: The speaker's observation that the Alaska election results differed from predictions with traditional voting methods suggests a potential benefit of exploring alternative voting systems like ranked choice voting.
3. [A] Reason: The speaker's desire to see ranked choice voting used in other arenas indicates a positive attitude towards experimenting with different voting methods, which is relevant to the proposal to change the current electoral college.
4. [A] Reason: This argument is in favor of changing the current electoral college system, aligning with the proposal.
5. [B] Reason: This argument is against changing the current electoral college system, which goes against the proposal.",,,"1. C Reason: The argument is not applicable to the given proposal of implementing more accessibility to voting as it is focused on ranked choice voting, which is a different voting method.
2. C Reason: Similar to argument 1, this argument is not directly related to the proposal of implementing more accessibility to voting as it discusses the results of a specific election in Alaska.
3. C Reason: This argument is also not directly related to the proposal of implementing more accessibility to voting as it focuses on the speaker's interest in exploring ranked choice voting in other areas.
4. A Reason: This argument is a pro for the given proposal as it supports the idea of implementing more accessibility to voting.
5. B Reason: This argument is a con for the given proposal as it opposes the idea of implementing more accessibility to voting.",,,"1. C Reason: The argument is not applicable to the given proposal as it does not directly address the implementation of limits on financing individual candidates and parties.
2. C Reason: The argument is not applicable to the given proposal as it does not directly address the implementation of limits on financing individual candidates and parties.
3. C Reason: The argument is not applicable to the given proposal as it does not directly address the implementation of limits on financing individual candidates and parties.
4. A Reason: This argument is pro the given proposal as it supports the idea of implementing limits on financing individual candidates and parties.
5. B Reason: This argument is con the given proposal as it opposes the idea of implementing limits on financing individual candidates and parties.","1. The speaker is intrigued by the possibility of ranked choice voting.
2. They noticed in the Alaska election that the results were different than what might have been predicted with traditional voting methods.
3. The speaker would like to see ranked choice voting used in other arenas to see how it works and its impact.",,"1.  A Reason: The speaker is intrigued by the possibility of ranked choice voting, which suggests they are in favor of changing the primary system.
2. A Reason: The speaker noticed that ranked choice voting produced different results than traditional methods, which could be seen as a benefit of changing the primary system.
3. A Reason: The speaker wants to see ranked choice voting used in other arenas to understand its impact, indicating a positive view towards changing the primary system.
4. A Reason: Not applicable, as this argument does not provide a clear stance on whether changing the primary system is good or bad.
5. B Reason: This argument is against changing the primary system, as it states that it is bad.",,,"1. C Reason: The argument is not applicable to the given proposal of implementing more measures to address voter fraud as it is discussing ranked choice voting.
2. C Reason: The argument is not applicable to the given proposal as it is discussing the results of an election in Alaska.
3. C Reason: The argument is not applicable to the given proposal as it is discussing the potential use of ranked choice voting in other arenas.
4. A Reason: This argument is a pro for the given proposal as it supports the idea of implementing more measures to address voter fraud.
5. B Reason: This argument is a con for the given proposal as it opposes the idea of implementing more measures to address voter fraud.","2. They noticed in the Alaska election that the results were different than what might have been predicted with traditional voting methods.
3. The speaker would like to see ranked choice voting used in other arenas to see how it works and its impact.",,"1. C Reason: Ranked choice voting is not directly related to the proposal of increasing public funding and financing for campaigns.
2. A Reason: This argument is in favor of the proposal as it highlights the potential benefits of alternative voting methods that could be explored with increased funding.
3. A Reason: This argument is in favor of the proposal as it expresses interest in further testing ranked choice voting, which could be facilitated by increased funding.
4. A Reason: This argument is in favor of the proposal as it directly supports the idea of increasing public funding and financing for campaigns.
5. B Reason: This argument is against the proposal as it states that increasing public funding and financing for campaigns is bad.",,,"1. C Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it is discussing ranked choice voting.
2. C Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it is discussing ranked choice voting.
3. C Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it is discussing ranked choice voting.
4. A Reason: This argument is pro the proposal as it indicates support for implementing a term limit for Supreme Court Justices.
5. B Reason: This argument is con the proposal as it indicates opposition to implementing a term limit for Supreme Court Justices.",,,"1. C Reason: This argument is not applicable to the given proposal as it is discussing ranked choice voting, not civic education in schools.
2. C Reason: This argument is not applicable to the given proposal as it is discussing the results of an election in Alaska, not civic education in schools.
3. C Reason: This argument is not applicable to the given proposal as it is discussing the potential use of ranked choice voting in other arenas, not civic education in schools.
4. A Reason: This argument is pro the given proposal as it supports increasing opportunities for learning about civic education in schools.
5. B Reason: This argument is con the given proposal as it states that increasing opportunities for learning about civic education in schools is bad.",,,"1.  [A] Reason: Ranked choice voting is a method that can promote fairness and transparency in the election process by allowing voters to rank candidates in order of preference, potentially leading to more representative outcomes.
2. [A] Reason: The fact that the results in the Alaska election differed from predictions with traditional voting methods suggests that alternative methods like ranked choice voting could address issues of fairness and transparency.
3. [A] Reason: Trying ranked choice voting in other arenas can help assess its effectiveness in promoting fairness and transparency in the election process.
4. [A] Reason: This argument aligns with the proposal to implement more fairness and transparency in the election process.
5. [B] Reason: This argument goes against the proposal and does not support the idea of implementing more fairness and transparency in the election process.","1. The speaker is intrigued by the possibility of ranked choice voting.
2. They noticed in the Alaska election that the results were different than what might have been predicted with traditional voting methods.
3. The speaker would like to see ranked choice voting used in other arenas to see how it works and its impact.",,"1. A Reason: The speaker is intrigued by the possibility of ranked choice voting, indicating a positive view towards the proposal.
2. A Reason: The speaker noticed that the results in the Alaska election were different than predicted, which could be seen as a pro for implementing RCV.
3. A Reason: The speaker wants to see RCV used in other arenas to understand its impact, suggesting a positive attitude towards the proposal.
4. A Reason: This argument is not applicable as it simply restates the proposal without providing a clear pro or con stance.
5. B Reason: This argument is a con as it states that implementing RCV as an alternative method is bad without providing any specific reasons.",,,"1.  [A] Reason: This argument is a pro because it shows interest in exploring alternative voting methods like ranked choice voting.
2. [A] Reason: This argument is a pro because it highlights the potential benefits of using different voting methods like ranked choice voting.
3. [A] Reason: This argument is a pro because it expresses a desire to experiment with ranked choice voting in various settings.
4. [A] Reason: This argument is a pro because it supports the proposal to implement less strict voting standards.
5. [B] Reason: This argument is a con because it opposes the proposal to implement less strict voting standards.",,,"1. C Reason: Ranked choice voting is not directly related to the proposal to restore voting rights to citizens with felony convictions, so it is not applicable.
2. C Reason: The results of the Alaska election and traditional voting methods are not directly related to the proposal, so it is not applicable.
3. C Reason: The use of ranked choice voting in other arenas is not directly related to the proposal, so it is not applicable.
4. A Reason: This argument is in support of the proposal to restore voting rights to citizens with felony convictions, as it acknowledges that it is okay to do so.
5. B Reason: This argument is against the proposal to restore voting rights to citizens with felony convictions, as it states that it is bad to do so.",False,False,False,False,False,False,False,True,False
9,10,8590259,"""12:28"""," get our heads around it because we're not accustomed to doing that. yeah, so i'd be i'd like to explore, right choice boarding.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
