,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,10183,"""2:05"""," hi, my name is sheila johnson. i'm from champlin minnesota.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48595,"""2:13"""," hi, i'm danielle pair and i'm from braselton georgia.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,9811,"""2:20""", hi. i'm janice. and i'm from right outside of port. littered with missouri. a little town called st. roberts.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48631,"""2:30""", hi. i'm ann florence and i'm in jonesboro tennessee.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48675,"""2:38"""," hi, i'm noreen and i live in forest lake minnesota.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,9944,"""2:47"""," hey, i'm a pusher and i live in northern iowa.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48634,"""2:54"""," hi. i'm james mcgavin. i am currently stationed at scott air force base, just out of st. louis missouri st. louis missouri.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,9919,"""3:04""", i am barbie. i'm in kokomo indiana.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,9811,"""12:13"""," well, i'm not really for the first ircd. i don't think that, that is the way we need to go. i think, we need to change a lot of things, even the electra, electronical college thing, i don't agree with that either.",Yes,"1. The speaker is against the first ircd.
2. The speaker believes that changes need to be made.
3. The speaker disagrees with the electoral college system.",,,"1.  [A] Reason: The speaker is against the first ircd, indicating a pro stance on implementing less strict voting standards.
2. [A] Reason: The speaker believes that changes need to be made, suggesting a pro stance on implementing less strict voting standards.
3. [A] Reason: The speaker disagrees with the electoral college system, which could be seen as a reason to support less strict voting standards.
4. [A] Reason: The speaker believes that implementing less strict voting standards is okay.
5. [B] Reason: The speaker believes that implementing less strict voting standards is bad.",,,"1.  [A] Reason: The speaker is against the first ircd, which suggests they are in favor of change.
2. [A] Reason: The speaker believes that changes need to be made, indicating a pro stance on the proposal.
3. [A] Reason: The speaker disagrees with the electoral college system, which could imply they are in favor of changing the primary system.
4. [A] Reason: The statement ""Change the primary system is okay"" indicates a pro stance on the proposal.
5. [B] Reason: The statement ""Change the primary system is bad"" suggests a con stance on the proposal.",,,"1.  [A] Reason: The speaker is against the current electoral college system, so they would likely be in favor of changing it.
2. [A] Reason: The speaker believes changes need to be made, indicating they are in favor of altering the current system.
3. [A] Reason: The speaker disagrees with the electoral college system, suggesting they would support changing it.
4. [A] Reason: The speaker is in favor of changing the current electoral college system.
5. [B] Reason: The speaker believes that changing the current electoral college system is bad, indicating they are against the proposal.",,,"1.  [A] Reason: The speaker is against the proposal, indicating a con argument.
2. [A] Reason: The speaker believes changes need to be made, aligning with a pro argument for the proposal.
3. [A] Reason: The speaker disagrees with the electoral college system, which could be seen as a pro argument for implementing more fairness and transparency in the election process.
4. [C] Reason: This statement does not provide a clear argument for or against the proposal, so it is not applicable.
5. [C] Reason: This statement does not provide a clear argument for or against the proposal, so it is not applicable.",,,"1.  [A] Reason: The speaker is against the proposal, so this argument is in favor of the proposal.
2. [A] Reason: The speaker believes changes need to be made, which could imply support for the proposal.
3. [A] Reason: The speaker disagrees with the current electoral college system, which could suggest support for an alternative like proportional representation.
4. [A] Reason: This argument is in favor of the proposal.
5. [B] Reason: This argument is against the proposal.",,,"1.  [A] Reason: The speaker is against the proposal to implement more measures to address voter fraud, indicating a con argument.
2. [A] Reason: The speaker believes changes need to be made, which aligns with the proposal to implement more measures to address voter fraud.
3. [C] Reason: The speaker's disagreement with the electoral college system is not directly related to the proposal to implement more measures to address voter fraud.
4. [A] Reason: The speaker is okay with implementing more measures to address voter fraud, indicating a pro argument.
5. [B] Reason: The speaker believes that implementing more measures to address voter fraud is bad, indicating a con argument.",,,"1. [B] Reason: The speaker is against the proposal, indicating a con argument.
2. [A] Reason: The speaker believes changes need to be made, which aligns with a pro argument for the proposal.
3. [C] Reason: The speaker's disagreement with the electoral college system is not directly related to the proposal on limiting financing.
4. [A] Reason: The speaker believes implementing limits on financing is okay, indicating a pro argument.
5. [B] Reason: The speaker believes implementing limits on financing is bad, indicating a con argument.","2. The speaker believes that changes need to be made.
3. The speaker disagrees with the electoral college system.",1. The speaker is against the first ircd.,"1. B Reason: The speaker being against the first ircd (instant runoff voting) suggests they may have concerns or criticisms about implementing RCV as an alternative method.
2. A Reason: The speaker believing that changes need to be made aligns with the proposal to implement RCV as an alternative method, which would bring about a change in the voting system.
3. A Reason: The speaker's disagreement with the electoral college system could indicate support for alternative methods like RCV.
4. A Reason: This argument is in support of the proposal to implement RCV as an alternative method.
5. B Reason: This argument is against the proposal to implement RCV as an alternative method, suggesting that the speaker believes it is bad.",,,"1. [A] Reason: The speaker is against the first ircd, which suggests they are in favor of making changes to the current voting system.
2. [A] Reason: The speaker believes that changes need to be made, indicating a pro stance on implementing more accessibility to voting.
3. [A] Reason: The speaker disagrees with the electoral college system, which could imply they support changes to the voting system to make it more accessible.
4. [A] Reason: The statement ""Implement more accessibility to voting is okay"" indicates a pro stance on the proposal.
5. [B] Reason: The statement ""Implement more accessibility to voting is bad"" suggests a con stance on the proposal.",,,"1.  [A] Reason: The speaker is against the proposal, indicating a con argument.
2. [A] Reason: The speaker believes changes need to be made, which could be interpreted as a pro argument for the proposal.
3. [C] Reason: The speaker's opinion on the electoral college system is not directly related to the proposal for increased public funding and financing for campaigns.
4. [A] Reason: The speaker is okay with the increase in public funding and financing for campaigns, indicating a pro argument.
5. [B] Reason: The speaker believes that increase in public funding and financing for campaigns is bad, indicating a con argument.",,,"1. [A] Reason: The speaker is against the proposal to increase opportunities for learning about civic education in schools.
2. [A] Reason: The speaker believes changes need to be made, which aligns with the proposal to increase opportunities for learning about civic education in schools.
3. [C] Reason: The speaker's opinion on the electoral college system is not directly related to the proposal to increase opportunities for learning about civic education in schools.
4. [A] Reason: The speaker believes that increasing opportunities for learning about civic education in schools is okay.
5. [B] Reason: The speaker believes that increasing opportunities for learning about civic education in schools is bad.",,,"1. [A] Reason: The speaker is against the proposal, indicating a pro argument.
2. [A] Reason: The speaker believes changes need to be made, which aligns with a pro argument for implementing a term limit for Supreme Court Justices.
3. [C] Reason: The speaker's disagreement with the electoral college system is not directly related to the proposal of implementing a term limit for Supreme Court Justices.
4. [A] Reason: The speaker believes implementing a term limit for Supreme Court Justices is okay, indicating a pro argument.
5. [B] Reason: The speaker believes implementing a term limit for Supreme Court Justices is bad, indicating a con argument.",,,"1. [B] Reason: The speaker is against the proposal to restore voting rights to citizens with felony convictions, indicating a con argument.
2. [A] Reason: The speaker believes changes need to be made, which could be interpreted as a pro argument for the proposal.
3. [C] Reason: The speaker's disagreement with the electoral college system is not directly related to the proposal to restore voting rights to citizens with felony convictions, so it is not applicable.
4. [A] Reason: The speaker believes that restoring voting rights to citizens with felony convictions is okay, indicating a pro argument.
5. [B] Reason: The speaker believes that restoring voting rights to citizens with felony convictions is bad, indicating a con argument.",False,False,False,False,False,False,False,True,False
9,10,48634,"""12:45"""," i really don't have any issue with our cv. it's already been implemented in several districts. it seems to be working. well, even in new york where a bunch of people ran only three come-from-behind candidates. overtook the first place candidate,",Yes,"1. The speaker does not have any issue with their CV.
2. The CV has already been implemented in several districts and seems to be working.
3. In New York, the CV resulted in three come-from-behind candidates overtaking the first place candidate.",,,"1.  [A] Reason: This argument is not applicable to the proposal as it does not provide any relevant information about the impact of implementing less strict voting standards.
2. [A] Reason: This argument is a pro for the proposal as it suggests that the CV has been successfully implemented in other districts.
3. [A] Reason: This argument is a pro for the proposal as it highlights a positive outcome of implementing less strict voting standards.
4. [A] Reason: This argument is a pro for the proposal as it directly supports the idea of implementing less strict voting standards.
5. [B] Reason: This argument is a con for the proposal as it suggests that implementing less strict voting standards is bad.",,,"1.  [1] C Reason: The speaker's issue with their CV is not relevant to the proposal to change the primary system.
2. [2] A Reason: This argument is a pro for the proposal as it suggests that the CV has been successful in other districts.
3. [3] A Reason: This argument is a pro for the proposal as it shows a positive outcome of the CV in New York.
4. [4] A Reason: This argument is a pro for the proposal as it indicates support for changing the primary system.
5. [5] B Reason: This argument is a con for the proposal as it suggests that changing the primary system is bad.",,,"1. [C] Reason: The speaker's CV is not relevant to the proposal to change the electoral college.
2. [A] Reason: This argument is a pro because it suggests that the proposed change has been successful in other districts.
3. [A] Reason: This argument is a pro because it highlights a positive outcome of implementing the proposed change in New York.
4. [A] Reason: This argument is a pro because it indicates support for changing the current electoral college system.
5. [B] Reason: This argument is a con because it opposes changing the current electoral college system.","2. The CV has already been implemented in several districts and seems to be working.
3. In New York, the CV resulted in three come-from-behind candidates overtaking the first place candidate.",,"1. C Reason: The argument does not directly relate to the proposal of implementing more fairness and transparency in the election process.
2. A Reason: This argument is a pro because it suggests that the proposal has already been implemented in some districts and has shown positive results.
3. A Reason: This argument is a pro because it provides an example of how implementing more fairness and transparency in the election process can lead to unexpected outcomes.
4. A Reason: This argument is not applicable as it simply restates the proposal without providing any additional insight.
5. B Reason: This argument is a con as it directly opposes the proposal of implementing more fairness and transparency in the election process.",2. The CV has already been implemented in several districts and seems to be working.,"3. In New York, the CV resulted in three come-from-behind candidates overtaking the first place candidate.","1. C Reason: This argument does not directly relate to the proposal of using proportional representatives to elect elected officials.
2. A Reason: This argument is a pro for the proposal as it shows that the system has been implemented successfully in some districts.
3. B Reason: This argument is a con for the proposal as it highlights a potential issue with the system where come-from-behind candidates can overtake the first place candidate.
4. A Reason: This argument is a pro for the proposal as it shows support for using proportional representatives to elect elected officials.
5. B Reason: This argument is a con for the proposal as it states that using proportional representatives to elect elected officials is bad.",2. The CV has already been implemented in several districts and seems to be working.,"3. In New York, the CV resulted in three come-from-behind candidates overtaking the first place candidate.","1. C Reason: The speaker's CV is not relevant to the proposal to implement more measures to address voter fraud.
2. A Reason: This argument is a pro because it suggests that the current measures are effective and therefore more measures should be implemented.
3. B Reason: This argument is a con because it suggests that the current measures may have unintended consequences, such as allowing come-from-behind candidates to overtake the first place candidate.
4. A Reason: This argument is a pro because it supports the proposal to implement more measures to address voter fraud.
5. B Reason: This argument is a con because it opposes the proposal to implement more measures to address voter fraud.","2. The CV has already been implemented in several districts and seems to be working.
3. In New York, the CV resulted in three come-from-behind candidates overtaking the first place candidate.",,"1. C Reason: The speaker's CV is not relevant to the proposal to implement limits on financing individual candidates and parties.
2. A Reason: This argument is a pro for the proposal as it suggests that the implementation of limits on financing has been successful in some districts.
3. A Reason: This argument is a pro for the proposal as it highlights a positive outcome of implementing limits on financing in New York.
4. A Reason: This argument is not applicable as it simply states that implementing limits on financing is okay without providing any reasoning.
5. B Reason: This argument is a con for the proposal as it states that implementing limits on financing is bad without providing any reasoning.","2. The CV has already been implemented in several districts and seems to be working.
3. In New York, the CV resulted in three come-from-behind candidates overtaking the first place candidate.",,"1. C Reason: This argument is not applicable to the proposal as it does not address the implementation of RCV as an alternative method for elected officials and representatives.
2. A Reason: This argument is a pro for the proposal as it suggests that RCV has been implemented in some districts and has been successful.
3. A Reason: This argument is a pro for the proposal as it highlights a positive outcome of RCV in New York.
4. A Reason: This argument is a pro for the proposal as it supports the idea of implementing RCV as an alternative method for elected officials and representatives.
5. B Reason: This argument is a con for the proposal as it states that implementing RCV as an alternative method for elected officials and representatives at all levels is bad.","2. The CV has already been implemented in several districts and seems to be working.
3. In New York, the CV resulted in three come-from-behind candidates overtaking the first place candidate.",,"1. C Reason: This argument is not applicable to the proposal of implementing more accessibility to voting as it does not address the issue of voting accessibility.
2. A Reason: This argument is a pro for the proposal as it suggests that the implementation of more accessibility to voting has been successful in some districts.
3. A Reason: This argument is a pro for the proposal as it highlights a positive outcome of implementing more accessibility to voting in New York.
4. A Reason: This argument is a pro for the proposal as it expresses support for the idea of implementing more accessibility to voting.
5. B Reason: This argument is a con for the proposal as it states that implementing more accessibility to voting is bad without providing any reasoning or evidence to support this claim.","2. The CV has already been implemented in several districts and seems to be working.
3. In New York, the CV resulted in three come-from-behind candidates overtaking the first place candidate.",,"1. C Reason: This argument does not directly relate to the proposal of increasing public funding and financing for campaigns.
2. A Reason: This argument is a pro for the proposal as it suggests that the current system is working in some districts.
3. A Reason: This argument is a pro for the proposal as it shows a positive outcome of implementing public funding and financing for campaigns.
4. A Reason: This argument is a pro for the proposal as it indicates support for increasing public funding and financing for campaigns.
5. B Reason: This argument is a con for the proposal as it suggests that increasing public funding and financing for campaigns is bad.",2. The CV has already been implemented in several districts and seems to be working.,"3. In New York, the CV resulted in three come-from-behind candidates overtaking the first place candidate.","1. C Reason: This argument is not applicable to the given proposal as it does not address the issue of increasing opportunities for learning about civic education in schools.
2. A Reason: This argument is a pro for the proposal as it suggests that the implementation of civic education in schools has been successful in some districts.
3. B Reason: This argument is a con for the proposal as it suggests that the implementation of civic education in New York resulted in unexpected outcomes in elections, which could be seen as a negative consequence.
4. A Reason: This argument is a pro for the proposal as it supports the idea of increasing opportunities for learning about civic education in schools.
5. B Reason: This argument is a con for the proposal as it suggests that increasing opportunities for learning about civic education in schools is bad, without providing any reasoning.","2. The CV has already been implemented in several districts and seems to be working.
3. In New York, the CV resulted in three come-from-behind candidates overtaking the first place candidate.",,"1. C Reason: The speaker's issue with their CV is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
2. A Reason: This argument is in favor of the proposal as it suggests that term limits have been successful in other districts.
3. A Reason: This argument is in favor of the proposal as it suggests that term limits can lead to unexpected outcomes in elections.
4. A Reason: This argument is not applicable as it simply states the proposal without providing any reasoning for or against it.
5. B Reason: This argument is against the proposal as it states that implementing a term limit for Supreme Court Justices is bad.","2. The CV has already been implemented in several districts and seems to be working.
3. In New York, the CV resulted in three come-from-behind candidates overtaking the first place candidate.",,"1. C Reason: The speaker's CV is not relevant to the proposal.
2. A Reason: This argument is in favor of the proposal as it shows that similar policies have been successful in other areas.
3. A Reason: This argument is in favor of the proposal as it shows a positive outcome in terms of election results.
4. A Reason: This argument is in favor of the proposal as it supports the idea of restoring voting rights to citizens with felony convictions.
5. B Reason: This argument is against the proposal as it states that restoring voting rights to citizens with felony convictions is bad.",True,False,True,False,False,False,False,False,False
