,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting ,(Beta) Against proposal: Implement more accessibility to voting ,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting ,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict ,(Beta) Against proposal: Implement voting standards that are less strict ,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict ,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48420,"""2:07"""," tim edgar, i'm retired. military retired from all jobs now.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,10352,"""2:15"""," oh i'm sorry. pat birnbaum. i'm a clinical psychologist and i'm 77 and still working and i'm in private practice in oak brook, illinois.",Yes,"1. The speaker is a clinical psychologist.
2. The speaker is 77 years old and still working.
3. The speaker is in private practice in Oak Brook, Illinois.",,,"1. [A] Reason: The fact that the speaker is a clinical psychologist is not directly relevant to the proposal to change the electoral college system.
2. [C] Reason: The age and employment status of the speaker are not directly relevant to the proposal to change the electoral college system.
3. [C] Reason: The location and practice of the speaker are not directly relevant to the proposal to change the electoral college system.
4. [A] Reason: This argument is in favor of changing the current electoral college system.
5. [B] Reason: This argument is against changing the current electoral college system.",,,"1. C Reason: The speaker being a clinical psychologist does not directly relate to whether increasing public funding for campaigns is good or bad.
2. C Reason: The speaker's age and work status do not directly relate to whether increasing public funding for campaigns is good or bad.
3. C Reason: The speaker's location and practice type do not directly relate to whether increasing public funding for campaigns is good or bad.
4. A Reason: This argument is pro because it supports the proposal of increasing public funding and financing for campaigns.
5. B Reason: This argument is con because it opposes the proposal of increasing public funding and financing for campaigns.",,,"1.  [A] Reason: The speaker being a clinical psychologist could provide valuable insight and expertise on the potential impact of changing the primary system.
2. [C] Reason: The speaker's age and employment status are not directly relevant to the proposal to change the primary system.
3. [C] Reason: The speaker's location and practice setting are not directly relevant to the proposal to change the primary system.
4. [A] Reason: This argument is in favor of the proposal to change the primary system.
5. [B] Reason: This argument is against the proposal to change the primary system.",,,"1. C Reason: The speaker being a clinical psychologist does not directly relate to whether implementing limits on financing individual candidates and parties is a pro or con argument.
2. C Reason: The age of the speaker and the fact that they are still working does not directly relate to whether implementing limits on financing individual candidates and parties is a pro or con argument.
3. C Reason: The location and type of practice of the speaker does not directly relate to whether implementing limits on financing individual candidates and parties is a pro or con argument.
4. A Reason: This argument is a pro for the proposal as it suggests that implementing limits on financing individual candidates and parties is a good idea.
5. B Reason: This argument is a con for the proposal as it suggests that implementing limits on financing individual candidates and parties is bad.",,,"1. [C] Reason: The fact that the speaker is a clinical psychologist does not directly relate to whether implementing more accessibility to voting is a pro, con, or not applicable.
2. [C] Reason: The fact that the speaker is 77 years old and still working does not directly relate to whether implementing more accessibility to voting is a pro, con, or not applicable.
3. [C] Reason: The fact that the speaker is in private practice in Oak Brook, Illinois does not directly relate to whether implementing more accessibility to voting is a pro, con, or not applicable.
4. [A] Reason: This argument is a pro for the proposal because it suggests that implementing more accessibility to voting is a positive action.
5. [B] Reason: This argument is a con for the proposal because it suggests that implementing more accessibility to voting is bad.",,,"1. [C] Reason: The speaker being a clinical psychologist does not directly relate to whether proportional representatives should be used to elect officials.
2. [C] Reason: The speaker's age and employment status are not relevant to the proposal.
3. [C] Reason: The speaker's location and occupation do not impact the argument for or against proportional representation.
4. [A] Reason: This argument is in favor of the proposal, stating that using proportional representatives to elect officials is acceptable.
5. [B] Reason: This argument is against the proposal, stating that using proportional representatives to elect officials is bad.",,,"1. C Reason: The speaker being a clinical psychologist does not directly relate to whether restoring voting rights to citizens with felony convictions is a good or bad idea.
2. C Reason: The speaker's age and employment status do not directly relate to whether restoring voting rights to citizens with felony convictions is a good or bad idea.
3. C Reason: The speaker's location and practice do not directly relate to whether restoring voting rights to citizens with felony convictions is a good or bad idea.
4. A Reason: This argument is pro because it supports the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
5. B Reason: This argument is con because it opposes the proposal to restore voting rights to citizens with felony convictions upon their release from prison.",,,"1. C Reason: The fact that the speaker is a clinical psychologist does not directly relate to whether implementing more fairness and transparency in the election process is a pro or con.
2. C Reason: The age of the speaker and the fact that they are still working does not directly relate to whether implementing more fairness and transparency in the election process is a pro or con.
3. C Reason: The location and practice of the speaker does not directly relate to whether implementing more fairness and transparency in the election process is a pro or con.
4. A Reason: This argument is a pro for the proposal as it supports the idea of making the election process fairer and more transparent.
5. B Reason: This argument is a con for the proposal as it opposes the idea of making the election process fairer and more transparent.",,,"1. C Reason: The speaker being a clinical psychologist does not directly relate to whether implementing more measures to address voter fraud is a pro or con argument.
2. C Reason: The speaker's age and work status do not directly relate to whether implementing more measures to address voter fraud is a pro or con argument.
3. C Reason: The speaker's location and profession do not directly relate to whether implementing more measures to address voter fraud is a pro or con argument.
4. A Reason: This argument is a pro argument because it supports the proposal to implement more measures to address voter fraud.
5. B Reason: This argument is a con argument because it opposes the proposal to implement more measures to address voter fraud.",,,"1.  A Reason: The speaker being a clinical psychologist does not directly relate to whether implementing less strict voting standards is a good or bad idea.
2.  C Reason: The age of the speaker and the fact that they are still working does not directly relate to whether implementing less strict voting standards is a good or bad idea.
3.  C Reason: The location and type of practice of the speaker does not directly relate to whether implementing less strict voting standards is a good or bad idea.
4.  A Reason: This argument is in favor of the proposal, stating that implementing less strict voting standards is okay.
5.  B Reason: This argument is against the proposal, stating that implementing less strict voting standards is bad.",,,"1. C Reason: The speaker being a clinical psychologist does not directly relate to whether increasing opportunities for learning about civic education in schools is a pro or con.
2. C Reason: The speaker's age and work status do not directly relate to whether increasing opportunities for learning about civic education in schools is a pro or con.
3. C Reason: The speaker's location and practice do not directly relate to whether increasing opportunities for learning about civic education in schools is a pro or con.
4. A Reason: This argument is a pro for the proposal as it supports the idea of increasing opportunities for learning about civic education in schools.
5. B Reason: This argument is a con for the proposal as it opposes the idea of increasing opportunities for learning about civic education in schools.",,,"1. C Reason: The fact that the speaker is a clinical psychologist does not directly relate to whether implementing a term limit for Supreme Court Justices is a good or bad idea.
2. C Reason: The fact that the speaker is 77 years old and still working does not directly relate to whether implementing a term limit for Supreme Court Justices is a good or bad idea.
3. C Reason: The fact that the speaker is in private practice in Oak Brook, Illinois does not directly relate to whether implementing a term limit for Supreme Court Justices is a good or bad idea.
4. A Reason: This argument is pro the proposal as it suggests that implementing a term limit for Supreme Court Justices is okay.
5. B Reason: This argument is con the proposal as it suggests that implementing a term limit for Supreme Court Justices is bad.",,,"1. [C] Reason: The speaker being a clinical psychologist does not directly relate to whether implementing RCV is a good or bad idea.
2. [C] Reason: The speaker's age and employment status do not directly relate to whether implementing RCV is a good or bad idea.
3. [C] Reason: The speaker's location and occupation do not directly relate to whether implementing RCV is a good or bad idea.
4. [A] Reason: This argument is a pro for the proposal as it suggests that implementing RCV could be beneficial.
5. [B] Reason: This argument is a con for the proposal as it suggests that implementing RCV is bad.",False,False,False,False,False,False,False,False,False
2,3,48440,"""2:51""", hi. i'm bill for you all day and i'm retired teacher. i'm in st. louis missouri. i have a masters in media communications.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48471,"""3:10"""," oh, and my bike mccormick in idaho computer programmer and own a few restaurants and bars as well as some investment property.",Yes,"1. The speaker owns a bike named McCormick in Idaho.
2. The speaker is a computer programmer.
3. The speaker owns a few restaurants and bars.
4. The speaker owns some investment property.",1. The speaker owns a bike named McCormick in Idaho.,,"1. Not applicable Reason: This argument is not relevant to the proposal to change the current electoral college.
2. Not applicable Reason: This argument is not relevant to the proposal to change the current electoral college.
3. Not applicable Reason: This argument is not relevant to the proposal to change the current electoral college.
4. Not applicable Reason: This argument is not relevant to the proposal to change the current electoral college.
5. A Reason: Changing the current electoral college could potentially lead to a more fair and representative election process.",,,"1. C Reason: This argument is not applicable to the given proposal as it does not address the topic of public funding and financing for campaigns.
2. C Reason: This argument is not applicable to the given proposal as it does not address the topic of public funding and financing for campaigns.
3. C Reason: This argument is not applicable to the given proposal as it does not address the topic of public funding and financing for campaigns.
4. C Reason: This argument is not applicable to the given proposal as it does not address the topic of public funding and financing for campaigns.
5. A Reason: This argument is a pro for the given proposal as it supports the idea of increasing public funding and financing for campaigns.",,,"1. [C] Reason: The fact that the speaker owns a bike named McCormick in Idaho is not relevant to the proposal to change the primary system.
2. [C] Reason: The fact that the speaker is a computer programmer is not relevant to the proposal to change the primary system.
3. [C] Reason: The fact that the speaker owns a few restaurants and bars is not relevant to the proposal to change the primary system.
4. [C] Reason: The fact that the speaker owns some investment property is not relevant to the proposal to change the primary system.
5. [A] Reason: This argument is pro because it directly addresses the proposal to change the primary system and states that it is okay.",,,"1. C Reason: The fact that the speaker owns a bike named McCormick in Idaho is not relevant to the proposal to implement limits on financing individual candidates and parties.
2. C Reason: The fact that the speaker is a computer programmer is not relevant to the proposal to implement limits on financing individual candidates and parties.
3. C Reason: The fact that the speaker owns a few restaurants and bars is not relevant to the proposal to implement limits on financing individual candidates and parties.
4. C Reason: The fact that the speaker owns some investment property is not relevant to the proposal to implement limits on financing individual candidates and parties.
5. A Reason: This argument is pro because implementing limits on financing individual candidates and parties can help reduce the influence of money in politics and promote fair elections.",1. The speaker owns a bike named McCormick in Idaho.,,"1. Not applicable Reason: This argument does not relate to the proposal of implementing more accessibility to voting.
2. Not applicable Reason: This argument does not relate to the proposal of implementing more accessibility to voting.
3. Not applicable Reason: This argument does not relate to the proposal of implementing more accessibility to voting.
4. Not applicable Reason: This argument does not relate to the proposal of implementing more accessibility to voting.
5. A Reason: This argument is a pro for the proposal as it supports the idea of making voting more accessible to individuals.",,,"1. C Reason: The fact that the speaker owns a bike named McCormick in Idaho is not relevant to the proposal of using proportional representatives to elect elected officials.
2. C Reason: The fact that the speaker is a computer programmer is not relevant to the proposal of using proportional representatives to elect elected officials.
3. C Reason: The fact that the speaker owns a few restaurants and bars is not relevant to the proposal of using proportional representatives to elect elected officials.
4. C Reason: The fact that the speaker owns some investment property is not relevant to the proposal of using proportional representatives to elect elected officials.
5. A Reason: This argument is in support of the proposal to use proportional representatives to elect elected officials.",4. The speaker owns some investment property.,,"1. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on restoring voting rights to citizens with felony convictions.
2. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on restoring voting rights to citizens with felony convictions.
3. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on restoring voting rights to citizens with felony convictions.
4. A Reason: This argument is pro, as it supports the proposal to restore federal and state voting rights to citizens with felony convictions upon their release from prison.",1. The speaker owns a bike named McCormick in Idaho.,,"1. Not applicable Reason: This argument is unrelated to the proposal of implementing more fairness and transparency in the election process.
2. Not applicable Reason: This argument is unrelated to the proposal of implementing more fairness and transparency in the election process.
3. Not applicable Reason: This argument is unrelated to the proposal of implementing more fairness and transparency in the election process.
4. Not applicable Reason: This argument is unrelated to the proposal of implementing more fairness and transparency in the election process.
5. A Reason: This argument is in support of the proposal as it aligns with the goal of increasing fairness and transparency in the election process.",,,"1. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on implementing more measures to address voter fraud.
2. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on implementing more measures to address voter fraud.
3. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on implementing more measures to address voter fraud.
4. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on implementing more measures to address voter fraud.
5. A Reason: This argument is a pro argument as it supports the proposal to implement more measures to address voter fraud.",1. The speaker owns a bike named McCormick in Idaho.,,"1. Not applicable. Reason: The fact that the speaker owns a bike named McCormick in Idaho is not relevant to the proposal to implement less strict voting standards.
2. Not applicable. Reason: The fact that the speaker is a computer programmer is not relevant to the proposal to implement less strict voting standards.
3. Not applicable. Reason: The fact that the speaker owns restaurants and bars is not relevant to the proposal to implement less strict voting standards.
4. Not applicable. Reason: The fact that the speaker owns investment property is not relevant to the proposal to implement less strict voting standards.
5. A. Reason: This argument is in favor of the proposal to implement less strict voting standards.",,,"1. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on the topic of increasing opportunities for learning about civic education in schools.
2. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on the topic of increasing opportunities for learning about civic education in schools.
3. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on the topic of increasing opportunities for learning about civic education in schools.
4. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on the topic of increasing opportunities for learning about civic education in schools.
5. A Reason: This argument is a pro argument as it supports the proposal to increase opportunities for learning about civic education in schools.",,,"1. C Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on implementing a term limit for Supreme Court Justices.
2. C Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on implementing a term limit for Supreme Court Justices.
3. C Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on implementing a term limit for Supreme Court Justices.
4. C Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on implementing a term limit for Supreme Court Justices.
5. A Reason: This argument is a pro argument as it supports the proposal to implement a term limit for Supreme Court Justices.",,,"1. C Reason: The fact that the speaker owns a bike named McCormick in Idaho is not relevant to the proposal to implement RCV as an alternative method for elected officials and representatives.
2. C Reason: The fact that the speaker is a computer programmer is not relevant to the proposal to implement RCV as an alternative method for elected officials and representatives.
3. C Reason: The fact that the speaker owns a few restaurants and bars is not relevant to the proposal to implement RCV as an alternative method for elected officials and representatives.
4. C Reason: The fact that the speaker owns some investment property is not relevant to the proposal to implement RCV as an alternative method for elected officials and representatives.
5. A Reason: Implementing RCV as an alternative method for elected officials and representatives can be seen as a pro argument as it can potentially lead to more representative and fair elections.",False,False,False,False,False,False,False,False,True
4,5,9843,"""3:25"""," good morning everybody. i'm adam from kentucky, i'm a tax professional. it's nice to see everybody.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,48330,"""3:39""", my name is greg. i'm a janitor here in southern oregon for a mental group home.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,10662,"""3:55"""," hi, my name's chris wiley. i am a marketing director for a health care technology company. super not comfortable talking in groups but more of a listener will see how much i'm able to share opinions throughout this.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,48440,"""4:19""", there have been some technical difficulties with voices coming through. i just want to let you guys know,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,48471,"""5:00"""," real quick, we can't hear you. i don't know if you have a problem with your mic.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48509,"""5:19"""," hi, i'm jeremy. and i'm a network engineer for a technology company.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
