,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48291,"""2:06"""," hi. my name is cynthia, bocchetti. i'm from new york but i now live in florida. i'm retired and i am really worried about our country at this point. hopefully we can get things going in the right direction.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,10641,"""2:27"""," okay, for some reason, i'm not showing up here. anyway. my name is sam. i've done this a few times. i'm from lincoln nebraska. i'm happy to be here.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,48382,"""2:50"""," i'm next, i'm james. i am here in richmond, virginia. and i am also retired, and i probably share some of your old, same concerns. so i'm looking forward to the discussions today.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,9801,"""3:06"""," hi. can you guys hear me headphone? so, i don't ever know my they cook. my name is. megan! i live in los angeles, california. and i work at a law school and i did this a couple years ago with the climate change. and so i'm excited to be here.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48273,"""3:23"""," hi. my name is william from ohio, been retired, for a number of years. looking forward to the discussion.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,9894,"""3:37""", my name is melissa. i'm in texas and i did the climate change thing to when it was. it was lots of valuable lessons. i'm looking forward to this.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,9894,"""3:37""", do you click move on?,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,9889,"""3:56"""," hi, i'm matt. i'm a forensic science, teacher and waco texas. and i'm a dad of three daughters.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,48377,"""4:06"""," hi, i'm mary. i'm from denver and i'm currently looking for work, but i'm excited to be doing this today and nice to meet you all.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48426,"""4:23""", i'm sorry thanks so much for letting me know give me out. thanks and my name is mike. i'm from atlanta georgia. i work for a logistics company and my first time being so excited to be here and see what this has to offer.,Yes,"1. The speaker is grateful for being informed about something.
2. The speaker apologizes for something.
3. The speaker introduces themselves as Mike from Atlanta, Georgia.
4. The speaker mentions working for a logistics company.
5. The speaker expresses excitement about being present and eager to see what is being offered.",,,"1.  C Reason: This argument is not applicable to the given proposal as it does not provide any information on whether changing the primary system is a good or bad idea.
2.  C Reason: This argument is not applicable to the given proposal as it does not provide any information on whether changing the primary system is a good or bad idea.
3.  C Reason: This argument is not applicable to the given proposal as it does not provide any information on whether changing the primary system is a good or bad idea.
4.  C Reason: This argument is not applicable to the given proposal as it does not provide any information on whether changing the primary system is a good or bad idea.
5.  C Reason: This argument is not applicable to the given proposal as it does not provide any information on whether changing the primary system is a good or bad idea.",,,"1. [C] Reason: This argument is not applicable to the proposal to change the electoral college.
2. [C] Reason: This argument is not applicable to the proposal to change the electoral college.
3. [C] Reason: This argument is not applicable to the proposal to change the electoral college.
4. [C] Reason: This argument is not applicable to the proposal to change the electoral college.
5. [C] Reason: This argument is not applicable to the proposal to change the electoral college.",,,"1. C Reason: This argument is not applicable to the proposal as it does not provide any stance on implementing more measures to address voter fraud.
2. C Reason: This argument is not applicable to the proposal as it does not provide any stance on implementing more measures to address voter fraud.
3. C Reason: This argument is not applicable to the proposal as it does not provide any stance on implementing more measures to address voter fraud.
4. C Reason: This argument is not applicable to the proposal as it does not provide any stance on implementing more measures to address voter fraud.
5. C Reason: This argument is not applicable to the proposal as it does not provide any stance on implementing more measures to address voter fraud.",,,"1. [C] Reason: This argument is not applicable to the proposal as it does not address the implementation of fairness and transparency in the election process.
2. [C] Reason: This argument is not applicable to the proposal as it does not address the implementation of fairness and transparency in the election process.
3. [C] Reason: This argument is not applicable to the proposal as it does not address the implementation of fairness and transparency in the election process.
4. [C] Reason: This argument is not applicable to the proposal as it does not address the implementation of fairness and transparency in the election process.
5. [C] Reason: This argument is not applicable to the proposal as it does not address the implementation of fairness and transparency in the election process.",,,"1. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not directly relate to the topic at hand.
2. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not directly relate to the topic at hand.
3. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not directly relate to the topic at hand.
4. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not directly relate to the topic at hand.
5. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not directly relate to the topic at hand.",,,"1. [C] Reason: This argument is not applicable to the proposal of using proportional representatives to elect elected officials.
2. [C] Reason: This argument is not applicable to the proposal of using proportional representatives to elect elected officials.
3. [C] Reason: This argument is not applicable to the proposal of using proportional representatives to elect elected officials.
4. [C] Reason: This argument is not applicable to the proposal of using proportional representatives to elect elected officials.
5. [C] Reason: This argument is not applicable to the proposal of using proportional representatives to elect elected officials.",,,"1. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to the implementation of limits on financing individual candidates and parties.
2. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to the implementation of limits on financing individual candidates and parties.
3. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to the implementation of limits on financing individual candidates and parties.
4. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to the implementation of limits on financing individual candidates and parties.
5. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to the implementation of limits on financing individual candidates and parties.",,,"1. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to the increase in public funding and financing for campaigns.
2. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to the increase in public funding and financing for campaigns.
3. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to the increase in public funding and financing for campaigns.
4. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to the increase in public funding and financing for campaigns.
5. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to the increase in public funding and financing for campaigns.",,,"1. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to restoring voting rights to citizens with felony convictions.
2. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to restoring voting rights to citizens with felony convictions.
3. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to restoring voting rights to citizens with felony convictions.
4. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to restoring voting rights to citizens with felony convictions.
5. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to restoring voting rights to citizens with felony convictions.",,,"1. [C] Reason: This argument is not applicable to the proposal as it does not directly address the idea of implementing less strict voting standards.
2. [C] Reason: This argument is not applicable to the proposal as it does not directly address the idea of implementing less strict voting standards.
3. [C] Reason: This argument is not applicable to the proposal as it does not directly address the idea of implementing less strict voting standards.
4. [C] Reason: This argument is not applicable to the proposal as it does not directly address the idea of implementing less strict voting standards.
5. [C] Reason: This argument is not applicable to the proposal as it does not directly address the idea of implementing less strict voting standards.",,,"1. C Reason: This argument is not applicable to the proposal as it does not directly relate to increasing opportunities for learning about civic education in schools.
2. C Reason: This argument is not applicable to the proposal as it does not directly relate to increasing opportunities for learning about civic education in schools.
3. C Reason: This argument is not applicable to the proposal as it does not directly relate to increasing opportunities for learning about civic education in schools.
4. C Reason: This argument is not applicable to the proposal as it does not directly relate to increasing opportunities for learning about civic education in schools.
5. C Reason: This argument is not applicable to the proposal as it does not directly relate to increasing opportunities for learning about civic education in schools.",,,"1. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to the implementation of RCV as an alternative method for elected officials and representatives.
2. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to the implementation of RCV as an alternative method for elected officials and representatives.
3. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to the implementation of RCV as an alternative method for elected officials and representatives.
4. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to the implementation of RCV as an alternative method for elected officials and representatives.
5. [C] Reason: This argument is not applicable to the proposal as it does not directly relate to the implementation of RCV as an alternative method for elected officials and representatives.",,,"1. [C] Reason: This argument is not applicable to the proposal of implementing more accessibility to voting. Being grateful for being informed about something does not directly relate to the proposal.
2. [C] Reason: This argument is not applicable to the proposal. Apologizing for something does not directly relate to the proposal of increasing accessibility to voting.
3. [C] Reason: This argument is not applicable to the proposal. Introducing oneself as Mike from Atlanta, Georgia does not directly relate to the proposal of implementing more accessibility to voting.
4. [C] Reason: This argument is not applicable to the proposal. Mentioning working for a logistics company does not directly relate to the proposal of increasing accessibility to voting.
5. [C] Reason: This argument is not applicable to the proposal. Expressing excitement about being present and eager to see what is being offered does not directly relate to the proposal of implementing more accessibility to voting.",False,False,False,False,False,False,False,False,False
