,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,10364,"""2:07"""," hey everybody. i'm megan, i'm 30 years old and i'm from mobile, alabama.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48272,"""2:16"""," hi, y'all. i'm patty. i'm 58 years old. i live in california, but i'm from west, texas.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,10556,"""2:49"""," hi, i'm sam. i'm from florida. i'm 60 years old.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,9822,"""2:58"""," hi, i'm laura. i am 50 years old and i am from oregon. gresham oregon.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48366,"""3:22"""," hi, i'm ming. i'm 66 years old. i'm from california in the san francisco bay area.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,10327,"""3:34"""," hi everyone, i'm lee. kara i'm a college student. i'm from raleigh, north carolina and i'm 26 years old.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,10677,"""3:46"""," hi, i'm k. 57 years old and i'm from southern, california.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,48513,"""3:57""", i'm a christian i'm 30. i'm i'm from idaho i live in the southeastern area. nice to meet everyone. hello.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,10364,"""13:05"""," my opinion. i kind of like things the way they are. i mean i've been voting for 10 years now and i like the way it is, but i don't think i would disagree with the our cv because sometimes i do catch myself leaning in towards. i really like this one, but i also like this person as well, you know, i'm being able to rank them, could possibly be a good thing. but i do believe though the older generation might not,",Yes,"1. The speaker likes the current voting system and has been voting for 10 years.
2. The speaker is open to the idea of ranked-choice voting because it allows for ranking multiple candidates.
3. The speaker believes that the older generation may not be in favor of ranked-choice voting.",,,"1.  [A] Reason: The speaker's personal preference for the current voting system indicates a pro stance.
2. [A] Reason: The speaker's openness to ranked-choice voting suggests a pro stance towards potential changes in the voting system.
3. [B] Reason: The speaker's belief that the older generation may not be in favor of ranked-choice voting indicates a con stance towards potential changes in the voting system.
4. [C] Reason: This argument does not provide a clear stance on the proposal to change the current electoral college.
5. [C] Reason: This argument does not provide a clear stance on the proposal to change the current electoral college.",,,"1.  [A] Reason: This argument is a pro because the speaker likes the current voting system and has been voting for 10 years, indicating a preference for the status quo.
2. [A] Reason: This argument is a pro because the speaker is open to the idea of ranked-choice voting, which aligns with the proposal of implementing more fairness and transparency in the election process.
3. [B] Reason: This argument is a con because it assumes that the older generation may not be in favor of ranked-choice voting, which could hinder the implementation of more fairness and transparency in the election process.
4. [A] Reason: This argument is a pro because it directly supports the proposal of implementing more fairness and transparency in the election process.
5. [B] Reason: This argument is a con because it goes against the proposal of implementing more fairness and transparency in the election process, suggesting that it is bad.",,,"1.  [A] Reason: The speaker's experience with the current voting system and their history of voting for 10 years suggests they are in favor of the current voting standards, making this argument a pro for the proposal.
2. [A] Reason: The speaker's openness to ranked-choice voting, which allows for ranking multiple candidates, indicates a willingness to consider alternative voting methods, making this argument a pro for the proposal.
3. [B] Reason: The speaker's belief that the older generation may not be in favor of ranked-choice voting suggests potential resistance to changing voting standards, making this argument a con for the proposal.
4. [A] Reason: This argument directly supports the proposal by stating that implementing less strict voting standards is acceptable.
5. [B] Reason: This argument opposes the proposal by stating that implementing less strict voting standards is bad, making it a con for the proposal.",2. The speaker is open to the idea of ranked-choice voting because it allows for ranking multiple candidates.,3. The speaker believes that the older generation may not be in favor of ranked-choice voting.,"1. C Reason: The argument is not applicable to the given proposal as it does not directly address the implementation of limits on financing individual candidates and parties.
2. A Reason: This argument is pro because it suggests that the speaker is open to exploring different voting systems, which could potentially include implementing limits on financing individual candidates and parties.
3. B Reason: This argument is con because it assumes that the older generation may not be in favor of ranked-choice voting, which could also extend to implementing limits on financing individual candidates and parties.
4. A Reason: This argument is pro as it directly supports the proposal to implement limits on financing individual candidates and parties.
5. B Reason: This argument is con as it opposes the proposal to implement limits on financing individual candidates and parties.",,,"1. 1 C Reason: The fact that the speaker likes the current voting system and has been voting for 10 years does not directly relate to whether or not the primary system should be changed.
2. 2 A Reason: The speaker is open to the idea of ranked-choice voting, which suggests they may be in favor of changing the primary system to implement this method.
3. 3 B Reason: The speaker believes that the older generation may not be in favor of ranked-choice voting, which could be a potential con to changing the primary system.
4. 4 A Reason: The statement ""Change the primary system is okay"" indicates a pro stance on the proposal to change the primary system.
5. 5 B Reason: The statement ""Change the primary system is bad"" indicates a con stance on the proposal to change the primary system.",,,"1.  [A] Reason: This argument is a pro because the speaker likes the current voting system and has experience with it.
2. [A] Reason: This argument is a pro because the speaker is open to ranked-choice voting, which is a form of proportional representation.
3. [B] Reason: This argument is a con because it assumes that the older generation may not be in favor of ranked-choice voting, which could be a barrier to implementing proportional representation.
4. [A] Reason: This argument is a pro because it directly supports the proposal of using proportional representatives to elect elected officials.
5. [B] Reason: This argument is a con because it states that using proportional representatives to elect elected officials is bad, without providing any reasoning.",,,"1. C Reason: The speaker's personal voting history and preference for the current system does not directly relate to the proposal to implement more measures to address voter fraud.
2. C Reason: The speaker's openness to ranked-choice voting is not directly related to the proposal to implement more measures to address voter fraud.
3. C Reason: The speaker's belief about the older generation's opinion on ranked-choice voting is not directly related to the proposal to implement more measures to address voter fraud.
4. A Reason: This argument is in favor of the proposal to implement more measures to address voter fraud.
5. B Reason: This argument is against the proposal to implement more measures to address voter fraud.",,,"1. C Reason: The speaker's voting history and preference for the current voting system are not directly related to the proposal of implementing a term limit for Supreme Court Justices.
2. C Reason: The speaker's openness to ranked-choice voting is not directly related to the proposal of implementing a term limit for Supreme Court Justices.
3. C Reason: The speaker's belief about the older generation's opinion on ranked-choice voting is not directly related to the proposal of implementing a term limit for Supreme Court Justices.
4. A Reason: This argument is in favor of the proposal, as it indicates acceptance or approval of implementing a term limit for Supreme Court Justices.
5. B Reason: This argument is against the proposal, as it indicates a negative opinion towards implementing a term limit for Supreme Court Justices.",2. The speaker is open to the idea of ranked-choice voting because it allows for ranking multiple candidates.,3. The speaker believes that the older generation may not be in favor of ranked-choice voting.,"1. C Reason: The speaker's personal preference for the current voting system does not directly relate to the proposal of implementing more accessibility to voting.
2. A Reason: The speaker's openness to ranked-choice voting aligns with the proposal of implementing more accessibility to voting, as it shows a willingness to explore different voting methods.
3. B Reason: The speaker's belief that the older generation may not be in favor of ranked-choice voting could be seen as a potential con to implementing more accessibility to voting, as it may face resistance from certain demographics.
4. A Reason: This argument is in favor of the proposal, as it acknowledges the importance of making voting more accessible.
5. B Reason: This argument is against the proposal, as it states that implementing more accessibility to voting is bad without providing any specific reasons or evidence.",,,"1.  [A] Reason: This argument is a pro because the speaker likes the current voting system and has been voting for 10 years, indicating a preference for the current system.
2. [A] Reason: This argument is a pro because the speaker is open to the idea of ranked-choice voting, showing a willingness to consider alternative voting methods.
3. [B] Reason: This argument is a con because it assumes that the older generation may not be in favor of ranked-choice voting without providing evidence or reasoning to support this claim.
4. [A] Reason: This argument is a pro because it supports the proposal to implement RCV as an alternative method to elected officials and representatives at all levels.
5. [B] Reason: This argument is a con because it opposes the proposal to implement RCV as an alternative method to elected officials and representatives at all levels without providing any specific reasons or evidence.",,,"1. C Reason: The speaker's personal voting history and preference for the current system does not directly relate to the proposal to restore voting rights to citizens with felony convictions.
2. C Reason: The speaker's openness to ranked-choice voting is not directly related to the proposal to restore voting rights to citizens with felony convictions.
3. C Reason: The speaker's belief about the older generation's opinion on ranked-choice voting is not directly related to the proposal to restore voting rights to citizens with felony convictions.
4. A Reason: This argument is in favor of the proposal to restore voting rights to citizens with felony convictions.
5. B Reason: This argument is against the proposal to restore voting rights to citizens with felony convictions.",,,"1.  [A] Reason: This argument is not applicable to the given proposal because it does not directly address the idea of increasing opportunities for learning about civic education in schools.
2. [A] Reason: This argument is pro because it shows openness to new voting systems, which could be a result of increased civic education in schools.
3. [B] Reason: This argument is con because it assumes that the older generation may not be in favor of ranked-choice voting, which is not directly related to the proposal of increasing opportunities for learning about civic education in schools.
4. [A] Reason: This argument is pro because it directly supports the proposal of increasing opportunities for learning about civic education in schools.
5. [B] Reason: This argument is con because it directly opposes the proposal of increasing opportunities for learning about civic education in schools.",,,"1.  [A] Reason: This argument is not applicable to the given proposal because it does not directly address the increase in public funding and financing for campaigns.
2. [C] Reason: This argument is not directly related to the increase in public funding and financing for campaigns, but rather focuses on the voting system itself.
3. [C] Reason: This argument is not directly related to the increase in public funding and financing for campaigns, but rather focuses on the potential preferences of the older generation.
4. [A] Reason: This argument is pro the given proposal as it supports the increase in public funding and financing for campaigns.
5. [B] Reason: This argument is con the given proposal as it opposes the increase in public funding and financing for campaigns.",False,False,False,False,False,False,False,True,False
9,10,10364,"""13:05""", like to see the change and it might be confusing. and that's where a lot of the people are not going to turn out to cast their votes because they don't understand it.,Yes,"1. The speaker believes that change can be confusing for people.
2. The speaker thinks that confusion may lead to people not turning out to vote.
3. The speaker suggests that lack of understanding may be a barrier to voter turnout.",,,"1.  [A] Reason: This argument is a pro because it suggests that changing the current electoral college system may lead to confusion, which could potentially discourage people from voting.
2. [A] Reason: This argument is a pro because it highlights the potential negative impact of confusion on voter turnout, which supports the idea that changing the electoral college system could have negative consequences.
3. [A] Reason: This argument is a pro because it emphasizes the importance of understanding in relation to voter turnout, further supporting the idea that changing the electoral college system could lead to confusion and decreased voter participation.
4. [B] Reason: This argument is a con because it does not provide any reasoning or evidence to support the claim that changing the current electoral college system is okay. It is a vague statement that does not contribute to the discussion.
5. [B] Reason: This argument is a con because it simply states that changing the current electoral college system is bad without providing any reasoning or evidence to support this claim. It is a blanket statement that does not add anything meaningful to the discussion.",,,"1.  [1] C Reason: This argument is not applicable to the given proposal as it does not directly address the idea of implementing more fairness and transparency in the election process.
2. [2] B Reason: This argument is a con because it suggests that confusion may lead to decreased voter turnout, which could be a negative consequence of implementing more fairness and transparency in the election process.
3. [3] B Reason: This argument is a con because it suggests that lack of understanding may be a barrier to voter turnout, which could be a negative consequence of implementing more fairness and transparency in the election process.
4. [4] A Reason: This argument is a pro because it directly supports the proposal to implement more fairness and transparency in the election process.
5. [5] B Reason: This argument is a con because it suggests that implementing more fairness and transparency in the election process is bad, without providing any specific reasons why.",,,"1.  [A] Reason: This argument is a pro because it suggests that making voting standards less strict could potentially simplify the voting process and make it less confusing for people.
2. [A] Reason: This argument is a pro because it highlights the potential negative impact of confusion on voter turnout, suggesting that less strict voting standards could help mitigate this issue.
3. [A] Reason: This argument is a pro because it points out that lack of understanding can be a barrier to voter turnout, implying that less strict voting standards could help address this issue.
4. [A] Reason: This argument is a pro because it directly supports the proposal to implement less strict voting standards.
5. [B] Reason: This argument is a con because it opposes the proposal to implement less strict voting standards.",,,"1. [A] Reason: This argument is a pro because it suggests that implementing limits on financing individual candidates and parties could bring about change, which the speaker believes is positive.
2. [A] Reason: This argument is a pro because it highlights the potential negative impact of confusion on voter turnout, implying that implementing limits could help clarify the process and encourage more people to vote.
3. [A] Reason: This argument is a pro because it identifies lack of understanding as a barrier to voter turnout, indicating that implementing limits could help simplify the system and increase voter participation.
4. [A] Reason: This argument is a pro because it directly supports the proposal to implement limits on financing individual candidates and parties.
5. [B] Reason: This argument is a con because it opposes the proposal to implement limits on financing individual candidates and parties.",,"1. The speaker believes that change can be confusing for people.
2. The speaker thinks that confusion may lead to people not turning out to vote.","1.  A Reason: Change can be confusing for people, which may be seen as a con argument against changing the primary system.
2. B Reason: If confusion leads to people not turning out to vote, this is a con argument against changing the primary system.
3. B Reason: Lack of understanding being a barrier to voter turnout is a con argument against changing the primary system.
4. C Reason: This argument does not provide a clear stance on whether changing the primary system is good or bad, so it is not applicable.
5. C Reason: This argument does not provide a clear stance on whether changing the primary system is good or bad, so it is not applicable.",,,"1.  [A] Reason: Pro - Change can be confusing for people, so using proportional representatives may provide a more familiar and understandable system for voters.
2. [B] Reason: Con - If confusion leads to people not turning out to vote, then using proportional representatives may not address this issue and could potentially worsen voter turnout.
3. [B] Reason: Con - If lack of understanding is a barrier to voter turnout, using proportional representatives may not necessarily solve this issue and could potentially further complicate the voting process.
4. [C] Reason: Not applicable - This argument does not provide a clear stance on the proposal, so it is not directly related to whether using proportional representatives is a good or bad idea.
5. [C] Reason: Not applicable - This argument simply states an opinion without providing any reasoning or evidence, so it does not contribute to the discussion of whether using proportional representatives is a good or bad idea.",,,"1.  [A] Reason: This argument is a pro because it suggests that implementing more measures to address voter fraud may help clarify the voting process and reduce confusion.
2. [A] Reason: This argument is a pro because it highlights the potential negative impact of confusion on voter turnout, which could be addressed by implementing more measures to address voter fraud.
3. [A] Reason: This argument is a pro because it suggests that lack of understanding may be a barrier to voter turnout, and implementing more measures to address voter fraud could help educate voters and increase turnout.
4. [A] Reason: This argument is a pro because it directly supports the proposal to implement more measures to address voter fraud.
5. [B] Reason: This argument is a con because it opposes the proposal to implement more measures to address voter fraud without providing any specific reasons or evidence to support this stance.",1. The speaker believes that change can be confusing for people.,"2. The speaker thinks that confusion may lead to people not turning out to vote.
3. The speaker suggests that lack of understanding may be a barrier to voter turnout.","1. A Reason: Change can be confusing for people, but implementing a term limit for Supreme Court Justices would bring about a positive change by ensuring turnover and fresh perspectives on the Court.
2. B Reason: Confusion leading to people not turning out to vote is not directly related to implementing a term limit for Supreme Court Justices. This argument is not applicable to the proposal.
3. B Reason: Lack of understanding being a barrier to voter turnout is not directly related to implementing a term limit for Supreme Court Justices. This argument is not applicable to the proposal.
4. A Reason: Implementing a term limit for Supreme Court Justices is seen as a positive change that can bring about benefits such as preventing justices from serving for too long and ensuring a more diverse and dynamic Court.
5. B Reason: This argument is a con because it suggests that implementing a term limit for Supreme Court Justices is bad. However, without further explanation or reasoning, it is not clear why the speaker believes this to be the case.",,,"1.  [A] Reason: This argument is a pro because it highlights the potential benefit of implementing more accessibility to voting, which could help reduce confusion and increase voter turnout.
2. [A] Reason: This argument is a pro because it emphasizes the negative impact of confusion on voter turnout, suggesting that implementing more accessibility to voting could address this issue.
3. [A] Reason: This argument is a pro because it identifies lack of understanding as a barrier to voter turnout, indicating that increasing accessibility to voting could help address this barrier.
4. [A] Reason: This argument is a pro because it directly supports the proposal to implement more accessibility to voting.
5. [B] Reason: This argument is a con because it opposes the proposal without providing any specific reasons or evidence to support this stance.",,,"1.  [A] Reason: This argument is a con because it suggests that change can be confusing for people, which could be seen as a disadvantage of implementing RCV as an alternative method.
2. [A] Reason: This argument is a con because it implies that confusion may lead to people not turning out to vote, which could be a negative consequence of implementing RCV.
3. [A] Reason: This argument is a con because it suggests that lack of understanding may be a barrier to voter turnout, which could be a disadvantage of implementing RCV.
4. [C] Reason: This argument is not applicable as it simply states that implementing RCV is okay without providing any specific reasoning for or against it.
5. [C] Reason: This argument is not applicable as it simply states that implementing RCV is bad without providing any specific reasoning for or against it.",,,"1. [C] Reason: This argument is not applicable to the proposal as it does not directly address the restoration of voting rights to citizens with felony convictions.
2. [B] Reason: This argument is a con because it suggests that confusion may lead to decreased voter turnout, which could be seen as a negative consequence of the proposal.
3. [B] Reason: This argument is a con because it implies that lack of understanding could be a barrier to voter turnout, which could be a potential downside of the proposal.
4. [A] Reason: This argument is a pro as it directly supports the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
5. [B] Reason: This argument is a con as it states that restoring voting rights to citizens with felony convictions is bad, indicating opposition to the proposal.",,,"1.  [A] Reason: This argument is a pro because it suggests that increasing opportunities for learning about civic education in schools can help alleviate confusion and promote understanding, leading to more informed voters.
2. [A] Reason: This argument is a pro because it highlights the potential negative impact of confusion on voter turnout, which could be addressed by increasing civic education in schools.
3. [A] Reason: This argument is a pro because it directly supports the proposal by identifying lack of understanding as a barrier to voter turnout that could be addressed through increased civic education in schools.
4. [A] Reason: This argument is a pro because it directly supports the proposal by stating that increasing opportunities for learning about civic education in schools is a positive step.
5. [B] Reason: This argument is a con because it directly opposes the proposal without providing any reasoning or evidence to support why increasing opportunities for learning about civic education in schools would be bad.",,"2. The speaker thinks that confusion may lead to people not turning out to vote.
3. The speaker suggests that lack of understanding may be a barrier to voter turnout.","1. C Reason: This argument is not applicable to the given proposal as it does not directly address the increase in public funding and financing for campaigns.
2. B Reason: This argument is a con because it suggests that confusion may lead to people not turning out to vote, which could be a negative consequence of the proposal.
3. B Reason: This argument is a con because it suggests that lack of understanding may be a barrier to voter turnout, which could be a negative consequence of the proposal.
4. A Reason: This argument is a pro because it directly supports the proposal for an increase in public funding and financing for campaigns.
5. B Reason: This argument is a con because it directly opposes the proposal for an increase in public funding and financing for campaigns.",False,False,False,True,False,False,False,True,False
