,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48418,"""2:11""", my name is ben and i'm a pharmacist at rochester.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48349,"""2:23"""," hi, my name is william. i'm a retired computer programmer or wired sector.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,48312,"""2:36"""," hi, i'm marilyn. and i'm a retired, social worker living on the west coast.",Yes,"1. The speaker is named Marilyn.
2. She is retired.
3. She used to work as a social worker.
4. She currently lives on the west coast.",,,"1.  [A] Reason: The fact that the speaker is named Marilyn is not relevant to whether changing the primary system is a good idea or not.
2. [C] Reason: The fact that she is retired is not directly related to the proposal to change the primary system.
3. [C] Reason: Her previous occupation as a social worker does not impact the proposal to change the primary system.
4. [C] Reason: Where she currently lives on the west coast does not affect the proposal to change the primary system.
5. [A] Reason: This argument is in support of the proposal to change the primary system.",,,"1. C Reason: The speaker's name and occupation are not relevant to the proposal.
2. C Reason: The speaker's retirement status is not relevant to the proposal.
3. C Reason: The speaker's past occupation as a social worker is not relevant to the proposal.
4. C Reason: The speaker's current location on the west coast is not relevant to the proposal.
5. A Reason: This argument is pro because it directly relates to the proposal and supports the idea of using proportional representatives to elect elected officials.",,,"1. [C] Reason: The speaker's name and personal background are not relevant to the proposal of implementing more accessibility to voting.
2. [C] Reason: The fact that she is retired is not relevant to the proposal of implementing more accessibility to voting.
3. [C] Reason: Her previous occupation as a social worker is not directly related to the proposal of implementing more accessibility to voting.
4. [C] Reason: Her current location on the west coast is not directly related to the proposal of implementing more accessibility to voting.
5. [A] Reason: This statement is directly related to the proposal and expresses support for it.",,,"1. [C] Reason: The speaker's name and occupation are not relevant to the proposal of implementing less strict voting standards.
2. [C] Reason: The fact that she is retired is not relevant to the proposal of implementing less strict voting standards.
3. [C] Reason: Her previous occupation as a social worker is not directly related to the proposal of implementing less strict voting standards.
4. [C] Reason: Her current location on the west coast is not relevant to the proposal of implementing less strict voting standards.
5. [A] Reason: This statement is directly related to the proposal and expresses support for implementing less strict voting standards.",,,"1. C Reason: The speaker's name and occupation are not relevant to the proposal to implement more measures to address voter fraud.
2. C Reason: The speaker's retirement status is not relevant to the proposal to implement more measures to address voter fraud.
3. C Reason: The speaker's previous occupation as a social worker is not relevant to the proposal to implement more measures to address voter fraud.
4. C Reason: The speaker's current location on the west coast is not relevant to the proposal to implement more measures to address voter fraud.
5. A Reason: This argument is in support of the proposal to implement more measures to address voter fraud.",,,"1. [C] Reason: The speaker's name and personal background are not relevant to the proposal of implementing more fairness and transparency in the election process.
2. [C] Reason: The speaker's retirement status is not relevant to the proposal.
3. [C] Reason: The speaker's previous occupation as a social worker is not relevant to the proposal.
4. [C] Reason: The speaker's current location on the west coast is not relevant to the proposal.
5. [A] Reason: This statement is directly related to the proposal and expresses support for the idea of implementing more fairness and transparency in the election process.",,,"1. [C] Reason: The speaker being named Marilyn is not relevant to whether implementing RCV is a good idea.
2. [C] Reason: Marilyn being retired is not relevant to whether implementing RCV is a good idea.
3. [C] Reason: Marilyn's past career as a social worker is not relevant to whether implementing RCV is a good idea.
4. [C] Reason: Marilyn currently living on the west coast is not relevant to whether implementing RCV is a good idea.
5. [A] Reason: This argument is directly related to the proposal and supports the idea of implementing RCV as an alternative method for elected officials and representatives at all levels.",,,"1. [C] Reason: The speaker's name and occupation do not have any relevance to the proposal on implementing limits on financing individual candidates and parties.
2. [C] Reason: The fact that she is retired does not impact the argument for or against the proposal.
3. [C] Reason: Her previous occupation as a social worker does not directly relate to the proposal.
4. [C] Reason: Her current location on the west coast does not affect the argument for or against the proposal.
5. [A] Reason: This argument is pro because implementing limits on financing individual candidates and parties can help reduce the influence of money in politics and promote fair elections.",,,"1. Pro Reason: Marilyn's support for the proposal indicates that she believes in the importance of restoring voting rights to citizens with felony convictions upon their release from prison.
2. Not applicable Reason: Marilyn's retirement status does not directly impact her stance on the proposal.
3. Not applicable Reason: Marilyn's previous occupation as a social worker does not directly impact her stance on the proposal.
4. Not applicable Reason: Marilyn's current location on the west coast does not directly impact her stance on the proposal.
5. Pro Reason: The proposal itself is advocating for the restoration of voting rights to citizens with felony convictions upon their release from prison.",,,"1. [C] Reason: The speaker's name and personal background are not relevant to the proposal about increasing opportunities for learning about civic education in schools.
2. [C] Reason: The fact that she is retired is not relevant to the proposal about increasing opportunities for learning about civic education in schools.
3. [C] Reason: Her previous occupation as a social worker is not directly related to the proposal about increasing opportunities for learning about civic education in schools.
4. [C] Reason: Her current location on the west coast is not relevant to the proposal about increasing opportunities for learning about civic education in schools.
5. [A] Reason: This argument is in support of the proposal to increase opportunities for learning about civic education in schools.","1. The speaker is named Marilyn.
3. She used to work as a social worker.",,"1. A Reason: The speaker's name being Marilyn does not impact whether increasing public funding for campaigns is a good idea or not.
2. C Reason: The fact that she is retired does not directly relate to the proposal of increasing public funding for campaigns.
3. A Reason: As a former social worker, Marilyn may have insights into the potential benefits of increased public funding for campaigns in terms of social welfare and advocacy.
4. C Reason: Where Marilyn currently lives does not affect the argument for or against increasing public funding for campaigns.
5. A Reason: Marilyn's opinion that increasing public funding for campaigns is okay aligns with the pro argument for the proposal.","1. The speaker is named Marilyn.
2. She is retired.
3. She used to work as a social worker.
4. She currently lives on the west coast.",,"1. A Reason: The speaker being named Marilyn is not directly related to the proposal to change the electoral college.
2. A Reason: The fact that she is retired is not directly related to the proposal to change the electoral college.
3. A Reason: Her previous occupation as a social worker is not directly related to the proposal to change the electoral college.
4. A Reason: Her current location on the west coast is not directly related to the proposal to change the electoral college.
5. B Reason: This argument is directly related to the proposal to change the current electoral college, as it expresses a stance either in favor or against the change.",,,"1. [C] Reason: The speaker's name and occupation are not relevant to the proposal of implementing a term limit for Supreme Court Justices.
2. [C] Reason: The fact that she is retired is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
3. [C] Reason: Her past occupation as a social worker is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
4. [C] Reason: Her current location on the west coast is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
5. [A] Reason: This is a pro argument as implementing a term limit for Supreme Court Justices can prevent justices from serving for an extended period of time, potentially leading to a more diverse and dynamic Supreme Court.",False,False,True,False,False,False,False,True,False
3,4,10607,"""2:46"""," hi, my name is noel and the medical assistant living in new jersey.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48331,"""2:52""", i'm tyler. i'm a high school teacher from georgia.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,48300,"""3:03"""," i'm john, it's supposed to work. a retired for the last 25 years. made it be here.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48296,"""3:12""", james grocery executive live in arkansas.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,48319,"""3:18"""," hi, my name is lee. i live in wisconsin and i work for a electrical distribution firm.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,9625,"""3:28"""," i am steve, i live in connecticut elevator mechanic.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48341,"""3:38""", hi. i'm hope i'm a composer. i just got my bachelor's and i'm applying for masters programs.,Yes,"1. The speaker is a composer who recently obtained their bachelor's degree.
2. They are in the process of applying for master's programs in music composition.",,,"1.  A Reason: The speaker's background as a composer with a bachelor's degree in music composition may provide valuable insight into the potential impact of changing the primary system on the music industry.
2.  A Reason: The speaker's current pursuit of a master's degree in music composition indicates a continued interest and involvement in the field, making their perspective relevant to the proposal.
3.  B Reason: This argument does not provide any specific reasoning or evidence to support the proposal of changing the primary system, making it a neutral or not applicable stance.
4.  B Reason: This argument does not provide any specific reasoning or evidence to support the proposal of changing the primary system, making it a neutral or not applicable stance.
5.  B Reason: This argument does not provide any specific reasoning or evidence to support the proposal of changing the primary system, making it a neutral or not applicable stance.",,,"1. C Reason: The speaker's background and current situation do not directly relate to the proposal of using proportional representatives to elect elected officials.
2. C Reason: The speaker's future plans for applying to master's programs in music composition do not directly relate to the proposal of using proportional representatives to elect elected officials.
3. A Reason: This argument is a pro for the proposal as it suggests that using proportional representatives to elect elected officials is acceptable.
4. B Reason: This argument is a con for the proposal as it suggests that using proportional representatives to elect elected officials is bad.
5. A Reason: This argument is a pro for the proposal as it suggests that using proportional representatives to elect elected officials is the best thing ever.",,,"1. [A] Reason: Not applicable to the proposal of implementing more accessibility to voting. The speaker's background as a composer and their educational achievements do not directly relate to the topic of voting accessibility.
2. [A] Reason: Not applicable to the proposal of implementing more accessibility to voting. The speaker's plans to apply for master's programs in music composition do not directly relate to the topic of voting accessibility.
3. [A] Reason: Implementing more accessibility to voting is a pro argument as it promotes inclusivity and democracy by allowing more people to participate in the voting process.
4. [B] Reason: Implementing more accessibility to voting is a con argument as some may argue that it could lead to potential voter fraud or compromise the integrity of the voting system.
5. [A] Reason: Implementing more accessibility to voting is a pro argument as it allows for more individuals to exercise their right to vote and have a say in the democratic process.",,,"1. [A] Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on the topic of implementing less strict voting standards.
2. [A] Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on the topic of implementing less strict voting standards.
3. [A] Reason: This argument is a pro for the proposal as it supports the idea of implementing less strict voting standards.
4. [B] Reason: This argument is a con for the proposal as it opposes the idea of implementing less strict voting standards.
5. [C] Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on the topic of implementing less strict voting standards.",,,"1. [A] Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on implementing more measures to address voter fraud.
2. [A] Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on implementing more measures to address voter fraud.
3. [A] Reason: This argument is a pro for the given proposal as it supports the idea of implementing more measures to address voter fraud.
4. [B] Reason: This argument is a con for the given proposal as it opposes the idea of implementing more measures to address voter fraud.
5. [C] Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or opinion on implementing more measures to address voter fraud.",,,"1. C Reason: The fact that the speaker is a composer with a bachelor's degree and applying for master's programs in music composition is not directly related to the proposal of implementing more fairness and transparency in the election process.
2. C Reason: The fact that the speaker is applying for master's programs in music composition is not directly related to the proposal of implementing more fairness and transparency in the election process.
3. A Reason: This argument is in favor (pro) of the proposal as it aligns with the goal of promoting fairness and transparency in the election process.
4. B Reason: This argument is against (con) the proposal as it suggests that implementing more fairness and transparency in the election process is bad.
5. A Reason: This argument is in favor (pro) of the proposal as it suggests that implementing more fairness and transparency in the election process is the best thing ever.",,,"1. [A] Reason: This argument is not applicable to the given proposal as it does not address the implementation of RCV as an alternative method to elected officials and representatives.
2. [A] Reason: This argument is not applicable to the given proposal as it does not address the implementation of RCV as an alternative method to elected officials and representatives.
3. [A] Reason: This argument is a pro for the given proposal as it supports the implementation of RCV as an alternative method to elected officials and representatives at all levels.
4. [B] Reason: This argument is a con for the given proposal as it opposes the implementation of RCV as an alternative method to elected officials and representatives at all levels.
5. [C] Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or analysis related to the implementation of RCV as an alternative method to elected officials and representatives.",,,"1. C Reason: The speaker's education and profession are not relevant to the proposal on financing limits for candidates and parties.
2. C Reason: The speaker's current academic pursuits in music composition are not relevant to the proposal on financing limits for candidates and parties.
3. A Reason: This argument is a pro for the proposal as it suggests that implementing limits on financing for individual candidates and parties is acceptable.
4. B Reason: This argument is a con for the proposal as it suggests that implementing limits on financing for individual candidates and parties is bad.
5. A Reason: This argument is a pro for the proposal as it suggests that implementing limits on financing for individual candidates and parties is the best thing ever.",,,"1. [C] Reason: The fact that the speaker is a composer with a bachelor's degree is not applicable to the proposal to restore voting rights to citizens with felony convictions.
2. [C] Reason: The speaker applying for master's programs in music composition is not applicable to the proposal to restore voting rights to citizens with felony convictions.
3. [A] Reason: This argument is pro because it supports the proposal to restore voting rights to citizens with felony convictions.
4. [B] Reason: This argument is con because it opposes the proposal to restore voting rights to citizens with felony convictions.
5. [A] Reason: This argument is pro because it supports the proposal to restore voting rights to citizens with felony convictions.",,,"1. C Reason: The speaker's background and current situation do not directly relate to the proposal about civic education in schools.
2. C Reason: The speaker's future plans in music composition do not directly relate to the proposal about civic education in schools.
3. A Reason: This argument is in support of the proposal to increase opportunities for learning about civic education in schools.
4. B Reason: This argument is against the proposal to increase opportunities for learning about civic education in schools.
5. A Reason: This argument is in strong support of the proposal to increase opportunities for learning about civic education in schools.",,,"1. C Reason: The fact that the speaker is a composer with a bachelor's degree and applying for master's programs in music composition is not relevant to the proposal of increasing public funding and financing for campaigns.
2. C Reason: The fact that the speaker is a composer with a bachelor's degree and applying for master's programs in music composition is not relevant to the proposal of increasing public funding and financing for campaigns.
3. A Reason: This argument is a pro for the proposal because it supports the idea of increasing public funding and financing for campaigns.
4. B Reason: This argument is a con for the proposal because it opposes the idea of increasing public funding and financing for campaigns.
5. A Reason: This argument is a pro for the proposal because it supports the idea of increasing public funding and financing for campaigns.",,,"1. [A] Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on changing the electoral college.
2. [A] Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on changing the electoral college.
3. [A] Reason: This argument is a pro for the proposal as it indicates support for changing the current electoral college system.
4. [B] Reason: This argument is a con for the proposal as it indicates opposition to changing the current electoral college system.
5. [C] Reason: This argument is not applicable as it does not provide any specific reasoning or opinion on changing the electoral college.",,,"1. C Reason: The speaker's background as a composer with a bachelor's degree and applying for master's programs in music composition is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
2. C Reason: The speaker's current academic pursuits in music composition do not impact the argument for or against implementing a term limit for Supreme Court Justices.
3. A Reason: This argument is pro because implementing a term limit for Supreme Court Justices can bring fresh perspectives and prevent justices from serving for an extended period, potentially leading to outdated views.
4. B Reason: This argument is con because some may argue that implementing a term limit for Supreme Court Justices could disrupt the stability and consistency of the court, as experienced justices may be forced to step down.
5. A Reason: This argument is pro because some may believe that implementing a term limit for Supreme Court Justices can prevent justices from becoming too entrenched in their positions and ensure a more diverse range of perspectives on the court.",False,False,False,False,False,False,False,False,False
