,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,10176,"""2:04""", good morning. my name is cynthia veronica. i'm 62. she come from a military family and i live in sacramento california.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48486,"""2:17"""," good morning, i'm larry. i live in san diego, california. although my home town of seattle. i am retired, although temporarily since i plan to get back to doing something relatively useful, retirement doesn't really suit. me too. used to being productive. i left seattle, five and a half years ago, for some sun, but unfortunately not had any sun these days in southern california.",Yes,"1. Larry lives in San Diego, California but is originally from Seattle.
2. He is currently retired but plans to get back to doing something relatively useful as retirement doesn't suit him.
3. He left Seattle five and a half years ago for some sun in California but has unfortunately not had much sun recently.",,,"1. C Reason: Larry's personal background and current situation do not directly relate to the proposal to change the electoral college.
2. C Reason: Larry's future plans and feelings about retirement do not directly relate to the proposal to change the electoral college.
3. C Reason: Larry's past move from Seattle to California and lack of sun do not directly relate to the proposal to change the electoral college.
4. A Reason: This argument is in favor of changing the current electoral college system.
5. B Reason: This argument is against changing the current electoral college system.",,,"1. C Reason: Larry's current location and past location are not relevant to the proposal of implementing more accessibility to voting.
2. C Reason: Larry's retirement plans and desire to be useful are not relevant to the proposal of implementing more accessibility to voting.
3. C Reason: Larry's move from Seattle to California and lack of sun are not relevant to the proposal of implementing more accessibility to voting.
4. A Reason: This argument is a pro for the proposal as it supports the idea of making voting more accessible.
5. B Reason: This argument is a con for the proposal as it opposes the idea of making voting more accessible.",,,"1. [C] Reason: Larry's current location and origin have no relevance to the proposal to change the primary system.
2. [C] Reason: Larry's retirement plans have no relevance to the proposal to change the primary system.
3. [C] Reason: Larry's move from Seattle to California and lack of sun have no relevance to the proposal to change the primary system.
4. [A] Reason: This argument is a pro for the proposal to change the primary system, indicating that it is acceptable.
5. [B] Reason: This argument is a con for the proposal to change the primary system, indicating that it is bad.",,,"1. C Reason: Larry's personal background and current situation do not directly relate to the proposal of using proportional representatives to elect elected officials.
2. C Reason: Larry's future plans and personal preferences do not directly relate to the proposal of using proportional representatives to elect elected officials.
3. C Reason: Larry's past movements and current weather conditions do not directly relate to the proposal of using proportional representatives to elect elected officials.
4. A Reason: This argument is a pro for the proposal as it supports the idea of using proportional representatives to elect elected officials.
5. B Reason: This argument is a con for the proposal as it opposes the idea of using proportional representatives to elect elected officials.",,,"1. C Reason: Larry's personal background and current situation do not directly relate to the proposal of implementing more fairness and transparency in the election process.
2. C Reason: Larry's future plans and feelings about retirement do not directly relate to the proposal of implementing more fairness and transparency in the election process.
3. C Reason: Larry's past move and current lack of sun in California do not directly relate to the proposal of implementing more fairness and transparency in the election process.
4. A Reason: This argument is a pro for the proposal as it aligns with the goal of increasing fairness and transparency in the election process.
5. B Reason: This argument is a con for the proposal as it goes against the goal of implementing more fairness and transparency in the election process.",,,"1. C Reason: Larry's personal background and current situation are not relevant to the proposal to implement more measures to address voter fraud.
2. C Reason: Larry's future plans are not relevant to the proposal to implement more measures to address voter fraud.
3. C Reason: Larry's past movements and current lack of sun exposure are not relevant to the proposal to implement more measures to address voter fraud.
4. A Reason: This argument is in support of the proposal to implement more measures to address voter fraud.
5. B Reason: This argument is against the proposal to implement more measures to address voter fraud.",,,"1. C Reason: Larry's current location and origin have no relevance to the proposal of implementing a term limit for Supreme Court Justices.
2. C Reason: Larry's retirement plans and activities have no relevance to the proposal of implementing a term limit for Supreme Court Justices.
3. C Reason: Larry's move from Seattle to California and lack of sun have no relevance to the proposal of implementing a term limit for Supreme Court Justices.
4. A Reason: This argument is pro the proposal as it supports the idea of implementing a term limit for Supreme Court Justices.
5. B Reason: This argument is con the proposal as it opposes the idea of implementing a term limit for Supreme Court Justices.",,,"1. C Reason: Larry's current location and origin are not relevant to the proposal.
2. C Reason: Larry's retirement plans are not relevant to the proposal.
3. C Reason: Larry's move from Seattle to California and lack of sun are not relevant to the proposal.
4. A Reason: This argument is in support of the proposal, as it aligns with the idea of restoring voting rights to citizens with felony convictions upon their release from prison.
5. B Reason: This argument is against the proposal, as it views restoring voting rights to citizens with felony convictions as bad.",,,"1. C Reason: Larry's personal background and current situation do not directly relate to the proposal of implementing less strict voting standards.
2. C Reason: Larry's future plans and feelings about retirement do not directly relate to the proposal of implementing less strict voting standards.
3. C Reason: Larry's past move and current lack of sun exposure do not directly relate to the proposal of implementing less strict voting standards.
4. A Reason: This argument is in favor of the proposal, suggesting that implementing less strict voting standards is acceptable.
5. B Reason: This argument is against the proposal, suggesting that implementing less strict voting standards is bad.",,,"1. C Reason: Larry's location and background are not relevant to the proposal for an increase in public funding and financing for campaigns.
2. C Reason: Larry's retirement plans and personal preferences are not relevant to the proposal for an increase in public funding and financing for campaigns.
3. C Reason: Larry's move from Seattle to California and lack of sun are not relevant to the proposal for an increase in public funding and financing for campaigns.
4. A Reason: This argument is a pro for the proposal as it indicates support for increasing public funding and financing for campaigns.
5. B Reason: This argument is a con for the proposal as it indicates opposition to increasing public funding and financing for campaigns.",,,"1. C Reason: Larry's current location and past location are not relevant to the proposal of implementing RCV as an alternative method for elected officials and representatives.
2. C Reason: Larry's retirement plans are not relevant to the proposal of implementing RCV as an alternative method for elected officials and representatives.
3. C Reason: Larry's move from Seattle to California and lack of sun are not relevant to the proposal of implementing RCV as an alternative method for elected officials and representatives.
4. A Reason: This argument is a pro for the proposal as it supports the idea of implementing RCV as an alternative method for elected officials and representatives at all levels.
5. B Reason: This argument is a con for the proposal as it opposes the idea of implementing RCV as an alternative method for elected officials and representatives at all levels.",,,"1. C Reason: Larry's location and background are not relevant to the proposal about civic education in schools.
2. C Reason: Larry's retirement plans are not relevant to the proposal about civic education in schools.
3. C Reason: Larry's move from Seattle to California and lack of sun are not relevant to the proposal about civic education in schools.
4. A Reason: This argument is in support of the proposal to increase opportunities for learning about civic education in schools.
5. B Reason: This argument is against the proposal to increase opportunities for learning about civic education in schools.",,,"1. C Reason: Larry's personal background and current situation are not relevant to the proposal on implementing limits on financing individual candidates and parties.
2. C Reason: Larry's plans for retirement and future activities are not relevant to the proposal on implementing limits on financing individual candidates and parties.
3. C Reason: Larry's move from Seattle to California and lack of sun are not relevant to the proposal on implementing limits on financing individual candidates and parties.
4. A Reason: This argument is a pro for the proposal as it supports the idea of implementing limits on financing individual candidates and parties.
5. B Reason: This argument is a con for the proposal as it opposes the idea of implementing limits on financing individual candidates and parties.",False,False,False,False,False,False,False,False,False
2,3,48486,"""2:17""", thank you.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48271,"""2:49"""," good morning, guys. my name is amanda. i'm from georgia. and i have three kids and i'm here because i think our our country, you know, deserves to hear that al kravitz people. so, yeah, good morning to everybody.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48493,"""3:11"""," hi, i'm anthony. i'm from jackson, tennessee, military, vietnam, veteran. and i just want to hear what? everybody's got to say around the world. thank you.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,48423,"""3:26"""," hi. good morning. i'm tara from portland, oregon, and here, just to kind of learn some new things and see what everybody else is thinking. thank you.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48297,"""3:39"""," hi. i'm diana from georgia. i'm here to learn and speak on the most of the topics i'm retired. i worked for fedex for 20 years. i'm married for grown kids, that's about it.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,10270,"""4:01"""," hello. my name is george pits. i am a retired used to police sergeant. i live in galveston area. now, i'm retired love to fish and very, very concerned about the state of our elections, these days. thank you.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,10585,"""4:21"""," hi there, everyone. this is matt, i am new to ezel kentucky area which is 90 minutes east of lexington kentucky. just moved here back in march but this is my third time. being a part of this has definitely been awesome to get to know people from around the country. and i'm here just to learn as well. thank you.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48385,"""4:50"""," hello, my name is brian. i live here. currently in albuquerque. new mexico. originally from upstate new york in syracuse, i have done this before in the past where we met in person and look forward to talking with you all.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
