,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,9738,"""2:05""", i am michael. i'm from austin texas. and i'm 73 years old and retired.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48313,"""2:23"""," hi, i'm jacoby boudreaux. i'm 25 years old. and i live in seattle, washington.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,10257,"""2:29"""," hi, i'm kristen. sieber, i am 34 years old and i live in mobile alabama.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,10512,"""2:36"""," hi, i'm ryan mccurry. i live in knoxville tennessee and i'm 55.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48502,"""2:44"""," well, i'm tom broderick. i'm 68 years old. i live in key largo, florida, and i'm retired.",Yes,"1. Tom Broderick is 68 years old.
2. He lives in Key Largo, Florida.
3. He is retired.",,,"1. C Reason: Tom Broderick's age and location are not relevant to the proposal of implementing less strict voting standards.
2. C Reason: Tom Broderick's retirement status is not relevant to the proposal of implementing less strict voting standards.
3. C Reason: Tom Broderick's retirement status is not relevant to the proposal of implementing less strict voting standards.
4. A Reason: This argument is a pro for the proposal as it supports the idea of making voting standards less strict.
5. B Reason: This argument is a con for the proposal as it opposes the idea of making voting standards less strict.",,,"1. [C] Reason: Age is not relevant to the proposal of using proportional representatives to elect elected officials.
2. [C] Reason: Location is not relevant to the proposal of using proportional representatives to elect elected officials.
3. [C] Reason: Employment status is not relevant to the proposal of using proportional representatives to elect elected officials.
4. [A] Reason: This argument is in favor of the proposal, stating that using proportional representatives to elect elected officials is okay.
5. [B] Reason: This argument is against the proposal, stating that using proportional representatives to elect elected officials is bad.",,,"1. [A] Reason: Age can be a factor in supporting more accessibility to voting as older individuals may face physical limitations that make it difficult for them to vote in traditional ways.
2. [C] Reason: Location does not directly impact the argument for or against more accessibility to voting.
3. [C] Reason: Employment status does not directly impact the argument for or against more accessibility to voting.
4. [A] Reason: This argument supports the proposal by stating that implementing more accessibility to voting is acceptable.
5. [B] Reason: This argument opposes the proposal by stating that implementing more accessibility to voting is bad.",,,"1. [A] Reason: Not applicable to the proposal as it does not provide any argument for or against increasing public funding for campaigns.
2. [A] Reason: Not applicable to the proposal as it does not provide any argument for or against increasing public funding for campaigns.
3. [A] Reason: Not applicable to the proposal as it does not provide any argument for or against increasing public funding for campaigns.
4. [A] Reason: Pro, as it supports the proposal for increasing public funding and financing for campaigns.
5. [B] Reason: Con, as it opposes the proposal for increasing public funding and financing for campaigns.",,,"1. C Reason: Tom Broderick's age and location are not relevant to the proposal on implementing limits on financing individual candidates and parties.
2. C Reason: Tom Broderick's retirement status and location are not relevant to the proposal on implementing limits on financing individual candidates and parties.
3. C Reason: Tom Broderick's retirement status is not relevant to the proposal on implementing limits on financing individual candidates and parties.
4. A Reason: This argument is a pro for the proposal as it suggests that implementing limits on financing individual candidates and parties is acceptable.
5. B Reason: This argument is a con for the proposal as it suggests that implementing limits on financing individual candidates and parties is bad.",1. Tom Broderick is 68 years old.,,"1. A Reason: Age of Supreme Court Justices is a common argument in favor of implementing term limits, as it ensures turnover and prevents justices from serving for an extended period of time.
2. C Reason: Location of residence is not relevant to the proposal of implementing term limits for Supreme Court Justices.
3. C Reason: Employment status of an individual is not relevant to the proposal of implementing term limits for Supreme Court Justices.
4. A Reason: This argument is in favor of the proposal, as it suggests that implementing term limits for Supreme Court Justices is acceptable.
5. B Reason: This argument is against the proposal, as it suggests that implementing term limits for Supreme Court Justices is bad.",,,"1. [A] Reason: Age is not relevant to the proposal of restoring voting rights to citizens with felony convictions.
2. [A] Reason: Location is not relevant to the proposal of restoring voting rights to citizens with felony convictions.
3. [A] Reason: Employment status is not relevant to the proposal of restoring voting rights to citizens with felony convictions.
4. [A] Reason: This argument is in support of the proposal, as it aligns with the idea of giving individuals a second chance and allowing them to participate in the democratic process.
5. [B] Reason: This argument is against the proposal, as it does not support the idea of restoring voting rights to citizens with felony convictions.",,,"1. C Reason: Tom Broderick's age and personal information are not relevant to the proposal to implement more measures to address voter fraud.
2. C Reason: Tom Broderick's location is not relevant to the proposal to implement more measures to address voter fraud.
3. C Reason: Tom Broderick's retirement status is not relevant to the proposal to implement more measures to address voter fraud.
4. A Reason: This argument is a pro for the given proposal as it supports the idea of implementing more measures to address voter fraud.
5. B Reason: This argument is a con for the given proposal as it opposes the idea of implementing more measures to address voter fraud.",,,"1. [A] Reason: Not applicable to the proposal as it does not provide any argument for or against increasing opportunities for learning about civic education in schools.
2. [A] Reason: Not applicable to the proposal as it does not provide any argument for or against increasing opportunities for learning about civic education in schools.
3. [A] Reason: Not applicable to the proposal as it does not provide any argument for or against increasing opportunities for learning about civic education in schools.
4. [A] Reason: Pro, increasing opportunities for learning about civic education in schools can help students become more informed and engaged citizens.
5. [B] Reason: Con, this argument is against increasing opportunities for learning about civic education in schools without providing any specific reasons.",,,"1. C Reason: Tom Broderick's age is not relevant to the proposal of implementing RCV as an alternative method.
2. C Reason: Tom Broderick's location is not relevant to the proposal of implementing RCV as an alternative method.
3. C Reason: Tom Broderick's retirement status is not relevant to the proposal of implementing RCV as an alternative method.
4. A Reason: This argument is a pro for the proposal as it supports the idea of implementing RCV as an alternative method.
5. B Reason: This argument is a con for the proposal as it opposes the idea of implementing RCV as an alternative method.",,,"1. [A] Reason: Not applicable, Tom Broderick's age does not impact the argument for or against changing the electoral college system.
2. [A] Reason: Not applicable, Tom Broderick's location does not impact the argument for or against changing the electoral college system.
3. [A] Reason: Not applicable, Tom Broderick's retirement status does not impact the argument for or against changing the electoral college system.
4. [A] Reason: Pro, this argument supports the proposal to change the current electoral college system.
5. [B] Reason: Con, this argument opposes the proposal to change the current electoral college system.",,,"1. [A] Reason: Not applicable, Tom Broderick's age does not impact whether changing the primary system is a good idea or not.
2. [A] Reason: Not applicable, Tom Broderick's location does not impact whether changing the primary system is a good idea or not.
3. [A] Reason: Not applicable, Tom Broderick's retirement status does not impact whether changing the primary system is a good idea or not.
4. [A] Reason: Pro, this argument supports the proposal by stating that changing the primary system is okay.
5. [B] Reason: Con, this argument opposes the proposal by stating that changing the primary system is bad.",,,"1. [A] Reason: Not applicable, Tom Broderick's age and personal information are not relevant to the proposal.
2. [A] Reason: Not applicable, Tom Broderick's location is not relevant to the proposal.
3. [A] Reason: Not applicable, Tom Broderick's retirement status is not relevant to the proposal.
4. [A] Reason: Pro, as this argument aligns with the proposal to implement more fairness and transparency in the election process.
5. [B] Reason: Con, as this argument goes against the proposal to implement more fairness and transparency in the election process.",False,False,False,False,False,False,False,False,True
5,6,48354,"""2:55""", hi. i'm steve murphy. i live in meet washington and i'm 53 years old and it's about,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48449,"""3:06"""," i'm zack lindahl. i live in henderson, north carolina and i am 35 years old.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,48489,"""3:14"""," hey, i'm matthew from new jersey 44, pleasure to be here.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,9788,"""3:27"""," good morning, i'm jim morrissey from anvil, pennsylvania, 44 years old.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48339,"""3:37"""," hey joe, i'm from indiana and i'm 35 years old.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
