,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48651,"""2:15""", and i i'm new to this.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48674,"""2:21"""," hi, i'm peter and i'm here.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,48673,"""2:36""", i am carrie and i'm here too.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,9671,"""2:43""", i marry and i'm here.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48621,"""3:00"""," hi, i'm aaron from michigan.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,48674,"""12:37"""," hi, i'm senator from wisconsin. i have always been interested in rank choice voting since i first heard about it some time ago, i think for me, it would be a really good thing because i tend to really follow politics pretty closely and so i'm pretty aware of all the candidates and would like a chance to",Yes,"1. The speaker is interested in rank choice voting.
2. They believe rank choice voting would be beneficial for them because they closely follow politics and are aware of all the candidates.
3. They would like a chance to utilize rank choice voting.","2. They believe rank choice voting would be beneficial for them because they closely follow politics and are aware of all the candidates.
3. They would like a chance to utilize rank choice voting.",,"1. C Reason: The speaker's interest in rank choice voting is not directly related to the proposal to change the current electoral college system.
2. A Reason: This argument is pro because the speaker believes rank choice voting would be beneficial for them due to their knowledge of all the candidates.
3. A Reason: This argument is pro because the speaker wants the opportunity to use rank choice voting.
4. A Reason: This argument is pro because it supports the proposal to change the current electoral college system.
5. B Reason: This argument is con because it opposes the proposal to change the current electoral college system.","1. The speaker is interested in rank choice voting.
2. They believe rank choice voting would be beneficial for them because they closely follow politics and are aware of all the candidates.
3. They would like a chance to utilize rank choice voting.",,"1. A Reason: The speaker's interest in rank choice voting aligns with the proposal for proportional representation, as both systems aim to provide fairer and more representative election outcomes.
2. A Reason: The speaker's belief that rank choice voting would benefit them due to their knowledge of candidates suggests they would appreciate the opportunity for more diverse representation through proportional representation.
3. A Reason: The speaker's desire to utilize rank choice voting indicates a preference for more democratic and inclusive election processes, which can be achieved through proportional representation.
4. C Reason: This argument does not provide a clear stance on the proposal for proportional representation, so it is not applicable.
5. B Reason: This argument is against the proposal for proportional representation, suggesting that the speaker believes it is bad.",,,"1. C Reason: The proposal is focused on addressing voter fraud, not rank choice voting.
2. C Reason: The argument is about rank choice voting, which is not directly related to the proposal to address voter fraud.
3. C Reason: The argument is about rank choice voting, which is not directly related to the proposal to address voter fraud.
4. A Reason: This argument is in support of the proposal to implement more measures to address voter fraud.
5. B Reason: This argument is against the proposal to implement more measures to address voter fraud.",,,"1. C Reason: Rank choice voting is not directly related to the proposal of increasing public funding and financing for campaigns.
2. C Reason: This argument is not directly related to the proposal of increasing public funding and financing for campaigns.
3. C Reason: This argument is not directly related to the proposal of increasing public funding and financing for campaigns.
4. A Reason: This argument is in support of the proposal, as it indicates that the speaker is okay with the increase in public funding and financing for campaigns.
5. B Reason: This argument is against the proposal, as it states that an increase in public funding and financing for campaigns is bad.","1. The speaker is interested in rank choice voting.
2. They believe rank choice voting would be beneficial for them because they closely follow politics and are aware of all the candidates.
3. They would like a chance to utilize rank choice voting.",,"1. A Reason: The speaker is interested in rank choice voting, which is a potential benefit of changing the primary system.
2. A Reason: The speaker believes rank choice voting would be beneficial for them because they closely follow politics and are aware of all the candidates, which is a pro argument for changing the primary system.
3. A Reason: The speaker would like a chance to utilize rank choice voting, which is another potential benefit of changing the primary system.
4. C Reason: This argument does not provide a clear stance on whether changing the primary system is good or bad, so it is not applicable.
5. B Reason: This argument states that changing the primary system is bad, which is a con argument against the proposal.",,,"1. C Reason: Rank choice voting is not directly related to implementing limits on financing individual candidates and parties.
2. C Reason: The speaker's knowledge of candidates and interest in rank choice voting does not directly relate to implementing limits on financing individual candidates and parties.
3. C Reason: The desire to utilize rank choice voting does not directly relate to implementing limits on financing individual candidates and parties.
4. A Reason: This argument is in favor of implementing limits on financing individual candidates and parties.
5. B Reason: This argument is against implementing limits on financing individual candidates and parties.","1. The speaker is interested in rank choice voting.
2. They believe rank choice voting would be beneficial for them because they closely follow politics and are aware of all the candidates.
3. They would like a chance to utilize rank choice voting.",,"1. A Reason: The speaker is interested in rank choice voting, which is a method that promotes fairness and transparency in the election process.
2. A Reason: The speaker believes rank choice voting would be beneficial because they closely follow politics and are aware of all the candidates, indicating they value a more informed and fair election process.
3. A Reason: The speaker would like a chance to utilize rank choice voting, further supporting their interest in a more fair and transparent election process.
4. A Reason: This argument is in support of the proposal to implement more fairness and transparency in the election process.
5. B Reason: This argument is against the proposal, suggesting that implementing more fairness and transparency in the election process is bad.","2. They believe rank choice voting would be beneficial for them because they closely follow politics and are aware of all the candidates.
3. They would like a chance to utilize rank choice voting.",,"1. C Reason: The speaker's interest in rank choice voting is not directly related to the proposal of implementing a term limit for Supreme Court Justices.
2. A Reason: This argument is pro because the speaker believes rank choice voting would be beneficial for them due to their knowledge of all the candidates.
3. A Reason: This argument is pro because the speaker wants the opportunity to use rank choice voting.
4. A Reason: This argument is not applicable because it simply states that implementing a term limit for Supreme Court Justices is okay without providing a clear stance.
5. B Reason: This argument is con because it states that implementing a term limit for Supreme Court Justices is bad without providing any reasoning.","1. The speaker is interested in rank choice voting.
2. They believe rank choice voting would be beneficial for them because they closely follow politics and are aware of all the candidates.
3. They would like a chance to utilize rank choice voting.",,"1.  A Reason: The speaker's interest in rank choice voting aligns with the proposal to implement less strict voting standards.
2. A Reason: The speaker's belief that rank choice voting would benefit them due to their knowledge of candidates supports the idea of less strict voting standards.
3. A Reason: The speaker's desire to utilize rank choice voting indicates a preference for more flexible voting standards.
4. A Reason: This argument is in support of the proposal to implement less strict voting standards.
5. B Reason: This argument is against the proposal, indicating a belief that less strict voting standards would be negative.","2. They believe rank choice voting would be beneficial for them because they closely follow politics and are aware of all the candidates.
3. They would like a chance to utilize rank choice voting.",,"1. C Reason: The speaker's interest in rank choice voting is not directly related to the proposal to increase opportunities for learning about civic education in schools.
2. A Reason: This argument is pro because it suggests that increased opportunities for learning about civic education in schools could lead to a better understanding of rank choice voting, which the speaker believes would be beneficial.
3. A Reason: This argument is pro because it indicates that the speaker would like to have the opportunity to utilize rank choice voting, which could be facilitated by a better understanding of civic education.
4. A Reason: This argument is pro because it directly supports the proposal to increase opportunities for learning about civic education in schools.
5. B Reason: This argument is con because it opposes the proposal to increase opportunities for learning about civic education in schools without providing any specific reasons.","2. They believe rank choice voting would be beneficial for them because they closely follow politics and are aware of all the candidates.
3. They would like a chance to utilize rank choice voting.",,"1. C Reason: Rank choice voting is not directly related to the proposal to restore voting rights to citizens with felony convictions.
2. A Reason: This argument is in favor of rank choice voting, which is not directly related to the proposal.
3. A Reason: This argument is in favor of rank choice voting, which is not directly related to the proposal.
4. A Reason: This argument is in support of the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
5. B Reason: This argument is against the proposal to restore voting rights to citizens with felony convictions upon their release from prison.","1. The speaker is interested in rank choice voting.
2. They believe rank choice voting would be beneficial for them because they closely follow politics and are aware of all the candidates.
3. They would like a chance to utilize rank choice voting.",,"1. A Reason: The speaker's interest in rank choice voting aligns with the proposal to implement RCV.
2. A Reason: The speaker's belief that RCV would be beneficial for them due to their knowledge of candidates is a pro argument for the proposal.
3. A Reason: The speaker's desire to utilize rank choice voting supports the implementation of RCV.
4. A Reason: This argument is not applicable as it simply restates the proposal without providing a clear stance for or against it.
5. B Reason: This argument is a con as it states that implementing RCV at all levels is bad without providing any specific reasons why.","2. They believe rank choice voting would be beneficial for them because they closely follow politics and are aware of all the candidates.
3. They would like a chance to utilize rank choice voting.",,"1. C Reason: The proposal is focused on implementing more accessibility to voting, not specifically on rank choice voting.
2. A Reason: This argument is a pro because it supports the idea of implementing more accessibility to voting by suggesting a specific method (rank choice voting) that could benefit voters.
3. A Reason: This argument is also a pro because it shows support for the proposal by expressing a desire to utilize a specific voting method that could be made more accessible.
4. A Reason: This argument is a pro because it directly aligns with the proposal to implement more accessibility to voting.
5. B Reason: This argument is a con because it goes against the proposal by stating that implementing more accessibility to voting is bad.",False,False,False,False,False,False,False,True,False
6,7,48674,"""12:37"""," you know, vote for more than one, you know, to rank them the way that the way that that would work. and also, i think that it would make for less",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,48659,"""13:37"""," hi everyone, i'm sorry. i was having technical difficulties before but i'm mark, i'm from maine. we actually have ranked choice voting and you've had it for the last few elections now and i think it's worked pretty well up here. i think it's more more democratic in that can sort of put your heart on your candidate but still pick, you know, a second candidate after that if you prefer them as opposed to just having to necessarily vote for a candidate because you",Yes,"1. Ranked choice voting is more democratic
2. Allows voters to choose their preferred candidate while still having a backup option
3. Avoids the need to vote for a candidate just because they are the lesser of two evils","1. Ranked choice voting is more democratic
2. Allows voters to choose their preferred candidate while still having a backup option
3. Avoids the need to vote for a candidate just because they are the lesser of two evils",,"1. A Reason: Ranked choice voting allows for a more democratic process by giving voters more options and ensuring that the candidate with the most overall support wins.
2. A Reason: Ranked choice voting allows voters to express their preferences more accurately and ensures that their vote is not wasted if their preferred candidate does not win.
3. A Reason: Ranked choice voting eliminates the need for strategic voting and allows voters to vote for the candidate they truly support without fear of wasting their vote.
4. A Reason: Change the current electoral college is not applicable to this proposal as it does not provide a clear argument for or against the change.
5. B Reason: Change the current electoral college is bad is a con argument as it suggests that changing the electoral college system would have negative consequences.","1. Ranked choice voting is more democratic
2. Allows voters to choose their preferred candidate while still having a backup option
3. Avoids the need to vote for a candidate just because they are the lesser of two evils",,"1. A Reason: Ranked choice voting allows for a more accurate representation of voters' preferences and ensures that the candidate with the most support overall wins.
2. A Reason: This argument supports the use of ranked choice voting, which is a method that can be used in conjunction with proportional representation to elect officials.
3. A Reason: This argument supports the use of ranked choice voting, which can help voters feel more empowered in their choices and avoid feeling like they have to settle for a candidate they don't fully support.
4. C Reason: This argument does not provide a clear stance on the proposal to use proportional representatives to elect officials.
5. B Reason: This argument is against the proposal to use proportional representatives to elect officials, but it does not provide a specific reason for why it is bad.",,,"1. [A] Reason: Ranked choice voting allows for a more democratic process by giving voters more options and ensuring that the candidate with the most support overall wins.
2. [A] Reason: Ranked choice voting allows voters to express their preferences more accurately and ensures that their vote is not wasted if their preferred candidate does not win.
3. [A] Reason: Ranked choice voting allows voters to vote for the candidate they truly support without feeling pressured to choose a candidate they do not fully endorse.
4. [C] Reason: This argument is not applicable to the proposal as it does not provide a clear stance on whether implementing more measures to address voter fraud is beneficial or not.
5. [C] Reason: This argument is not applicable to the proposal as it does not provide a clear stance on whether implementing more measures to address voter fraud is beneficial or not.",,,"1. [A] Reason: Ranked choice voting allows for a more democratic process by giving voters more options and ensuring that the winning candidate has majority support.
2. [A] Reason: This argument supports the idea that ranked choice voting allows voters to express their preferences more accurately.
3. [A] Reason: This argument supports the idea that ranked choice voting allows voters to vote for their preferred candidate without worrying about strategic voting.
4. [A] Reason: This argument is in favor of the proposal to increase public funding and financing for campaigns.
5. [B] Reason: This argument is against the proposal to increase public funding and financing for campaigns, as it states that it is bad.","1. Ranked choice voting is more democratic
2. Allows voters to choose their preferred candidate while still having a backup option
3. Avoids the need to vote for a candidate just because they are the lesser of two evils",,"1. A Reason: Ranked choice voting allows for a more accurate representation of voter preferences and ensures that the winning candidate has majority support.
2. A Reason: Allowing voters to rank their preferred candidates ensures that their vote is not wasted if their top choice does not win, leading to a more fair and inclusive election process.
3. A Reason: By implementing a new primary system, voters are no longer forced to choose between candidates they may not fully support, leading to a more genuine and representative election outcome.
4. C Reason: This argument does not provide a clear stance on whether changing the primary system is beneficial or not, so it is not applicable to the proposal.
5. B Reason: This argument is against changing the primary system, stating that it is bad, so it is a con to the proposal.","1. Ranked choice voting is more democratic
2. Allows voters to choose their preferred candidate while still having a backup option
3. Avoids the need to vote for a candidate just because they are the lesser of two evils",,"1. A Reason: Ranked choice voting promotes democracy by allowing voters to have more options and express their preferences more accurately.
2. A Reason: Ranked choice voting gives voters more flexibility in expressing their preferences and ensures that their vote is not wasted.
3. A Reason: Ranked choice voting allows voters to vote for candidates they truly support, rather than feeling pressured to vote strategically.
4. A Reason: This argument is in support of the proposal to implement limits on financing individual candidates and parties.
5. B Reason: This argument is against the proposal, suggesting that implementing limits on financing individual candidates and parties is bad.","1. Ranked choice voting is more democratic
2. Allows voters to choose their preferred candidate while still having a backup option
3. Avoids the need to vote for a candidate just because they are the lesser of two evils",,"1. A Reason: Ranked choice voting allows for a more democratic process by giving voters more options and ensuring that the candidate with the most support overall wins.
2. A Reason: Allowing voters to choose their preferred candidate while still having a backup option increases voter satisfaction and ensures that their voices are heard.
3. A Reason: Avoiding the need to vote for a candidate just because they are the lesser of two evils promotes fairness in the election process by allowing voters to vote for candidates they truly support.
4. A Reason: This argument is in support of the proposal to implement more fairness and transparency in the election process.
5. C Reason: This argument is not applicable as it does not provide a clear stance on the proposal.","1. Ranked choice voting is more democratic
2. Allows voters to choose their preferred candidate while still having a backup option
3. Avoids the need to vote for a candidate just because they are the lesser of two evils",,"1. A Reason: Ranked choice voting allows for a more democratic process by giving voters more options and ensuring that the candidate with the most support overall wins.
2. A Reason: Ranked choice voting allows voters to express their preferences more accurately and ensures that their vote is not wasted if their preferred candidate does not win.
3. A Reason: Ranked choice voting eliminates the need for strategic voting and allows voters to vote for the candidate they truly support without fear of wasting their vote.
4. C Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices.
5. C Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices.","1. Ranked choice voting is more democratic
2. Allows voters to choose their preferred candidate while still having a backup option",,"1.  A Reason: Ranked choice voting allows for a more democratic process by giving voters more options and ensuring that the winning candidate has majority support.
2. A Reason: Allowing voters to choose their preferred candidate while still having a backup option can lead to more accurate representation of voter preferences.
3. A Reason: Avoiding the need to vote for a candidate just because they are the lesser of two evils can lead to more genuine and meaningful elections.
4. C Reason: This argument does not provide a clear stance on whether implementing less strict voting standards is beneficial or not.
5. C Reason: This argument does not provide a clear stance on whether implementing less strict voting standards is beneficial or not.",,"1. Ranked choice voting is more democratic
2. Allows voters to choose their preferred candidate while still having a backup option
3. Avoids the need to vote for a candidate just because they are the lesser of two evils","1. B Reason: This argument is not applicable to the given proposal because it is about ranked choice voting, not about increasing opportunities for learning about civic education in schools.
2. B Reason: This argument is not applicable to the given proposal because it is about ranked choice voting, not about increasing opportunities for learning about civic education in schools.
3. B Reason: This argument is not applicable to the given proposal because it is about ranked choice voting, not about increasing opportunities for learning about civic education in schools.
4. A Reason: This argument is pro increasing opportunities for learning about civic education in schools as it suggests that it is a positive step.
5. B Reason: This argument is not applicable to the given proposal because it is a contradictory statement without any reasoning provided.",,,"1. [A] Reason: Ranked choice voting allows for a more democratic process by giving voters more options and ensuring that the candidate with the most support overall wins.
2. [A] Reason: Ranked choice voting allows voters to express their preferences more accurately and ensures that their vote is not wasted on a candidate who has no chance of winning.
3. [A] Reason: Ranked choice voting allows voters to vote for the candidate they truly support without feeling pressured to choose the lesser of two evils.
4. [A] Reason: Restoring voting rights to citizens with felony convictions upon their release from prison promotes inclusivity and ensures that all citizens have a voice in the democratic process.
5. [B] Reason: This argument is against the proposal to restore voting rights to citizens with felony convictions upon their release from prison, as it suggests that it is a bad idea.","1. Ranked choice voting is more democratic
2. Allows voters to choose their preferred candidate while still having a backup option
3. Avoids the need to vote for a candidate just because they are the lesser of two evils",,"1. A Reason: Ranked choice voting allows for a more democratic process by giving voters more options and ensuring that the candidate with the most overall support wins.
2. A Reason: This is a pro argument as it highlights one of the benefits of ranked choice voting - giving voters the ability to express their preferences more accurately.
3. A Reason: This is a pro argument as it shows how ranked choice voting can help voters avoid feeling pressured to vote for a candidate they don't fully support.
4. C Reason: This argument is not applicable as it simply states the proposal without providing any specific reasoning for or against it.
5. C Reason: This argument is not applicable as it simply restates the proposal without providing any specific reasoning for or against it.","1. Ranked choice voting is more democratic
2. Allows voters to choose their preferred candidate while still having a backup option
3. Avoids the need to vote for a candidate just because they are the lesser of two evils",,"1. A Reason: Ranked choice voting allows for a more democratic process by giving voters the ability to rank their preferred candidates in order of preference, ensuring that the candidate with the most overall support wins.
2. A Reason: Allowing voters to choose their preferred candidate while still having a backup option increases voter satisfaction and ensures that their voice is heard in the election process.
3. A Reason: Avoiding the need to vote for a candidate just because they are the lesser of two evils promotes a more positive and informed voting experience, leading to better representation of the electorate's true preferences.
4. C Reason: This argument does not provide a clear stance on the proposal to implement more accessibility to voting. It simply states that the idea is acceptable without providing any specific reasoning.
5. C Reason: This argument does not provide a clear stance on the proposal to implement more accessibility to voting. It simply states that the idea is bad without providing any specific reasoning.",False,True,False,False,True,False,False,False,False
8,9,48659,"""13:37""", don't want another candidate. you think they'll be a better candidate overall?,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48651,"""14:15""", do you think that this impacts the voter turnout because of their level of knowledge about the candidates overall?,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
