,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48648,"""2:05""", hi. my name is linda journey. i live in sierra vista. arizona. moved here. three years ago from california and i'm married with two grown children.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,9881,"""2:25"""," hello, everybody. my name is leah. i am in, bellingham washington and i work as a logistics manager.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,9798,"""2:36"""," hello, everyone. my name is peter. i'm 24. i live in brunswick, maine and i'm a civil engineer. this is actually my second time doing this type of thing. first one i did that, i talked about climate change.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,9424,"""2:56""", hi kelly. i'm a retired engineer and i live in simpsonville south carolina.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48666,"""3:05"""," i'm sorry, i'm retired of elementary school teacher and i take care of my grandchildren right now.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,48680,"""3:21"""," hi, i'm pedro. in tennessee. i'm just a stay-at-home mom and that's about it.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48676,"""3:29"""," my name is heather. i live in the capital district of new york state and this evening, and i'm in pennsylvania.",Yes,"1. The speaker's name is Heather.
2. She lives in the capital district of New York state.
3. She is currently in Pennsylvania.",,,"1. [C] Reason: The speaker's name being Heather is not relevant to the proposal to change the electoral college.
2. [C] Reason: Where the speaker lives in New York state is not relevant to the proposal to change the electoral college.
3. [C] Reason: The fact that the speaker is currently in Pennsylvania is not relevant to the proposal to change the electoral college.
4. [A] Reason: This argument is in favor of changing the current electoral college system.
5. [B] Reason: This argument is against changing the current electoral college system.",,,"1. C Reason: The speaker's name is not relevant to the proposal to implement more measures to address voter fraud.
2. C Reason: Where the speaker lives is not relevant to the proposal to implement more measures to address voter fraud.
3. C Reason: The speaker's current location is not relevant to the proposal to implement more measures to address voter fraud.
4. A Reason: This argument is a pro argument because it supports the proposal to implement more measures to address voter fraud.
5. B Reason: This argument is a con argument because it opposes the proposal to implement more measures to address voter fraud.",,,"1. [A] Reason: The speaker's name being Heather is not relevant to the proposal to change the primary system.
2. [C] Reason: Where the speaker lives is not relevant to the proposal to change the primary system.
3. [C] Reason: The speaker's current location in Pennsylvania is not relevant to the proposal to change the primary system.
4. [A] Reason: This argument is in favor of changing the primary system.
5. [B] Reason: This argument is against changing the primary system.",,,"1. [C] Reason: The speaker's name and location are not relevant to the proposal.
2. [C] Reason: The speaker's location is not relevant to the proposal.
3. [C] Reason: The speaker's current location is not relevant to the proposal.
4. [A] Reason: This argument is in favor of the proposal, suggesting that implementing limits on financing individual candidates and parties is okay.
5. [B] Reason: This argument is against the proposal, suggesting that implementing limits on financing individual candidates and parties is bad.",,,"1. [C] Reason: The speaker's name is not relevant to the proposal.
2. [C] Reason: Heather's location in New York state is not relevant to the proposal.
3. [C] Reason: Heather's current location in Pennsylvania is not relevant to the proposal.
4. [A] Reason: This argument is in favor of the proposal, stating that using proportional representatives to elect elected officials is okay.
5. [B] Reason: This argument is against the proposal, stating that using proportional representatives to elect elected officials is bad.",,,"1. C Reason: The speaker's name and location are not relevant to the proposal.
2. C Reason: The speaker's location is not relevant to the proposal.
3. C Reason: The speaker's current location is not relevant to the proposal.
4. A Reason: This argument is a pro for the proposal as it suggests that less strict voting standards would be acceptable.
5. B Reason: This argument is a con for the proposal as it suggests that less strict voting standards would be bad.",,,"1. [A] Reason: The speaker's name being Heather is not relevant to the proposal of increasing public funding for campaigns.
2. [C] Reason: Where Heather lives is not relevant to the proposal of increasing public funding for campaigns.
3. [C] Reason: Heather's current location in Pennsylvania is not relevant to the proposal of increasing public funding for campaigns.
4. [A] Reason: This argument is pro because it supports the proposal of increasing public funding and financing for campaigns.
5. [B] Reason: This argument is con because it opposes the proposal of increasing public funding and financing for campaigns.",,,"1. [C] Reason: The speaker's name and location are not relevant to the proposal.
2. [C] Reason: The speaker's location is not relevant to the proposal.
3. [C] Reason: The speaker's current location is not relevant to the proposal.
4. [A] Reason: This argument is in support of the proposal, as it advocates for restoring voting rights to citizens with felony convictions upon their release from prison.
5. [B] Reason: This argument is against the proposal, as it states that restoring voting rights to citizens with felony convictions upon their release from prison is bad.",,,"1. C Reason: The speaker's name is not relevant to the proposal.
2. C Reason: Where the speaker lives is not relevant to the proposal.
3. C Reason: The speaker's current location is not relevant to the proposal.
4. A Reason: This argument is a pro for the proposal as it supports the idea of making voting more accessible.
5. B Reason: This argument is a con for the proposal as it opposes the idea of making voting more accessible.",,,"1. [C] Reason: The speaker's name and location are not relevant to the proposal of implementing a term limit for Supreme Court Justices.
2. [C] Reason: The speaker's location is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
3. [C] Reason: The speaker's current location is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
4. [A] Reason: This argument is in favor of the proposal, as it suggests that implementing a term limit for Supreme Court Justices is acceptable.
5. [B] Reason: This argument is against the proposal, as it suggests that implementing a term limit for Supreme Court Justices is bad.",,,"1. [C] Reason: The speaker's name and location are not relevant to the proposal of implementing more fairness and transparency in the election process.
2. [C] Reason: Same as above, the speaker's location is not relevant to the proposal.
3. [C] Reason: Same as above, the speaker's current location is not relevant to the proposal.
4. [A] Reason: This argument is in support of the proposal, as it aligns with the goal of increasing fairness and transparency in the election process.
5. [B] Reason: This argument is against the proposal, as it suggests that implementing more fairness and transparency in the election process is bad.","1. The speaker's name is Heather.
2. She lives in the capital district of New York state.
3. She is currently in Pennsylvania.",,"1. A Reason: The speaker's name being Heather is not relevant to the proposal of implementing RCV.
2. A Reason: Where Heather lives is not relevant to the proposal of implementing RCV.
3. A Reason: Heather's current location in Pennsylvania is not relevant to the proposal of implementing RCV.
4. A Reason: Pro, implementing RCV can potentially lead to more representative and fair elections.
5. B Reason: Con, some may argue that implementing RCV could be bad due to potential confusion or complications in the voting process.",,,"1. [C] Reason: The speaker's name is not relevant to the proposal.
2. [C] Reason: Where the speaker lives is not relevant to the proposal.
3. [C] Reason: The speaker's current location is not relevant to the proposal.
4. [A] Reason: This argument is in support of the proposal, as it states that increasing opportunities for learning about civic education in schools is okay.
5. [B] Reason: This argument is against the proposal, as it states that increasing opportunities for learning about civic education in schools is bad.",False,False,True,False,False,True,False,False,False
7,8,48648,"""12:04"""," hi. it's linda hair or lj. that's my screen name. i just want to say that. i think ranked choice voting is so incredibly complicated to count the votes. i'm sure the electric could electorate could cast the votes, but we can't count the votes accurately in my opinion, the way we do it now, i can't imagine trying to count it.",Yes,"1. Ranked choice voting is incredibly complicated to count the votes accurately.
2. The current voting system is already difficult to count accurately, so implementing ranked choice voting would be even more challenging.",,"1. Ranked choice voting is incredibly complicated to count the votes accurately.
2. The current voting system is already difficult to count accurately, so implementing ranked choice voting would be even more challenging.","1. B Reason: Implementing ranked choice voting would add an additional layer of complexity to the voting process, making it even more challenging to accurately count the votes.
2. B Reason: The current voting system is already difficult to count accurately, so adding ranked choice voting would only exacerbate the issue.
3. C Reason: This argument does not provide a clear stance on whether changing the current electoral college is a good or bad idea.
4. C Reason: This argument does not provide a clear stance on whether changing the current electoral college is a good or bad idea.
5. C Reason: This argument does not provide a clear stance on whether changing the current electoral college is a good or bad idea.",,,"1.  [A] Reason: This argument is a con because it suggests that implementing more measures to address voter fraud, such as ranked choice voting, would be complicated and challenging.
2. [B] Reason: This argument is a con because it suggests that the current voting system is already difficult to count accurately, so implementing more measures to address voter fraud would be even more challenging.
3. [A] Reason: This argument is a pro because it supports the proposal to implement more measures to address voter fraud.
4. [B] Reason: This argument is a con because it opposes the proposal to implement more measures to address voter fraud.
5. [A] Reason: This argument is a pro because it strongly supports the proposal to implement more measures to address voter fraud.",,,"1.  [A] Reason: Ranked choice voting is a pro argument because it allows for more accurate representation of voter preferences and eliminates the need for strategic voting.
2. [B] Reason: This argument is a con because it suggests that implementing ranked choice voting would be even more challenging than the current system, which is already difficult to count accurately.
3. [C] Reason: This argument is not applicable as it does not provide a clear stance on whether changing the primary system is good or bad.
4. [B] Reason: This argument is a con because it states that changing the primary system is bad.
5. [A] Reason: This argument is a pro because it suggests that changing the primary system is the best thing ever.",,,"1. [B] Reason: This argument is a con because it suggests that implementing ranked choice voting would add complexity to the voting process, which could be seen as a disadvantage.
2. [B] Reason: This argument is a con because it also highlights the potential challenges of implementing ranked choice voting, suggesting that it may not be a feasible solution.
3. [C] Reason: This argument is not applicable to the given proposal as it does not directly address the idea of implementing limits on financing individual candidates and parties.
4. [B] Reason: This argument is a con because it suggests that implementing limits on financing individual candidates and parties would have negative consequences.
5. [A] Reason: This argument is a pro because it suggests that implementing limits on financing individual candidates and parties would be beneficial.",,"1. Ranked choice voting is incredibly complicated to count the votes accurately.
2. The current voting system is already difficult to count accurately, so implementing ranked choice voting would be even more challenging.","1. B Reason: Ranked choice voting is not explicitly mentioned in the proposal, so this argument is not applicable.
2. B Reason: This argument is against implementing ranked choice voting, which is not the same as using proportional representatives to elect officials.
3. C Reason: This argument is neutral and does not provide a clear stance on the proposal.
4. B Reason: This argument is against using proportional representatives to elect officials, so it is a con.
5. A Reason: This argument is in favor of using proportional representatives to elect officials, so it is a pro.",,"1. Ranked choice voting is incredibly complicated to count the votes accurately.
2. The current voting system is already difficult to count accurately, so implementing ranked choice voting would be even more challenging.","1. B Reason: Ranked choice voting is not necessarily less strict, it is just a different voting system that may have its own complexities.
2. B Reason: This argument is against implementing ranked choice voting, which is not directly related to the proposal of implementing less strict voting standards.
3. A Reason: This argument is in favor of the proposal to implement less strict voting standards.
4. B Reason: This argument is against the proposal to implement less strict voting standards.
5. C Reason: This argument does not provide a clear stance on the proposal, so it is not directly applicable.",,,"1.  [A] Reason: Ranked choice voting is not directly related to the proposal of increasing public funding and financing for campaigns.
2. [B] Reason: This argument is against implementing ranked choice voting, not against increasing public funding and financing for campaigns.
3. [C] Reason: This argument is neutral and does not provide a clear stance on the proposal.
4. [B] Reason: This argument is against increasing public funding and financing for campaigns.
5. [A] Reason: This argument is in favor of increasing public funding and financing for campaigns.",,,"1. C Reason: This argument is not applicable to the given proposal as it does not address the restoration of voting rights to citizens with felony convictions upon their release from prison.
2. C Reason: This argument is not applicable to the given proposal as it does not address the restoration of voting rights to citizens with felony convictions upon their release from prison.
3. A Reason: This argument is pro because it supports the proposal to restore federal and state voting rights to citizens with felony convictions upon their release from prison.
4. B Reason: This argument is con because it opposes the proposal to restore federal and state voting rights to citizens with felony convictions upon their release from prison.
5. A Reason: This argument is pro because it supports the proposal to restore federal and state voting rights to citizens with felony convictions upon their release from prison.",,,"1.  [A] Reason: This argument is a con because it highlights a potential challenge with implementing ranked choice voting, which could make the voting process more complicated and difficult to count accurately.
2. [B] Reason: This argument is a con because it suggests that implementing ranked choice voting on top of the current voting system could exacerbate existing challenges with vote counting.
3. [C] Reason: This argument is not applicable because it does not provide a clear stance on whether implementing more accessibility to voting is a good or bad idea.
4. [B] Reason: This argument is a con because it directly states that implementing more accessibility to voting is bad.
5. [A] Reason: This argument is a pro because it states that implementing more accessibility to voting is the best thing ever.",,,"1. [C] Reason: Ranked choice voting is not applicable to the proposal of implementing a term limit for Supreme Court Justices.
2. [C] Reason: The current voting system is not applicable to the proposal of implementing a term limit for Supreme Court Justices.
3. [A] Reason: This argument is in favor of implementing a term limit for Supreme Court Justices.
4. [B] Reason: This argument is against implementing a term limit for Supreme Court Justices.
5. [A] Reason: This argument is in favor of implementing a term limit for Supreme Court Justices.",,"1. Ranked choice voting is incredibly complicated to count the votes accurately.
2. The current voting system is already difficult to count accurately, so implementing ranked choice voting would be even more challenging.","1. B Reason: Ranked choice voting may be more complicated to count, but it can also lead to a more fair and transparent election process.
2. B Reason: While implementing ranked choice voting may present challenges in counting votes, it can ultimately improve fairness and transparency in the election process.
3. A Reason: This argument is in support of the proposal to implement more fairness and transparency in the election process.
4. B Reason: This argument is against the proposal, but does not provide a specific reason for why implementing more fairness and transparency would be bad.
5. A Reason: This argument is in strong support of the proposal, stating that it is the best thing ever.",,"1. Ranked choice voting is incredibly complicated to count the votes accurately.
2. The current voting system is already difficult to count accurately, so implementing ranked choice voting would be even more challenging.","1. B Reason: Ranked choice voting may be more complex to count than traditional voting methods, but it also ensures that the candidate with the broadest support wins, which can lead to more representative outcomes.
2. B Reason: While it is true that implementing ranked choice voting may pose challenges in terms of counting votes accurately, the benefits of a more representative voting system may outweigh these challenges.
3. A Reason: This argument is in support of the proposal to implement ranked choice voting as an alternative method, indicating that it is an acceptable idea.
4. B Reason: This argument is against the proposal, suggesting that implementing ranked choice voting as an alternative method to elected officials and representatives at all levels is not a good idea. However, it does not provide specific reasons for this stance.
5. A Reason: This argument is in support of the proposal, stating that implementing ranked choice voting as an alternative method to elected officials and representatives at all levels is the best thing ever.",,"1. Ranked choice voting is incredibly complicated to count the votes accurately.
2. The current voting system is already difficult to count accurately, so implementing ranked choice voting would be even more challenging.","1. B Reason: This argument is a con because it suggests that implementing ranked choice voting would make counting votes even more challenging, which could be seen as a disadvantage.
2. B Reason: This argument is also a con because it highlights the potential difficulty of implementing ranked choice voting, which could be seen as a drawback.
3. C Reason: This argument is not applicable to the given proposal because it simply states that increasing opportunities for learning about civic education in schools is okay, without providing any specific reasoning for or against the proposal.
4. C Reason: This argument is not applicable to the given proposal because it simply states that increasing opportunities for learning about civic education in schools is bad, without providing any specific reasoning for or against the proposal.
5. C Reason: This argument is not applicable to the given proposal because it simply states that increasing opportunities for learning about civic education in schools is the best thing ever, without providing any specific reasoning for or against the proposal.",True,False,False,False,False,False,False,True,False
8,9,48648,"""12:04""", can people can people hear me?,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48648,"""12:04""", i guess not. thank you for letting me know about e. i don't have i don't know what to do about that. so oh good. thank you. can anybody else?,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
