,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48730,"""2:09"""," hi, my name is rachel. i live in maryland. i'm 37 years old and i'm married. i have seven pets and a stepson.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48731,"""2:23""", hello everybody. nice to meet you.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,48731,"""2:23""", i hope everybody can hear me.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,9700,"""2:37"""," hi, i'm sure. i live in delaware and looking forward to this.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,10041,"""2:45"""," hi, my name is jerry. i'm 77 years old. this is the third such type of event. i'd been through. i'm looking forward to having discussions with all of you. i'm a little disappointed, however, that the materials have gotten to me. so late, matter of fact, i have not received my hard copies yet, so i had to print off the internet and i had to compress them. so they're barely legible. so",Yes,"1. This is the third event of this type that the speaker has attended.
2. The speaker is looking forward to having discussions with others at the event.
3. The speaker is disappointed that the materials for the event arrived late.
4. The speaker has not received their hard copies of the materials yet.
5. The speaker had to print off the materials from the internet and they are barely legible.",,,"1. [C] Reason: This argument is not applicable to the proposal to change the electoral college.
2. [C] Reason: This argument is not applicable to the proposal to change the electoral college.
3. [C] Reason: This argument is not applicable to the proposal to change the electoral college.
4. [C] Reason: This argument is not applicable to the proposal to change the electoral college.
5. [C] Reason: This argument is not applicable to the proposal to change the electoral college.",,"3. The speaker is disappointed that the materials for the event arrived late.
4. The speaker has not received their hard copies of the materials yet.
5. The speaker had to print off the materials from the internet and they are barely legible.","1. C Reason: This argument is not applicable to the proposal of using proportional representatives to elect elected officials.
2. C Reason: This argument is not applicable to the proposal of using proportional representatives to elect elected officials.
3. B Reason: This argument is a con because it suggests a potential issue with the proposal, as late materials could impact the election process.
4. B Reason: This argument is a con because it highlights a potential issue with the proposal, as not receiving hard copies of materials could hinder the election process.
5. B Reason: This argument is a con because it points out a potential issue with the proposal, as barely legible materials could affect the election process.",,,"1. C Reason: The fact that this is the third event of this type that the speaker has attended is not applicable to the proposal of implementing more accessibility to voting.
2. C Reason: The speaker looking forward to having discussions with others at the event is not applicable to the proposal of implementing more accessibility to voting.
3. C Reason: The speaker being disappointed that the materials for the event arrived late is not applicable to the proposal of implementing more accessibility to voting.
4. C Reason: The speaker not receiving their hard copies of the materials yet is not applicable to the proposal of implementing more accessibility to voting.
5. C Reason: The speaker having to print off the materials from the internet and them being barely legible is not applicable to the proposal of implementing more accessibility to voting.",1. This is the third event of this type that the speaker has attended.,,"1.  C Reason: The fact that this is the third event of this type that the speaker has attended does not directly relate to whether or not the primary system should be changed.
2. A Reason: The speaker looking forward to having discussions with others at the event could be seen as a pro for changing the primary system, as it may lead to more productive discussions and collaboration.
3. C Reason: The speaker being disappointed that the materials for the event arrived late does not directly relate to whether or not the primary system should be changed.
4. C Reason: The speaker not receiving their hard copies of the materials yet does not directly relate to whether or not the primary system should be changed.
5. C Reason: The speaker having to print off barely legible materials from the internet does not directly relate to whether or not the primary system should be changed.",,"3. The speaker is disappointed that the materials for the event arrived late.
4. The speaker has not received their hard copies of the materials yet.
5. The speaker had to print off the materials from the internet and they are barely legible.","1. C Reason: This argument is not applicable to the proposal as it does not address the idea of implementing less strict voting standards.
2. C Reason: This argument is not applicable to the proposal as it does not address the idea of implementing less strict voting standards.
3. B Reason: This argument is a con to the proposal as it suggests that strict voting standards are necessary for timely and efficient processes.
4. B Reason: This argument is a con to the proposal as it suggests that strict voting standards are necessary for ensuring all participants have access to necessary materials.
5. B Reason: This argument is a con to the proposal as it suggests that strict voting standards are necessary for ensuring the quality and legibility of materials.",,"3. The speaker is disappointed that the materials for the event arrived late.
4. The speaker has not received their hard copies of the materials yet.
5. The speaker had to print off the materials from the internet and they are barely legible.","1. C Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on the increase in public funding and financing for campaigns.
2. C Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on the increase in public funding and financing for campaigns.
3. B Reason: This argument is a con because it suggests that the current system of funding campaigns may not be efficient if materials are arriving late, indicating potential issues with the allocation of resources.
4. B Reason: This argument is a con because it highlights a specific issue with the current system of funding campaigns, where individuals may not be receiving necessary materials in a timely manner.
5. B Reason: This argument is a con because it further emphasizes the inefficiencies in the current system of funding campaigns, where individuals may have to resort to printing materials themselves, leading to potential issues with readability and accessibility.",2. The speaker is looking forward to having discussions with others at the event.,"3. The speaker is disappointed that the materials for the event arrived late.
5. The speaker had to print off the materials from the internet and they are barely legible.","1. C Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on restoring voting rights to citizens with felony convictions.
2. A Reason: This argument is a pro for the proposal as it suggests that the speaker is interested in engaging in discussions with others, which could lead to a better understanding and support for the proposal.
3. B Reason: This argument is a con for the proposal as it indicates a negative experience related to the event, which could potentially impact the speaker's support for the proposal.
4. C Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on restoring voting rights to citizens with felony convictions.
5. B Reason: This argument is a con for the proposal as it highlights a negative experience with the materials for the event, which could potentially impact the speaker's support for the proposal.",,,"1. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on implementing measures to address voter fraud.
2. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on implementing measures to address voter fraud.
3. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on implementing measures to address voter fraud.
4. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on implementing measures to address voter fraud.
5. C Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on implementing measures to address voter fraud.",,,"1. Not applicable Reason: This argument does not pertain to the proposal of implementing more fairness and transparency in the election process.
2. Not applicable Reason: This argument does not pertain to the proposal of implementing more fairness and transparency in the election process.
3. Not applicable Reason: This argument does not pertain to the proposal of implementing more fairness and transparency in the election process.
4. Not applicable Reason: This argument does not pertain to the proposal of implementing more fairness and transparency in the election process.
5. Not applicable Reason: This argument does not pertain to the proposal of implementing more fairness and transparency in the election process.",,,"1. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices.
2. [A] Reason: This argument is a pro for the proposal as it suggests that having discussions with others at the event could lead to a better understanding of different perspectives on the issue.
3. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices.
4. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices.
5. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices.","3. The speaker is disappointed that the materials for the event arrived late.
4. The speaker has not received their hard copies of the materials yet.",5. The speaker had to print off the materials from the internet and they are barely legible.,"1. C Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on implementing limits on financing individual candidates and parties.
2. C Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on implementing limits on financing individual candidates and parties.
3. A Reason: This argument is a pro for the proposal as it suggests that there may be issues with the current system of financing candidates and parties, which could be addressed by implementing limits.
4. A Reason: This argument is a pro for the proposal as it suggests that there may be inefficiencies in the current system if materials are not being distributed properly, which could be improved by implementing limits on financing.
5. B Reason: This argument is a con for the proposal as it suggests that individuals may have to resort to alternative methods, such as printing materials from the internet, if financing limits are implemented, potentially causing inconvenience or inefficiency.",,,"1. [C] Reason: This argument is not applicable to the given proposal as it does not provide any relevant information or opinion on implementing RCV as an alternative method.
2. [A] Reason: This argument is a pro for the given proposal as it suggests that the speaker is open to discussions with others, which could lead to a better understanding and acceptance of RCV as an alternative method.
3. [B] Reason: This argument is a con for the given proposal as it indicates a negative experience related to the event, which could potentially impact the speaker's perception of implementing RCV.
4. [B] Reason: This argument is a con for the given proposal as it suggests that the speaker has not received the necessary materials for the event, which could hinder their understanding and support for implementing RCV.
5. [B] Reason: This argument is a con for the given proposal as it highlights a negative experience with the materials provided for the event, which could influence the speaker's opinion on implementing RCV.",2. The speaker is looking forward to having discussions with others at the event.,"3. The speaker is disappointed that the materials for the event arrived late.
4. The speaker has not received their hard copies of the materials yet.
5. The speaker had to print off the materials from the internet and they are barely legible.","1. C Reason: This argument is not applicable to the proposal as it does not provide any relevant information about whether increasing opportunities for learning about civic education in schools is a good idea or not.
2. A Reason: This argument is a pro because it indicates that the speaker is excited about having discussions with others at the event, which suggests that they see value in learning about civic education.
3. B Reason: This argument is a con because it suggests that the materials for the event arrived late, which could be seen as a potential drawback to increasing opportunities for learning about civic education in schools.
4. B Reason: This argument is a con because it indicates that the speaker has not received their hard copies of the materials yet, which could be seen as a potential issue with implementing the proposal.
5. B Reason: This argument is a con because it suggests that the speaker had to print off materials from the internet and they are barely legible, which could be seen as a potential downside to increasing opportunities for learning about civic education in schools.",False,False,False,False,False,False,False,True,False
5,6,10041,"""2:45""", hasn't really given me a lot of time to prepare for this. thank you.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,10683,"""3:25""", my name is nick. can you hear me?,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,10683,"""3:25""", any any you hear me?,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,10683,"""3:25"""," yes. okay, nick from colorado. i've done just done one of these previously looking forward to the discussion today. it seems like it'll be a very interesting time.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48733,"""3:54"""," my name is devon, c-27. got two kids and i'm from cincinnati ohio. hello everybody.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
