,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48758,"""2:05"""," hi, my name is james carroll and 76 years old and i was spent for a little over 40 years as an auto technician and just joining in and i hope everybody will follow along and give me some good experience. thanks.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48762,"""2:31"""," hello, my name is rosemary custard. i am 69 years of age, retired city of detroit worker, i served as a training supervisor and i am looking forward to this experience.",Yes,"1. Rosemary Custard is 69 years old.
2. She is a retired city of Detroit worker.
3. She served as a training supervisor.
4. She is looking forward to the experience.",1. Rosemary Custard is 69 years old.,,"1. A Reason: Age is not relevant to the proposal to change the primary system.
2. C Reason: Being a retired city of Detroit worker is not directly related to the proposal to change the primary system.
3. C Reason: Serving as a training supervisor is not directly related to the proposal to change the primary system.
4. C Reason: Personal feelings about the experience are not directly related to the proposal to change the primary system.
5. C Reason: This statement does not provide an argument for or against the proposal to change the primary system.",1. Rosemary Custard is 69 years old.,,"1. A Reason: Age is not relevant to the proposal to change the electoral college system.
2. C Reason: Being a retired city worker is not directly related to the proposal to change the electoral college system.
3. C Reason: Her previous job as a training supervisor is not directly related to the proposal to change the electoral college system.
4. C Reason: Her personal feelings about the experience are not relevant to the proposal to change the electoral college system.
5. A Reason: This statement is directly related to the proposal to change the current electoral college system.",,,"1. [C] Reason: Age is not relevant to the proposal of using proportional representatives to elect elected officials.
2. [C] Reason: Being a retired city of Detroit worker is not relevant to the proposal.
3. [C] Reason: Past occupation as a training supervisor is not relevant to the proposal.
4. [C] Reason: Personal feelings about the experience are not relevant to the proposal.
5. [A] Reason: This argument is in support of the proposal to use proportional representatives to elect elected officials.",1. Rosemary Custard is 69 years old.,,"1. A Reason: Age can be a factor in supporting term limits for Supreme Court Justices, as it can prevent justices from serving for an extended period of time past their ability to effectively perform their duties.
2. C Reason: Being a retired city worker is not directly related to the proposal of implementing term limits for Supreme Court Justices.
3. C Reason: Serving as a training supervisor is not directly related to the proposal of implementing term limits for Supreme Court Justices.
4. C Reason: Personal feelings about the experience are not directly related to the proposal of implementing term limits for Supreme Court Justices.
5. A Reason: This statement supports the proposal of implementing term limits for Supreme Court Justices.",1. Rosemary Custard is 69 years old.,,"1. A Reason: Age is not relevant to the proposal to implement limits on financing individual candidates and parties.
2. C Reason: Being a retired city of Detroit worker is not directly related to the proposal.
3. C Reason: Serving as a training supervisor is not directly related to the proposal.
4. C Reason: Looking forward to the experience is not directly related to the proposal.
5. A Reason: This statement is in support of the proposal to implement limits on financing individual candidates and parties.",,,"1. [A] Reason: Being 69 years old is not directly related to the proposal, but it could be seen as a pro argument as increased accessibility to voting could benefit older individuals who may have difficulty physically getting to polling places.
2. [C] Reason: Being a retired city of Detroit worker is not directly related to the proposal.
3. [C] Reason: Serving as a training supervisor is not directly related to the proposal.
4. [C] Reason: Looking forward to the experience is not directly related to the proposal.
5. [A] Reason: Implementing more accessibility to voting is directly related to the proposal and is a pro argument as it would make it easier for individuals like Rosemary Custard to participate in the voting process.",,,"1. [C] Reason: Rosemary Custard's age and occupation are not relevant to the proposal of increasing public funding for campaigns.
2. [C] Reason: Rosemary Custard's retirement and past occupation are not relevant to the proposal of increasing public funding for campaigns.
3. [C] Reason: Rosemary Custard's past job as a training supervisor is not relevant to the proposal of increasing public funding for campaigns.
4. [C] Reason: Rosemary Custard's anticipation of the experience is not relevant to the proposal of increasing public funding for campaigns.
5. [A] Reason: This argument is in support of the proposal to increase public funding and financing for campaigns.",1. Rosemary Custard is 69 years old.,,"1. A Reason: Age is not relevant to the proposal of implementing more fairness and transparency in the election process.
2. C Reason: Being a retired city of Detroit worker is not directly related to the proposal.
3. C Reason: Her previous role as a training supervisor is not directly related to the proposal.
4. C Reason: Her personal feelings about the experience are not relevant to the proposal.
5. A Reason: This statement is in support of the proposal to implement more fairness and transparency in the election process.",,,"1. C Reason: Rosemary Custard's age and occupation are not relevant to the proposal to implement more measures to address voter fraud.
2. C Reason: Rosemary Custard's occupation as a retired city of Detroit worker is not directly related to the proposal to implement more measures to address voter fraud.
3. C Reason: Rosemary Custard's previous role as a training supervisor is not directly related to the proposal to implement more measures to address voter fraud.
4. C Reason: Rosemary Custard's personal feelings about looking forward to the experience are not relevant to the proposal to implement more measures to address voter fraud.
5. A Reason: This statement is in support of the proposal to implement more measures to address voter fraud.",1. Rosemary Custard is 69 years old.,,"1. A) Reason: Age is not directly relevant to the proposal of restoring voting rights to citizens with felony convictions upon release from prison.
2. C) Reason: Being a retired city worker is not directly relevant to the proposal.
3. C) Reason: Her previous job as a training supervisor is not directly relevant to the proposal.
4. C) Reason: Personal feelings about the experience are not directly relevant to the proposal.
5. A) Reason: This argument is in support of the proposal to restore voting rights to citizens with felony convictions upon release from prison.",1. Rosemary Custard is 69 years old.,,"1. A Reason: Age is not relevant to the proposal of implementing RCV as an alternative method for elected officials and representatives.
2. C Reason: Being a retired city of Detroit worker is not directly related to the proposal of implementing RCV.
3. C Reason: Serving as a training supervisor is not directly related to the proposal of implementing RCV.
4. C Reason: Personal feelings about the experience are not relevant to the proposal of implementing RCV.
5. A Reason: This statement is directly related to the proposal of implementing RCV as an alternative method for elected officials and representatives at all levels.",,,"1. C Reason: Rosemary Custard's age and occupation are not relevant to the proposal of implementing less strict voting standards.
2. C Reason: Rosemary Custard's occupation as a retired city worker is not directly related to the proposal.
3. C Reason: Rosemary Custard's previous job as a training supervisor is not directly related to the proposal.
4. C Reason: Rosemary Custard's personal feelings about the experience are not relevant to the proposal.
5. A Reason: This argument is in support of the proposal to implement less strict voting standards.","1. Rosemary Custard is 69 years old.
2. She is a retired city of Detroit worker.
3. She served as a training supervisor.
4. She is looking forward to the experience.",,"1. A Reason: Age is not relevant to the proposal to increase opportunities for learning about civic education in schools.
2. A Reason: Past employment as a city worker is not relevant to the proposal to increase opportunities for learning about civic education in schools.
3. A Reason: Past experience as a training supervisor is not relevant to the proposal to increase opportunities for learning about civic education in schools.
4. A Reason: Personal feelings about the experience are not relevant to the proposal to increase opportunities for learning about civic education in schools.
5. C Reason: This statement is not an argument for or against the proposal, it simply states the proposal itself.",False,False,False,False,False,False,False,False,True
2,3,48759,"""3:17""", hi. my name is vanessa. i am 40 years old and i am a mother of four. i work full-time and,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48759,"""3:17""", and i'm excited about this experience.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48764,"""3:31"""," hi, my name is katina, politte. i'm from louisiana and i'm excited about the experience and i'm 51 years old.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,48763,"""3:48"""," hi. i'm elkins i retired from at&t number of years ago. i am 79 years old, excited about participating.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48756,"""4:33"""," hello. my name is donna. i live in colorado. i'm a retired pension administrator and my age is kind of a secret, but you all can guess. if you want to thank you.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,48752,"""5:58"""," hi, i'm sheila. i'm rick, i'm 55 and i'm a self-employed delivery driver.",Yes,1. Sheila introduces herself as a self-employed delivery driver named Rick.,,,"1. C Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on changing the primary system.
2. A Reason: This argument is a pro for the proposal as it indicates that the person believes changing the primary system is okay.
3. B Reason: This argument is a con for the proposal as it indicates that the person believes changing the primary system is bad.
4. A Reason: This argument is a pro for the proposal as it indicates that the person believes changing the primary system is the best thing ever.
5. B Reason: This argument is a con for the proposal as it indicates that the person believes changing the primary system is the worst thing ever.",,,"1. [A] Reason: This argument is not applicable to the proposal to change the current electoral college.
2. [A] Reason: This argument is in favor of changing the current electoral college.
3. [B] Reason: This argument is against changing the current electoral college.
4. [A] Reason: This argument is in favor of changing the current electoral college.
5. [B] Reason: This argument is against changing the current electoral college.",,,"1. C Reason: This argument is not applicable to the given proposal as it does not address the use of proportional representatives to elect elected officials.
2. A Reason: This argument is a pro for the given proposal as it supports the idea of using proportional representatives to elect elected officials.
3. B Reason: This argument is a con for the given proposal as it opposes the idea of using proportional representatives to elect elected officials.
4. A Reason: This argument is a pro for the given proposal as it supports the idea of using proportional representatives to elect elected officials.
5. B Reason: This argument is a con for the given proposal as it opposes the idea of using proportional representatives to elect elected officials.",,,"1. C Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on implementing a term limit for Supreme Court Justices.
2. A Reason: This argument is a pro argument as it indicates support for implementing a term limit for Supreme Court Justices.
3. B Reason: This argument is a con argument as it indicates opposition to implementing a term limit for Supreme Court Justices.
4. A Reason: This argument is a pro argument as it indicates strong support for implementing a term limit for Supreme Court Justices.
5. B Reason: This argument is a con argument as it indicates strong opposition to implementing a term limit for Supreme Court Justices.",,,"1. C Reason: This argument is not applicable to the proposal as it does not address the issue of implementing limits on financing individual candidates and parties.
2. A Reason: This argument is a pro for the proposal as it supports the idea of implementing limits on financing individual candidates and parties to potentially reduce corruption and influence in politics.
3. B Reason: This argument is a con for the proposal as it opposes the idea of implementing limits on financing individual candidates and parties, possibly due to concerns about restricting freedom of speech or hindering the democratic process.
4. C Reason: This argument is not applicable to the proposal as it does not provide any specific reasoning or evidence to support the claim that implementing limits on financing individual candidates and parties is the best thing ever.
5. C Reason: This argument is not applicable to the proposal as it does not provide any specific reasoning or evidence to support the claim that implementing limits on financing individual candidates and parties is the worst thing ever.",,,"1. C Reason: This argument is not applicable to the proposal as it does not provide any relevant information or opinion on the topic of implementing more accessibility to voting.
2. A Reason: This argument is a pro for the proposal as it expresses support for the idea of making voting more accessible.
3. B Reason: This argument is a con for the proposal as it expresses opposition to the idea of making voting more accessible.
4. A Reason: This argument is a pro for the proposal as it expresses strong support for the idea of making voting more accessible.
5. B Reason: This argument is a con for the proposal as it expresses strong opposition to the idea of making voting more accessible.",,,"1. C Reason: This argument is not applicable to the given proposal as it does not address the topic of public funding and financing for campaigns.
2. A Reason: This argument is a pro for the proposal as it supports the idea of increasing public funding and financing for campaigns.
3. B Reason: This argument is a con for the proposal as it opposes the idea of increasing public funding and financing for campaigns.
4. A Reason: This argument is a pro for the proposal as it supports the idea of increasing public funding and financing for campaigns.
5. B Reason: This argument is a con for the proposal as it opposes the idea of increasing public funding and financing for campaigns.",,,"1. [C] Reason: This argument is not applicable to the given proposal as it does not address the implementation of fairness and transparency in the election process.
2. [A] Reason: This argument is pro the given proposal as it aligns with the goal of improving the election process.
3. [B] Reason: This argument is con the given proposal as it opposes the idea of implementing more fairness and transparency in the election process.
4. [A] Reason: This argument is pro the given proposal as it supports the idea of enhancing fairness and transparency in the election process.
5. [B] Reason: This argument is con the given proposal as it criticizes the idea of implementing more fairness and transparency in the election process.",,1. Sheila introduces herself as a self-employed delivery driver named Rick.,"1. B Reason: This argument is a con because it highlights a potential negative consequence of voter fraud, which is individuals impersonating others to cast fraudulent votes.
2. A Reason: This argument is a pro because it supports the proposal to implement more measures to address voter fraud.
3. B Reason: This argument is a con because it opposes the proposal to implement more measures to address voter fraud.
4. C Reason: This argument is not applicable because it does not provide any specific reasoning or evidence to support its claim that implementing more measures to address voter fraud is the best thing ever.
5. C Reason: This argument is not applicable because it does not provide any specific reasoning or evidence to support its claim that implementing more measures to address voter fraud is the worst thing ever.",,,"1. C Reason: Sheila introducing herself as Rick has no relevance to the proposal to restore voting rights to citizens with felony convictions.
2. A Reason: This argument is in support of the proposal to restore voting rights to citizens with felony convictions.
3. B Reason: This argument is against the proposal to restore voting rights to citizens with felony convictions.
4. A Reason: This argument is in support of the proposal to restore voting rights to citizens with felony convictions.
5. B Reason: This argument is against the proposal to restore voting rights to citizens with felony convictions.",,,"1. C Reason: This argument is not applicable to the proposal as it does not address the implementation of RCV as an alternative method to elected officials and representatives.
2. A Reason: This argument is pro because it supports the proposal to implement RCV as an alternative method to elected officials and representatives at all levels.
3. B Reason: This argument is con because it opposes the proposal to implement RCV as an alternative method to elected officials and representatives at all levels.
4. A Reason: This argument is pro because it supports the proposal to implement RCV as an alternative method to elected officials and representatives at all levels.
5. B Reason: This argument is con because it opposes the proposal to implement RCV as an alternative method to elected officials and representatives at all levels.",,,"1. C Reason: Sheila introducing herself as Rick is not relevant to the proposal of implementing less strict voting standards.
2. A Reason: This argument is a pro for the proposal as it supports the idea of making voting standards less strict.
3. B Reason: This argument is a con for the proposal as it opposes the idea of making voting standards less strict.
4. A Reason: This argument is a pro for the proposal as it supports the idea of making voting standards less strict.
5. B Reason: This argument is a con for the proposal as it opposes the idea of making voting standards less strict.",,,"1. C Reason: This argument is not applicable to the given proposal as it does not address the topic of increasing opportunities for learning about civic education in schools.
2. A Reason: This argument is a pro argument as it supports the proposal to increase opportunities for learning about civic education in schools.
3. B Reason: This argument is a con argument as it opposes the proposal to increase opportunities for learning about civic education in schools.
4. A Reason: This argument is a pro argument as it supports the proposal to increase opportunities for learning about civic education in schools.
5. B Reason: This argument is a con argument as it opposes the proposal to increase opportunities for learning about civic education in schools.",False,False,False,False,False,False,False,False,True
8,9,48756,"""14:58"""," hello, hello.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48756,"""15:23""", hello.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
