,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48616,"""2:20"""," i'm terry my second night and i'm from kalamazoo michigan. 59 years old, i'm a republican.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48616,"""10:51""", this isn't my strong suit but i did read the information that they sent us in the folder so i will leave it at that for them.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,10406,"""11:04"""," yeah, i kind of echo that it's just kind of complicated and i try to read it from time to time. this isn't my first time hearing about all these words. but",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,10406,"""11:04"""," yeah, it's just kind of hard to digest.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48692,"""11:25"""," i feel that the party leaders already have too much control over. what goes on it were allowing a few people to make them decision for most people instead of the majority. we don't need to give party leaders. any more influence over, what goes on there then you'll be even more conspiring and, and collusion and corruption.",Yes,"- Party leaders already have too much control over what goes on
- Allowing a few people to make decisions for the majority is undemocratic
- Giving party leaders more influence will lead to more conspiring, collusion, and corruption",,,"4. [Argument 4] C Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or stance on the implementation of limits on financing individual candidates and parties.

5. [Argument 5] A Reason: This argument is a pro argument as it supports the implementation of limits on financing individual candidates and parties. The reasoning behind this pro argument could be that implementing limits on financing can help reduce the influence of money in politics, promote fair competition, and prevent corruption or undue influence on candidates and parties.",,,"1. [Argument 1] B Reason: This argument suggests that party leaders already have too much control, which implies that increasing public funding and financing for campaigns would give them even more influence. Therefore, it is a con argument against the proposal.
2. [Argument 2] A Reason: This argument states that allowing a few people to make decisions for the majority is undemocratic. Increasing public funding and financing for campaigns can help reduce the influence of a few wealthy individuals or special interest groups, making it a pro argument in favor of the proposal.
3. [Argument 3] A Reason: This argument claims that giving party leaders more influence will lead to more conspiring, collusion, and corruption. It suggests that increasing public funding and financing for campaigns can help reduce the potential for such negative practices, making it a pro argument in favor of the proposal.
4. [Argument 4] C Reason: This argument simply states that an increase in public funding and financing for campaigns is okay. It does not provide any reasoning or stance, so it is not applicable to the given proposal.
5. [Argument 5] C Reason: This argument states that an increase in public funding and financing for campaigns is bad. It does not provide any reasoning or stance, so",,,"4. [A] Reason: This argument supports the proposal to restore voting rights to citizens with felony convictions upon their release from prison. It suggests that it is okay to do so, without providing any specific reasons or justifications.

5. [B] Reason: This argument opposes the proposal to restore voting rights to citizens with felony convictions upon their release from prison. It suggests that it is bad to do so, without providing any specific reasons or justifications.",,,"4. [Argument 4] C Reason: This argument is not applicable to the given proposal. It does not provide any specific reasoning or stance on whether implementing more accessibility to voting is good or bad.

5. [Argument 5] B Reason: This argument is a con. It states that implementing more accessibility to voting is bad without providing any specific reasoning.",,,"1. [Argument 1] B Reason: This argument is a con because it suggests that the proposal of using proportional representatives to elect elected officials would give party leaders even more control, which is seen as a negative aspect.
2. [Argument 2] A Reason: This argument is a pro because it highlights the undemocratic nature of allowing a few people to make decisions for the majority, which the proposal aims to address by implementing proportional representation.
3. [Argument 3] A Reason: This argument is a pro because it suggests that giving party leaders more influence could potentially lead to conspiring, collusion, and corruption, which the proposal aims to mitigate by distributing power more evenly through proportional representation.
4. [Argument 4] C Reason: This argument is not applicable to the given proposal as it simply states that using proportional representatives to elect elected officials is okay without providing any reasoning or supporting points.
5. [Argument 5] C Reason: This argument is not applicable to the given proposal as it simply states that using proportional representatives to elect elected officials is bad without providing any reasoning or supporting points.",,,"4. [A] Reason: Increasing opportunities for learning about civic education in schools aligns with the proposal and supports the goal of enhancing civic education. It provides students with the knowledge and skills necessary to actively participate in democratic processes and make informed decisions.

5. [B] Reason: This argument is against the proposal as it states that increasing opportunities for learning about civic education in schools is bad. However, the reasoning behind this argument is not provided.",,,"1. [Argument 1] A Reason: This argument is a pro argument because it suggests that implementing voting standards that are less strict would reduce the control of party leaders, which is seen as a positive outcome.
2. [Argument 2] A Reason: This argument is a pro argument because it highlights the undemocratic nature of allowing a few people to make decisions for the majority. Implementing voting standards that are less strict could potentially address this issue.
3. [Argument 3] A Reason: This argument is a pro argument because it suggests that giving party leaders more influence, which could happen if voting standards are less strict, would lead to negative consequences such as conspiring, collusion, and corruption.
4. [Argument 4] C Reason: This argument is not applicable to the given proposal as it does not provide any reasoning or stance regarding the implementation of less strict voting standards.
5. [Argument 5] C Reason: This argument is not applicable to the given proposal as it does not provide any reasoning or stance regarding the implementation of less strict voting standards.",,,"1. [Argument 1] A Reason: This argument is a pro argument because it suggests that changing the current electoral college would reduce the control of party leaders, which is seen as a positive change.
2. [Argument 2] A Reason: This argument is a pro argument because it highlights the undemocratic nature of allowing a few people to make decisions for the majority, supporting the need for change in the electoral college system.
3. [Argument 3] A Reason: This argument is a pro argument because it suggests that giving party leaders more influence would lead to negative consequences such as conspiring, collusion, and corruption. Therefore, changing the electoral college is seen as a solution to prevent such issues.
4. [Argument 4] C Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or stance on whether changing the current electoral college is good or bad.
5. [Argument 5] C Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or stance on whether changing the current electoral college is good or bad.",,,"1. [A] Reason: This argument is a pro argument because implementing a term limit for Supreme Court Justices would reduce the control that party leaders have over the selection and appointment of justices, thereby reducing their influence and control over the court.
2. [A] Reason: This argument is a pro argument because implementing a term limit for Supreme Court Justices would prevent a few individuals from making long-lasting decisions that affect the majority. It promotes a more democratic system by ensuring that different perspectives and ideas are represented over time.
3. [A] Reason: This argument is a pro argument because implementing a term limit for Supreme Court Justices would reduce the potential for conspiring, collusion, and corruption among party leaders. With term limits, there would be less time for party leaders to exert undue influence and engage in unethical practices.
4. [C] Reason: This argument is not applicable to the given proposal as it simply states that implementing a term limit for Supreme Court Justices is okay without providing any reasoning or explanation.
5. [C] Reason: This argument is not applicable to the given proposal as it simply states that implementing a term limit for Supreme Court Justices is bad without providing any reasoning or explanation.",,,"1. [Argument 1] A Reason: This argument is a pro because it supports the proposal by highlighting the need to reduce the control of party leaders, which aligns with the goal of changing the primary system.
2. [Argument 2] A Reason: This argument is a pro because it emphasizes the undemocratic nature of allowing a few people to make decisions for the majority, which supports the need for changing the primary system to ensure a more democratic process.
3. [Argument 3] A Reason: This argument is a pro because it suggests that giving party leaders more influence will lead to negative consequences such as conspiring, collusion, and corruption. Changing the primary system can help address these concerns and reduce the potential for such issues.
4. [Argument 4] C Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or stance regarding the change in the primary system. It simply states that changing the primary system is okay without any supporting arguments.
5. [Argument 5] C Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or stance regarding the change in the primary system. It simply states that changing the primary system is bad without any supporting arguments.",,,"1. [A] Reason: This argument suggests that implementing RCV as an alternative method would reduce the control of party leaders, which is seen as a positive outcome.
2. [A] Reason: This argument highlights the undemocratic nature of allowing a few people to make decisions for the majority, indicating support for implementing RCV as a more democratic alternative.
3. [A] Reason: This argument suggests that giving party leaders more influence would lead to negative consequences such as conspiring, collusion, and corruption. Implementing RCV could potentially reduce their influence and mitigate these issues.
4. [C] Reason: This argument does not provide a clear stance on the proposal. It simply states that implementing RCV as an alternative method is acceptable without providing any reasoning or evaluation.
5. [B] Reason: This argument opposes the proposal without providing any specific reasoning or evaluation. It simply states that implementing RCV as an alternative method is bad without explaining why.",,,"1. [A] Reason: This argument suggests that party leaders having too much control is a negative aspect of the current election process, and implementing more fairness and transparency would address this issue.
2. [A] Reason: This argument highlights the undemocratic nature of allowing a few people to make decisions for the majority, indicating that more fairness and transparency in the election process would be a positive change.
3. [A] Reason: This argument suggests that giving party leaders more influence would result in negative consequences such as conspiring, collusion, and corruption. Implementing more fairness and transparency in the election process would aim to prevent such behavior.
4. [A] Reason: This argument directly supports the proposal by stating that implementing more fairness and transparency in the election process is acceptable.
5. [B] Reason: This argument opposes the proposal by claiming that implementing more fairness and transparency in the election process is bad.",,,"1. [A] Reason: This argument is a pro argument because it suggests that implementing more measures to address voter fraud would help reduce the control that party leaders have over the electoral process.
2. [A] Reason: This argument is a pro argument because it highlights the undemocratic nature of allowing a few people to make decisions for the majority, suggesting that implementing more measures to address voter fraud would help address this issue.
3. [A] Reason: This argument is a pro argument because it suggests that giving party leaders more influence would lead to negative consequences such as conspiring, collusion, and corruption. Implementing more measures to address voter fraud could help prevent or mitigate these issues.
4. [A] Reason: This argument is a pro argument because it directly supports the proposal of implementing more measures to address voter fraud.
5. [B] Reason: This argument is a con argument because it directly opposes the proposal of implementing more measures to address voter fraud. The reasoning behind this opposition is not provided, but it is clear that the argument is against the proposal.",False,False,False,False,False,False,False,False,False
5,6,10406,"""13:08"""," i think and i'm not strongly supporting this or anything, but i think the getting rid of the electoral college makes sense and going to just the popular vote at this time, i think i know that i'm from california and",Yes,"- Getting rid of the electoral college makes sense
- Switching to a popular vote system
- Personal bias as the speaker is from California",,,"2A Reason: Getting rid of the electoral college and switching to a popular vote system are arguments in favor of the proposal to implement limits on financing individual candidates and parties. These arguments suggest that such limits would help ensure a fair and equal representation of voters' preferences in the electoral process.

3C Reason: The argument about personal bias as the speaker is from California is not applicable to the given proposal. The proposal is about implementing limits on financing individual candidates and parties, and the speaker's personal bias based on their location does not directly relate to this issue.

4A Reason: The argument that implementing limits on financing individual candidates and parties is okay is a pro argument for the given proposal. It suggests that such limits would be beneficial and acceptable in the context of campaign financing.

5B Reason: The argument that implementing limits on financing individual candidates and parties is bad is a con argument against the given proposal. It suggests that such limits would have negative consequences or drawbacks in the realm of campaign financing.",,,"1. Getting rid of the electoral college makes sense
A) Pro
Reason: This argument supports the proposal by suggesting that eliminating the electoral college would lead to a more democratic system, potentially increasing the effectiveness of public funding and financing for campaigns.

2. Switching to a popular vote system
A) Pro
Reason: This argument also supports the proposal by advocating for a popular vote system, which could be facilitated by increased public funding and financing for campaigns.

3. Personal bias as the speaker is from California
C) Not applicable
Reason: This argument does not directly address the proposal of increasing public funding and financing for campaigns. It is based on the personal bias of the speaker and does not provide a clear stance on the issue.

4. Increase in public funding and financing for campaigns is okay
A) Pro
Reason: This argument supports the proposal by stating that increasing public funding and financing for campaigns is acceptable. It aligns with the idea that such funding can have positive effects on the electoral process.

5. Increase in public funding and financing for campaigns is bad
B) Con
Reason: This argument opposes the proposal by suggesting that increasing public funding and financing for campaigns is negative. It implies that such funding may have detrimental consequences for the electoral process.",,,"2. [4] A Reason: This argument is not applicable to the given proposal. The argument does not directly address the restoration of voting rights for citizens with felony convictions upon their release from prison.
3. [5] B Reason: This argument is con. The argument states that restoring voting rights to citizens with felony convictions upon their release from prison is bad.",,,"2A Reason: Getting rid of the electoral college would be a pro argument for implementing more accessibility to voting because it would allow for a more direct representation of the popular vote and potentially increase voter turnout and engagement.

2A Reason: Switching to a popular vote system would also be a pro argument for implementing more accessibility to voting because it would eliminate the potential for discrepancies between the popular vote and the electoral college outcome, ensuring that every vote counts equally.

2C Reason: Personal bias as the speaker is from California is not applicable to the given proposal. The proposal is about implementing more accessibility to voting, not about personal biases of the speaker.

4A Reason: Implementing more accessibility to voting is a pro argument for the given proposal because it would increase democratic participation, ensure equal access to voting rights, and promote a more inclusive and representative democracy.

5B Reason: Implementing more accessibility to voting is not bad. This argument is a con argument for the given proposal, but it lacks reasoning or explanation as to why it is bad. Without further justification, it cannot be considered a valid argument against the proposal.",,,"2A Reason: Getting rid of the electoral college aligns with the proposal of using proportional representatives to elect elected officials, as it promotes a more direct and democratic method of electing officials.
3A Reason: Switching to a popular vote system also aligns with the proposal, as it promotes a more direct and equal representation of the voters' choices.
4C Reason: This argument is not applicable to the given proposal, as it simply states that the proposal is ""okay"" without providing any specific reasoning or evaluation.
5B Reason: This argument is against the proposal, as it states that using proportional representatives to elect elected officials is bad. However, no reasoning is provided to support this claim.",,,"1. Getting rid of the electoral college makes sense
A) Pro
Reason: This argument supports the proposal by suggesting a change that could potentially improve civic education by promoting a popular vote system.

2. Switching to a popular vote system
A) Pro
Reason: Similar to argument 1, this argument supports the proposal by advocating for a change that could enhance civic education by introducing a popular vote system.

3. Personal bias as the speaker is from California
C) Not applicable
Reason: This argument does not directly relate to the proposal of increasing opportunities for learning about civic education in schools. It focuses on the personal bias of the speaker, which is unrelated to the proposal itself.

4. Increase opportunities for learning about civic education in schools is okay
A) Pro
Reason: This argument supports the proposal by stating that increasing opportunities for learning about civic education in schools is acceptable. It aligns with the goal of the proposal.

5. Increase opportunities for learning about civic education in schools is bad
B) Con
Reason: This argument opposes the proposal by suggesting that increasing opportunities for learning about civic education in schools is negative. It goes against the goal of the proposal.",- Getting rid of the electoral college makes sense,,"4. [A] Reason: This argument is in favor of the proposal to implement voting standards that are less strict. It supports the idea that loosening the standards for voting is acceptable or beneficial.

5. [B] Reason: This argument is against the proposal to implement voting standards that are less strict. It suggests that loosening the standards for voting is bad or undesirable.

Note: Arguments 1, 2, and 3 are not applicable to the given proposal as they discuss different topics (getting rid of the electoral college, switching to a popular vote system, and personal bias of the speaker).",,,"1. Getting rid of the electoral college makes sense
A) Pro
Reason: This argument supports the proposal by suggesting that eliminating the electoral college is a logical decision.

2. Switching to a popular vote system
A) Pro
Reason: This argument supports the proposal by advocating for a change to a popular vote system, which would replace the electoral college.

3. Personal bias as the speaker is from California
C) Not applicable
Reason: This argument is not directly related to the proposal itself. It is a personal bias of the speaker and does not provide a clear stance on whether the electoral college should be changed or not.

4. Change the current electoral college is okay
C) Not applicable
Reason: This argument does not clearly state whether it is in favor or against the proposal. It simply suggests that changing the electoral college is acceptable without providing any reasoning.

5. Change the current electoral college is bad
B) Con
Reason: This argument opposes the proposal by stating that changing the current electoral college is a negative decision.",,,"4. Implement a term limit for Supreme Court Justices is okay
A) Pro
Reason: This argument supports the proposal of implementing a term limit for Supreme Court Justices, indicating that it is a positive change.

5. Implement a term limit for Supreme Court Justices is bad
B) Con
Reason: This argument opposes the proposal of implementing a term limit for Supreme Court Justices, suggesting that it would have negative consequences or be undesirable.",,,"2A Reason: Getting rid of the electoral college aligns with the proposal to change the primary system as it would likely lead to a more direct and democratic selection process for presidential candidates.
2A Reason: Switching to a popular vote system also supports the proposal to change the primary system as it would prioritize the overall popular will in selecting candidates.
2C Reason: Personal bias as the speaker is from California is not applicable to the given proposal as it does not directly address or impact the primary system.
4A Reason: Change the primary system is okay supports the proposal itself, indicating a positive stance towards the idea of altering the primary system.
5B Reason: Change the primary system is bad opposes the proposal, indicating a negative stance towards the idea of altering the primary system.",,,"2.1. Getting rid of the electoral college makes sense
A) Pro
Reason: This argument supports the proposal by advocating for the elimination of the electoral college, which aligns with implementing RCV as an alternative method.

2.2. Switching to a popular vote system
A) Pro
Reason: This argument supports the proposal by advocating for a switch to a popular vote system, which is in line with implementing RCV as an alternative method.

2.3. Personal bias as the speaker is from California
C) Not applicable
Reason: This argument does not directly address the proposal itself but rather highlights the potential bias of the speaker. It does not provide a clear stance for or against implementing RCV as an alternative method.

2.4. Implement RCV as an alternative method both to elected officials and representatives at all levels is okay
A) Pro
Reason: This argument supports the proposal by stating that implementing RCV as an alternative method is acceptable. It aligns with the proposal's objective.

2.5. Implement RCV as an alternative method both to elected officials and representatives at all levels is bad
B) Con
Reason: This argument opposes the proposal by stating that implementing RCV as an alternative method is bad. It goes against",,,"2A Reason: Getting rid of the electoral college would be a pro argument for implementing more fairness and transparency in the election process because it would ensure that every vote counts equally and eliminate the possibility of a candidate winning the popular vote but losing the election.
3A Reason: Switching to a popular vote system would also be a pro argument for implementing more fairness and transparency in the election process because it would ensure that the candidate who receives the most votes nationwide wins the election, eliminating the potential for discrepancies between the popular vote and the electoral college outcome.
4C Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or stance on the implementation of more fairness and transparency in the election process.
5C Reason: This argument is also not applicable to the given proposal as it does not provide any specific reasoning or stance on the implementation of more fairness and transparency in the election process.",,,"2A Reason: Getting rid of the electoral college and switching to a popular vote system would be seen as a pro argument because it could potentially address voter fraud by ensuring that every vote counts equally and reducing the chances of manipulation through the electoral college system.
3C Reason: The argument about personal bias as the speaker is from California is not applicable to the given proposal because it does not directly relate to implementing more measures to address voter fraud.
4A Reason: Implementing more measures to address voter fraud is seen as a pro argument because it supports the proposal and aims to address the issue of voter fraud.
5B Reason: The argument that implementing more measures to address voter fraud is bad is seen as a con argument because it opposes the proposal and suggests that it may have negative consequences.",False,False,False,False,False,False,False,True,False
6,7,10406,"""13:08""", it's like one of the most populous states but at the end i think like some tiny state in the midwest or something could kind of decide the,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,10406,"""13:08"""," the fate of the nation at the end of the day, so maybe popular boat makes sense.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,48622,"""13:50"""," yeah, i agree with david. i think the electoral college seems a little confusing to me and to keep it simple. it seems like the just most popular vote seems to be the way to go, and i'm still confused about the right choice. voting to add all that in there as well.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48692,"""14:10"""," no, the choices that are given to us, using the popular vote is the best option of what they've chosen to give us to think about.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
