,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48648,"""2:05"""," hi, my name is l.j. i live in sierra vista. arizona, moved here from california a couple of years ago and i am a retired attorney.",Yes,There are no arguments mentioned in the given statement.,,,"1. [Argument 1] C Reason: The given statement does not mention any arguments for or against the proposal, so it is not applicable.
2. [Argument 2] A Reason: This argument supports the proposal, indicating that using proportional representatives to elect elected officials is acceptable.
3. [Argument 3] B Reason: This argument opposes the proposal, suggesting that using proportional representatives to elect elected officials is bad.
4. [Argument 4] A Reason: This argument strongly supports the proposal, stating that using proportional representatives to elect elected officials is the best thing ever.
5. [Argument 5] B Reason: This argument strongly opposes the proposal, claiming that using proportional representatives to elect elected officials is the worst thing ever.",,,"1. [Argument 1] C Reason: No arguments are mentioned in the given statement, so it is not applicable.
2. [Argument 2] A Reason: This argument supports the proposal by stating that implementing more accessibility to voting is okay.
3. [Argument 3] B Reason: This argument opposes the proposal by stating that implementing more accessibility to voting is bad.
4. [Argument 4] A Reason: This argument supports the proposal by stating that implementing more accessibility to voting is the best thing ever.
5. [Argument 5] B Reason: This argument opposes the proposal by stating that implementing more accessibility to voting is the worst thing ever.",,,"1. [Argument 1] C Reason: The given statement does not mention any arguments.
2. [Argument 2] A Reason: This argument supports the proposal by stating that increasing public funding and financing for campaigns is acceptable.
3. [Argument 3] B Reason: This argument opposes the proposal by stating that increasing public funding and financing for campaigns is bad.
4. [Argument 4] A Reason: This argument supports the proposal by stating that increasing public funding and financing for campaigns is the best thing ever.
5. [Argument 5] B Reason: This argument opposes the proposal by stating that increasing public funding and financing for campaigns is the worst thing ever.",,,"1. [Argument 1] C Reason: The given statement does not provide any arguments for or against the proposal.
2. [Argument 2] A Reason: This argument supports the proposal, as it states that restoring voting rights to citizens with felony convictions upon their release from prison is okay.
3. [Argument 3] B Reason: This argument opposes the proposal, as it states that restoring voting rights to citizens with felony convictions upon their release from prison is bad.
4. [Argument 4] A Reason: This argument supports the proposal, as it states that restoring voting rights to citizens with felony convictions upon their release from prison is the best thing ever.
5. [Argument 5] B Reason: This argument opposes the proposal, as it states that restoring voting rights to citizens with felony convictions upon their release from prison is the worst thing ever.",,,"1. [Argument 1] Not applicable. Reason: There are no arguments mentioned in the given statement.
2. [Argument 2] A) Pro. Reason: This argument supports the proposal by stating that implementing less strict voting standards is acceptable.
3. [Argument 3] B) Con. Reason: This argument opposes the proposal by stating that implementing less strict voting standards is bad.
4. [Argument 4] A) Pro. Reason: This argument strongly supports the proposal by stating that implementing less strict voting standards is the best thing ever.
5. [Argument 5] B) Con. Reason: This argument strongly opposes the proposal by stating that implementing less strict voting standards is the worst thing ever.",,,"1. [Argument 1] C Reason: No arguments are mentioned in the given statement, so it is not applicable.
2. [Argument 2] A Reason: This argument is in favor of changing the current electoral college, so it is a pro argument.
3. [Argument 3] B Reason: This argument is against changing the current electoral college, so it is a con argument.
4. [Argument 4] A Reason: This argument is in favor of changing the current electoral college, so it is a pro argument.
5. [Argument 5] B Reason: This argument is against changing the current electoral college, so it is a con argument.",,,"1. [Argument 1] C Reason: No arguments are mentioned in the given statement, so it is not applicable to the proposal.
2. [Argument 2] A Reason: This argument supports the proposal by stating that implementing more fairness and transparency in the election process is okay.
3. [Argument 3] B Reason: This argument opposes the proposal by stating that implementing more fairness and transparency in the election process is bad.
4. [Argument 4] A Reason: This argument supports the proposal by stating that implementing more fairness and transparency in the election process is the best thing ever.
5. [Argument 5] B Reason: This argument opposes the proposal by stating that implementing more fairness and transparency in the election process is the worst thing ever.",,,"1. [Argument 1] C Reason: Not applicable because there are no arguments mentioned in the given statement.
2. [Argument 2] A Reason: This argument is in favor of changing the primary system, indicating a positive stance.
3. [Argument 3] B Reason: This argument is against changing the primary system, indicating a negative stance.
4. [Argument 4] A Reason: This argument is in favor of changing the primary system, indicating a positive stance.
5. [Argument 5] B Reason: This argument is against changing the primary system, indicating a negative stance.",,,"1. [Argument 1] C Reason: No arguments are mentioned in the given statement, so it is not applicable.
2. [Argument 2] A Reason: This argument supports the proposal by stating that increasing opportunities for learning about civic education in schools is okay.
3. [Argument 3] B Reason: This argument opposes the proposal by stating that increasing opportunities for learning about civic education in schools is bad.
4. [Argument 4] A Reason: This argument supports the proposal by stating that increasing opportunities for learning about civic education in schools is the best thing ever.
5. [Argument 5] B Reason: This argument opposes the proposal by stating that increasing opportunities for learning about civic education in schools is the worst thing ever.",,,"1. [Argument 1] C Reason: There are no arguments mentioned in the given statement, so it is not applicable to the proposal.
2. [Argument 2] A Reason: This argument supports the proposal, as it states that implementing RCV as an alternative method is okay.
3. [Argument 3] B Reason: This argument opposes the proposal, as it states that implementing RCV as an alternative method is bad.
4. [Argument 4] A Reason: This argument supports the proposal, as it states that implementing RCV as an alternative method is the best thing ever.
5. [Argument 5] B Reason: This argument opposes the proposal, as it states that implementing RCV as an alternative method is the worst thing ever.",,,"1. [Argument 1] C Reason: There are no arguments mentioned in the given statement, so it is not applicable to the proposal.
2. [Argument 2] A Reason: This argument supports the proposal by suggesting that implementing more measures to address voter fraud is acceptable.
3. [Argument 3] B Reason: This argument opposes the proposal by stating that implementing more measures to address voter fraud is bad.
4. [Argument 4] A Reason: This argument supports the proposal by claiming that implementing more measures to address voter fraud is the best thing ever.
5. [Argument 5] B Reason: This argument opposes the proposal by asserting that implementing more measures to address voter fraud is the worst thing ever.",,,"1. [Argument 1] C Reason: The given statement does not mention any arguments for or against implementing a term limit for Supreme Court Justices.
2. [Argument 2] A Reason: This argument is in favor of implementing a term limit for Supreme Court Justices.
3. [Argument 3] B Reason: This argument is against implementing a term limit for Supreme Court Justices.
4. [Argument 4] C Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or evidence.
5. [Argument 5] C Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or evidence.",,,"1. [Argument 1] [C] Reason: The given statement does not mention any arguments for or against implementing limits on financing individual candidates and parties.
2. [Argument 2] [A] Reason: This argument supports the proposal by stating that implementing limits on financing individual candidates and parties is okay.
3. [Argument 3] [B] Reason: This argument opposes the proposal by stating that implementing limits on financing individual candidates and parties is bad.
4. [Argument 4] [C] Reason: The given statement does not mention any arguments for or against implementing limits on financing individual candidates and parties as the best thing ever.
5. [Argument 5] [C] Reason: The given statement does not mention any arguments for or against implementing limits on financing individual candidates and parties as the worst thing ever.",False,False,False,False,False,False,False,False,False
1,2,48676,"""2:17""", my name is heather. i live in the capital district of new york state and i participated in the in-person american in one room in 2019.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,9881,"""2:38"""," hello, i'm not sure if you guys can hear me. it looks like my camera is doing something weird, but maybe that's just on my end. i'm leah in washington. hello again.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48640,"""2:52""", hi. my name is tom. i live in east central iowa. i'm a retired realtor and i know i do sales online sales.,Yes,The speaker does not provide any arguments in the given statement.,,,"1. [Argument 1] C Reason: The statement does not provide any arguments, so it is not applicable to the given proposal.
2. [Argument 2] A Reason: This argument supports the proposal, indicating that using proportional representatives to elect elected officials is acceptable.
3. [Argument 3] B Reason: This argument opposes the proposal, suggesting that using proportional representatives to elect elected officials is bad.
4. [Argument 4] A Reason: This argument strongly supports the proposal, stating that using proportional representatives to elect elected officials is the best thing ever.
5. [Argument 5] B Reason: This argument strongly opposes the proposal, claiming that using proportional representatives to elect elected officials is the worst thing ever.",,,"1. [Argument 1] C Reason: The statement does not provide any arguments, so it is not applicable to the given proposal.
2. [Argument 2] A Reason: This argument supports the proposal by stating that implementing more accessibility to voting is okay, indicating a positive stance.
3. [Argument 3] B Reason: This argument opposes the proposal by stating that implementing more accessibility to voting is bad, indicating a negative stance.
4. [Argument 4] A Reason: This argument supports the proposal by stating that implementing more accessibility to voting is the best thing ever, indicating a highly positive stance.
5. [Argument 5] B Reason: This argument opposes the proposal by stating that implementing more accessibility to voting is the worst thing ever, indicating a highly negative stance.",,,"1. [Argument 1] C Reason: The statement does not provide any arguments for or against the proposal, so it is not applicable.
2. [Argument 2] A Reason: This argument supports the proposal, indicating that an increase in public funding and financing for campaigns is acceptable.
3. [Argument 3] B Reason: This argument opposes the proposal, suggesting that an increase in public funding and financing for campaigns is bad.
4. [Argument 4] A Reason: This argument strongly supports the proposal, stating that an increase in public funding and financing for campaigns is the best thing ever.
5. [Argument 5] B Reason: This argument strongly opposes the proposal, claiming that an increase in public funding and financing for campaigns is the worst thing ever.",,,"1. [Argument 1] C Reason: The statement does not provide any arguments, so it is not applicable to the given proposal.
2. [Argument 2] A Reason: This argument supports the proposal, as it states that restoring voting rights to citizens with felony convictions upon their release from prison is okay.
3. [Argument 3] B Reason: This argument opposes the proposal, as it states that restoring voting rights to citizens with felony convictions upon their release from prison is bad.
4. [Argument 4] A Reason: This argument supports the proposal, as it states that restoring voting rights to citizens with felony convictions upon their release from prison is the best thing ever.
5. [Argument 5] B Reason: This argument opposes the proposal, as it states that restoring voting rights to citizens with felony convictions upon their release from prison is the worst thing ever.",,,"1. [Argument 1] C Reason: The statement does not provide any arguments, so it is not applicable to the given proposal.
2. [Argument 2] A Reason: This argument supports the proposal by stating that implementing less strict voting standards is okay.
3. [Argument 3] B Reason: This argument opposes the proposal by stating that implementing less strict voting standards is bad.
4. [Argument 4] A Reason: This argument strongly supports the proposal by stating that implementing less strict voting standards is the best thing ever.
5. [Argument 5] B Reason: This argument strongly opposes the proposal by stating that implementing less strict voting standards is the worst thing ever.",,,"1. [Argument 1] C Reason: The speaker does not provide any arguments in the given statement.
2. [Argument 2] A Reason: This argument is in favor of changing the current electoral college, indicating a pro stance.
3. [Argument 3] B Reason: This argument is against changing the current electoral college, indicating a con stance.
4. [Argument 4] A Reason: This argument is in favor of changing the current electoral college, indicating a pro stance.
5. [Argument 5] B Reason: This argument is against changing the current electoral college, indicating a con stance.",,,"1. [Argument 1] C Reason: The statement does not provide any arguments, so it is not applicable to the given proposal.
2. [Argument 2] A Reason: This argument supports the proposal by stating that implementing more fairness and transparency in the election process is okay.
3. [Argument 3] B Reason: This argument opposes the proposal by stating that implementing more fairness and transparency in the election process is bad.
4. [Argument 4] A Reason: This argument supports the proposal by stating that implementing more fairness and transparency in the election process is the best thing ever.
5. [Argument 5] B Reason: This argument opposes the proposal by stating that implementing more fairness and transparency in the election process is the worst thing ever.",,,"1. [Argument 1] C Reason: The statement does not provide any arguments for or against changing the primary system.
2. [Argument 2] A Reason: This argument is in favor of changing the primary system, indicating a positive stance.
3. [Argument 3] B Reason: This argument is against changing the primary system, indicating a negative stance.
4. [Argument 4] A Reason: This argument is in favor of changing the primary system, indicating a positive stance.
5. [Argument 5] B Reason: This argument is against changing the primary system, indicating a negative stance.",,,"1. [Argument 1] C Reason: The statement does not provide any arguments, so it is not applicable to the given proposal.
2. [Argument 2] A Reason: This argument supports the proposal by stating that increasing opportunities for learning about civic education in schools is okay.
3. [Argument 3] B Reason: This argument opposes the proposal by stating that increasing opportunities for learning about civic education in schools is bad.
4. [Argument 4] A Reason: This argument supports the proposal by stating that increasing opportunities for learning about civic education in schools is the best thing ever.
5. [Argument 5] B Reason: This argument opposes the proposal by stating that increasing opportunities for learning about civic education in schools is the worst thing ever.",,,"1. [Argument 1] C Reason: The statement does not provide any arguments, so it is not applicable to the given proposal.
2. [Argument 2] A Reason: This argument supports the proposal, suggesting that implementing RCV as an alternative method is a positive idea.
3. [Argument 3] B Reason: This argument opposes the proposal, suggesting that implementing RCV as an alternative method is bad.
4. [Argument 4] A Reason: This argument supports the proposal, suggesting that implementing RCV as an alternative method is the best thing ever.
5. [Argument 5] B Reason: This argument opposes the proposal, suggesting that implementing RCV as an alternative method is the worst thing ever.",,,"1. [Argument 1] C Reason: The statement does not provide any arguments, so it is not applicable to the given proposal.
2. [Argument 2] A Reason: This argument supports the proposal by suggesting that implementing more measures to address voter fraud is acceptable.
3. [Argument 3] B Reason: This argument opposes the proposal by stating that implementing more measures to address voter fraud is bad.
4. [Argument 4] A Reason: This argument strongly supports the proposal by claiming that implementing more measures to address voter fraud is the best thing ever.
5. [Argument 5] B Reason: This argument strongly opposes the proposal by asserting that implementing more measures to address voter fraud is the worst thing ever.",,,"1. [Argument 1] C Reason: The statement does not provide any arguments for or against the proposal.
2. [Argument 2] A Reason: This argument is in favor of implementing a term limit for Supreme Court Justices.
3. [Argument 3] B Reason: This argument is against implementing a term limit for Supreme Court Justices.
4. [Argument 4] A Reason: This argument is in favor of implementing a term limit for Supreme Court Justices.
5. [Argument 5] B Reason: This argument is against implementing a term limit for Supreme Court Justices.",,,"1. [Argument 1] C Reason: The statement does not provide any arguments for or against the proposal.
2. [Argument 2] A Reason: This argument supports the proposal by stating that implementing limits on financing individual candidates and parties is acceptable.
3. [Argument 3] B Reason: This argument opposes the proposal by stating that implementing limits on financing individual candidates and parties is bad.
4. [Argument 4] B Reason: This argument supports the proposal by stating that implementing limits on financing individual candidates and parties is the best thing ever.
5. [Argument 5] B Reason: This argument opposes the proposal by stating that implementing limits on financing individual candidates and parties is the worst thing ever.",False,False,False,False,False,False,False,False,False
4,5,9798,"""3:04"""," hello, everyone. i'm peter. i'm from maine and i'm a civil engineer, mostly doing bridge design.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,48666,"""3:11"""," hello, i'm friday and i'm retired teacher and i'm from north carolina.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,9424,"""3:19""", hi kelly. i'm a retired engineer in south carolina. nice to see you getting,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,48747,"""3:48"""," oh hi. yeah, i finally got through here. my camera's, not working, again, i'm told that's not uncommon, but here we go. all right, if you were in the same group, thanks.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,9881,"""4:02""", i can see you just fine dave.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,9798,"""12:00"""," i'll start it off. so i think that the first con point that they list that, you know, the leaders already kind of have",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
