,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,10056,"""2:11"""," hi, my name is josh and i live in denver colorado.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48706,"""2:32"""," my name is john, i live in buffalo new york.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,10369,"""2:38"""," hi, i'm laura and i'm in southern missouri.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48708,"""2:46""", hi. my name is lana and i'm in pennsylvania.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48717,"""2:51"""," hi, i'm brittany. i'm from indiana.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,9699,"""2:56""", i am raylan from san diego.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,9699,"""11:15""", i will speak then i think it's a good proposal. i think 25% would,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,9699,"""11:15""", maybe not be enough money for them to do what they need to do. but it could be a star.,Yes,"The speaker's arguments are:

1. There may not be enough money for them to do what they need to do.
2. However, it could be a star.",,,"1. [A] Reason: This argument suggests that there may not be enough money for campaigns to effectively carry out their activities. This aligns with the pro side of the proposal, as increasing public funding and financing would address this concern by providing more resources for campaigns.
2. [C] Reason: The argument is unclear and does not provide enough information to determine whether it is a pro or con argument. It states that something ""could be a star,"" but it is not clear how this relates to the proposal of increasing public funding and financing for campaigns.
4. [A] Reason: This argument states that an increase in public funding and financing for campaigns is okay. This aligns with the pro side of the proposal, as it suggests support for the idea of providing more financial resources for campaigns.
5. [B] Reason: This argument states that an increase in public funding and financing for campaigns is bad. This aligns with the con side of the proposal, as it suggests opposition to the idea of increasing public funding and financing for campaigns.",,,"1. [A] Reason: This argument suggests that there may not be enough money to implement more fairness and transparency in the election process. It is a pro argument because it acknowledges a potential challenge that needs to be addressed in order to achieve the proposal's goal.
2. [C] Reason: This argument is not applicable to the given proposal. It mentions that something could be a star, but it does not provide any relevant information or opinion regarding the implementation of fairness and transparency in the election process.
4. [A] Reason: This argument supports the proposal by stating that implementing more fairness and transparency in the election process is okay. It is a pro argument because it aligns with the goal of the proposal.
5. [B] Reason: This argument opposes the proposal by stating that implementing more fairness and transparency in the election process is bad. It is a con argument because it disagrees with the proposal's objective.",,,"1. [A] Reason: This argument is a pro because it suggests that using proportional representatives may help address financial constraints and allow elected officials to effectively carry out their duties.
2. [C] Reason: This argument is not applicable to the given proposal as it does not provide any clear stance or reasoning related to using proportional representatives to elect elected officials.
4. [A] Reason: This argument is a pro as it directly supports the proposal of using proportional representatives to elect elected officials.
5. [B] Reason: This argument is a con as it opposes the proposal of using proportional representatives to elect elected officials without providing any specific reasoning.",,,"1. [A] Reason: This argument suggests that implementing a term limit for Supreme Court Justices may alleviate financial constraints, indicating a pro stance.
2. [C] Reason: The argument is unclear and does not provide enough information to determine whether it is a pro or con argument. It is marked as not applicable.
4. [A] Reason: This argument explicitly supports the proposal, indicating a pro stance.
5. [B] Reason: This argument explicitly opposes the proposal, indicating a con stance.",,,"1. [A] Reason: This argument is a pro argument because it suggests that implementing limits on financing individual candidates and parties may not provide them with enough money to carry out their necessary activities. This implies that without sufficient funding, candidates and parties may struggle to effectively campaign or operate.
2. [B] Reason: This argument is a con argument because it suggests that implementing limits on financing individual candidates and parties could be a disadvantage or hindrance. However, the statement is incomplete and does not provide enough information to fully understand the speaker's viewpoint.
4. [A] Reason: This argument is a pro argument because it directly states that implementing limits on financing individual candidates and parties is okay. It implies that the speaker supports the proposal and believes it is a reasonable measure to regulate campaign financing.
5. [B] Reason: This argument is a con argument because it states that implementing limits on financing individual candidates and parties is bad. It suggests that the speaker opposes the proposal and believes it would have negative consequences. However, the statement is vague and does not provide specific reasons for this viewpoint.",,,"1. [1] C Reason: This argument does not directly support or oppose the proposal to change the primary system. It is more of a statement about the potential lack of funding for the proposed changes.
2. [2] A Reason: This argument is a pro for the proposal to change the primary system. It suggests that the change could have positive outcomes and potentially be successful.
3. [4] A Reason: This argument is a pro for the proposal to change the primary system. It states that changing the primary system is acceptable or permissible.
4. [5] B Reason: This argument is a con against the proposal to change the primary system. It states that changing the primary system is bad or negative.",,,"1. [1] C Reason: This argument is not applicable to the given proposal as it does not directly support or oppose the implementation of more accessibility to voting. It is a separate concern about the availability of funds.
2. [2] A Reason: This argument is a pro argument as it suggests that implementing more accessibility to voting could be beneficial, using the metaphor of a star to imply its positive impact.
3. [4] A Reason: This argument is a pro argument as it directly supports the proposal to implement more accessibility to voting.
4. [5] B Reason: This argument is a con argument as it opposes the proposal to implement more accessibility to voting, stating that it is bad.",,,"1. [1] C Reason: This argument is not applicable to the given proposal as it does not directly support or oppose the implementation of less strict voting standards. It focuses on the availability of funds, which is not directly related to the proposal itself.
2. [2] C Reason: This argument is also not applicable to the given proposal. It mentions the possibility of something being a star, but it does not provide any clear support or opposition to the implementation of less strict voting standards.
3. [4] A Reason: This argument is a pro argument. It directly supports the implementation of voting standards that are less strict by stating that it is okay to do so. It shows a positive stance towards the proposal.
4. [5] B Reason: This argument is a con argument. It opposes the implementation of voting standards that are less strict by stating that it is bad. It shows a negative stance towards the proposal.",,,"1. [A] Reason: This argument is a con because it suggests that there may not be enough funding available to support the proposal, which could hinder its implementation.
2. [C] Reason: This argument is not applicable as it is unclear what is meant by ""it could be a star."" Without further context, it is difficult to determine whether this statement supports or opposes the proposal.
4. [A] Reason: This argument is a pro because it states that increasing opportunities for learning about civic education in schools is okay, indicating support for the proposal.
5. [B] Reason: This argument is a con because it states that increasing opportunities for learning about civic education in schools is bad, indicating opposition to the proposal.",,,"1. [1] C Reason: This argument is not applicable to the given proposal as it does not directly address the change in the electoral college.
2. [2] A Reason: This argument is a pro argument as it suggests that changing the current electoral college could have positive outcomes, potentially making it a star.
3. [4] A Reason: This argument is a pro argument as it supports the proposal to change the current electoral college.
4. [5] B Reason: This argument is a con argument as it opposes the proposal to change the current electoral college, suggesting that it is bad.",,,"1. [A] Reason: This argument suggests that there may not be enough funding available to implement more measures to address voter fraud. It is a pro argument because it highlights a potential obstacle to implementing the proposal.
2. [C] Reason: This argument is not applicable to the given proposal. It does not provide any clear stance or reasoning related to the implementation of more measures to address voter fraud.
4. [A] Reason: This argument supports the proposal by stating that implementing more measures to address voter fraud is okay. It is a pro argument.
5. [B] Reason: This argument opposes the proposal by stating that implementing more measures to address voter fraud is bad. It is a con argument.",,,"1. [A] Reason: This argument suggests that there may not be enough financial resources to support the proposal, which aligns with a con perspective as it highlights a potential drawback or limitation.
2. [C] Reason: The argument is unclear and does not provide enough information to determine whether it is a pro, con, or not applicable to the proposal.
4. [A] Reason: This argument supports the proposal by stating that restoring voting rights to citizens with felony convictions upon their release from prison is okay, indicating a pro stance.
5. [B] Reason: This argument opposes the proposal by stating that restoring voting rights to citizens with felony convictions upon their release from prison is bad, indicating a con stance.",,,"1. [A] Reason: This argument is a pro because it suggests that implementing RCV could potentially save money by eliminating the need for costly elections or campaigns.
2. [A] Reason: This argument is a pro because it implies that implementing RCV could be a positive change or improvement.
4. [C] Reason: This argument is not applicable to the given proposal as it simply restates the proposal itself without providing any specific reasoning or evaluation.
5. [B] Reason: This argument is a con because it states that implementing RCV as an alternative method to elected officials and representatives at all levels is bad, but it does not provide any reasoning or explanation for this viewpoint.",False,False,False,False,False,False,False,False,False
8,9,10056,"""11:36"""," i would, i would disagree with that, i'm against setting aside chunks of delegates, so that party leaders can kind of crown the king that they want instead of listening to the voice of the people.",Yes,"- The speaker is against setting aside chunks of delegates.
- The speaker believes that party leaders should not have the power to choose the candidate they want instead of listening to the voice of the people.",,,"2A Reason: The speaker is against setting aside chunks of delegates, which suggests they are in favor of a more democratic process where the voice of the people is heard in choosing the candidate. This aligns with the pro argument of the proposal, as increasing public funding and financing for campaigns can help level the playing field and reduce the influence of party leaders in selecting candidates.

2B Reason: The speaker believes that party leaders should not have the power to choose the candidate they want instead of listening to the voice of the people. This aligns with the con argument of the proposal, as increasing public funding and financing for campaigns may not address the issue of party leaders having too much influence in candidate selection.

3A Reason: The statement expresses a neutral opinion about the proposal, indicating that it is okay or acceptable. It does not provide any specific reasons or arguments for or against the proposal, making it not applicable to the given proposal.

4B Reason: The statement expresses a negative opinion about the proposal, indicating that it is bad. However, it does not provide any specific reasons or arguments against the proposal, making it not applicable to the given proposal.

5A Reason: The statement expresses a positive opinion about the proposal, indicating that it is the best thing ever. However, it",,,"2A Reason: The speaker is against setting aside chunks of delegates, which suggests they are in favor of a more fair and transparent election process where delegates are not allocated in a way that could potentially favor certain candidates or exclude others.

2B Reason: The speaker believes that party leaders should not have the power to choose the candidate they want instead of listening to the voice of the people. This argument is against the proposal as it suggests that the current election process lacks fairness and transparency.

3C Reason: This argument does not provide a clear stance on the proposal. It simply states that implementing more fairness and transparency in the election process is okay, without specifying whether it is in favor or against the proposal.

4B Reason: This argument is against the proposal as it states that implementing more fairness and transparency in the election process is bad. However, it does not provide any reasoning or explanation for this stance.

5A Reason: This argument is in favor of the proposal as it states that implementing more fairness and transparency in the election process is the best thing ever. It suggests that the current election process lacks fairness and transparency and that the proposed changes would be highly beneficial.",,,"2A Reason: The speaker is against setting aside chunks of delegates, which suggests they are in favor of proportional representation where each vote counts equally and there are no chunks of delegates set aside.
2B Reason: The speaker believes that party leaders should not have the power to choose the candidate they want instead of listening to the voice of the people, which suggests they are against the proposal of using proportional representatives to elect elected officials as it may still allow party leaders to have influence in candidate selection.
3C Reason: This argument does not provide any specific stance or reasoning related to the proposal of using proportional representatives to elect elected officials, so it is not applicable.
4B Reason: The argument states that using proportional representatives to elect elected officials is bad, without providing any specific reasoning. Therefore, it is categorized as a con.
5A Reason: The argument states that using proportional representatives to elect elected officials is the best thing ever, without providing any specific reasoning. Therefore, it is categorized as a pro.",,,"3. [A] Reason: This argument is in favor of implementing a term limit for Supreme Court Justices, as it states that it is okay.
4. [B] Reason: This argument is against implementing a term limit for Supreme Court Justices, as it states that it is bad.
5. [A] Reason: This argument is in favor of implementing a term limit for Supreme Court Justices, as it states that it is the best thing ever.",,,"2A Reason: The speaker is against setting aside chunks of delegates, which suggests they are in favor of a more democratic process where the voice of the people is heard.
2B Reason: The speaker believes that party leaders should not have the power to choose the candidate they want instead of listening to the voice of the people, indicating they are against the proposal as it may limit the influence of party leaders.
3C Reason: This argument does not provide any specific stance or reasoning related to the proposal, so it is not applicable.
4C Reason: This argument does not provide any specific stance or reasoning related to the proposal, so it is not applicable.
5C Reason: This argument does not provide any specific stance or reasoning related to the proposal, so it is not applicable.",,,"2A Reason: The speaker is against setting aside chunks of delegates, which suggests that they are in favor of a more democratic and inclusive primary system where the voice of the people is prioritized.

2B Reason: The speaker believes that party leaders should not have the power to choose the candidate they want instead of listening to the voice of the people, indicating that they are against the current primary system and in favor of changing it to prevent such influence.

3C Reason: The statement ""Change the primary system is okay"" does not provide any specific argument or reasoning for or against the proposal. It is a neutral statement that does not directly address the pros or cons of changing the primary system.

4B Reason: The statement ""Change the primary system is bad"" suggests that the speaker is against changing the primary system and believes that it would have negative consequences. However, it does not provide any specific arguments or reasoning to support this view.

5A Reason: The statement ""Change the primary system is the best thing ever"" indicates that the speaker is in favor of changing the primary system and believes it would have significant positive impacts. However, it does not provide any specific arguments or reasoning to support this view.",,,"2A Reason: The speaker is against setting aside chunks of delegates, which suggests they are in favor of a more democratic process where the voice of the people is heard in choosing the candidate. This aligns with the pro argument for implementing more accessibility to voting, as it would allow for a greater representation of the people's voice in the election process.

2B Reason: The speaker believes that party leaders should not have the power to choose the candidate they want instead of listening to the voice of the people. This aligns with the con argument for implementing more accessibility to voting, as it suggests that the current system may limit the voice of the people and giving more accessibility to voting would help address this issue.

3A Reason: Implementing more accessibility to voting is seen as a positive change that would enhance democratic participation and ensure a more inclusive electoral process. This aligns with the pro argument for the proposal.

4B Reason: Implementing more accessibility to voting is seen as bad by some who may argue that it could lead to voter fraud or dilute the impact of informed and engaged voters. This aligns with the con argument for the proposal.

5A Reason: Implementing more accessibility to voting is seen as the best thing ever by those who believe in the importance of equal access",,,"2A Reason: The speaker is against setting aside chunks of delegates, which suggests they are in favor of a more democratic process where the voice of the people is heard.
2B Reason: The speaker believes that party leaders should not have the power to choose the candidate they want instead of listening to the voice of the people, indicating they are against the current system and in favor of a more inclusive and fair process.
3C Reason: This argument is not applicable to the given proposal as it does not provide any specific stance or reasoning regarding the implementation of less strict voting standards.
4B Reason: The argument states that implementing less strict voting standards is bad, indicating a negative stance towards the proposal.
5A Reason: The argument states that implementing less strict voting standards is the best thing ever, suggesting a positive stance towards the proposal.",,,"2A Reason: The speaker is against setting aside chunks of delegates, which suggests they are in favor of a more democratic process where the voice of the people is heard.
2B Reason: The speaker believes that party leaders should not have the power to choose the candidate they want instead of listening to the voice of the people, indicating they are against a system that allows party leaders to override the will of the people.
3C Reason: The statement ""Increase opportunities for learning about civic education in schools is okay"" does not provide any specific argument or reasoning for or against the proposal. It is a neutral statement that does not directly address the proposal.
4B Reason: The statement ""Increase opportunities for learning about civic education in schools is bad"" suggests that the speaker is against the proposal, as they believe it would have negative consequences.
5A Reason: The statement ""Increase opportunities for learning about civic education in schools is the best thing ever"" indicates that the speaker is in favor of the proposal and believes it would have extremely positive outcomes.",,,"2A Reason: The speaker is against setting aside chunks of delegates, which suggests they are in favor of a more democratic process where the voice of the people is prioritized.

2B Reason: The speaker believes that party leaders should not have the power to choose the candidate they want instead of listening to the voice of the people, indicating they are against the current system where party leaders have significant influence in the selection process.

3C Reason: The statement ""Change the current electoral college is okay"" does not provide any specific argument or reasoning for or against the proposal. It is a neutral statement that does not align with any particular stance.

4B Reason: The statement ""Change the current electoral college is bad"" suggests that the speaker is against changing the current electoral college system, indicating a con stance.

5A Reason: The statement ""Change the current electoral college is the best thing ever"" suggests that the speaker is in favor of changing the current electoral college system, indicating a pro stance.",,,"2A Reason: The speaker is against setting aside chunks of delegates, which suggests they are in favor of a fair and democratic process where the voice of the people is heard.
2B Reason: The speaker believes that party leaders should not have the power to choose the candidate they want instead of listening to the voice of the people, indicating they are against any measures that could potentially undermine the democratic process.
3A Reason: Implementing more measures to address voter fraud is seen as a positive step towards ensuring the integrity of elections.
4B Reason: Implementing more measures to address voter fraud is considered bad by the speaker, possibly due to concerns about potential negative consequences or restrictions on voter rights.
5A Reason: Implementing more measures to address voter fraud is seen as the best thing ever by the speaker, indicating strong support for such measures to protect the integrity of elections.",,,"3. [C] Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or stance on the issue.
4. [B] Reason: This argument is against the proposal, stating that restoring voting rights to citizens with felony convictions upon their release from prison is bad. It takes a negative stance on the issue.
5. [A] Reason: This argument is in favor of the proposal, stating that restoring voting rights to citizens with felony convictions upon their release from prison is the best thing ever. It takes a positive stance on the issue.",,,"2A Reason: The speaker is against setting aside chunks of delegates, which suggests they are in favor of a more democratic process where the voice of the people is heard.
2B Reason: The speaker believes that party leaders should not have the power to choose the candidate they want instead of listening to the voice of the people, indicating they are against the current system and in favor of a more democratic process.
3C Reason: This statement does not provide any argument or opinion about the proposal, so it is not applicable.
4B Reason: The statement suggests that implementing RCV as an alternative method is bad, indicating a negative opinion towards the proposal.
5A Reason: The statement suggests that implementing RCV as an alternative method is the best thing ever, indicating a positive opinion towards the proposal.",False,False,False,False,False,False,False,False,False
9,10,10369,"""12:06"""," amy, i think you're muted, i think.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
