,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48642,"""2:05"""," hi. this is steven steven b from florida. retired, age, 72.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48800,"""2:17"""," hi, my name is jed i live in arizona, i consider myself to be an independent, so i'm very interested to hear everybody's views on the topics",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,9417,"""2:27"""," hi, my name is jennifer. i live in maine. it's good to see you all again. looking forward to this.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48664,"""2:33"""," hi, my name is barbara from illinois and i am also looking forward to known everybody's opinion.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48694,"""2:41""", hi. this is janine for some reason. my camera's not working. i'm going to get it working. i'm from baltimore. i'm a baltimore city school teacher?,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,48760,"""2:57""", hi. i'm amber. i'm from texas and i'm 43 self-employed meet. all you,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48685,"""3:11"""," hi everyone, i'm diane. i'm a court reporter. i'm in the chicago area of illinois and it's good to see you all again.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,48766,"""3:23"""," hey there. i'm scott 55. i am a stay-at-home dad to a ten-year-old. i am an independent, who used to be a republican? but that all changed in 2016 and love to hear everybody's views.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,9405,"""3:41""", i am carlos from florida. i'm about to retire. am? i am constitution and list,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48684,"""3:53"""," hi, barbie are nice to see everyone again.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
10,11,48800,"""12:06"""," i think i'm all for the idea of super delegates as long as it's capped at 25 percent. i think it's reasonable that you can have 25% being more informed than the normal delegate and that could be helpful and it could be just like one of the pros points out in the reading material that it could keep extreme candidates from from winning, their primaries.",Yes,"- Super delegates should be capped at 25%.
- Having 25% of delegates being more informed can be helpful.
- Super delegates can prevent extreme candidates from winning primaries.",,,"2A Reason: The argument states that having 25% of delegates being more informed can be helpful, suggesting that having super delegates can bring more knowledge and expertise to the primary system.

2A Reason: The argument suggests that super delegates can prevent extreme candidates from winning primaries, indicating that having them can act as a safeguard against candidates with extreme views or policies.

4C Reason: This argument does not provide any specific reasoning or explanation for why changing the primary system is okay. It is not applicable to the given proposal as it does not provide any relevant information or analysis.

5C Reason: This argument does not provide any specific reasoning or explanation for why changing the primary system is bad. It is not applicable to the given proposal as it does not provide any relevant information or analysis.",,,"4. [A] Reason: Implementing limits on financing individual candidates and parties can help reduce the influence of money in politics and promote fairness in elections. This argument supports the proposal.

5. [B] Reason: Implementing limits on financing individual candidates and parties can be seen as limiting free speech and hindering the ability of candidates and parties to effectively campaign. This argument opposes the proposal.",,,"4. Implement RCV as an alternative method both to elected officials and representatives at all levels is okay
A Reason: This argument is not clearly in favor or against the proposal. It simply states that implementing RCV is acceptable.

5. Implement RCV as an alternative method both to elected officials and representatives at all levels is bad
B Reason: This argument is against the proposal. It states that implementing RCV as an alternative method is negative or undesirable.",,,"4. [A] Reason: Implementing voting standards that are less strict can be seen as a positive change as it can potentially increase voter participation and make the voting process more accessible for a wider range of individuals.

5. [B] Reason: Implementing voting standards that are less strict can be seen as negative because it may compromise the integrity of the voting system and increase the likelihood of voter fraud or manipulation. Stricter voting standards are often put in place to ensure the accuracy and fairness of elections.",,,"4. [Argument 4] C Reason: This argument is not applicable to the given proposal because it simply states that using proportional representatives to elect elected officials is okay without providing any specific reasoning or justification.

5. [Argument 5] B Reason: This argument is a con (against) the given proposal. The reason for this is not provided, but it suggests that using proportional representatives to elect elected officials is bad.",,,"1. [A] Reason: This argument is in favor of capping super delegates at 25%, which aligns with the proposal of increasing public funding and financing for campaigns. It supports the idea of reducing the influence of super delegates and promoting a more democratic process.
2. [A] Reason: This argument is also in favor of capping super delegates at 25%. It suggests that having a portion of delegates who are more informed can be beneficial, which supports the proposal's aim of ensuring a fair and informed decision-making process.
3. [A] Reason: This argument is in favor of super delegates as it suggests they can prevent extreme candidates from winning primaries. However, it is not directly applicable to the given proposal of increasing public funding and financing for campaigns. Therefore, it is categorized as ""not applicable"" (C).
4. [A] Reason: This argument is in favor of increasing public funding and financing for campaigns, aligning with the proposal itself. It supports the idea that such an increase is acceptable.
5. [B] Reason: This argument is against increasing public funding and financing for campaigns, opposing the proposal. It suggests that such an increase is bad.",,,"1. [Argument 1] [A] Reason: This argument is in favor of the proposal as it supports capping the number of super delegates, which would increase fairness and transparency in the election process.
2. [Argument 2] [A] Reason: This argument is in favor of the proposal as it suggests that having a certain percentage of more informed delegates can be beneficial for the election process, thus promoting fairness and transparency.
3. [Argument 3] [A] Reason: This argument is in favor of the proposal as it states that super delegates can prevent extreme candidates from winning primaries, which can contribute to a more fair and transparent election process.
4. [Argument 4] [C] Reason: This argument does not provide any specific stance or reasoning related to the proposal, so it is not applicable.
5. [Argument 5] [B] Reason: This argument is against the proposal as it states that implementing more fairness and transparency in the election process is bad. However, no reasoning is provided to support this stance, making it a con argument without a clear explanation.",,,"4. Restore federal and state voting rights to citizens with felony convictions upon their release from prison is okay
A Reason: This argument is in support of the proposal, as it suggests that restoring voting rights to citizens with felony convictions upon their release from prison is acceptable.

5. Restore federal and state voting rights to citizens with felony convictions upon their release from prison is bad
B Reason: This argument is against the proposal, as it suggests that restoring voting rights to citizens with felony convictions upon their release from prison is not a good idea.",,,"4. [A] Reason: Increasing opportunities for learning about civic education in schools is aligned with the proposal, as it supports the idea of providing more educational resources and experiences related to civic education. 
5. [B] Reason: This argument is against the proposal, as it states that increasing opportunities for learning about civic education in schools is bad.",,,"4. [Argument 4] C Reason: This argument is not applicable to the given proposal as it simply states that implementing more accessibility to voting is okay without providing any specific reasoning or justification.

5. [Argument 5] C Reason: This argument is also not applicable to the given proposal as it simply states that implementing more accessibility to voting is bad without providing any specific reasoning or justification.",,,"2A Reason: This argument is a pro because it supports the idea of capping super delegates at 25% as a measure to address voter fraud. It suggests that having a smaller percentage of super delegates who are more informed can be helpful in ensuring fair and accurate election outcomes.
3A Reason: This argument is a pro because it supports the idea of having super delegates to prevent extreme candidates from winning primaries. It implies that super delegates can act as a check on the nomination process and ensure that only qualified and moderate candidates are selected.
4C Reason: This argument is not applicable to the given proposal as it does not directly address the implementation of more measures to address voter fraud. It is a separate statement that does not provide any reasoning or stance on the proposal itself.
5C Reason: This argument is not applicable to the given proposal as it does not directly address the implementation of more measures to address voter fraud. It is a separate statement that does not provide any reasoning or stance on the proposal itself.",,,"4. Implement a term limit for Supreme Court Justices is okay
A) pro
Reason: This argument supports the proposal of implementing a term limit for Supreme Court Justices, indicating that it is a positive change.

5. Implement a term limit for Supreme Court Justices is bad
B) con
Reason: This argument opposes the proposal of implementing a term limit for Supreme Court Justices, suggesting that it would have negative consequences.",,,"2A Reason: This argument is a pro because it suggests that capping super delegates at 25% can be helpful by ensuring that a certain percentage of delegates are more informed and knowledgeable about the candidates, potentially leading to better decision-making in the primaries.

2A Reason: This argument is also a pro because it suggests that super delegates can prevent extreme candidates from winning primaries, which can be seen as a positive outcome in terms of promoting more moderate and mainstream candidates.

4C Reason: This argument is not applicable to the given proposal because it does not provide any specific reasoning or explanation for why changing the current electoral college is okay. It simply states a general opinion without any supporting points.

5C Reason: This argument is also not applicable to the given proposal because it does not provide any specific reasoning or explanation for why changing the current electoral college is bad. It simply states a general opinion without any supporting points.",False,False,False,False,False,False,False,False,False
