,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48719,"""2:05""", my name is mackenzie and i'm a registered nurse.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48727,"""2:11"""," it's it's where and again, nice to see everybody.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,48715,"""2:17""", it's kevin and pennsylvania. nice to see everybody. also.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48728,"""2:23""", hi. this is staff from alabama.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48725,"""2:26"""," hi, this is patty from california.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,48801,"""2:33""", richard from virginia.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,9920,"""2:47"""," hey, this is dana from oregon.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,48715,"""10:52"""," i would say i'm definitely not in favor of setting, a proportion of delegates. setting aside, those delegates for the national party conventions. i think, the party's already have too much sway in in determining what candidate gets nominated as it is.",Yes,"1. The speaker is against setting aside a proportion of delegates for the national party conventions.
2. The speaker believes that the parties already have too much influence in determining the nominated candidate.",,,"1. [Argument 1] B Reason: The speaker is against setting aside a proportion of delegates for the national party conventions, which suggests they are against the influence of parties in the nomination process. This aligns with the con position of the proposal.
2. [Argument 2] B Reason: The speaker believes that the parties already have too much influence in determining the nominated candidate, indicating they are against the current level of party influence. This aligns with the con position of the proposal.
3. [Argument 3] A Reason: The argument states that implementing limits on financing individual candidates and parties is okay, indicating a pro stance on the proposal.
4. [Argument 4] B Reason: The argument states that implementing limits on financing individual candidates and parties is bad, suggesting a con position on the proposal.
5. [Argument 5] C Reason: The argument does not provide any reasoning or evidence to support its claim that implementing limits on financing individual candidates and parties is the best thing ever. Therefore, it is not applicable to the given proposal.","1. The speaker is against setting aside a proportion of delegates for the national party conventions.
2. The speaker believes that the parties already have too much influence in determining the nominated candidate.",,"1. Argument 1: [B] Reason: The speaker is against setting aside a proportion of delegates for the national party conventions, which suggests they are against the current influence of parties in determining the nominated candidate.
2. Argument 2: [A] Reason: The speaker believes that the parties already have too much influence in determining the nominated candidate, indicating they are in favor of reducing party influence.
3. Argument 3: [A] Reason: The statement directly supports the proposal, indicating a pro stance.
4. Argument 4: [B] Reason: The statement directly opposes the proposal, indicating a con stance.
5. Argument 5: [A] Reason: The statement strongly supports the proposal, indicating a pro stance.",,,"1. [A] Reason: The argument is against setting aside a proportion of delegates for the national party conventions, which suggests that the speaker is in favor of reducing the influence of parties in the nomination process.
2. [A] Reason: The argument states that parties already have too much influence in determining the nominated candidate, indicating that the speaker is in favor of reducing party influence.
3. [C] Reason: This argument does not provide a clear stance on the proposal of implementing a term limit for Supreme Court Justices.
4. [B] Reason: The argument states that implementing a term limit for Supreme Court Justices is bad, indicating opposition to the proposal.
5. [A] Reason: The argument states that implementing a term limit for Supreme Court Justices is the best thing ever, suggesting support for the proposal.",,,"1. [A] Reason: The argument is against setting aside a proportion of delegates for the national party conventions, which suggests that the speaker supports a more open and inclusive election process.
2. [A] Reason: The argument states that the parties already have too much influence in determining the nominated candidate, indicating a desire for less party influence and more fairness in the election process.
3. [C] Reason: The argument does not provide a clear stance on the proposal, so it is not applicable.
4. [B] Reason: The argument states that implementing more fairness and transparency in the election process is bad, indicating opposition to the proposal.
5. [A] Reason: The argument states that implementing more fairness and transparency in the election process is the best thing ever, indicating strong support for the proposal.","1. The speaker is against setting aside a proportion of delegates for the national party conventions.
2. The speaker believes that the parties already have too much influence in determining the nominated candidate.",,"1. Argument 1: [B] Reason: The speaker is against setting aside a proportion of delegates for the national party conventions, which suggests they are against the current system and therefore against the proposal.
2. Argument 2: [A] Reason: The speaker believes that the parties already have too much influence in determining the nominated candidate, which aligns with the proposal of implementing less strict voting standards to reduce party influence.
3. Argument 3: [A] Reason: The argument supports the proposal of implementing less strict voting standards, indicating a pro stance.
4. Argument 4: [B] Reason: The argument states that implementing less strict voting standards is bad, indicating a con stance.
5. Argument 5: [C] Reason: The argument does not provide any specific reasoning or stance, making it not applicable to the given proposal.",,,"1. [1] B Reason: The speaker is against setting aside a proportion of delegates for the national party conventions, indicating a negative stance towards the influence of parties in the electoral process.
2. [2] A Reason: The speaker believes that the parties already have too much influence in determining the nominated candidate, suggesting a pro stance towards reducing party influence.
3. [3] C Reason: The statement does not provide any clear indication of whether the speaker supports or opposes changing the current electoral college, making it not applicable.
4. [4] B Reason: The statement ""Change the current electoral college is bad"" indicates a negative stance towards changing the electoral college, suggesting a con position.
5. [5] A Reason: The statement ""Change the current electoral college is the best thing ever"" expresses a positive view towards changing the electoral college, indicating a pro stance.",,,"1. [A] Reason: The argument is in favor of the proposal as it opposes setting aside a proportion of delegates for the national party conventions, which implies a desire for a more proportional representation system.
2. [A] Reason: The argument is in favor of the proposal as it criticizes the influence of parties in determining the nominated candidate, suggesting a desire for a more proportional representation system that reduces party influence.
3. [C] Reason: The argument is not applicable to the given proposal as it simply states that using proportional representatives to elect elected officials is okay without providing any specific reasoning or justification.
4. [B] Reason: The argument is against the proposal as it states that using proportional representatives to elect elected officials is bad, but it does not provide any reasoning or justification for this stance.
5. [A] Reason: The argument is in favor of the proposal as it states that using proportional representatives to elect elected officials is the best thing ever, indicating strong support for a more proportional representation system.",,,"1. [A] Reason: The speaker is against setting aside a proportion of delegates for the national party conventions, which suggests they are in favor of reducing the influence of parties in the nomination process.
2. [A] Reason: The speaker believes that the parties already have too much influence in determining the nominated candidate, indicating they support reducing party influence.
3. [C] Reason: This argument does not provide a clear stance on the proposal, as it simply states that implementing RCV as an alternative method is acceptable.
4. [B] Reason: The argument states that implementing RCV as an alternative method is bad, indicating opposition to the proposal.
5. [A] Reason: The argument states that implementing RCV as an alternative method is the best thing ever, suggesting strong support for the proposal.",,,"1. [1] B Reason: The argument is against setting aside a proportion of delegates for the national party conventions, indicating a negative stance towards the current primary system.
2. [2] A Reason: The argument states that the parties already have too much influence in determining the nominated candidate, suggesting that changing the primary system would be beneficial in reducing party influence.
3. [3] C Reason: The argument does not provide a clear stance on whether changing the primary system is good or bad, making it not applicable to the given proposal.
4. [4] C Reason: The argument does not provide a clear stance on whether changing the primary system is good or bad, making it not applicable to the given proposal.
5. [5] A Reason: The argument states that changing the primary system is the best thing ever, indicating a positive stance towards the proposal.",,,"1. [A] Reason: The argument is against setting aside a proportion of delegates for the national party conventions, indicating a pro stance on the proposal.
2. [A] Reason: The argument states that parties already have too much influence in determining the nominated candidate, suggesting a pro stance on the proposal.
3. [C] Reason: The argument does not provide any stance or reasoning related to the proposal, making it not applicable.
4. [B] Reason: The argument states that restoring voting rights to citizens with felony convictions upon their release from prison is bad, indicating a con stance on the proposal.
5. [A] Reason: The argument states that restoring voting rights to citizens with felony convictions upon their release from prison is the best thing ever, suggesting a pro stance on the proposal.",,,"1. [A] Reason: The argument is against setting aside a proportion of delegates for the national party conventions, which is not directly related to the proposal of implementing more measures to address voter fraud.
2. [A] Reason: The argument is against the parties having too much influence in determining the nominated candidate, which is not directly related to the proposal of implementing more measures to address voter fraud.
3. [A] Reason: The argument supports the proposal of implementing more measures to address voter fraud.
4. [B] Reason: The argument is against the proposal of implementing more measures to address voter fraud.
5. [C] Reason: The argument does not provide any reasoning or evidence to support its claim, making it not applicable to the given proposal.",,,"1. [A] Reason: The argument is against setting aside a proportion of delegates for the national party conventions, which is not applicable to the given proposal of increasing opportunities for learning about civic education in schools.
2. [A] Reason: The argument believes that the parties already have too much influence in determining the nominated candidate, which is not applicable to the given proposal of increasing opportunities for learning about civic education in schools.
3. [C] Reason: The argument states that increasing opportunities for learning about civic education in schools is okay, indicating neutrality or lack of relevance to the proposal.
4. [B] Reason: The argument states that increasing opportunities for learning about civic education in schools is bad, indicating opposition to the proposal.
5. [A] Reason: The argument states that increasing opportunities for learning about civic education in schools is the best thing ever, indicating support for the proposal.","1. The speaker is against setting aside a proportion of delegates for the national party conventions.
2. The speaker believes that the parties already have too much influence in determining the nominated candidate.",,"1. Argument 1: [B] Reason: The speaker is against setting aside a proportion of delegates for the national party conventions, which suggests they are against the current system and believe it gives too much power to the parties.
2. Argument 2: [A] Reason: The speaker believes that the parties already have too much influence in determining the nominated candidate, indicating they are in favor of reducing party influence and giving more power to the voters.
3. Argument 3: [A] Reason: Implementing more accessibility to voting is in line with the proposal, indicating a pro stance.
4. Argument 4: [B] Reason: The argument states that implementing more accessibility to voting is bad, suggesting a con stance.
5. Argument 5: [A] Reason: The argument states that implementing more accessibility to voting is the best thing ever, indicating a strong pro stance.",False,False,True,False,False,False,False,True,False
8,9,48715,"""10:52"""," so, i'm against it.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48728,"""11:23"""," i'm against it because it's too much too much political division, already between democrats and republicans already.",Yes,- Political division: The speaker argues that the issue in question will further contribute to the existing political division between Democrats and Republicans.,,,"1. [Argument 1] C Reason: This argument is not applicable to the given proposal as it does not directly address the implementation of limits on financing individual candidates and parties.
2. [Argument 2] A Reason: This argument is a pro argument as it supports the implementation of limits on financing individual candidates and parties.
3. [Argument 3] B Reason: This argument is a con argument as it opposes the implementation of limits on financing individual candidates and parties.
4. [Argument 4] C Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or evidence to support its claim.
5. [Argument 5] C Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or evidence to support its claim.",,,"1. [A] Reason: This argument is a pro argument because it suggests that increasing public funding and financing for campaigns will contribute to political division, which can be seen as a positive outcome for those who support the proposal.
2. [C] Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or stance towards the increase in public funding and financing for campaigns.
3. [B] Reason: This argument is a con argument because it states that increasing public funding and financing for campaigns is bad without providing any further reasoning or explanation.
4. [A] Reason: This argument is a pro argument because it states that increasing public funding and financing for campaigns is the best thing ever, suggesting that it will have positive outcomes. However, it does not provide any specific reasoning or evidence to support this claim.
5. [B] Reason: This argument is a con argument because it states that increasing public funding and financing for campaigns is the worst thing ever, suggesting that it will have negative outcomes. However, it does not provide any specific reasoning or evidence to support this claim.",,,"1. [A] Reason: This argument is a pro argument because it suggests that implementing a term limit for Supreme Court Justices will contribute to political division, which can be seen as a positive outcome for those who support the proposal.
2. [C] Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or stance towards implementing a term limit for Supreme Court Justices.
3. [C] Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or stance towards implementing a term limit for Supreme Court Justices.
4. [B] Reason: This argument is a con argument because it states that implementing a term limit for Supreme Court Justices is the best thing ever, indicating opposition to the proposal.
5. [B] Reason: This argument is a con argument because it states that implementing a term limit for Supreme Court Justices is the worst thing ever, indicating opposition to the proposal.",,,"1. [Argument 1] [A] Reason: This argument is a pro argument because it suggests that implementing more fairness and transparency in the election process will contribute to political division, which can be seen as a positive outcome for those who want to maintain the existing political division between Democrats and Republicans.
2. [Argument 2] [A] Reason: This argument is a pro argument because it directly supports the proposal of implementing more fairness and transparency in the election process.
3. [Argument 3] [B] Reason: This argument is a con argument because it opposes the proposal of implementing more fairness and transparency in the election process, stating that it is bad.
4. [Argument 4] [A] Reason: This argument is a pro argument because it states that implementing more fairness and transparency in the election process is the best thing ever.
5. [Argument 5] [B] Reason: This argument is a con argument because it opposes the proposal of implementing more fairness and transparency in the election process, stating that it is the worst thing ever.",,,"1. [Argument 1] A Reason: This argument is a pro argument because it suggests that implementing less strict voting standards will contribute to political division, which could be seen as a positive outcome for those who want to maintain or increase political division.
2. [Argument 2] A Reason: This argument is a pro argument because it directly supports the proposal by stating that implementing less strict voting standards is okay.
3. [Argument 3] B Reason: This argument is a con argument because it directly opposes the proposal by stating that implementing less strict voting standards is bad.
4. [Argument 4] A Reason: This argument is a pro argument because it states that implementing less strict voting standards is the best thing ever.
5. [Argument 5] B Reason: This argument is a con argument because it states that implementing less strict voting standards is the worst thing ever.",,,"1. [A] Reason: This argument is a pro argument because it suggests that changing the current electoral college will help address the existing political division between Democrats and Republicans.
2. [C] Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or stance on the issue.
3. [C] Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or stance on the issue.
4. [A] Reason: This argument is a pro argument because it suggests that changing the current electoral college is the best thing ever.
5. [B] Reason: This argument is a con argument because it suggests that changing the current electoral college is the worst thing ever.",,,"1. [Argument 1] A Reason: This argument is a pro argument because it highlights that the proposal may contribute to existing political division, which can be seen as a positive outcome for those who support a more balanced representation in government.
2. [Argument 2] A Reason: This argument is a pro argument because it simply states that using proportional representatives to elect elected officials is okay, indicating a neutral or positive stance towards the proposal.
3. [Argument 3] B Reason: This argument is a con argument because it states that using proportional representatives to elect elected officials is bad, indicating a negative stance towards the proposal.
4. [Argument 4] A Reason: This argument is a pro argument because it states that using proportional representatives to elect elected officials is the best thing ever, indicating a highly positive stance towards the proposal.
5. [Argument 5] B Reason: This argument is a con argument because it states that using proportional representatives to elect elected officials is the worst thing ever, indicating a highly negative stance towards the proposal.",,,"1. [A] Reason: This argument is a pro argument because it suggests that implementing RCV can help address political division by providing a fairer and more inclusive method of representation.
2. [A] Reason: This argument is a pro argument because it supports the proposal to implement RCV as an alternative method to elected officials and representatives at all levels.
3. [B] Reason: This argument is a con argument because it opposes the proposal to implement RCV as an alternative method to elected officials and representatives at all levels.
4. [A] Reason: This argument is a pro argument because it strongly supports the proposal, stating that it is the best thing ever.
5. [B] Reason: This argument is a con argument because it strongly opposes the proposal, stating that it is the worst thing ever.",,,"1. [Argument 1] A Reason: The argument suggests that changing the primary system will contribute to political division, indicating a negative consequence of the proposal. Therefore, it is a con argument.
2. [Argument 2] C Reason: This argument does not provide any specific reasoning or stance regarding the proposal. It is a neutral statement and does not fall into the pro, con, or not applicable categories.
3. [Argument 3] B Reason: The argument states that changing the primary system is bad, indicating a negative stance towards the proposal. Therefore, it is a con argument.
4. [Argument 4] A Reason: The argument claims that changing the primary system is the best thing ever, indicating a positive stance towards the proposal. Therefore, it is a pro argument.
5. [Argument 5] B Reason: The argument states that changing the primary system is the worst thing ever, indicating a negative stance towards the proposal. Therefore, it is a con argument.",,,"1. [A] Reason: This argument is a pro argument because it suggests that restoring voting rights to citizens with felony convictions upon their release from prison will further contribute to political division, which can be seen as a positive outcome for those who support the proposal.
2. [A] Reason: This argument is a pro argument because it supports the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
3. [B] Reason: This argument is a con argument because it opposes the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
4. [A] Reason: This argument is a pro argument because it supports the proposal to restore voting rights to citizens with felony convictions upon their release from prison, stating that it is the best thing ever.
5. [B] Reason: This argument is a con argument because it opposes the proposal to restore voting rights to citizens with felony convictions upon their release from prison, stating that it is the worst thing ever.",,,"1. [Argument 1] [A] Reason: The argument suggests that implementing more measures to address voter fraud will contribute to political division, indicating a potential negative consequence of the proposal. Therefore, it is a pro argument.
2. [Argument 2] [A] Reason: This argument simply states that implementing more measures to address voter fraud is okay, without providing any specific reasoning or stance. Therefore, it is a pro argument.
3. [Argument 3] [B] Reason: The argument states that implementing more measures to address voter fraud is bad, without providing any specific reasoning or stance. Therefore, it is a con argument.
4. [Argument 4] [A] Reason: The argument states that implementing more measures to address voter fraud is the best thing ever, without providing any specific reasoning or stance. Therefore, it is a pro argument.
5. [Argument 5] [B] Reason: The argument states that implementing more measures to address voter fraud is the worst thing ever, without providing any specific reasoning or stance. Therefore, it is a con argument.",,,"1. [A] Reason: This argument is a pro because it suggests that increasing opportunities for learning about civic education in schools can help address the existing political division between Democrats and Republicans.
2. [C] Reason: This argument is not applicable as it does not provide any specific reasoning or stance towards the proposal.
3. [B] Reason: This argument is a con because it states that increasing opportunities for learning about civic education in schools is bad without providing any further explanation or reasoning.
4. [A] Reason: This argument is a pro because it states that increasing opportunities for learning about civic education in schools is the best thing ever, implying that it will have positive outcomes.
5. [B] Reason: This argument is a con because it states that increasing opportunities for learning about civic education in schools is the worst thing ever, implying that it will have negative outcomes.",,,"1. [Argument 1] C Reason: This argument is not applicable to the given proposal as it does not directly address the implementation of more accessibility to voting.
2. [Argument 2] A Reason: This argument is a pro for the given proposal as it supports the idea of implementing more accessibility to voting.
3. [Argument 3] B Reason: This argument is a con for the given proposal as it opposes the idea of implementing more accessibility to voting.
4. [Argument 4] A Reason: This argument is a pro for the given proposal as it expresses a positive view towards implementing more accessibility to voting.
5. [Argument 5] B Reason: This argument is a con for the given proposal as it expresses a negative view towards implementing more accessibility to voting.",False,False,False,False,False,False,False,False,False
