deliberation,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
3/EVALUATED20230613-a1r-nc-session3-b_transcript .csv,0,1,0,4,0,0,0,19,3
3/EVALUATED20230613-a1r-yc-session3-l_transcript (1).csv,1,0,0,3,0,0,2,27,5
3/EVALUATED20230613-a1r-nc-session3-o_transcript (1).csv,0,0,1,13,0,0,1,44,7
3/EVALUATED20230604-a1r-yc-session3-p_transcript.csv,1,2,0,10,0,0,2,51,3
3/EVALUATED20230613-a1r-yc-session3-g_transcript (1).csv,0,0,1,5,0,0,5,65,7
3/EVALUATED20230604-a1r-nc-session3-p_transcript.csv,0,0,1,13,0,0,2,64,5
3/EVALUATED20230604-a1r-nc-session3-q_transcript.csv,1,0,1,22,0,0,1,49,18
3/EVALUATED20230613-a1r-nc-session3-m_transcript (2).csv,0,0,0,11,0,0,1,62,7
3/EVALUATED20230613-a1r-nc-session3-l_transcript (1).csv,0,0,1,9,0,0,2,23,4
3/EVALUATED20230613-a1r-nc-session3-c_transcript.csv,1,0,0,18,0,0,2,53,13
3/EVALUATED20230604-a1r-yc-session3-m_transcript.csv,0,0,0,10,0,0,5,35,6
3/EVALUATED20230604-a1r-nc-session3-b_transcript.csv,0,0,1,28,0,0,3,65,13
3/EVALUATED20230613-a1r-yc-session3-d_transcript.csv,0,0,0,9,0,0,0,51,6
3/EVALUATED20230604-a1r-nc-session3-j_transcript.csv,0,1,0,12,0,0,6,45,13
3/EVALUATED20230604-a1r-yc-session3-e_transcript.csv,0,0,1,21,0,0,5,75,15
3/EVALUATED20230613-a1r-nc-session3-d_transcript.csv,0,0,1,8,0,0,1,32,2
3/EVALUATED20230604-a1r-yc-session3-j_transcript.csv,1,0,0,11,0,1,7,46,12
3/EVALUATED20230613-a1r-yc-session3-k_transcript.csv,0,0,3,17,0,0,2,65,10
3/EVALUATED20230604-a1r-nc-session3-e_transcript.csv,0,0,1,10,0,0,4,39,2
3/EVALUATED20230613-a1r-yc-session3-c_transcript.csv,0,0,0,12,0,0,2,37,5
3/EVALUATED20230604-a1r-nc-session3-m_transcript.csv,1,0,2,19,0,0,1,89,12
3/EVALUATED20230604-a1r-yc-session3-b_transcript.csv,0,0,0,7,0,0,1,28,5
3/EVALUATED20230604-a1r-nc-session3-l_transcript.csv,0,0,1,15,0,0,4,30,7
3/EVALUATED20230613-a1r-yc-session3-b_transcript.csv,1,0,1,14,0,0,2,68,10
3/EVALUATED20230604-a1r-yc-session3-c_transcript.csv,0,1,1,16,0,0,2,51,11
3/EVALUATED20230604-a1r-yc-session3-k_transcript.csv,0,0,0,24,0,0,15,68,15
3/EVALUATED20230613-a1r-nc-session3-e_transcript.csv,3,1,0,21,0,0,0,59,9
3/EVALUATED20230613-a1r-nc-session3-a_transcript .csv,0,0,0,11,0,0,1,41,8
3/EVALUATED20230604-a1r-nc-session3-d_transcript.csv,0,0,0,12,0,0,6,53,8
3/EVALUATED20230613-a1r-yc-session3-j_transcript.csv,1,0,0,20,0,0,4,66,15
3/EVALUATED20230604-a1r-nc-session3-k_transcript.csv,1,0,2,8,0,0,10,42,6
3/EVALUATED20230613-a1r-yc-session3-e_transcript.csv,0,0,3,17,0,0,3,41,9
3/EVALUATED20230604-a1r-yc-session3-d_transcript.csv,0,0,0,14,0,0,2,44,3
3/EVALUATED20230613-a1r-nc-session3-j_transcript.csv,0,1,0,10,0,1,6,38,5
3/EVALUATED20230604-a1r-yc-session3-l_transcript.csv,0,0,0,7,0,0,2,42,4
3/EVALUATED20230604-a1r-nc-session3-c_transcript.csv,0,0,1,44,0,0,1,48,14
3/EVALUATED20230613-a1r-yc-session3-m_transcript.csv,1,0,1,2,0,0,4,37,7
3/EVALUATED20230613-a1r-nc-session3-h_transcript.csv,1,0,2,11,0,0,1,46,6
3/EVALUATED20230604-a1r-yc-session3-f_transcript.csv,1,2,2,15,1,1,5,50,8
3/EVALUATED20230604-a1r-nc-session3-i_transcript.csv,0,1,0,22,0,0,3,59,8
3/EVALUATED20230604-a1r-nc-session3-a_transcript.csv,0,0,0,15,0,0,4,61,15
3/EVALUATED20230604-a1r-yc-session3-n_transcript.csv,0,0,1,13,0,2,1,38,6
3/EVALUATED20230604-a1r-yc-session3-a_transcript.csv,0,1,0,14,0,0,6,57,16
3/EVALUATED20230604-a1r-nc-session3-n_transcript.csv,0,0,1,16,0,0,0,33,7
3/EVALUATED20230613-a1r-yc-session3-h_transcript.csv,1,0,0,11,0,0,9,34,14
3/EVALUATED20230604-a1r-nc-session3-f_transcript.csv,0,0,1,13,0,0,5,59,10
3/EVALUATED20230613-a1r-nc-session3-g_transcript.csv,0,1,0,12,1,0,2,30,15
3/EVALUATED20230604-a1r-yc-session3-i_transcript.csv,0,0,0,20,0,0,1,40,4
3/EVALUATED20230613-a1r-nc-session3-k_transcript (1).csv,0,0,1,4,0,0,2,21,2
3/EVALUATED20230604-a1r-nc-session3-g_transcript.csv,0,0,1,11,0,0,2,43,8
3/EVALUATED20230613-a1r-yc-session3-i_transcript.csv,0,0,1,14,0,0,3,52,10
3/EVALUATED20230604-a1r-yc-session3-h_transcript.csv,0,0,0,12,0,0,1,42,7
3/EVALUATED20230613-a1r-nc-session3-f_transcript.csv,0,0,0,8,0,0,1,39,6
3/EVALUATED20230613-a1r-nc-session3-n_transcript.csv,0,1,1,11,0,0,1,60,10
3/EVALUATED20230604-a1r-nc-session3-o_transcript.csv,0,0,4,9,0,0,9,47,4
3/EVALUATED20230613-a1r-yc-session3-a_transcript.csv,0,0,0,19,0,0,0,51,6
3/EVALUATED20230604-a1r-yc-session3-o_transcript.csv,0,0,3,27,0,0,3,56,13
3/EVALUATED20230604-a1r-yc-session3-g_transcript.csv,0,0,2,18,0,0,3,57,17
3/EVALUATED20230613-a1r-nc-session3-i_transcript.csv,0,0,1,15,0,0,7,60,13
3/EVALUATED20230604-a1r-nc-session3-h_transcript.csv,1,2,1,17,0,1,2,42,10
3/EVALUATED20230613-a1r-yc-session3-f_transcript.csv,0,0,0,11,0,0,6,57,15
