,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48689,"""2:08""", i'm dying hour and i still reside in illinois.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48600,"""2:13"""," hi, i'm karla. and i'm from florida and this has been such a pleasure. so thank you.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,48843,"""2:20"""," hi, mark from pa. yeah, it's been interesting. really liked it.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48638,"""2:25"""," guess, i'm kristin i'm from upstate new york and it's been a pleasure meeting, you all.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48686,"""2:31""", my name is christopher and i'm from vermont and this has been a pretty good experience.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,9856,"""2:37"""," carla from texas. and yes, i have enjoyed the experience and meeting all of you.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48638,"""3:02""", last speaker. we couldn't hear you just an fyi.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,9856,"""13:50"""," that, that is a lot to digest. so i'm going to just speak on a few things that i heard that i like, which was closing loopholes for foreign nationals and making it a national holiday. i think those things will be good and i think the raising the limits on contributions that individuals can make to national political parties from 41,000 higher. i think that's high enough. we don't need all the super wealthy people donating.",Yes,"1. Closing loopholes for foreign nationals
2. Making Election Day a national holiday
3. Raising the limits on contributions that individuals can make to national political parties from 41,000 higher",,,"1. [A] Reason: Closing loopholes for foreign nationals would be a pro argument for the proposal as it would help prevent foreign interference in elections.
2. [A] Reason: Making Election Day a national holiday would be a pro argument for the proposal as it would increase voter turnout and participation.
3. [B] Reason: Raising the limits on contributions that individuals can make to national political parties from $41,000 higher would be a con argument for the proposal as it could potentially increase the influence of wealthy donors in politics.
4. [A] Reason: Increase in public funding and financing for campaigns is okay would be a pro argument for the proposal as it would reduce the reliance on private donors and special interests in campaigns.
5. [B] Reason: Increase in public funding and financing for campaigns is bad would be a con argument for the proposal as it could be seen as a waste of taxpayer money or as government overreach.",,,"1. [C] Reason: This argument is not applicable to the given proposal as it does not directly relate to restoring voting rights to citizens with felony convictions.
2. [A] Reason: Making Election Day a national holiday would make it easier for all citizens, including those with felony convictions, to have the opportunity to vote.
3. [B] Reason: Raising the limits on contributions to political parties could potentially lead to increased influence of wealthy individuals in politics, which may not align with the goal of restoring voting rights to citizens with felony convictions.
4. [A] Reason: This argument is in support of the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
5. [B] Reason: This argument is against the proposal to restore voting rights to citizens with felony convictions upon their release from prison.",,,"1. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not directly relate to the issue at hand.
2. [C] Reason: Making Election Day a national holiday is a separate proposal and does not directly relate to implementing a term limit for Supreme Court Justices.
3. [C] Reason: Raising the limits on contributions to political parties is a separate issue and does not directly relate to implementing a term limit for Supreme Court Justices.
4. [A] Reason: This argument is pro the proposal as it supports the idea of implementing a term limit for Supreme Court Justices to prevent justices from serving for an extended period of time.
5. [B] Reason: This argument is con the proposal as it opposes the idea of implementing a term limit for Supreme Court Justices, possibly due to concerns about disrupting the balance of power within the Court.",,,"1.  [A] Reason: Closing loopholes for foreign nationals would be a pro argument for implementing less strict voting standards as it would ensure that all eligible voters, including foreign nationals, have the opportunity to participate in the voting process.
2. [A] Reason: Making Election Day a national holiday would also be a pro argument for implementing less strict voting standards as it would make it easier for individuals to vote and participate in the democratic process.
3. [B] Reason: Raising the limits on contributions that individuals can make to national political parties from $41,000 higher would be a con argument for implementing less strict voting standards as it could potentially lead to increased influence of money in politics and undermine the integrity of the electoral process.
4. [C] Reason: This argument is not applicable as it simply restates the proposal without providing any additional information or reasoning.
5. [C] Reason: This argument is not applicable as it simply restates the proposal without providing any additional information or reasoning.",,,"1. [A] Reason: This argument is a pro for the proposal as implementing RCV can help close loopholes for foreign nationals to influence elections by ensuring that candidates are elected with a majority of support from voters.
2. [A] Reason: Making Election Day a national holiday can increase voter turnout and participation, which aligns with the goal of implementing RCV to ensure that elected officials and representatives are chosen by a more representative sample of the population.
3. [B] Reason: Raising the limits on contributions that individuals can make to national political parties could potentially lead to increased influence of money in politics, which may not align with the goals of implementing RCV to promote fair and representative elections.
4. [C] Reason: This argument is not applicable as it simply restates the proposal without providing any specific reasoning or analysis.
5. [C] Reason: This argument is not applicable as it simply states an opinion without providing any specific reasoning or analysis.","1. Closing loopholes for foreign nationals
2. Making Election Day a national holiday","3. Raising the limits on contributions that individuals can make to national political parties from 41,000 higher","1. A Reason: This argument is not directly related to the proposal of using proportional representatives to elect elected officials. It is a separate issue regarding closing loopholes for foreign nationals.
2. A Reason: Making Election Day a national holiday could potentially increase voter turnout and participation, which aligns with the goal of using proportional representatives to ensure fair representation.
3. B Reason: Raising the limits on contributions could potentially lead to increased influence of wealthy individuals in the political process, which may not align with the goal of using proportional representatives to ensure fair representation.
4. A Reason: This argument is in support of the proposal to use proportional representatives to elect elected officials.
5. B Reason: This argument is against the proposal to use proportional representatives to elect elected officials, but it does not provide a specific reason for why it is bad.","1. Closing loopholes for foreign nationals
2. Making Election Day a national holiday","3. Raising the limits on contributions that individuals can make to national political parties from 41,000 higher","1. A Reason: Closing loopholes for foreign nationals would be a pro argument for implementing limits on financing individual candidates and parties as it would help prevent foreign interference in elections.
2. A Reason: Making Election Day a national holiday would be a pro argument for implementing limits on financing individual candidates and parties as it could increase voter turnout and participation in the democratic process.
3. B Reason: Raising the limits on contributions that individuals can make to national political parties from $41,000 higher would be a con argument for implementing limits on financing individual candidates and parties as it would potentially increase the influence of wealthy donors in politics.
4. A Reason: Implementing limits on financing individual candidates and parties is okay would be a pro argument for the proposal itself.
5. B Reason: Implementing limits on financing individual candidates and parties is bad would be a con argument for the proposal as it may limit the ability of candidates and parties to effectively communicate their message to voters.",,,"1. [A] Reason: Closing loopholes for foreign nationals would be a pro argument for implementing more accessibility to voting because it would help ensure that only eligible citizens are able to vote, increasing the integrity of the voting process.
2. [A] Reason: Making Election Day a national holiday would be a pro argument for implementing more accessibility to voting because it would make it easier for people to vote by giving them the day off work, potentially increasing voter turnout.
3. [B] Reason: Raising the limits on contributions that individuals can make to national political parties is not directly related to the proposal of implementing more accessibility to voting, so it is not applicable.
4. [C] Reason: This argument does not provide a clear stance on whether implementing more accessibility to voting is a good or bad idea, so it is not applicable.
5. [C] Reason: This argument does not provide a clear stance on whether implementing more accessibility to voting is a good or bad idea, so it is not applicable.",,,"1. [A] Reason: Closing loopholes for foreign nationals would be a pro argument as it would help ensure that only eligible voters are participating in the election process, increasing fairness and transparency.
2. [A] Reason: Making Election Day a national holiday would be a pro argument as it would make it easier for all eligible voters to participate in the election process, increasing fairness.
3. [B] Reason: Raising the limits on contributions that individuals can make to national political parties from $41,000 higher could be seen as a con argument as it may lead to increased influence of wealthy individuals in the election process, potentially decreasing fairness and transparency.
4. [C] Reason: This argument is not applicable as it simply restates the proposal without providing any specific reasoning for or against it.
5. [C] Reason: This argument is not applicable as it simply states an opinion without providing any specific reasoning for or against the proposal.","1. Closing loopholes for foreign nationals
2. Making Election Day a national holiday","3. Raising the limits on contributions that individuals can make to national political parties from 41,000 higher","1. A Reason: Closing loopholes for foreign nationals would be a pro argument for changing the primary system as it could help prevent foreign interference in the election process.
2. A Reason: Making Election Day a national holiday could be a pro argument for changing the primary system as it could increase voter turnout and participation in the primary elections.
3. B Reason: Raising the limits on contributions that individuals can make to national political parties from $41,000 higher could be a con argument for changing the primary system as it could potentially increase the influence of money in politics.
4. A Reason: Change the primary system is okay could be a pro argument for the proposal as it suggests a neutral or positive stance on the idea of changing the primary system.
5. B Reason: Change the primary system is bad could be a con argument for the proposal as it suggests a negative stance on the idea of changing the primary system.","1. Closing loopholes for foreign nationals
2. Making Election Day a national holiday",,"1. A Reason: Closing loopholes for foreign nationals would be a pro argument for implementing more measures to address voter fraud, as it would help prevent non-citizens from illegally influencing elections.
2. A Reason: Making Election Day a national holiday could be seen as a pro argument for addressing voter fraud, as it could potentially increase voter turnout and make it easier for individuals to participate in the electoral process.
3. C Reason: Raising the limits on contributions to political parties is not directly related to addressing voter fraud, so it is not applicable to the given proposal.
4. A Reason: Implementing more measures to address voter fraud is a pro argument for the proposal itself, as it would help ensure the integrity of the electoral process.
5. B Reason: Claiming that implementing more measures to address voter fraud is bad is a con argument for the proposal, as it suggests that the potential measures could have negative consequences or be ineffective.",2. Making Election Day a national holiday,"1. Closing loopholes for foreign nationals
3. Raising the limits on contributions that individuals can make to national political parties from 41,000 higher","1. B Reason: This argument is not applicable to the given proposal as it does not directly relate to increasing opportunities for learning about civic education in schools.
2. A Reason: This argument is a pro for the given proposal as making Election Day a national holiday can increase civic engagement and participation in the democratic process.
3. B Reason: This argument is not applicable to the given proposal as it does not directly relate to increasing opportunities for learning about civic education in schools.
4. A Reason: This argument is a pro for the given proposal as increasing opportunities for learning about civic education in schools can help educate students about their rights and responsibilities as citizens.
5. B Reason: This argument is not applicable to the given proposal as it does not provide a valid reason for why increasing opportunities for learning about civic education in schools is bad.","1. Closing loopholes for foreign nationals
2. Making Election Day a national holiday","3. Raising the limits on contributions that individuals can make to national political parties from 41,000 higher","1. A Reason: Closing loopholes for foreign nationals would be a pro argument as it would help ensure that only American citizens are able to participate in the electoral process.
2. A Reason: Making Election Day a national holiday would also be a pro argument as it would increase voter turnout and make it easier for people to participate in the electoral process.
3. B Reason: Raising the limits on contributions that individuals can make to national political parties from $41,000 higher would be a con argument as it could potentially increase the influence of wealthy individuals in the electoral process.
4. C Reason: Change the current electoral college is okay is not applicable as it does not provide a clear argument for or against the proposal.
5. C Reason: Change the current electoral college is bad is not applicable as it does not provide a clear argument for or against the proposal.",False,False,False,True,False,False,True,False,False
8,9,9856,"""13:50""", or money.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48689,"""14:22""", i agree. my biggest point is closing the loopholes but i don't think we have to increase anything.,Yes,"1. Closing loopholes in the current system
2. No need to increase anything",1. Closing loopholes in the current system,2. No need to increase anything,"1. A Reason: Closing loopholes in the current system would likely be a pro argument for increasing public funding and financing for campaigns, as it would help to ensure that the funding is being used appropriately and transparently.
2. B Reason: No need to increase anything would be a con argument for the proposal, as it suggests that the current level of funding is sufficient and there is no need for an increase.
3. C Reason: Increase in public funding and financing for campaigns is okay would be a not applicable argument, as it does not clearly support or oppose the proposal.
4. B Reason: Increase in public funding and financing for campaigns is bad would be a con argument for the proposal, as it suggests that increasing public funding could have negative consequences.
5. A Reason: Increase in public funding and financing for campaigns is the best thing ever would be a pro argument for the proposal, as it suggests that increasing public funding would have positive outcomes.",1. Closing loopholes in the current system,,"1. A Reason: Closing loopholes in the current system is a pro argument because it ensures that all citizens have equal access to their voting rights.
2. C Reason: No need to increase anything is not applicable to the given proposal as it does not address the restoration of voting rights to citizens with felony convictions.
3. A Reason: Restoring federal and state voting rights to citizens with felony convictions upon their release from prison is a pro argument as it promotes reintegration into society and encourages civic engagement.
4. B Reason: Restoring federal and state voting rights to citizens with felony convictions upon their release from prison is bad is a con argument because some may believe that individuals who have committed felonies should not have the right to vote.
5. A Reason: Restoring federal and state voting rights to citizens with felony convictions upon their release from prison is the best thing ever is a pro argument as it promotes democracy and inclusivity in the voting process.",,,"1. [A] Reason: Closing loopholes in the current system would be a pro argument for implementing a term limit for Supreme Court Justices as it would prevent potential abuses of power or manipulation of the system.
2. [B] Reason: No need to increase anything would be a con argument for implementing a term limit for Supreme Court Justices as it suggests that there is no need for change or improvement in the current system.
3. [A] Reason: Implementing a term limit for Supreme Court Justices is okay would be a pro argument for the proposal as it indicates a neutral or positive stance towards the idea.
4. [B] Reason: Implementing a term limit for Supreme Court Justices is bad would be a con argument for the proposal as it suggests that there are negative consequences or drawbacks to implementing such a limit.
5. [A] Reason: Implementing a term limit for Supreme Court Justices is the best thing ever would be a pro argument for the proposal as it indicates strong support and belief in the positive impact of implementing such a limit.",1. Closing loopholes in the current system,,"1. A Reason: Closing loopholes in the current system would be a pro argument for implementing less strict voting standards as it would help prevent manipulation and ensure fair elections.
2. C Reason: No need to increase anything is not applicable to the given proposal as it does not directly address the idea of implementing less strict voting standards.
3. A Reason: Implementing voting standards that are less strict is okay would be a pro argument for the proposal as it suggests that the change would not have negative consequences.
4. B Reason: Implementing voting standards that are less strict is bad would be a con argument for the proposal as it suggests that loosening standards could lead to issues such as voter fraud or manipulation.
5. A Reason: Implementing voting standards that are less strict is the best thing ever would be a pro argument for the proposal as it suggests that the change would have overwhelmingly positive outcomes.",1. Closing loopholes in the current system,,"1. A Reason: Closing loopholes in the current system is a pro argument for implementing RCV as it can help increase transparency and fairness in the electoral process.
2. C Reason: No need to increase anything is not applicable to the given proposal as it does not directly relate to the implementation of RCV as an alternative method.
3. A Reason: Implementing RCV as an alternative method to elected officials and representatives at all levels is a pro argument as it can potentially lead to more representative and inclusive decision-making processes.
4. B Reason: Implementing RCV as an alternative method to elected officials and representatives at all levels is bad is a con argument, as it suggests that there may be negative consequences or drawbacks to using RCV in this context.
5. C Reason: Implementing RCV as an alternative method to elected officials and representatives at all levels is the best thing ever is not applicable to the given proposal as it is an overly simplistic and subjective statement that does not provide a reasoned argument for or against RCV.",,1. Closing loopholes in the current system,"1. B Reason: Closing loopholes in the current system is not directly related to the proposal of using proportional representatives to elect elected officials. It is a separate issue that may or may not be addressed by the proposed change.
2. C Reason: No need to increase anything is not directly related to the proposal of using proportional representatives to elect elected officials. It is a general statement that does not specifically address the pros or cons of the proposal.
3. A Reason: Using proportional representatives to elect elected officials is a pro argument in support of the proposal.
4. B Reason: Using proportional representatives to elect elected officials is bad is a con argument against the proposal.
5. A Reason: Using proportional representatives to elect elected officials is the best thing ever is a pro argument in support of the proposal.",1. Closing loopholes in the current system,2. No need to increase anything,"1. A Reason: Closing loopholes in the current system would likely be a pro argument for implementing limits on financing individual candidates and parties, as it would help prevent circumvention of the limits.
2. B Reason: No need to increase anything would likely be a con argument for implementing limits on financing individual candidates and parties, as it suggests that the current system is sufficient and does not require any changes.
3. A Reason: Implement limits on financing individual candidates and parties is okay would likely be a pro argument for the proposal, as it indicates acceptance of the idea.
4. B Reason: Implement limits on financing individual candidates and parties is bad would likely be a con argument for the proposal, as it suggests opposition to the idea.
5. A Reason: Implement limits on financing individual candidates and parties is the best thing ever would likely be a pro argument for the proposal, as it indicates strong support for the idea.",,1. Closing loopholes in the current system,"1. B Reason: Closing loopholes in the current system is not directly related to implementing more accessibility to voting. It is a separate issue that may or may not be relevant to the proposal.
2. C Reason: No need to increase anything is not applicable to the proposal of implementing more accessibility to voting. This argument does not address the specific goal of increasing accessibility to voting.
3. A Reason: Implementing more accessibility to voting is a pro argument in support of the proposal. It acknowledges the importance of making voting more accessible to all eligible individuals.
4. B Reason: Implementing more accessibility to voting is bad is a con argument against the proposal. It suggests that increasing accessibility to voting may have negative consequences.
5. A Reason: Implementing more accessibility to voting is the best thing ever is a pro argument in support of the proposal. It expresses strong support for the idea of making voting more accessible.",1. Closing loopholes in the current system,,"1. A Reason: Closing loopholes in the current system would contribute to more fairness and transparency in the election process, aligning with the proposal.
2. C Reason: This argument does not directly address the proposal of implementing more fairness and transparency in the election process.
3. A Reason: This argument directly supports the proposal by acknowledging the need for more fairness and transparency in the election process.
4. B Reason: This argument goes against the proposal by stating that implementing more fairness and transparency in the election process is bad.
5. A Reason: This argument strongly supports the proposal by stating that implementing more fairness and transparency in the election process is the best thing ever.",1. Closing loopholes in the current system,,"1. A Reason: Closing loopholes in the current system would be a pro argument for changing the primary system as it would likely lead to a more fair and efficient system.
2. C Reason: No need to increase anything is not directly related to the proposal of changing the primary system, so it is not applicable.
3. A Reason: Change the primary system is okay is a pro argument for the proposal as it indicates a willingness to consider and potentially support the change.
4. B Reason: Change the primary system is bad is a con argument against the proposal, indicating opposition to the change.
5. A Reason: Change the primary system is the best thing ever is a pro argument for the proposal, expressing strong support for the change.",1. Closing loopholes in the current system,2. No need to increase anything,"1. A Reason: Closing loopholes in the current system would be a pro argument for implementing more measures to address voter fraud, as it would help strengthen the integrity of the voting process.
2. B Reason: No need to increase anything would be a con argument for implementing more measures to address voter fraud, as it suggests that the current measures in place are sufficient and additional measures are unnecessary.
3. A Reason: Implementing more measures to address voter fraud is okay would be a pro argument for the proposal, as it indicates support for taking action to prevent voter fraud.
4. B Reason: Implementing more measures to address voter fraud is bad would be a con argument for the proposal, as it suggests that additional measures could have negative consequences or be unnecessary.
5. A Reason: Implementing more measures to address voter fraud is the best thing ever would be a pro argument for the proposal, as it expresses strong support for taking action to combat voter fraud.",,"1. Closing loopholes in the current system
2. No need to increase anything","1. B Reason: Closing loopholes in the current system is not directly related to increasing opportunities for learning about civic education in schools.
2. B Reason: This argument is against the proposal to increase opportunities for learning about civic education in schools.
3. A Reason: This argument is in support of the proposal to increase opportunities for learning about civic education in schools.
4. B Reason: This argument is against the proposal to increase opportunities for learning about civic education in schools.
5. A Reason: This argument is in support of the proposal to increase opportunities for learning about civic education in schools.",1. Closing loopholes in the current system,,"1. A Reason: Closing loopholes in the current system would likely be a pro argument for changing the current electoral college, as it could potentially lead to a more fair and accurate representation of the popular vote.
2. C Reason: No need to increase anything does not directly relate to the proposal of changing the current electoral college, so it is not applicable.
3. A Reason: Change the current electoral college is okay suggests a neutral or potentially positive stance on the proposal, making it a pro argument.
4. B Reason: Change the current electoral college is bad indicates a negative stance on the proposal, making it a con argument.
5. A Reason: Change the current electoral college is the best thing ever suggests a very positive stance on the proposal, making it a pro argument.",True,False,False,False,False,False,False,False,True
