,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48705,"""2:06""", hi. i'm janine schmidt. i'm a municipal clerk in western nebraska.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48700,"""2:16"""," hi, terri hale madison alabama.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,48704,"""2:22""", christina's or northern virginia.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48707,"""2:26"""," hello houston. cincinnati, ohio.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,9870,"""2:31"""," try to cook hanceville, alabama.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,10150,"""2:35""", everyone james in california.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48700,"""13:15"""," okay, i'll jump in the thing that jumps out to me is options for and 5. requiring, i can't think of the word now but",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,48700,"""13:15"""," i wrote it down and i can't read my notes, i was trying to talk so fast but closing the loopholes especially i think there's too many opportunities for things to just fall through the cracks and things. we never know about as far as raising the limits. i don't know about you guys, but imagining giving 3,300 dollars to a candidate sounds like an awful lot of money. and i'm afraid that the more",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,48700,"""13:15"""," they get this year, the more, the people who make money off of it are going to raise the money raising maps for",Yes,"1. The more money they get this year, the more people who make money off of it will raise money raising maps.",,"1. The more money they get this year, the more people who make money off of it will raise money raising maps.","1. B Reason: This argument is against the proposal as it suggests that implementing limits on financing would prevent people from raising money for candidates and parties.
2. A Reason: This argument is in favor of the proposal as it suggests that implementing limits on financing is acceptable.
3. B Reason: This argument is against the proposal as it suggests that implementing limits on financing is bad.
4. C Reason: This argument is not applicable to the proposal as it does not provide any reasoning for why implementing limits on financing would be the best thing ever.
5. C Reason: This argument is not applicable to the proposal as it does not provide any reasoning for why implementing limits on financing would be the worst thing ever.",,,"1. C Reason: This argument does not directly relate to the proposal of implementing more fairness and transparency in the election process.
2. A Reason: This argument is in support of the proposal as it acknowledges that implementing more fairness and transparency in the election process is a positive step.
3. B Reason: This argument is against the proposal, stating that it is bad.
4. A Reason: This argument is in support of the proposal, stating that it is the best thing ever.
5. B Reason: This argument is against the proposal, stating that it is the worst thing ever.",,,"1. C Reason: This argument does not directly address the proposal to change the current electoral college.
2. A Reason: This argument is in favor of changing the current electoral college.
3. B Reason: This argument is against changing the current electoral college.
4. A Reason: This argument is in favor of changing the current electoral college.
5. B Reason: This argument is against changing the current electoral college.",,,"1. C Reason: This argument does not directly address the proposal to implement more measures to address voter fraud. It talks about the potential for increased funding leading to more people benefiting from it, which is not directly related to the effectiveness or necessity of implementing measures to address voter fraud.
2. A Reason: This argument is in favor of implementing more measures to address voter fraud, indicating that it is an acceptable action to take.
3. B Reason: This argument is against implementing more measures to address voter fraud, stating that it is bad.
4. A Reason: This argument is in favor of implementing more measures to address voter fraud, stating that it is the best thing ever.
5. B Reason: This argument is against implementing more measures to address voter fraud, stating that it is the worst thing ever.",,,"1. C Reason: This argument does not directly address the proposal to change the primary system.
2. A Reason: This argument is a pro for the proposal as it indicates support for changing the primary system.
3. B Reason: This argument is a con for the proposal as it indicates opposition to changing the primary system.
4. A Reason: This argument is a pro for the proposal as it indicates support for changing the primary system.
5. B Reason: This argument is a con for the proposal as it indicates opposition to changing the primary system.",,,"1. C Reason: This argument does not directly relate to the proposal of implementing a term limit for Supreme Court Justices.
2. A Reason: This argument is in favor of implementing a term limit for Supreme Court Justices.
3. B Reason: This argument is against implementing a term limit for Supreme Court Justices.
4. A Reason: This argument is in favor of implementing a term limit for Supreme Court Justices.
5. B Reason: This argument is against implementing a term limit for Supreme Court Justices.",,,"1. C Reason: This argument does not directly relate to the proposal of increasing opportunities for learning about civic education in schools.
2. A Reason: This argument is in favor of the proposal, stating that it is okay.
3. B Reason: This argument is against the proposal, stating that it is bad.
4. A Reason: This argument is in favor of the proposal, stating that it is the best thing ever.
5. B Reason: This argument is against the proposal, stating that it is the worst thing ever.",,,"1. C Reason: This argument does not directly address the proposal to implement less strict voting standards.
2. A Reason: This argument is in favor of the proposal, stating that it is okay to implement less strict voting standards.
3. B Reason: This argument is against the proposal, stating that implementing less strict voting standards is bad.
4. A Reason: This argument is in favor of the proposal, stating that implementing less strict voting standards is the best thing ever.
5. B Reason: This argument is against the proposal, stating that implementing less strict voting standards is the worst thing ever.",,,"1. C Reason: This argument does not directly relate to the proposal of using proportional representatives to elect elected officials.
2. A Reason: This argument is in favor of the proposal, stating that it is okay.
3. B Reason: This argument is against the proposal, stating that it is bad.
4. A Reason: This argument is in favor of the proposal, stating that it is the best thing ever.
5. B Reason: This argument is against the proposal, stating that it is the worst thing ever.",,,"1. C Reason: This argument does not directly relate to the proposal of implementing more accessibility to voting. It is discussing the potential financial implications of increased funding for voting initiatives.
2. A Reason: This argument is a pro for the proposal as it supports the idea of making voting more accessible.
3. B Reason: This argument is a con for the proposal as it opposes the idea of making voting more accessible.
4. A Reason: This argument is a pro for the proposal as it expresses strong support for making voting more accessible.
5. B Reason: This argument is a con for the proposal as it strongly opposes the idea of making voting more accessible.",,"1. The more money they get this year, the more people who make money off of it will raise money raising maps.","1. B Reason: This argument is a con because it suggests that increasing public funding for campaigns will lead to more people profiting from the system, which is seen as a negative aspect of the proposal.
2. A Reason: This argument is a pro because it directly supports the proposal of increasing public funding and financing for campaigns.
3. B Reason: This argument is a con because it states that increasing public funding and financing for campaigns is bad, indicating opposition to the proposal.
4. A Reason: This argument is a pro because it expresses strong support for the proposal, stating that it is the best thing ever.
5. B Reason: This argument is a con because it states that increasing public funding and financing for campaigns is the worst thing ever, indicating strong opposition to the proposal.",,,"1. C Reason: This argument does not directly address the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
2. A Reason: This argument is in support of the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
3. B Reason: This argument is against the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
4. A Reason: This argument is in support of the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
5. B Reason: This argument is against the proposal to restore voting rights to citizens with felony convictions upon their release from prison.",,"1. The more money they get this year, the more people who make money off of it will raise money raising maps.","1. B Reason: This argument does not directly relate to the proposal of implementing RCV as an alternative method to elected officials and representatives. It focuses on the potential financial implications of the proposal, which is not a direct argument for or against RCV.
2. A Reason: This argument is a pro for the proposal as it supports the idea of implementing RCV as an alternative method to elected officials and representatives at all levels.
3. B Reason: This argument is a con for the proposal as it states that implementing RCV as an alternative method to elected officials and representatives at all levels is bad.
4. A Reason: This argument is a pro for the proposal as it states that implementing RCV as an alternative method to elected officials and representatives at all levels is the best thing ever.
5. B Reason: This argument is a con for the proposal as it states that implementing RCV as an alternative method to elected officials and representatives at all levels is the worst thing ever.",False,False,False,False,False,False,True,False,True
9,10,48700,"""14:02""", sorry.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
