,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48605,"""2:11""", i'm jerry in ohio and glad to be back to the last session.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48644,"""2:19"""," andrew from oklahoma, to be back with everyone.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,48623,"""2:26"""," taylor from arkansas, last section.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,10380,"""2:36"""," being from virginia, it's good to be back. y'all can't wait to get the shit over with",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48611,"""2:46"""," hello, glenda from missouri, i agree with prior statements.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,48658,"""2:52""", if nelson back again.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48658,"""13:22""", i think we already have too much money spent on campaigns. i don't think any of these should be increased. i would favor more disclosure rather than raising. what? we can contribute,Yes,"1. Too much money is already being spent on campaigns
2. Campaign spending should not be increased
3. Favor more disclosure of campaign contributions
4. Unsure about the possibility of contributing to campaigns",,,"1.  A Reason: This argument is a pro because changing the primary system could potentially lead to a more efficient and cost-effective way of selecting candidates, reducing the need for excessive campaign spending.
2.  A Reason: This argument is a pro because changing the primary system could potentially lead to a more fair and transparent process, reducing the influence of money in politics.
3.  A Reason: This argument is a pro because changing the primary system could potentially lead to more disclosure of campaign contributions, increasing transparency and accountability in the political process.
4.  C Reason: This argument is not applicable to the given proposal as it does not directly address the issue of changing the primary system.
5.  A Reason: This argument is a pro because it directly supports the proposal to change the primary system.",,"1. Too much money is already being spent on campaigns
2. Campaign spending should not be increased","1. B Reason: The argument that too much money is already being spent on campaigns is a con to changing the current electoral college because changing the electoral college system may not necessarily address the issue of campaign spending.
2. B Reason: The argument that campaign spending should not be increased is a con to changing the current electoral college because it suggests that changing the electoral college system may lead to increased campaign spending.
3. C Reason: The argument favoring more disclosure of campaign contributions is not directly related to changing the current electoral college, so it is not applicable.
4. C Reason: The argument that one is unsure about the possibility of contributing to campaigns is not directly related to changing the current electoral college, so it is not applicable.
5. A Reason: The argument to change the current electoral college is a pro to the proposal itself.",3. Favor more disclosure of campaign contributions,"1. Too much money is already being spent on campaigns
2. Campaign spending should not be increased","1. B Reason: Proportional representation can potentially reduce the influence of money in campaigns by allowing for a more diverse range of candidates to be elected.
2. B Reason: Proportional representation does not necessarily require an increase in campaign spending, as it focuses more on the distribution of seats based on the proportion of votes received.
3. A Reason: Proportional representation can lead to more transparency in campaign contributions, as it may encourage smaller parties and candidates to be more competitive.
4. C Reason: The issue of contributing to campaigns is not directly related to the proposal of using proportional representation to elect officials.
5. A Reason: Proportional representation can lead to a more fair and representative system of electing officials, as it ensures that the distribution of seats aligns more closely with the proportion of votes received by each party.","1. Too much money is already being spent on campaigns
3. Favor more disclosure of campaign contributions",2. Campaign spending should not be increased,"1. A Reason: This argument is a pro because implementing less strict voting standards could potentially reduce the amount of money needed for campaigns, making it more accessible for candidates with limited funds.
2. B Reason: This argument is a con because implementing less strict voting standards could potentially lead to increased campaign spending as candidates may need to reach a larger audience to secure votes.
3. A Reason: This argument is a pro because more disclosure of campaign contributions could help ensure transparency and accountability in the electoral process, even with less strict voting standards.
4. C Reason: This argument is not applicable to the given proposal as it does not directly relate to the implementation of less strict voting standards.
5. A Reason: This argument is a pro because it directly supports the proposal to implement less strict voting standards.",3. Favor more disclosure of campaign contributions,"1. Too much money is already being spent on campaigns
2. Campaign spending should not be increased","1. B Reason: This argument is a con because it is against the proposal of increasing public funding and financing for campaigns, stating that too much money is already being spent on campaigns.
2. B Reason: This argument is a con because it is against the proposal of increasing public funding and financing for campaigns, stating that campaign spending should not be increased.
3. A Reason: This argument is a pro because it supports the proposal by favoring more disclosure of campaign contributions, which can be achieved through increased public funding and financing for campaigns.
4. C Reason: This argument is not applicable to the given proposal as it does not directly address the issue of increasing public funding and financing for campaigns.
5. A Reason: This argument is a pro because it directly supports the proposal of increasing public funding and financing for campaigns by stating that it is okay.",,,"1. [A] Reason: This argument is a pro because implementing more measures to address voter fraud does not necessarily mean increasing campaign spending.
2. [B] Reason: This argument is a con because it suggests that campaign spending should not be increased, which could potentially be a consequence of implementing more measures to address voter fraud.
3. [C] Reason: This argument is not directly applicable to the proposal of implementing more measures to address voter fraud, as it focuses on disclosure of campaign contributions rather than voter fraud.
4. [C] Reason: This argument is not directly applicable to the proposal of implementing more measures to address voter fraud, as it is unsure about contributing to campaigns rather than addressing voter fraud.
5. [A] Reason: This argument is a pro because it supports the proposal of implementing more measures to address voter fraud.",,,"1. [A] Reason: This argument is a pro because increasing accessibility to voting does not necessarily mean increasing campaign spending.
2. [B] Reason: This argument is a con because it suggests that campaign spending should not be increased, which is not directly related to implementing more accessibility to voting.
3. [C] Reason: This argument is not applicable to the given proposal as it focuses on disclosure of campaign contributions rather than accessibility to voting.
4. [C] Reason: This argument is not applicable to the given proposal as it is unsure about contributing to campaigns, which is not directly related to implementing more accessibility to voting.
5. [A] Reason: This argument is a pro because it directly supports the proposal to implement more accessibility to voting.",,,"1. [A] Reason: Implementing a term limit for Supreme Court Justices could potentially reduce the influence of money in campaigns by preventing Justices from staying in office for extended periods of time and potentially being influenced by campaign contributions.
2. [B] Reason: Implementing a term limit for Supreme Court Justices may not directly impact campaign spending, as it is more focused on the tenure of Justices rather than the financial aspect of campaigns.
3. [C] Reason: Disclosure of campaign contributions is a separate issue from implementing a term limit for Supreme Court Justices and may not be directly related to this proposal.
4. [C] Reason: The possibility of contributing to campaigns is not directly impacted by implementing a term limit for Supreme Court Justices, as it is more focused on the tenure of Justices rather than the financial aspect of campaigns.
5. [A] Reason: Implementing a term limit for Supreme Court Justices is directly related to the proposal and is a pro argument in favor of the idea.",,,"1. [A] Reason: This argument is a pro because implementing more fairness and transparency in the election process could potentially reduce the need for excessive campaign spending.
2. [B] Reason: This argument is a con because it suggests that implementing more fairness and transparency in the election process may require increased campaign spending.
3. [A] Reason: This argument is a pro because more disclosure of campaign contributions would contribute to the transparency aspect of the proposal.
4. [C] Reason: This argument is not applicable as it does not directly relate to the proposal of implementing more fairness and transparency in the election process.
5. [A] Reason: This argument is a pro as it directly supports the proposal of implementing more fairness and transparency in the election process.",,,"1. [A] Reason: Implementing RCV could potentially reduce the need for expensive campaigns, as candidates would need to appeal to a broader range of voters rather than just their base.
2. [A] Reason: RCV could potentially level the playing field for candidates who may not have as much financial backing, as it allows for more diverse candidates to have a chance at winning.
3. [A] Reason: RCV could lead to more transparency in campaign contributions, as candidates would need to appeal to a wider range of voters and may be less reliant on large donors.
4. [C] Reason: This argument does not directly relate to the proposal of implementing RCV as an alternative method for electing officials.
5. [C] Reason: This statement is neutral and does not provide a clear argument for or against implementing RCV.",,,"1. [A] Reason: This argument is not applicable to the given proposal as it does not directly relate to restoring voting rights to citizens with felony convictions.
2. [B] Reason: This argument is not applicable to the given proposal as it does not directly relate to restoring voting rights to citizens with felony convictions.
3. [C] Reason: This argument is not applicable to the given proposal as it does not directly relate to restoring voting rights to citizens with felony convictions.
4. [C] Reason: This argument is not applicable to the given proposal as it does not directly relate to restoring voting rights to citizens with felony convictions.
5. [A] Reason: This argument is in support of the proposal to restore federal and state voting rights to citizens with felony convictions upon their release from prison.","1. Too much money is already being spent on campaigns
2. Campaign spending should not be increased
3. Favor more disclosure of campaign contributions",4. Unsure about the possibility of contributing to campaigns,"1. A Reason: This argument is a pro for the proposal because it suggests that implementing limits on financing individual candidates and parties would help address the issue of too much money being spent on campaigns.
2. A Reason: This argument is a pro for the proposal because it aligns with the idea that campaign spending should not be increased, which could be achieved by implementing limits on financing.
3. A Reason: This argument is not directly applicable to the proposal, as it focuses on disclosure of campaign contributions rather than limits on financing. However, increased disclosure could potentially be a complementary measure to implementing limits on financing.
4. B Reason: This argument is a con for the proposal because it suggests uncertainty or hesitation about contributing to campaigns, which could imply resistance to the idea of implementing limits on financing.
5. A Reason: This argument is a pro for the proposal because it directly supports the idea of implementing limits on financing individual candidates and parties.",,"1. Too much money is already being spent on campaigns
2. Campaign spending should not be increased","1. B Reason: This argument is a con because it is against increasing opportunities for learning about civic education in schools, not directly related to campaign spending.
2. B Reason: This argument is a con because it is against increasing opportunities for learning about civic education in schools, not directly related to campaign spending.
3. C Reason: This argument is not applicable as it is about disclosure of campaign contributions, not directly related to increasing opportunities for learning about civic education in schools.
4. C Reason: This argument is not applicable as it is about uncertainty regarding contributing to campaigns, not directly related to increasing opportunities for learning about civic education in schools.
5. A Reason: This argument is a pro because it supports the proposal to increase opportunities for learning about civic education in schools.",False,False,False,False,False,False,True,False,False
7,8,10380,"""13:40"""," i agree with you. if they get any more money, i think it would be only good for them to travel. that's the only thing they should use it for, you know, it maybe travel to different states. that's the only thing that they give them any more money.",Yes,"1. The speaker believes that if the individuals in question receive more money, they should use it for travel.
2. The speaker suggests that traveling to different states would be a beneficial use of the additional funds.",,,"1.  [A] Reason: This argument is a pro because it suggests that individuals should use the additional funds for travel, which implies that the proposal would result in individuals receiving more money.
2. [A] Reason: This argument is a pro because it suggests that traveling to different states would be a beneficial use of the additional funds, indicating that the proposal could lead to positive outcomes.
3. [A] Reason: This argument is a pro because it directly supports the proposal by stating that changing the primary system is okay.
4. [B] Reason: This argument is a con because it directly opposes the proposal by stating that changing the primary system is bad.
5. [C] Reason: This argument is not applicable as it does not provide any specific reasoning or evidence for or against the proposal.",,,"1. C Reason: This argument is not applicable to the proposal to change the current electoral college as it does not address the issue at hand.
2. C Reason: This argument is not applicable to the proposal to change the current electoral college as it does not address the issue at hand.
3. A Reason: This argument is a pro for changing the current electoral college as it suggests that it is an acceptable idea.
4. B Reason: This argument is a con for changing the current electoral college as it suggests that it is a bad idea.
5. C Reason: This argument is not applicable to the proposal to change the current electoral college as it does not provide any specific reasoning or argument.",,,"1. C Reason: This argument is not applicable to the given proposal as it does not address the use of proportional representatives to elect elected officials.
2. C Reason: This argument is not applicable to the given proposal as it does not address the use of proportional representatives to elect elected officials.
3. A Reason: This argument is a pro for the given proposal as it supports the idea of using proportional representatives to elect elected officials.
4. B Reason: This argument is a con for the given proposal as it opposes the idea of using proportional representatives to elect elected officials.
5. A Reason: This argument is a pro for the given proposal as it supports the idea of using proportional representatives to elect elected officials.",,,"1.  [A] Reason: This argument is a pro because it suggests that individuals should use any additional funds they receive for travel, which could be seen as a positive outcome of implementing less strict voting standards.
2. [A] Reason: This argument is a pro because it suggests that traveling to different states would be a beneficial use of the additional funds, which could be a positive outcome of implementing less strict voting standards.
3. [A] Reason: This argument is a pro because it directly supports the proposal to implement less strict voting standards.
4. [B] Reason: This argument is a con because it directly opposes the proposal to implement less strict voting standards.
5. [C] Reason: This argument is not applicable as it does not provide any specific reasoning or evidence to support whether implementing less strict voting standards is good or bad.",2. The speaker suggests that traveling to different states would be a beneficial use of the additional funds.,,"1. C Reason: The argument is not applicable to the given proposal because it does not address the issue of public funding and financing for campaigns.
2. A Reason: The argument is a pro because it suggests that traveling to different states with additional funds would be beneficial for campaigns, potentially reaching a wider audience.
3. A Reason: The argument is a pro because it supports the proposal of increasing public funding and financing for campaigns.
4. B Reason: The argument is a con because it opposes the proposal of increasing public funding and financing for campaigns.
5. A Reason: The argument is a pro because it supports the proposal of increasing public funding and financing for campaigns.",,,"1. C Reason: This argument is not applicable to the given proposal as it does not address the issue of implementing more measures to address voter fraud.
2. C Reason: This argument is not applicable to the given proposal as it does not address the issue of implementing more measures to address voter fraud.
3. A Reason: This argument is a pro for the given proposal as it aligns with the idea of implementing more measures to address voter fraud.
4. B Reason: This argument is a con for the given proposal as it opposes the idea of implementing more measures to address voter fraud.
5. C Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or evidence related to implementing more measures to address voter fraud.",,,"1. [A] Reason: This argument is a pro because it suggests that individuals should use additional funds for travel, which could potentially increase accessibility to voting by allowing individuals to travel to polling locations.
2. [A] Reason: This argument is a pro because it suggests that traveling to different states could be beneficial, potentially increasing accessibility to voting by allowing individuals to participate in elections in different locations.
3. [A] Reason: This argument is a pro because it directly supports the proposal to implement more accessibility to voting.
4. [B] Reason: This argument is a con because it directly opposes the proposal to implement more accessibility to voting.
5. [A] Reason: This argument is a pro because it directly supports the proposal to implement more accessibility to voting.",,,"1. C Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not address the issue at hand.
2. C Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not address the issue at hand.
3. A Reason: This argument is in favor of the proposal to implement a term limit for Supreme Court Justices.
4. B Reason: This argument is against the proposal to implement a term limit for Supreme Court Justices.
5. C Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not address the issue at hand.",,,"1.  [A] Reason: This argument is pro because it suggests that individuals should use additional funds for travel, which could potentially lead to increased engagement and participation in the election process.
2. [A] Reason: This argument is pro because it highlights the potential benefits of traveling to different states, such as gaining a better understanding of different communities and issues, which could contribute to a more fair and transparent election process.
3. [A] Reason: This argument is pro because it aligns with the proposal to implement more fairness and transparency in the election process.
4. [B] Reason: This argument is con because it goes against the proposal to implement more fairness and transparency in the election process.
5. [A] Reason: This argument is pro because it supports the proposal to implement more fairness and transparency in the election process.",,,"1. [C] Reason: This argument is not applicable to the given proposal as it does not address the implementation of RCV as an alternative method for elected officials and representatives.
2. [C] Reason: This argument is not applicable to the given proposal as it does not address the implementation of RCV as an alternative method for elected officials and representatives.
3. [A] Reason: This argument is a pro for the proposal as it supports the implementation of RCV as an alternative method for elected officials and representatives at all levels.
4. [B] Reason: This argument is a con for the proposal as it opposes the implementation of RCV as an alternative method for elected officials and representatives at all levels.
5. [A] Reason: This argument is a pro for the proposal as it supports the implementation of RCV as an alternative method for elected officials and representatives at all levels.",,,"1. C Reason: This argument is not applicable to the given proposal as it does not address the restoration of voting rights to citizens with felony convictions upon their release from prison.
2. C Reason: This argument is not applicable to the given proposal as it does not address the restoration of voting rights to citizens with felony convictions upon their release from prison.
3. A Reason: This argument is pro the given proposal as it supports the restoration of federal and state voting rights to citizens with felony convictions upon their release from prison.
4. B Reason: This argument is con the given proposal as it opposes the restoration of federal and state voting rights to citizens with felony convictions upon their release from prison.
5. A Reason: This argument is pro the given proposal as it supports the restoration of federal and state voting rights to citizens with felony convictions upon their release from prison.",,,"1. [B] Reason: This argument is a con because it implies that individuals receiving more money should use it for travel, which could potentially lead to misuse of funds or unethical behavior.
2. [A] Reason: This argument is a pro because it suggests that traveling to different states could be beneficial for candidates to reach a wider audience and engage with voters.
3. [A] Reason: This argument is not applicable as it simply states the proposal without providing any specific reasoning for or against it.
4. [B] Reason: This argument is a con because it states that implementing limits on financing individual candidates and parties is bad, without providing any specific reasoning or evidence to support this claim.
5. [C] Reason: This argument is not applicable as it simply states that implementing limits on financing individual candidates and parties is the best thing ever without providing any specific reasoning or evidence to support this claim.",,,"1. C Reason: This argument is not applicable to the given proposal as it does not address the topic of increasing opportunities for learning about civic education in schools.
2. C Reason: This argument is not applicable to the given proposal as it does not address the topic of increasing opportunities for learning about civic education in schools.
3. A Reason: This argument is pro the given proposal as it supports the idea of increasing opportunities for learning about civic education in schools.
4. B Reason: This argument is con the given proposal as it opposes the idea of increasing opportunities for learning about civic education in schools.
5. A Reason: This argument is pro the given proposal as it supports the idea of increasing opportunities for learning about civic education in schools.",False,False,False,False,False,False,True,False,False
8,9,48611,"""14:17"""," it's fun to see if karen knows that his video and audio aren't showing up. i think we've missed him a couple of times. now, i think that money in politics is the worst thing, the implodes that money buys, the debts that the politicians feel need to be repaid. so i'm not favor of increasing anything monetary wise, i am it instead in favor of limiting",Yes,"1. Money in politics is the worst thing.
2. Money buys influence and debts that politicians feel need to be repaid.
3. The speaker is not in favor of increasing monetary contributions in politics.
4. The speaker is in favor of limiting monetary contributions in politics.","1. Money in politics is the worst thing.
3. The speaker is not in favor of increasing monetary contributions in politics.",2. Money buys influence and debts that politicians feel need to be repaid.,"1.  A Reason: Money in politics is often seen as a negative influence, so changing the primary system could potentially reduce the impact of money in politics.
2. A Reason: Changing the primary system could potentially reduce the influence of money in politics, as candidates may not feel as indebted to wealthy donors.
3. B Reason: This argument is not directly related to the proposal of changing the primary system.
4. A Reason: Limiting monetary contributions in politics could be a potential outcome of changing the primary system, as it may reduce the influence of money in politics.
5. C Reason: This argument does not provide a clear stance on the proposal of changing the primary system.","1. Money in politics is the worst thing.
2. Money buys influence and debts that politicians feel need to be repaid.
4. The speaker is in favor of limiting monetary contributions in politics.",3. The speaker is not in favor of increasing monetary contributions in politics.,"1. A Reason: Money in politics is often seen as a negative aspect, so the speaker is likely in favor of changing the current electoral college to potentially reduce the influence of money in politics.
2. A Reason: This argument highlights the negative impact of money in politics, which aligns with the idea of changing the electoral college to potentially reduce the influence of money.
3. B Reason: This argument is not directly related to the proposal of changing the electoral college, so it is not applicable.
4. A Reason: Limiting monetary contributions in politics would align with the idea of changing the electoral college to potentially reduce the influence of money.
5. C Reason: This statement does not provide a clear stance on the proposal, so it is not applicable.","3. The speaker is not in favor of increasing monetary contributions in politics.
4. The speaker is in favor of limiting monetary contributions in politics.","1. Money in politics is the worst thing.
2. Money buys influence and debts that politicians feel need to be repaid.","1. B Reason: This argument is a con because using proportional representatives does not directly address the issue of money in politics. 
2. B Reason: This argument is a con because using proportional representatives does not directly address the issue of money buying influence and debts that politicians feel need to be repaid. 
3. A Reason: This argument is a pro because using proportional representatives may help reduce the influence of money in politics by allowing for a more diverse range of candidates to be elected. 
4. A Reason: This argument is a pro because using proportional representatives may help limit the impact of monetary contributions in politics by allowing for a more representative and diverse group of elected officials. 
5. C Reason: This argument is not applicable as it does not provide a clear stance on the proposal to use proportional representatives to elect elected officials.",,,"1.  [A] Reason: This argument is a pro because implementing less strict voting standards could potentially allow for more diverse candidates who may not have access to as much money to run for office.
2. [B] Reason: This argument is a con because less strict voting standards could potentially open the door for more corruption and influence from wealthy individuals or special interest groups.
3. [C] Reason: This argument is not applicable to the given proposal as it does not directly address the issue of voting standards.
4. [C] Reason: This argument is not applicable to the given proposal as it does not directly address the issue of voting standards.
5. [A] Reason: This argument is a pro because it supports the proposal to implement less strict voting standards.",1. Money in politics is the worst thing.,2. Money buys influence and debts that politicians feel need to be repaid.,"1. A Reason: This argument is a pro for the given proposal because it suggests that reducing the influence of money in politics is a positive outcome of increasing public funding and financing for campaigns.
2. B Reason: This argument is a con for the given proposal because it highlights the potential negative consequences of money buying influence and creating debts that politicians feel obligated to repay, which could be exacerbated by increasing public funding and financing for campaigns.
3. C Reason: This argument is not applicable to the given proposal as it does not directly address the issue of increasing public funding and financing for campaigns.
4. C Reason: This argument is not applicable to the given proposal as it does not directly address the issue of increasing public funding and financing for campaigns.
5. A Reason: This argument is a pro for the given proposal as it indicates support for increasing public funding and financing for campaigns.",4. The speaker is in favor of limiting monetary contributions in politics.,3. The speaker is not in favor of increasing monetary contributions in politics.,"1. C Reason: This argument is not applicable to the given proposal as it does not directly relate to implementing measures to address voter fraud.
2. C Reason: This argument is not applicable to the given proposal as it does not directly relate to implementing measures to address voter fraud.
3. B Reason: The speaker is not in favor of increasing monetary contributions in politics, which could be seen as a con to implementing more measures to address voter fraud as it may require additional funding.
4. A Reason: The speaker is in favor of limiting monetary contributions in politics, which could be seen as a pro to implementing more measures to address voter fraud as it may help reduce corruption and influence in elections.
5. A Reason: The speaker is in favor of implementing more measures to address voter fraud, indicating support for the proposal.",,"1. Money in politics is the worst thing.
2. Money buys influence and debts that politicians feel need to be repaid.","1. B Reason: This argument is not directly related to the proposal of implementing more accessibility to voting. It focuses on the issue of money in politics, which is a separate topic.
2. B Reason: Similar to argument 1, this argument is not directly related to the proposal. It discusses the influence of money in politics, rather than the accessibility of voting.
3. C Reason: This argument is not applicable to the proposal as it does not address the issue of accessibility to voting.
4. C Reason: This argument is not applicable to the proposal as it does not address the issue of accessibility to voting.
5. A Reason: This argument is in favor of the proposal to implement more accessibility to voting. It directly supports the idea of making it easier for people to vote.",,,"1. [B] Reason: Money in politics is not directly related to implementing a term limit for Supreme Court Justices.
2. [B] Reason: Money buying influence and debts is not directly related to implementing a term limit for Supreme Court Justices.
3. [C] Reason: The speaker's stance on increasing monetary contributions in politics is not relevant to implementing a term limit for Supreme Court Justices.
4. [C] Reason: The speaker's stance on limiting monetary contributions in politics is not relevant to implementing a term limit for Supreme Court Justices.
5. [A] Reason: Implementing a term limit for Supreme Court Justices is directly related to the proposal.",4. The speaker is in favor of limiting monetary contributions in politics.,"1. Money in politics is the worst thing.
2. Money buys influence and debts that politicians feel need to be repaid.","1. B Reason: This argument is a con because it highlights the negative impact of money in politics, which goes against the proposal of implementing more fairness and transparency in the election process.
2. B Reason: This argument is a con because it emphasizes how money can buy influence and create debts that politicians feel obligated to repay, which again goes against the proposal.
3. C Reason: This argument is not applicable to the proposal as it does not directly address the issue of fairness and transparency in the election process.
4. A Reason: This argument is a pro because it aligns with the proposal by advocating for limiting monetary contributions in politics, which can help increase fairness and transparency in the election process.
5. C Reason: This statement is not an argument but rather a statement of acceptance towards the proposal.",,,"1. [A] Reason: Implementing RCV can potentially reduce the influence of money in politics by allowing voters to rank candidates in order of preference, rather than just voting for one candidate.
2. [A] Reason: RCV can help reduce the impact of money in politics by allowing voters to choose candidates based on their qualifications and policies, rather than just their financial backing.
3. [A] Reason: Implementing RCV does not necessarily require increasing monetary contributions in politics, so this argument is not applicable to the proposal.
4. [A] Reason: Implementing RCV can help level the playing field by allowing candidates with less financial resources to still have a chance at winning elections.
5. [C] Reason: This statement does not present an argument for or against the proposal, it simply states the proposal itself.",,,"1. [C] Reason: This argument is not applicable to the given proposal as it does not directly relate to restoring voting rights to citizens with felony convictions.
2. [C] Reason: This argument is not applicable to the given proposal as it does not directly relate to restoring voting rights to citizens with felony convictions.
3. [B] Reason: This argument is a con because allowing citizens with felony convictions to vote could potentially impact the political landscape and influence politicians in ways that the speaker may not agree with.
4. [A] Reason: This argument is a pro because limiting monetary contributions in politics could potentially reduce the influence of money in politics and make the political system more fair and equitable.
5. [A] Reason: This statement indicates support for the proposal to restore voting rights to citizens with felony convictions upon their release from prison.","1. Money in politics is the worst thing.
2. Money buys influence and debts that politicians feel need to be repaid.
4. The speaker is in favor of limiting monetary contributions in politics.",,"1. A Reason: This argument is a pro for the proposal because it suggests that limiting financing for individual candidates and parties would help reduce the negative impact of money in politics.
2. A Reason: This argument is a pro for the proposal because it highlights the issue of money buying influence and creating debts that politicians feel obligated to repay, which could be mitigated by implementing limits on financing.
3. C Reason: This argument is not directly applicable to the proposal as it does not provide a clear stance on limiting financing for individual candidates and parties.
4. A Reason: This argument is a pro for the proposal as it indicates support for limiting monetary contributions in politics, which aligns with the proposal to implement limits on financing individual candidates and parties.
5. C Reason: This statement does not provide a clear argument for or against the proposal, so it is not directly applicable.",,"1. Money in politics is the worst thing.
2. Money buys influence and debts that politicians feel need to be repaid.","1. B Reason: This argument is a con because it highlights the negative impact of money in politics, which could potentially be a reason against increasing opportunities for learning about civic education in schools if money is seen as a corrupting influence in the political system.
2. B Reason: This argument is a con because it suggests that money can lead to undue influence and potential corruption in politics, which could be a reason against increasing opportunities for learning about civic education in schools if it is believed that teaching about civic education could lead to a better understanding of and resistance to such influences.
3. C Reason: This argument is not applicable to the given proposal as it does not directly relate to the topic of increasing opportunities for learning about civic education in schools.
4. C Reason: This argument is not applicable to the given proposal as it does not directly relate to the topic of increasing opportunities for learning about civic education in schools.
5. C Reason: This argument is not applicable to the given proposal as it simply states that increasing opportunities for learning about civic education in schools is okay without providing any specific reasoning for or against it.",False,False,False,False,False,False,True,False,False
9,10,48611,"""14:17""", so somehow and definitely transparency.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
