,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48348,"""2:04"""," hi, i'm mike southern florida where it's really hot and i'm disabled",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48363,"""2:16"""," hi bill pollock. i live in pittsburgh pennsylvania, where it's also very hot today and i'm a school teacher.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,48413,"""2:26"""," hi, i'm ali coakley. i live in santa barbara california and i am an event manager for our museum of natural history.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48295,"""2:36"""," hey there. i'm calling hanson. i lived in richmond. virginia, and i am a cpa.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48396,"""2:45"""," hi, i'm brenda. i'm from new jersey and i am a retired caregiver.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,9912,"""2:54"""," hi, i'm dory. and i'm from south suburban chicago and i am a reading specialist school.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48511,"""3:04"""," hi, my name is jordan. i'm a 28 system. 28 years old systems engineer over in the los angeles, metropolitan area.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,48363,"""11:37"""," i personally like the idea of a ranked choice voting. it tends to eliminate the extremes of from both sides and allows for more working together in the middle where i think, i don't know. my opinion. most most americans are",Yes,"1. Ranked choice voting eliminates extremes from both sides
2. Ranked choice voting allows for more working together in the middle
3. The speaker believes that most Americans are in the middle and would benefit from ranked choice voting",,,"1.  [A] Reason: Ranked choice voting eliminates extremes from both sides, which can be seen as a pro for the proposal as it may lead to more moderate candidates being elected.
2. [A] Reason: Ranked choice voting allows for more working together in the middle, which can also be seen as a pro for the proposal as it may encourage collaboration and compromise.
3. [C] Reason: The speaker's belief about most Americans being in the middle and benefiting from ranked choice voting is not directly applicable to the proposal of implementing limits on financing individual candidates and parties.
4. [A] Reason: Implementing limits on financing individual candidates and parties is seen as a pro in this argument.
5. [B] Reason: Implementing limits on financing individual candidates and parties is seen as bad in this argument.","1. Ranked choice voting eliminates extremes from both sides
2. Ranked choice voting allows for more working together in the middle",,"1.  A Reason: Ranked choice voting eliminates extremes from both sides, which can be seen as a pro for the proposal as it promotes more moderate candidates and reduces polarization.
2. A Reason: Ranked choice voting allows for more working together in the middle, which can also be seen as a pro for the proposal as it encourages collaboration and compromise.
3. A Reason: The speaker believes that most Americans are in the middle and would benefit from ranked choice voting, which supports the proposal as it suggests that the majority of voters would benefit from the change.
4. C Reason: ""Change the primary system is okay"" is not directly related to the proposal of changing the primary system, so it is not applicable.
5. B Reason: ""Change the primary system is bad"" is a con for the proposal as it suggests that changing the primary system would have negative consequences.",,,"1.  [A] Reason: Ranked choice voting eliminates extremes from both sides, which can lead to more moderate candidates being elected and potentially reduce polarization in politics.
2. [A] Reason: Ranked choice voting allows for more working together in the middle, as candidates are incentivized to appeal to a broader range of voters in order to secure second or third choice votes.
3. [A] Reason: The speaker believes that most Americans are in the middle and would benefit from ranked choice voting, as it may lead to more representative outcomes in elections.
4. [A] Reason: Implementing more fairness and transparency in the election process is a positive step towards improving the democratic process.
5. [B] Reason: Implementing more fairness and transparency in the election process is not inherently bad, as it aims to address issues of inequality and lack of openness in elections.",,,"1.  [A] Reason: This argument is a pro because it suggests that ranked choice voting can help eliminate extreme candidates from both sides, leading to more moderate and consensus-based outcomes.
2. [A] Reason: This argument is a pro because it suggests that ranked choice voting can encourage collaboration and compromise among candidates, leading to more effective governance.
3. [A] Reason: This argument is a pro because it suggests that most Americans are moderate and would benefit from a voting system like ranked choice voting that promotes moderation and compromise.
4. [A] Reason: This argument is not applicable to the proposal as it does not provide any specific reasoning for why implementing less strict voting standards would be beneficial.
5. [B] Reason: This argument is a con because it suggests that implementing less strict voting standards could have negative consequences, although it does not provide any specific reasoning for this belief.",,,"1. [A] Reason: Ranked choice voting eliminates extremes from both sides, which can lead to more moderate and consensus-based decision making.
2. [A] Reason: Ranked choice voting allows for more working together in the middle, promoting collaboration and compromise among elected officials.
3. [A] Reason: The speaker believes that most Americans are in the middle and would benefit from ranked choice voting, suggesting that this system could better represent the diverse views of the population.
4. [A] Reason: Use proportional representatives to elect elected officials is okay, as it can lead to a more fair and representative government that accurately reflects the preferences of the electorate.
5. [B] Reason: Use proportional representatives to elect elected officials is bad, this argument is against the proposal without providing any specific reasoning or evidence.",,,"1. [A] Reason: Ranked choice voting eliminates extremes from both sides, which can be seen as a pro for the proposal to implement more measures to address voter fraud as it may help ensure fair and accurate elections.
2. [A] Reason: Ranked choice voting allows for more working together in the middle, which can also be seen as a pro for the proposal as it may lead to more bipartisan support for measures to address voter fraud.
3. [C] Reason: The speaker's belief about most Americans being in the middle and benefiting from ranked choice voting is not directly applicable to the proposal to implement more measures to address voter fraud.
4. [A] Reason: The statement that implementing more measures to address voter fraud is okay aligns with the proposal itself, indicating support for the idea.
5. [B] Reason: The statement that implementing more measures to address voter fraud is bad is a con for the proposal, as it suggests opposition to the idea.",,,"1. [A] Reason: Ranked choice voting eliminates extremes from both sides, which can lead to more moderate candidates being elected and potentially reduce polarization in politics.
2. [A] Reason: Ranked choice voting allows for more working together in the middle, as candidates are incentivized to appeal to a broader range of voters rather than just their base.
3. [C] Reason: The speaker's belief about most Americans being in the middle is not directly related to the proposal of increasing public funding and financing for campaigns.
4. [A] Reason: Increasing public funding and financing for campaigns can help level the playing field for candidates and reduce the influence of wealthy donors in politics.
5. [B] Reason: Some may argue that increasing public funding and financing for campaigns is bad because it could lead to taxpayer money being used to support candidates or causes they do not agree with.",,,"1. [A] Reason: Ranked choice voting eliminates extremes from both sides, which can lead to more moderate candidates being elected and reduce polarization in politics.
2. [A] Reason: Ranked choice voting allows for more working together in the middle, as candidates are incentivized to appeal to a broader range of voters.
3. [A] Reason: The speaker believes that most Americans are in the middle and would benefit from ranked choice voting, as it can lead to more representative outcomes.
4. [A] Reason: Restoring federal and state voting rights to citizens with felony convictions upon their release from prison is a pro argument, as it promotes inclusivity and democracy.
5. [B] Reason: Restoring federal and state voting rights to citizens with felony convictions upon their release from prison is bad is a con argument, as it may be seen as controversial and potentially unpopular among certain groups.",,,"1. [A] Reason: Ranked choice voting eliminates extremes from both sides, which can lead to more moderate candidates being elected and potentially reduce polarization in politics.
2. [A] Reason: Ranked choice voting allows for more working together in the middle, as candidates are incentivized to appeal to a broader range of voters in order to secure second or third choice votes.
3. [A] Reason: The speaker believes that most Americans are in the middle and would benefit from ranked choice voting, as it may lead to more representation of centrist views in government.
4. [C] Reason: This argument is not applicable to the proposal as it simply states that implementing RCV is okay without providing any specific reasoning.
5. [C] Reason: This argument is not applicable to the proposal as it simply states that implementing RCV is bad without providing any specific reasoning.",,,"1.  [A] Reason: Ranked choice voting is a pro argument as it promotes more moderate candidates and reduces polarization in politics.
2. [A] Reason: Ranked choice voting promotes collaboration and compromise, which is a pro argument for the proposal.
3. [C] Reason: The speaker's belief about most Americans being in the middle is not directly related to the proposal of implementing more accessibility to voting.
4. [A] Reason: Implementing more accessibility to voting is a pro argument as it allows for more people to participate in the democratic process.
5. [B] Reason: This argument is a con as it suggests that implementing more accessibility to voting is bad, which goes against the proposal.",,"1. Ranked choice voting eliminates extremes from both sides
2. Ranked choice voting allows for more working together in the middle","1. B Reason: Ranked choice voting is not directly related to the proposal to increase opportunities for learning about civic education in schools.
2. B Reason: Ranked choice voting is not directly related to the proposal to increase opportunities for learning about civic education in schools.
3. C Reason: This argument is not applicable to the proposal as it discusses the speaker's belief about Americans and ranked choice voting, not about civic education in schools.
4. A Reason: This argument is in support of the proposal to increase opportunities for learning about civic education in schools.
5. B Reason: This argument is against the proposal to increase opportunities for learning about civic education in schools.","1. Ranked choice voting eliminates extremes from both sides
2. Ranked choice voting allows for more working together in the middle
3. The speaker believes that most Americans are in the middle and would benefit from ranked choice voting",,"1. A Reason: Ranked choice voting eliminates extremes from both sides, which can lead to more moderate candidates being elected.
2. A Reason: Ranked choice voting allows for more working together in the middle, as candidates are incentivized to appeal to a broader range of voters.
3. A Reason: The speaker believes that most Americans are in the middle and would benefit from ranked choice voting, as it promotes compromise and collaboration.
4. B Reason: Implementing a term limit for Supreme Court Justices may be seen as a negative by some, as it could disrupt the stability and experience of the Court.
5. B Reason: Implementing a term limit for Supreme Court Justices may also be viewed as negative by some, as it could lead to turnover that may impact the effectiveness and consistency of the Court.","1. Ranked choice voting eliminates extremes from both sides
2. Ranked choice voting allows for more working together in the middle
3. The speaker believes that most Americans are in the middle and would benefit from ranked choice voting",,"1. A Reason: Ranked choice voting eliminates extremes from both sides, which can be seen as a pro for the proposal to change the current electoral college as it may lead to more moderate candidates being elected.
2. A Reason: Ranked choice voting allows for more working together in the middle, which can also be seen as a pro for the proposal as it may encourage politicians to appeal to a broader range of voters.
3. A Reason: The speaker believes that most Americans are in the middle and would benefit from ranked choice voting, which supports the idea that changing the current electoral college could be beneficial.
4. B Reason: ""Change the current electoral college is okay"" is not a clear argument for or against the proposal, so it is not applicable.
5. B Reason: ""Change the current electoral college is bad"" is a clear argument against the proposal, so it is not applicable.",False,False,True,False,False,True,False,True,False
8,9,48413,"""11:57"""," i agree. i think that ring twice will be voting would be preferable to what we have now and i also feel like a lot of the cons are, you know, that it's too complicated or people don't understand it. and i feel like that's a hurdle that we can get over pretty easily.",Yes,"1. Ranked choice voting would be preferable to the current voting system.
2. The main cons of ranked choice voting are that it is too complicated and people don't understand it.
3. The speaker believes that the hurdle of understanding ranked choice voting can be easily overcome.",,,"1. [A] Reason: Ranked choice voting allows for more diverse representation and can help prevent the need for strategic voting.
2. [B] Reason: This argument is a con because it highlights a potential downside of ranked choice voting.
3. [C] Reason: This argument is not directly related to the proposal of implementing limits on financing individual candidates and parties.
4. [A] Reason: Implementing limits on financing can help reduce the influence of money in politics and promote fair elections.
5. [B] Reason: This argument is a con because it suggests that implementing limits on financing would have negative consequences.",1. Ranked choice voting would be preferable to the current voting system.,2. The main cons of ranked choice voting are that it is too complicated and people don't understand it.,"1. A Reason: Ranked choice voting is a pro argument for changing the primary system as it offers a more inclusive and representative way of voting.
2. B Reason: The argument that ranked choice voting is too complicated and people don't understand it is a con argument against changing the primary system as it suggests potential difficulties in implementing the proposed change.
3. C Reason: This argument is not applicable to the given proposal as it does not directly address the feasibility or desirability of changing the primary system.
4. A Reason: This argument is a pro argument for changing the primary system as it suggests that the proposed change is acceptable or beneficial.
5. B Reason: This argument is a con argument against changing the primary system as it suggests that the proposed change is bad or undesirable.","1. Ranked choice voting would be preferable to the current voting system.
3. The speaker believes that the hurdle of understanding ranked choice voting can be easily overcome.",2. The main cons of ranked choice voting are that it is too complicated and people don't understand it.,"1. A Reason: Ranked choice voting allows for more accurate representation of voter preferences and can help prevent strategic voting.
2. B Reason: The argument is against ranked choice voting due to complexity and lack of understanding.
3. A Reason: The speaker believes that the hurdle of understanding ranked choice voting can be easily overcome, indicating support for the proposal.
4. A Reason: The argument is in favor of implementing more fairness and transparency in the election process.
5. C Reason: This argument does not provide any specific reasoning or stance on the proposal, so it is not applicable.","1. Ranked choice voting would be preferable to the current voting system.
3. The speaker believes that the hurdle of understanding ranked choice voting can be easily overcome.",2. The main cons of ranked choice voting are that it is too complicated and people don't understand it.,"1. A Reason: Ranked choice voting is a pro argument as it suggests a more inclusive and representative voting system.
2. B Reason: This argument is a con as it highlights the complexity and potential lack of understanding of ranked choice voting.
3. A Reason: This argument is a pro as it suggests that the hurdle of understanding ranked choice voting can be overcome, indicating potential benefits of the system.
4. A Reason: This argument is a pro as it supports the proposal to implement less strict voting standards.
5. B Reason: This argument is a con as it opposes the proposal to implement less strict voting standards.",1. Ranked choice voting would be preferable to the current voting system.,2. The main cons of ranked choice voting are that it is too complicated and people don't understand it.,"1. A Reason: Ranked choice voting is a form of proportional representation, which aligns with the proposal to use proportional representatives to elect elected officials.
2. B Reason: This argument is a con because it suggests that ranked choice voting may be too complicated for some people to understand, which could be a barrier to implementing the proposal.
3. C Reason: This argument is not applicable to the proposal as it does not directly address the use of proportional representatives to elect elected officials.
4. A Reason: This argument is a pro because it aligns with the proposal to use proportional representatives to elect elected officials.
5. B Reason: This argument is a con because it goes against the proposal to use proportional representatives to elect elected officials.",,"1. Ranked choice voting would be preferable to the current voting system.
2. The main cons of ranked choice voting are that it is too complicated and people don't understand it.","1. B Reason: Ranked choice voting is not directly related to addressing voter fraud, so it is not applicable to the given proposal.
2. B Reason: This argument is a con of ranked choice voting, which is not directly related to addressing voter fraud, so it is not applicable to the given proposal.
3. C Reason: This argument is about overcoming the hurdle of understanding ranked choice voting, which is not directly related to addressing voter fraud, so it is not applicable to the given proposal.
4. A Reason: This argument is in support of implementing more measures to address voter fraud, which aligns with the given proposal.
5. B Reason: This argument is against implementing more measures to address voter fraud, which goes against the given proposal.",1. Ranked choice voting would be preferable to the current voting system.,2. The main cons of ranked choice voting are that it is too complicated and people don't understand it.,"1. A Reason: Ranked choice voting allows for more diverse representation and eliminates the need for strategic voting.
2. B Reason: The argument that ranked choice voting is too complicated and people don't understand it is a con because it may deter people from participating in the voting process.
3. C Reason: This argument is not applicable to the given proposal because it does not directly address the increase in public funding and financing for campaigns.
4. A Reason: Increasing public funding and financing for campaigns can help level the playing field for candidates and reduce the influence of money in politics.
5. B Reason: The argument that increase in public funding and financing for campaigns is bad is a con because it may lead to concerns about government waste or inefficiency.",1. Ranked choice voting would be preferable to the current voting system.,2. The main cons of ranked choice voting are that it is too complicated and people don't understand it.,"1. A Reason: Ranked choice voting would provide more options for voters and potentially lead to more representative outcomes.
2. B Reason: The argument presents a con of ranked choice voting, stating that it is too complicated and people don't understand it.
3. C Reason: This argument is not directly related to the proposal of restoring voting rights to citizens with felony convictions.
4. A Reason: This argument supports the proposal by advocating for the restoration of voting rights to citizens with felony convictions upon their release from prison.
5. B Reason: This argument presents a negative view of the proposal, stating that it is bad.","1. Ranked choice voting would be preferable to the current voting system.
3. The speaker believes that the hurdle of understanding ranked choice voting can be easily overcome.",2. The main cons of ranked choice voting are that it is too complicated and people don't understand it.,"1. A Reason: Ranked choice voting is seen as a more fair and representative voting system compared to the current system.
2. B Reason: This argument is a con because it highlights a potential drawback of ranked choice voting, which is the perceived complexity and lack of understanding among voters.
3. A Reason: The speaker believes that the hurdle of understanding ranked choice voting can be easily overcome, indicating a pro stance on the issue.
4. A Reason: Implementing RCV as an alternative method to elected officials and representatives at all levels is seen as a positive step towards improving the democratic process.
5. B Reason: This argument is a con because it states that implementing RCV as an alternative method to elected officials and representatives at all levels is bad, without providing any specific reasons or evidence to support this claim.",3. The speaker believes that the hurdle of understanding ranked choice voting can be easily overcome.,1. Ranked choice voting would be preferable to the current voting system.,"1.  A Reason: Ranked choice voting allows for more diverse representation and can prevent the need for runoff elections.
2. B Reason: The argument is a con because it highlights potential drawbacks of ranked choice voting.
3. C Reason: This argument is not applicable to the proposal of implementing more accessibility to voting as it focuses on the speaker's belief in overcoming a specific hurdle.
4. A Reason: Implementing more accessibility to voting would allow for more people to participate in the democratic process, which is a positive outcome.
5. C Reason: This argument is not applicable as it does not provide any specific reasoning or evidence for why implementing more accessibility to voting would be bad.",,"1. Ranked choice voting would be preferable to the current voting system.
2. The main cons of ranked choice voting are that it is too complicated and people don't understand it.","1. B Reason: Ranked choice voting is not directly related to the proposal of increasing opportunities for learning about civic education in schools.
2. B Reason: This argument is a con because it suggests a potential downside of implementing ranked choice voting, which is not directly related to the proposal.
3. C Reason: This argument is not applicable to the proposal as it does not provide a clear stance on whether increasing opportunities for learning about civic education in schools is beneficial or not.
4. A Reason: This argument is a pro because it supports the proposal by stating that increasing opportunities for learning about civic education in schools is okay.
5. B Reason: This argument is a con because it states that increasing opportunities for learning about civic education in schools is bad, which goes against the proposal.",1. Ranked choice voting would be preferable to the current voting system.,2. The main cons of ranked choice voting are that it is too complicated and people don't understand it.,"1. A Reason: Ranked choice voting is a separate proposal and not directly related to implementing a term limit for Supreme Court Justices.
2. B Reason: This argument is a con because it highlights potential drawbacks of ranked choice voting.
3. C Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it focuses on overcoming hurdles related to ranked choice voting.
4. A Reason: This argument is in favor of implementing a term limit for Supreme Court Justices.
5. B Reason: This argument is against implementing a term limit for Supreme Court Justices, citing it as bad.","1. Ranked choice voting would be preferable to the current voting system.
3. The speaker believes that the hurdle of understanding ranked choice voting can be easily overcome.",2. The main cons of ranked choice voting are that it is too complicated and people don't understand it.,"1. A Reason: Ranked choice voting is seen as a more fair and representative system compared to the current electoral college.
2. B Reason: This argument is a con because it highlights a potential downside of ranked choice voting.
3. A Reason: This argument is pro because it suggests that the perceived complexity of ranked choice voting can be addressed.
4. C Reason: This argument is not applicable to the proposal as it does not provide a clear stance on whether changing the current electoral college is good or bad.
5. C Reason: This argument is not applicable as it simply states a general opinion without providing any specific reasoning.",True,False,False,False,False,False,False,True,False
9,10,48295,"""12:17"""," i would agree with the preference for ranked choice voting that would be my preference as well, especially because of the instant runoff and being able to move to where somebody has to appeal to greater than 50% of the voting populace. and i do agree that i think to the extent that the cons are, it's complicated and voters won't understand. i would choose to place my faith in the ability of people to first the system to educate",Yes,"1. Preference for ranked choice voting
2. Instant runoff and appeal to greater than 50% of the voting populace
3. Trust in people's ability to understand and adapt to the system",,,"1. [C] Reason: Ranked choice voting is not directly related to implementing limits on financing individual candidates and parties.
2. [C] Reason: Instant runoff and appealing to a greater than 50% voting populace is not directly related to implementing limits on financing individual candidates and parties.
3. [C] Reason: Trust in people's ability to understand and adapt to the system is not directly related to implementing limits on financing individual candidates and parties.
4. [A] Reason: This argument is in favor of implementing limits on financing individual candidates and parties.
5. [B] Reason: This argument is against implementing limits on financing individual candidates and parties.","1. Preference for ranked choice voting
2. Instant runoff and appeal to greater than 50% of the voting populace
3. Trust in people's ability to understand and adapt to the system",,"1.  A Reason: Ranked choice voting is a pro argument for changing the primary system as it allows for a more fair and representative election process.
2. A Reason: Instant runoff and appealing to a greater than 50% of the voting populace is a pro argument for changing the primary system as it promotes majority rule and ensures that the winning candidate has broad support.
3. A Reason: Trust in people's ability to understand and adapt to the system is a pro argument for changing the primary system as it shows confidence in the electorate's ability to engage with and benefit from a new voting system.
4. A Reason: Change the primary system is okay is a not applicable argument as it does not provide a clear stance on whether changing the primary system is good or bad.
5. B Reason: Change the primary system is bad is a con argument against changing the primary system as it suggests that the current system is preferable to any potential changes.","1. Preference for ranked choice voting
2. Instant runoff and appeal to greater than 50% of the voting populace
3. Trust in people's ability to understand and adapt to the system",,"1. A Reason: Ranked choice voting allows for more accurate representation of voters' preferences and can lead to fairer outcomes in elections.
2. A Reason: Instant runoff voting ensures that the winning candidate has the support of the majority of voters, increasing legitimacy and fairness in the election process.
3. A Reason: Trust in people's ability to understand and adapt to the system is not directly related to the proposal of implementing more fairness and transparency in the election process.
4. A Reason: This argument is in support of the proposal, as it aligns with the goal of increasing fairness and transparency in the election process.
5. B Reason: This argument is against the proposal, but it does not provide any specific reasons or evidence to support this claim.",,,"1.  [A] Reason: Ranked choice voting allows for more diverse representation and can lead to more accurate results.
2. [A] Reason: Instant runoff and appealing to a greater percentage of the voting populace can lead to more inclusive and fair elections.
3. [A] Reason: Trusting in people's ability to understand and adapt to the system can lead to increased voter engagement and participation.
4. [C] Reason: This argument does not provide a clear stance on whether implementing less strict voting standards is beneficial or not.
5. [B] Reason: This argument suggests that implementing less strict voting standards could have negative consequences, such as potential for fraud or inaccurate results.","1. Preference for ranked choice voting
2. Instant runoff and appeal to greater than 50% of the voting populace
3. Trust in people's ability to understand and adapt to the system",,"1. A Reason: Ranked choice voting allows for more accurate representation of voters' preferences and can lead to more diverse elected officials.
2. A Reason: Instant runoff voting ensures that elected officials have majority support from the voting populace, increasing legitimacy.
3. A Reason: Trust in people's ability to understand and adapt to the system is not directly related to the proposal of using proportional representatives to elect elected officials.
4. A Reason: Using proportional representatives can lead to more diverse representation and better reflect the overall views of the electorate.
5. B Reason: This argument is against the proposal of using proportional representatives to elect elected officials, but no specific reason is given.",,,"1. [A] Reason: Ranked choice voting can help address voter fraud by ensuring that the candidate with the most support from the majority of voters wins, reducing the potential for fraudulent outcomes.
2. [A] Reason: Instant runoff voting can also help address voter fraud by ensuring that the winning candidate has the support of a majority of voters, reducing the potential for fraudulent outcomes.
3. [C] Reason: Trust in people's ability to understand and adapt to the system is not directly related to the proposal to implement more measures to address voter fraud.
4. [A] Reason: Implementing more measures to address voter fraud is a pro argument in support of the proposal.
5. [B] Reason: This argument is a con because it suggests that implementing more measures to address voter fraud is bad, which goes against the proposal.","1. Preference for ranked choice voting
2. Instant runoff and appeal to greater than 50% of the voting populace",,"1. A Reason: Ranked choice voting allows for more diverse representation and can lead to more positive campaigning.
2. A Reason: Instant runoff voting ensures that the winning candidate has majority support, increasing legitimacy.
3. C Reason: Trust in people's ability to understand and adapt to the system is not directly related to public funding for campaigns.
4. A Reason: Increasing public funding and financing for campaigns can reduce the influence of wealthy donors and special interests.
5. B Reason: Some may argue that increasing public funding and financing for campaigns is bad because it could lead to wasteful spending or inefficiency.",,,"1. [C] Reason: Ranked choice voting is not directly related to the proposal of restoring voting rights to citizens with felony convictions. It is a separate voting system that may or may not be implemented alongside the restoration of voting rights.
2. [C] Reason: Instant runoff and appealing to a greater percentage of the voting populace are not directly related to the proposal. These arguments do not specifically address the issue of restoring voting rights to citizens with felony convictions.
3. [A] Reason: Trust in people's ability to understand and adapt to the system is a pro argument for the proposal. It suggests that individuals with felony convictions should be trusted to participate in the democratic process and adapt to the voting system upon their release from prison.
4. [A] Reason: This argument is in support of the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
5. [B] Reason: This argument is against the proposal to restore voting rights to citizens with felony convictions upon their release from prison.","1. Preference for ranked choice voting
2. Instant runoff and appeal to greater than 50% of the voting populace
3. Trust in people's ability to understand and adapt to the system",,"1. A Reason: Preference for ranked choice voting indicates support for the proposal to implement RCV as an alternative method.
2. A Reason: Instant runoff and appeal to greater than 50% of the voting populace are benefits of RCV, supporting the proposal.
3. A Reason: Trust in people's ability to understand and adapt to the system suggests that the proposal is feasible and can be successfully implemented.
4. C Reason: This argument does not provide a clear stance on the proposal, so it is not applicable.
5. B Reason: This argument is against implementing RCV as an alternative method, so it is a con to the proposal.",,,"1. Pro Reason: Ranked choice voting can potentially increase voter turnout and representation, making the voting process more accessible to a wider range of people.
2. Pro Reason: Instant runoff voting can ensure that the winning candidate has the support of the majority of voters, increasing the legitimacy of the election process and making it more accessible to all voters.
3. Pro Reason: Trust in people's ability to understand and adapt to the system can lead to increased participation in the voting process, making it more accessible to all individuals.
4. Not applicable Reason: This argument does not provide a clear stance on the proposal, so it is not directly related to whether implementing more accessibility to voting is a pro or con.
5. Not applicable Reason: This argument is not relevant to the proposal as it does not provide any specific reasons or evidence for why implementing more accessibility to voting would be bad.",,,"1. [A] Reason: Ranked choice voting allows for more diverse representation and can lead to more consensus-based decision making, which aligns with the goal of increasing opportunities for learning about civic education in schools.
2. [A] Reason: Instant runoff voting ensures that the winning candidate has majority support, which can help promote trust in the electoral system and encourage civic engagement.
3. [A] Reason: Trust in people's ability to understand and adapt to the system is essential for the success of any electoral reform, including increasing opportunities for learning about civic education in schools.
4. [C] Reason: This argument is not applicable as it simply states that the proposal is okay without providing any reasoning for or against it.
5. [B] Reason: This argument is against the proposal to increase opportunities for learning about civic education in schools, but it does not provide any reasoning for why it is bad.",,,"1. [C] Reason: Ranked choice voting is not directly related to implementing a term limit for Supreme Court Justices.
2. [C] Reason: Instant runoff and appeal to greater than 50% of the voting populace is not directly related to implementing a term limit for Supreme Court Justices.
3. [C] Reason: Trust in people's ability to understand and adapt to the system is not directly related to implementing a term limit for Supreme Court Justices.
4. [A] Reason: This argument is pro because it supports the proposal of implementing a term limit for Supreme Court Justices.
5. [B] Reason: This argument is con because it opposes the proposal of implementing a term limit for Supreme Court Justices.","1. Preference for ranked choice voting
2. Instant runoff and appeal to greater than 50% of the voting populace",,"1. A Reason: Ranked choice voting is often seen as a more fair and representative way of conducting elections, so it aligns with the proposal to change the current electoral college.
2. A Reason: Instant runoff voting and appealing to a greater percentage of the voting populace can be seen as a pro for changing the electoral college, as it may lead to a more inclusive and representative system.
3. C Reason: Trust in people's ability to understand and adapt to the system is not directly related to the proposal to change the electoral college, so it is not applicable.
4. A Reason: This argument is in favor of changing the current electoral college, so it aligns with the proposal.
5. B Reason: This argument is against changing the current electoral college, so it is a con for the proposal.",False,False,False,False,False,False,False,True,False
