,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48361,"""2:51"""," hi everyone. my name is laura mccullough and i'm in western wisconsin and it's actually a hot one here today, i'm a professor of physics at the university of wisconsin stout. and about 32 months ago, i got elected as a member of my city council. i'm really excited about this event and hoping to learn a lot from it.",Yes,"1. Laura McCullough is a professor of physics at the University of Wisconsin Stout.
2. She got elected as a member of her city council 32 months ago.
3. She is excited about the event and hoping to learn a lot from it.",,,"1. [A] Reason: Laura McCullough being a professor of physics does not necessarily impact her stance on the proposal to change the electoral college.
2. [C] Reason: Her election to the city council does not directly relate to the proposal to change the electoral college.
3. [C] Reason: Her excitement and desire to learn do not provide insight into her stance on the proposal.
4. [A] Reason: This argument is in favor of changing the current electoral college system.
5. [B] Reason: This argument is against changing the current electoral college system.",,,"1. C Reason: Laura McCullough's profession and position on the city council are not relevant to the proposal about public funding for campaigns.
2. C Reason: Same as above, her election to the city council does not impact the proposal.
3. C Reason: Her excitement about the event is not relevant to the proposal.
4. A Reason: This argument is a pro for the proposal because it supports the idea of increasing public funding and financing for campaigns.
5. B Reason: This argument is a con for the proposal because it opposes the idea of increasing public funding and financing for campaigns.",,,"1. C Reason: Laura McCullough's profession and position on the city council are not relevant to the proposal to implement more measures to address voter fraud.
2. C Reason: Laura McCullough's election to the city council is not relevant to the proposal to implement more measures to address voter fraud.
3. C Reason: Laura McCullough's excitement and hopes are not relevant to the proposal to implement more measures to address voter fraud.
4. A Reason: This argument is a pro for the proposal to implement more measures to address voter fraud as it suggests that it is a positive step to take.
5. B Reason: This argument is a con for the proposal to implement more measures to address voter fraud as it suggests that it is a negative step to take.",,,"1. C Reason: Laura McCullough's profession and position on the city council are not directly related to the proposal of implementing more accessibility to voting.
2. C Reason: Same as above, her election to the city council does not directly relate to the proposal.
3. C Reason: Her excitement and hopes for learning do not provide a clear stance on the proposal.
4. A Reason: This argument is a pro for the proposal as it supports the idea of making voting more accessible.
5. B Reason: This argument is a con for the proposal as it opposes the idea of making voting more accessible.",,,"1. C Reason: Laura McCullough's profession and position on the city council are not relevant to the proposal of using proportional representatives to elect officials.
2. C Reason: The fact that Laura McCullough was elected 32 months ago is not relevant to the proposal of using proportional representatives to elect officials.
3. C Reason: Laura McCullough's excitement and hopes are not relevant to the proposal of using proportional representatives to elect officials.
4. A Reason: This argument is a pro for the proposal as it supports the idea of using proportional representatives to elect officials.
5. B Reason: This argument is a con for the proposal as it opposes the idea of using proportional representatives to elect officials.",,,"1. C Reason: Laura McCullough's profession and position on the city council are not relevant to the proposal of implementing more fairness and transparency in the election process.
2. C Reason: Same as argument 1, her past election to the city council does not directly relate to the proposal.
3. C Reason: Laura's excitement and hopes for learning are not directly related to the proposal.
4. A Reason: This argument is pro the proposal as it aligns with the goal of improving the election process.
5. B Reason: This argument is con the proposal as it opposes the idea of implementing more fairness and transparency in the election process.",,,"1. C Reason: Laura McCullough's profession and position on the city council are not relevant to the proposal about restoring voting rights to citizens with felony convictions.
2. C Reason: Laura McCullough's election to the city council is not relevant to the proposal about restoring voting rights to citizens with felony convictions.
3. C Reason: Laura McCullough's excitement and hopes about an event are not relevant to the proposal about restoring voting rights to citizens with felony convictions.
4. A Reason: This argument is a pro for the proposal as it supports the idea of restoring voting rights to citizens with felony convictions upon their release from prison.
5. B Reason: This argument is a con for the proposal as it opposes the idea of restoring voting rights to citizens with felony convictions upon their release from prison.",,,"1. C Reason: Laura McCullough's profession and position on the city council are not relevant to the proposal of implementing a term limit for Supreme Court Justices.
2. C Reason: The fact that she got elected to her city council 32 months ago is not directly related to the proposal of implementing a term limit for Supreme Court Justices.
3. C Reason: Laura's excitement about the event and desire to learn from it do not impact the proposal of implementing a term limit for Supreme Court Justices.
4. A Reason: This argument is pro because it supports the proposal of implementing a term limit for Supreme Court Justices.
5. B Reason: This argument is con because it opposes the proposal of implementing a term limit for Supreme Court Justices.",,,"1. C Reason: Laura McCullough's occupation and position on the city council are not relevant to the proposal on implementing limits on financing individual candidates and parties.
2. C Reason: The fact that Laura McCullough was elected to the city council 32 months ago is not relevant to the proposal on implementing limits on financing individual candidates and parties.
3. C Reason: Laura McCullough's excitement and hopes for learning from the event are not relevant to the proposal on implementing limits on financing individual candidates and parties.
4. A Reason: This argument is a pro for the proposal as it suggests that implementing limits on financing individual candidates and parties is acceptable.
5. B Reason: This argument is a con for the proposal as it suggests that implementing limits on financing individual candidates and parties is bad.",,,"1. C Reason: Laura McCullough's profession and position on the city council are not relevant to the proposal of implementing less strict voting standards.
2. C Reason: The fact that she was elected to the city council 32 months ago does not directly relate to the proposal of less strict voting standards.
3. C Reason: Laura's excitement and hopes for learning are not directly related to the proposal at hand.
4. A Reason: This argument is a pro for the proposal as it supports the idea of implementing less strict voting standards.
5. B Reason: This argument is a con for the proposal as it opposes the idea of implementing less strict voting standards.",,,"1. [C] Reason: Laura McCullough's profession and position on the city council are not relevant to the proposal of implementing RCV.
2. [C] Reason: Laura McCullough's election to the city council is not relevant to the proposal of implementing RCV.
3. [C] Reason: Laura McCullough's excitement and hopes are not relevant to the proposal of implementing RCV.
4. [A] Reason: This argument is a pro for the proposal as it supports the idea of implementing RCV as an alternative method for elected officials and representatives at all levels.
5. [B] Reason: This argument is a con for the proposal as it opposes the idea of implementing RCV as an alternative method for elected officials and representatives at all levels.",,,"1. C Reason: Laura McCullough's profession and position on the city council are not directly related to the proposal about civic education in schools.
2. C Reason: Same as above, her election to the city council does not directly relate to the proposal.
3. C Reason: Her excitement about the event does not provide a clear argument for or against the proposal.
4. A Reason: This argument is in support of the proposal, as it acknowledges that increasing opportunities for learning about civic education in schools is a positive thing.
5. B Reason: This argument is against the proposal, stating that increasing opportunities for learning about civic education in schools is bad.",,,"1. [A] Reason: Laura McCullough's profession as a physics professor does not directly relate to the proposal to change the primary system.
2. [C] Reason: The fact that she got elected to her city council 32 months ago does not provide a clear argument for or against changing the primary system.
3. [C] Reason: Laura's excitement and hope to learn from the event do not provide a clear argument for or against changing the primary system.
4. [A] Reason: This argument is in favor of changing the primary system, as it states that it is okay.
5. [B] Reason: This argument is against changing the primary system, as it states that it is bad.",False,False,False,False,False,False,False,False,False
1,2,48454,"""3:19"""," hi, my name is trent. i live in olympia, washington. i am self-employed as a web developer and i'm really looking forward to this event as well. to talk about the voting system and to hear hear what everybody else has to say about it. and also hear from these experts and and have the chance to ask some questions to the people who know more about the topic.",Yes,"1. Trent is self-employed as a web developer.
2. He is looking forward to the event to discuss the voting system.
3. He is excited to hear from experts and ask questions about the topic.",,,"1. C Reason: Trent being self-employed does not directly relate to whether changing the electoral college is a good or bad idea.
2. C Reason: Trent looking forward to the event does not indicate his stance on changing the electoral college.
3. C Reason: Trent being excited to hear from experts and ask questions does not indicate his stance on changing the electoral college.
4. A Reason: This argument is pro changing the current electoral college.
5. B Reason: This argument is con changing the current electoral college.",,,"1. C Reason: Trent being self-employed as a web developer does not directly relate to the proposal of increasing public funding and financing for campaigns.
2. C Reason: Trent looking forward to the event to discuss the voting system does not directly relate to the proposal of increasing public funding and financing for campaigns.
3. C Reason: Trent being excited to hear from experts and ask questions about the topic does not directly relate to the proposal of increasing public funding and financing for campaigns.
4. A Reason: This argument is pro because it directly supports the proposal of increasing public funding and financing for campaigns.
5. B Reason: This argument is con because it directly opposes the proposal of increasing public funding and financing for campaigns.",,,"1. C Reason: Trent being self-employed as a web developer does not directly relate to whether implementing more measures to address voter fraud is a pro or con.
2. C Reason: Trent looking forward to the event to discuss the voting system does not directly relate to whether implementing more measures to address voter fraud is a pro or con.
3. C Reason: Trent being excited to hear from experts and ask questions about the topic does not directly relate to whether implementing more measures to address voter fraud is a pro or con.
4. A Reason: This argument is a pro for the proposal because it suggests that implementing more measures to address voter fraud is a positive step.
5. B Reason: This argument is a con for the proposal because it suggests that implementing more measures to address voter fraud is bad.",,,"1. C Reason: Trent being self-employed as a web developer does not directly relate to whether implementing more accessibility to voting is a pro or con.
2. C Reason: Trent looking forward to the event to discuss the voting system does not directly relate to whether implementing more accessibility to voting is a pro or con.
3. C Reason: Trent being excited to hear from experts and ask questions about the topic does not directly relate to whether implementing more accessibility to voting is a pro or con.
4. A Reason: This is a pro argument because it supports the proposal of implementing more accessibility to voting.
5. B Reason: This is a con argument because it opposes the proposal of implementing more accessibility to voting.",,,"1. C Reason: Trent being self-employed as a web developer does not directly relate to the proposal of using proportional representatives to elect elected officials.
2. C Reason: Trent looking forward to the event does not directly relate to the proposal of using proportional representatives to elect elected officials.
3. C Reason: Trent being excited to hear from experts and ask questions also does not directly relate to the proposal.
4. A Reason: This argument is a pro for the proposal as it indicates support for using proportional representatives to elect elected officials.
5. B Reason: This argument is a con for the proposal as it indicates opposition to using proportional representatives to elect elected officials.",,,"1. C Reason: Trent being self-employed as a web developer does not directly relate to whether implementing more fairness and transparency in the election process is a pro, con, or not applicable.
2. C Reason: Trent looking forward to the event to discuss the voting system does not directly relate to whether implementing more fairness and transparency in the election process is a pro, con, or not applicable.
3. C Reason: Trent being excited to hear from experts and ask questions about the topic does not directly relate to whether implementing more fairness and transparency in the election process is a pro, con, or not applicable.
4. A Reason: This argument is a pro for the proposal because it suggests that implementing more fairness and transparency in the election process is okay.
5. B Reason: This argument is a con for the proposal because it suggests that implementing more fairness and transparency in the election process is bad.",,,"1. [A] Reason: This argument is a pro because restoring voting rights to citizens with felony convictions upon their release from prison could potentially benefit Trent as a self-employed individual by allowing more voices to be heard in the voting system.
2. [A] Reason: This argument is a pro because Trent is looking forward to the event, indicating his interest in the topic and potential support for the proposal.
3. [A] Reason: This argument is a pro because Trent's excitement to hear from experts and ask questions suggests he is open to learning more about the proposal and potentially supporting it.
4. [A] Reason: This argument is a pro because it directly supports the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
5. [B] Reason: This argument is a con because it directly opposes the proposal to restore voting rights to citizens with felony convictions upon their release from prison.",,,"1. C Reason: Trent being self-employed as a web developer does not directly relate to the proposal of implementing a term limit for Supreme Court Justices.
2. C Reason: Trent looking forward to discussing the voting system does not directly relate to the proposal of implementing a term limit for Supreme Court Justices.
3. C Reason: Trent being excited to hear from experts and ask questions about the topic does not directly relate to the proposal of implementing a term limit for Supreme Court Justices.
4. A Reason: This argument is pro because it supports the proposal of implementing a term limit for Supreme Court Justices.
5. B Reason: This argument is con because it opposes the proposal of implementing a term limit for Supreme Court Justices.",,,"1. C Reason: Trent being self-employed does not directly relate to the proposal of implementing limits on financing individual candidates and parties.
2. C Reason: Trent looking forward to the event to discuss the voting system does not directly relate to the proposal of implementing limits on financing individual candidates and parties.
3. C Reason: Trent being excited to hear from experts and ask questions about the topic does not directly relate to the proposal of implementing limits on financing individual candidates and parties.
4. A Reason: This argument is pro because it supports the proposal of implementing limits on financing individual candidates and parties.
5. B Reason: This argument is con because it opposes the proposal of implementing limits on financing individual candidates and parties.",,,"1.  [A] Reason: Trent being self-employed does not directly relate to whether implementing less strict voting standards is a good idea or not.
2. [A] Reason: Trent looking forward to the event shows his interest in the topic, but does not indicate whether less strict voting standards are beneficial or not.
3. [A] Reason: Trent's excitement to hear from experts and ask questions is unrelated to the proposal of implementing less strict voting standards.
4. [A] Reason: This argument is in favor of the proposal, indicating that it is acceptable.
5. [B] Reason: This argument is against the proposal, stating that implementing less strict voting standards is bad.",,1. Trent is self-employed as a web developer.,"1. B Reason: This argument is not applicable to the proposal as it does not provide any specific reasoning for or against implementing RCV as an alternative voting method.
2. C Reason: This argument is not applicable to the proposal as it does not provide any specific reasoning for or against implementing RCV as an alternative voting method.
3. C Reason: This argument is not applicable to the proposal as it does not provide any specific reasoning for or against implementing RCV as an alternative voting method.
4. A Reason: This argument is pro because it supports the proposal to implement RCV as an alternative method to elected officials and representatives at all levels.
5. B Reason: This argument is con because it opposes the proposal to implement RCV as an alternative method to elected officials and representatives at all levels.","2. He is looking forward to the event to discuss the voting system.
3. He is excited to hear from experts and ask questions about the topic.",,"1. C Reason: Trent being self-employed as a web developer does not directly relate to the proposal of increasing opportunities for learning about civic education in schools.
2. A Reason: Trent looking forward to discussing the voting system indicates a pro stance towards the proposal as it shows interest in civic education.
3. A Reason: Trent being excited to hear from experts and ask questions about the topic also indicates a pro stance towards the proposal as it shows a desire for learning and engagement.
4. A Reason: This argument is a pro stance towards the proposal as it directly supports the idea of increasing opportunities for learning about civic education in schools.
5. B Reason: This argument is a con stance towards the proposal as it states that increasing opportunities for learning about civic education in schools is bad.",,,"1. C Reason: Trent being self-employed as a web developer does not directly relate to whether changing the primary system is a good or bad idea.
2. C Reason: Trent looking forward to the event does not directly relate to whether changing the primary system is a good or bad idea.
3. C Reason: Trent being excited to hear from experts and ask questions does not directly relate to whether changing the primary system is a good or bad idea.
4. A Reason: This argument is pro because it indicates that Trent is okay with changing the primary system.
5. B Reason: This argument is con because it indicates that Trent believes changing the primary system is bad.",False,False,False,False,False,False,False,False,True
2,3,48327,"""3:48"""," hi, my name is kate johnson, i live in michigan and i am a technical writer and i'm also pretty excited about this just to collaborate with other people. instead of only filling out surveys.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48415,"""4:05"""," hi, my name is kelly krista and i live in flagstaff, arizona. i'm looking forward to hearing what other people say and i'm retired and and i've had some life experiences. so i think that's going to be a very interesting day.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48470,"""4:27""", hey good morning everyone. i'm mark i live in southeastern wisconsin and i work in city government here and again just kind of interested in hearing what everyone has to say and are they being part of this collaborative process?,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,48281,"""4:41"""," my name is curtis, chase 38 from seminole, oklahoma, i'm a moderate independent. meaning, i just basically make up my own mind, so hopefully we have a lot of good discussion today and it should be pretty interesting.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,9511,"""4:55"""," good afternoon, everyone. my name is anna. i'm from new york city, i work in the finance industry and i'm absolutely excited to learn from everyone here today.",Yes,"1. The speaker is from New York City.
2. The speaker works in the finance industry.
3. The speaker is excited to learn from everyone at the event.",,,"1.  [A] Reason: The speaker being from New York City may indicate a bias towards changing the current electoral college system, as larger states like New York may benefit from a popular vote system.
2. [C] Reason: The speaker working in the finance industry does not directly relate to the proposal to change the electoral college system.
3. [C] Reason: The speaker's excitement to learn from everyone at the event does not provide any indication of their stance on changing the electoral college system.
4. [A] Reason: This argument is in favor of changing the current electoral college system.
5. [B] Reason: This argument is against changing the current electoral college system.",,,"1. [C] Reason: The speaker's location does not impact whether increasing public funding and financing for campaigns is a good idea or not.
2. [C] Reason: The speaker's occupation does not impact whether increasing public funding and financing for campaigns is a good idea or not.
3. [C] Reason: The speaker's excitement to learn from everyone at the event does not impact whether increasing public funding and financing for campaigns is a good idea or not.
4. [A] Reason: This argument is pro increasing public funding and financing for campaigns.
5. [B] Reason: This argument is con increasing public funding and financing for campaigns.",,,"1. [C] Reason: The speaker's location is not relevant to the proposal to implement more measures to address voter fraud.
2. [C] Reason: The speaker's occupation is not relevant to the proposal to implement more measures to address voter fraud.
3. [C] Reason: The speaker's excitement to learn from everyone at the event is not relevant to the proposal to implement more measures to address voter fraud.
4. [A] Reason: This argument is a pro for the proposal as it supports the idea of implementing more measures to address voter fraud.
5. [B] Reason: This argument is a con for the proposal as it opposes the idea of implementing more measures to address voter fraud.",,,"1. C Reason: The fact that the speaker is from New York City is not relevant to whether implementing more accessibility to voting is a good idea or not.
2. C Reason: The fact that the speaker works in the finance industry is not relevant to whether implementing more accessibility to voting is a good idea or not.
3. C Reason: The speaker's excitement to learn from everyone at the event is not relevant to whether implementing more accessibility to voting is a good idea or not.
4. A Reason: This argument is a pro for the proposal because it suggests that implementing more accessibility to voting is a positive step.
5. B Reason: This argument is a con for the proposal because it suggests that implementing more accessibility to voting is bad.",,,"1.  [A] Reason: Not applicable to the proposal as the speaker's location does not impact the argument for or against using proportional representatives to elect elected officials.
2. [B] Reason: Not applicable to the proposal as the speaker's occupation does not impact the argument for or against using proportional representatives to elect elected officials.
3. [C] Reason: Not applicable to the proposal as the speaker's excitement to learn from everyone at the event does not impact the argument for or against using proportional representatives to elect elected officials.
4. [A] Reason: Proportional representation can lead to a more accurate reflection of the electorate's preferences and can result in a more diverse representation in government.
5. [B] Reason: Some may argue that proportional representation can lead to unstable governments or make it harder for parties to form a majority, potentially leading to gridlock or inefficiency in decision-making.",,,"1. [A] Reason: Not applicable to the proposal as the location or background of the speaker does not impact the argument for or against implementing fairness and transparency in the election process.
2. [B] Reason: Not applicable to the proposal as the speaker's profession in the finance industry does not directly relate to the argument for or against implementing fairness and transparency in the election process.
3. [C] Reason: Not applicable to the proposal as the speaker's excitement to learn from everyone at the event does not directly impact the argument for or against implementing fairness and transparency in the election process.
4. [A] Reason: Pro, as implementing more fairness and transparency in the election process would likely lead to a more democratic and just electoral system.
5. [B] Reason: Con, as the statement suggests a negative opinion towards implementing more fairness and transparency in the election process.",,,"1. C Reason: The speaker's location is not relevant to the proposal.
2. C Reason: The speaker's occupation is not relevant to the proposal.
3. C Reason: The speaker's excitement to learn from others is not relevant to the proposal.
4. A Reason: This argument is in support of the proposal, as it advocates for restoring voting rights to citizens with felony convictions upon release from prison.
5. B Reason: This argument is against the proposal, as it states that restoring voting rights to citizens with felony convictions upon release from prison is bad.",,,"1. [C] Reason: The speaker's location is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
2. [C] Reason: The speaker's occupation is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
3. [C] Reason: The speaker's excitement to learn from everyone at the event is not relevant to the proposal of implementing a term limit for Supreme Court Justices.
4. [A] Reason: This argument is in support of the proposal, indicating that it is acceptable.
5. [B] Reason: This argument is against the proposal, indicating that it is bad.",,,"1. [A] Reason: Not applicable, the location of the speaker does not impact the argument for or against the proposal.
2. [B] Reason: Pro, as someone working in the finance industry may have a bias against limiting financing for candidates and parties.
3. [C] Reason: Not applicable, the speaker's excitement to learn does not impact the argument for or against the proposal.
4. [A] Reason: Pro, this argument supports the proposal to implement limits on financing for individual candidates and parties.
5. [B] Reason: Con, this argument opposes the proposal to implement limits on financing for individual candidates and parties.",,,"1.  C Reason: The speaker's location is not relevant to the proposal of implementing less strict voting standards.
2.  C Reason: The speaker's occupation is not relevant to the proposal of implementing less strict voting standards.
3.  C Reason: The speaker's excitement to learn from everyone at the event is not relevant to the proposal of implementing less strict voting standards.
4.  A Reason: This argument is a pro for the proposal as it suggests that implementing less strict voting standards is acceptable.
5.  B Reason: This argument is a con for the proposal as it suggests that implementing less strict voting standards is bad.",,,"1. [C] Reason: The speaker being from New York City is not relevant to whether implementing RCV is a good or bad idea.
2. [C] Reason: The speaker working in the finance industry is not relevant to whether implementing RCV is a good or bad idea.
3. [C] Reason: The speaker's excitement to learn from everyone at the event is not relevant to whether implementing RCV is a good or bad idea.
4. [A] Reason: This argument is a pro for the proposal as it supports the idea of implementing RCV as an alternative method.
5. [B] Reason: This argument is a con for the proposal as it opposes the idea of implementing RCV as an alternative method.",,,"1. [A] Reason: Not applicable to the given proposal as the speaker's location does not impact the argument for or against increasing opportunities for learning about civic education in schools.
2. [B] Reason: Not applicable to the given proposal as the speaker's occupation in the finance industry does not impact the argument for or against increasing opportunities for learning about civic education in schools.
3. [C] Reason: Not applicable to the given proposal as the speaker's excitement to learn from everyone at the event does not impact the argument for or against increasing opportunities for learning about civic education in schools.
4. [A] Reason: Pro, increasing opportunities for learning about civic education in schools can lead to a more informed and engaged citizenry.
5. [B] Reason: Con, this argument is against increasing opportunities for learning about civic education in schools without providing any specific reasons.",,,"1.  [A] Reason: The speaker being from New York City does not directly relate to whether changing the primary system is a good or bad idea.
2. [B] Reason: The speaker working in the finance industry may have biases or conflicts of interest that could impact their perspective on changing the primary system.
3. [C] Reason: The speaker's excitement to learn from everyone at the event does not provide any insight into whether changing the primary system is a good or bad idea.
4. [A] Reason: This argument is in favor of changing the primary system.
5. [B] Reason: This argument is against changing the primary system.",False,False,False,False,False,False,False,False,False
7,8,9406,"""5:08""", good morning. i'm brie and i'm just happy that i get to option to learn new things from you all. thank you.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,48508,"""5:18"""," hello, my name is john. i live in northern california. i am a father and a mortgage broker and i'm so excited about this event. thank you.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48353,"""5:35"""," hi everyone. i'm tracy and i am in northern nevada. i'm happy to join everyone today and hopefully we can get our minds and everything around a lot of these subjects. so looking forward to listening and learning and participating, nice to see you all.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
