,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48642,"""2:04"""," hi, this is steven block from florida. just retired, just have another day in paradise.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48694,"""2:16"""," hi, my name is janine davis core. i'm from baltimore, maryland and i look forward to talking with you all.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,48690,"""2:27"""," hi, my name is ed robertson. i'm in arizona presently in my motor home traveling around and very interested in this subject.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,9417,"""2:38"""," hi, my name is jen. i live in maine. i'm very excited about the subject. i work in the transportation industry so just happy to be here with you all and can't wait to hear your your feedback and opinions.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48664,"""2:57"""," hi, my name is barbara. i'll sharp i'm from illinois. and i'm also interested in the subject that we're about to discuss",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,9405,"""3:08""", i did is carlos from florida and i'm about to retire with few weeks.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,9405,"""3:08""", and looking forward to talk to everyone.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,48684,"""3:21""", hi everyone. my name is barb. i retired looking forward to this great opportunity.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,48642,"""11:59"""," yes, just my thoughts. this ranked voting seems a little more complicated throws, a little more complication into into this. i think we should strive to have more people appear on the ballots, you know, without a primary system at all.",Yes,"1. Ranked voting seems more complicated
2. Strive to have more people appear on the ballots
3. Suggests eliminating the primary system",,,"1. [A] Reason: Ranked voting is a pro argument because it allows for more accurate representation of voter preferences and can help eliminate the spoiler effect.
2. [A] Reason: Having more people appear on the ballots is a pro argument because it allows for more diverse choices and can help prevent the consolidation of power among a few candidates.
3. [B] Reason: Suggesting eliminating the primary system is a con argument because primaries allow for party members to choose their preferred candidate and can help prevent extreme candidates from winning the general election.
4. [A] Reason: Change the current electoral college is okay is a pro argument because it suggests a potential solution to the issues with the current system.
5. [B] Reason: Change the current electoral college is bad is a con argument because it suggests that the proposed change would have negative consequences.",,,"1. [A] Reason: Ranked voting may be seen as more complicated, but it can also lead to more accurate representation of voters' preferences and potentially increase voter turnout.
2. [A] Reason: Having more people appear on the ballots can provide voters with more options and potentially increase voter engagement.
3. [B] Reason: Eliminating the primary system may limit voter choice and potentially decrease voter engagement.
4. [C] Reason: This argument is directly related to the proposal and does not take a stance for or against it.
5. [B] Reason: This argument is against the proposal of implementing more accessibility to voting, suggesting that it is bad.",,,"1. [A] Reason: Ranked voting is a pro argument because it can lead to more accurate representation of voters' preferences and reduce the need for negative campaigning.
2. [A] Reason: Having more people appear on the ballots is a pro argument because it can increase diversity and choice for voters.
3. [B] Reason: Suggesting eliminating the primary system is a con argument because primaries can help narrow down the field of candidates and ensure that the most viable candidates move forward.
4. [A] Reason: Increasing public funding and financing for campaigns is a pro argument because it can reduce the influence of wealthy donors and special interests in elections.
5. [B] Reason: Increasing public funding and financing for campaigns is a con argument because it can be seen as a waste of taxpayer money and potentially lead to more government control over elections.",,,"1.  [A] Reason: Ranked voting being more complicated is a con to changing the primary system as it may deter some voters from participating.
2. [A] Reason: Having more people appear on the ballots is a pro to changing the primary system as it can provide voters with more options and potentially better representation.
3. [A] Reason: Suggesting eliminating the primary system is a pro to changing the primary system as it shows a willingness to reform the current system.
4. [A] Reason: The statement ""Change the primary system is okay"" is a pro to changing the primary system as it indicates support for the proposal.
5. [B] Reason: The statement ""Change the primary system is bad"" is a con to changing the primary system as it shows opposition to the proposal.",2. Strive to have more people appear on the ballots,1. Ranked voting seems more complicated,"1. B Reason: Ranked voting being more complicated is a con because it may deter some voters who prefer a simpler voting system.
2. A Reason: Having more people appear on the ballots is a pro because it allows for a more diverse range of candidates to be considered by voters.
3. C Reason: Suggesting the elimination of the primary system is not applicable to the proposal of using proportional representatives to elect elected officials.
4. C Reason: The statement ""Use proportional representatives to elect elected officials is okay"" is not applicable as it does not provide a clear argument for or against the proposal.
5. B Reason: The statement ""Use proportional representatives to elect elected officials is bad"" is a con because it suggests a negative view towards the proposal without providing any specific reasons.",,,"1. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not directly relate to the issue of term limits for Justices.
2. [A] Reason: This argument is a pro for implementing a term limit for Supreme Court Justices as it suggests that having more people appear on the ballots could lead to a more diverse and representative selection of Justices.
3. [B] Reason: This argument is a con for implementing a term limit for Supreme Court Justices as it suggests eliminating the primary system, which could potentially disrupt the current process of selecting and confirming Justices.
4. [A] Reason: This argument is a pro for implementing a term limit for Supreme Court Justices as it indicates support for the proposal.
5. [B] Reason: This argument is a con for implementing a term limit for Supreme Court Justices as it suggests that implementing such a limit would be bad.",,,"1. [B] Reason: Ranked voting is not directly related to implementing limits on financing individual candidates and parties, so it is not applicable to the proposal.
2. [A] Reason: Having more people appear on the ballots could be seen as a pro for implementing limits on financing individual candidates and parties as it could potentially level the playing field and allow for more diverse candidates to participate.
3. [C] Reason: Suggesting eliminating the primary system is not directly related to implementing limits on financing individual candidates and parties, so it is not applicable to the proposal.
4. [A] Reason: This argument is in support of implementing limits on financing individual candidates and parties.
5. [B] Reason: This argument is against implementing limits on financing individual candidates and parties.",,,"1. [A] Reason: Ranked voting could potentially address voter fraud by allowing voters to rank their choices, reducing the likelihood of strategic voting or manipulation.
2. [A] Reason: Having more people appear on the ballots could increase voter engagement and participation, potentially reducing the impact of voter fraud.
3. [B] Reason: Eliminating the primary system could limit voter choice and potentially make it easier for fraud to occur in a single election.
4. [A] Reason: Implementing more measures to address voter fraud is in line with the proposal and would likely help improve the integrity of the electoral process.
5. [B] Reason: This argument is against implementing more measures to address voter fraud, which goes against the proposal's goal of addressing voter fraud.",,,"1.  [A] Reason: Ranked voting allows for more accurate representation of voter preferences and can lead to more diverse candidates being elected, thus promoting fairness and transparency in the election process.
2. [A] Reason: Having more people appear on the ballots can provide voters with a wider range of choices and ensure that minority voices are heard, contributing to a more fair and transparent election process.
3. [B] Reason: Eliminating the primary system may limit voter choice and reduce the diversity of candidates, potentially leading to less fairness and transparency in the election process.
4. [A] Reason: This argument aligns with the proposal to implement more fairness and transparency in the election process, indicating support for the idea.
5. [B] Reason: This argument goes against the proposal to implement more fairness and transparency in the election process, suggesting that it is not beneficial.",2. Strive to have more people appear on the ballots,1. Ranked voting seems more complicated,"1. B Reason: Ranked voting being more complicated is a con to the proposal of implementing less strict voting standards.
2. A Reason: Having more people appear on the ballots is a pro to the proposal of implementing less strict voting standards as it allows for more diverse options for voters.
3. C Reason: Suggesting eliminating the primary system is not directly related to the proposal of implementing less strict voting standards.
4. C Reason: This argument is not applicable as it simply restates the proposal itself.
5. B Reason: This argument is a con to the proposal of implementing less strict voting standards as it suggests that it is bad.",2. Strive to have more people appear on the ballots,"1. Ranked voting seems more complicated
3. Suggests eliminating the primary system","1. B Reason: Ranked voting being more complicated is not directly related to the proposal of increasing opportunities for learning about civic education in schools.
2. A Reason: Having more people appear on the ballots can be seen as a pro for the proposal as it can lead to a more diverse range of candidates and perspectives being represented.
3. B Reason: Suggesting eliminating the primary system is not directly related to the proposal of increasing opportunities for learning about civic education in schools.
4. A Reason: This argument is in support of the proposal, stating that increasing opportunities for learning about civic education in schools is okay.
5. B Reason: This argument is against the proposal, stating that increasing opportunities for learning about civic education in schools is bad.",,,"1. [A] Reason: Ranked voting may seem more complicated initially, but it ultimately allows for more accurate representation of voters' preferences and can lead to more diverse candidates being elected.
2. [A] Reason: Having more people appear on the ballots can increase voter choice and potentially lead to more diverse representation in government.
3. [B] Reason: Eliminating the primary system may have unintended consequences and could potentially limit the diversity of candidates running for office.
4. [C] Reason: This argument does not provide a clear stance on the proposal, it simply states that implementing RCV is acceptable.
5. [B] Reason: This argument does not provide any specific reasons why implementing RCV as an alternative method would be bad, so it is not applicable to the proposal.",,,"1. [A] Reason: Ranked voting being more complicated is not directly related to the proposal of restoring voting rights to citizens with felony convictions. 
2. [A] Reason: Having more people appear on the ballots could potentially increase representation and diversity in elections, which aligns with the goal of restoring voting rights to citizens with felony convictions.
3. [B] Reason: Eliminating the primary system could have potential drawbacks and is not directly related to the proposal of restoring voting rights to citizens with felony convictions.
4. [A] Reason: This argument supports the proposal of restoring voting rights to citizens with felony convictions.
5. [B] Reason: This argument is against the proposal of restoring voting rights to citizens with felony convictions.",False,False,True,False,False,False,False,True,False
9,10,48642,"""11:59""", so i still think first-past-the-post is still the better choice right now.,Yes,1. First-past-the-post is the better choice currently.,1. First-past-the-post is the better choice currently.,,"1. A Reason: This argument is not applicable to the given proposal because it is discussing the first-past-the-post system, not the electoral college.
2. A Reason: This argument is pro because it supports the proposal to change the current electoral college system.
3. B Reason: This argument is con because it opposes the proposal to change the current electoral college system.
4. C Reason: This argument is not applicable to the given proposal because it is an extreme statement without any reasoning or evidence.
5. C Reason: This argument is not applicable to the given proposal because it is an extreme statement without any reasoning or evidence.",,,"1. [A] Reason: This argument is not applicable to the given proposal as it does not address the issue of implementing more accessibility to voting.
2. [C] Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning for why implementing more accessibility to voting is okay.
3. [B] Reason: This argument is a con as it directly states that implementing more accessibility to voting is bad.
4. [A] Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning for why implementing more accessibility to voting is the best thing ever.
5. [B] Reason: This argument is a con as it directly states that implementing more accessibility to voting is the worst thing ever.",,,"1. [A] Reason: This argument is not applicable to the given proposal as it does not directly address the increase in public funding and financing for campaigns.
2. [C] Reason: This argument is not applicable to the given proposal as it does not provide a clear stance on whether increasing public funding and financing for campaigns is beneficial or not.
3. [B] Reason: This argument is a con because it directly states that increasing public funding and financing for campaigns is bad.
4. [A] Reason: This argument is not applicable to the given proposal as it does not provide a clear stance on whether increasing public funding and financing for campaigns is the best thing ever.
5. [B] Reason: This argument is a con because it directly states that increasing public funding and financing for campaigns is the worst thing ever.",1. First-past-the-post is the better choice currently.,,"1. A Reason: First-past-the-post is currently the primary system in many countries and has been used for a long time, so it may be seen as the better choice by some.
2. C Reason: This argument does not provide a clear stance on whether changing the primary system is good or bad, so it is not applicable.
3. B Reason: This argument clearly states that changing the primary system is bad, indicating a con.
4. A Reason: This argument clearly states that changing the primary system is the best thing ever, indicating a pro.
5. B Reason: This argument clearly states that changing the primary system is the worst thing ever, indicating a con.",,1. First-past-the-post is the better choice currently.,"1. B Reason: First-past-the-post is not in line with the proposal of using proportional representatives to elect elected officials.
2. A Reason: This argument is in support of the proposal.
3. B Reason: This argument is against the proposal.
4. A Reason: This argument is in support of the proposal.
5. B Reason: This argument is against the proposal.",1. First-past-the-post is the better choice currently.,,"1. A Reason: This argument does not directly relate to the proposal of implementing a term limit for Supreme Court Justices. It is discussing a different voting system.
2. A Reason: This argument is in favor of the proposal, stating that it is okay to implement a term limit for Supreme Court Justices.
3. B Reason: This argument is against the proposal, stating that implementing a term limit for Supreme Court Justices is bad.
4. C Reason: This argument is in favor of the proposal, stating that implementing a term limit for Supreme Court Justices is the best thing ever.
5. C Reason: This argument is against the proposal, stating that implementing a term limit for Supreme Court Justices is the worst thing ever.",1. First-past-the-post is the better choice currently.,,"1. A Reason: This argument is not applicable to the given proposal as it is discussing the electoral system (first-past-the-post) rather than limits on financing.
2. A Reason: This argument is pro the given proposal as it supports implementing limits on financing individual candidates and parties.
3. B Reason: This argument is con the given proposal as it states that implementing limits on financing individual candidates and parties is bad.
4. A Reason: This argument is not applicable to the given proposal as it is an extreme statement without providing any reasoning.
5. B Reason: This argument is con the given proposal as it states that implementing limits on financing individual candidates and parties is the worst thing ever.",1. First-past-the-post is the better choice currently.,,"1. A Reason: This argument is not applicable to the given proposal as it is discussing the voting system (first-past-the-post) rather than measures to address voter fraud.
2. A Reason: This argument is pro the given proposal as it supports implementing more measures to address voter fraud.
3. B Reason: This argument is con the given proposal as it states that implementing more measures to address voter fraud is bad.
4. C Reason: This argument is not applicable to the given proposal as it is an extreme statement without providing any reasoning.
5. C Reason: This argument is not applicable to the given proposal as it is an extreme statement without providing any reasoning.",1. First-past-the-post is the better choice currently.,,"1. A Reason: First-past-the-post is a system that may not necessarily promote fairness and transparency in the election process, so this argument is in favor of the proposal to implement more fairness and transparency.
2. C Reason: This argument does not provide a clear stance on the proposal, so it is not applicable.
3. B Reason: This argument is against the proposal to implement more fairness and transparency in the election process, stating that it is bad.
4. A Reason: This argument is in favor of the proposal, stating that it is the best thing ever.
5. B Reason: This argument is against the proposal, stating that it is the worst thing ever.",,1. First-past-the-post is the better choice currently.,"1. B Reason: This argument is not directly related to the proposal of implementing less strict voting standards. It is discussing the choice of voting system, not the strictness of voting standards.
2. A Reason: This argument is in support of the proposal, stating that it is okay to implement less strict voting standards.
3. B Reason: This argument is against the proposal, stating that it is bad to implement less strict voting standards.
4. A Reason: This argument is in support of the proposal, stating that it is the best thing ever to implement less strict voting standards.
5. B Reason: This argument is against the proposal, stating that it is the worst thing ever to implement less strict voting standards.",1. First-past-the-post is the better choice currently.,,"1. A Reason: This argument is not applicable to the given proposal as it is discussing a different topic (voting systems) rather than civic education in schools.
2. C Reason: This argument is not applicable to the given proposal as it does not provide a clear stance on whether increasing opportunities for learning about civic education in schools is beneficial or not.
3. B Reason: This argument is a con as it directly states that increasing opportunities for learning about civic education in schools is bad.
4. A Reason: This argument is a pro as it directly states that increasing opportunities for learning about civic education in schools is the best thing ever.
5. B Reason: This argument is a con as it directly states that increasing opportunities for learning about civic education in schools is the worst thing ever.",,1. First-past-the-post is the better choice currently.,"1. B Reason: This argument is a con because it supports the current system of first-past-the-post, which is being proposed to be replaced by RCV.
2. A Reason: This argument is a pro because it supports the implementation of RCV as an alternative method to elected officials and representatives at all levels.
3. B Reason: This argument is a con because it opposes the implementation of RCV as an alternative method to elected officials and representatives at all levels without providing any specific reasons.
4. A Reason: This argument is a pro because it supports the implementation of RCV as the best thing ever, which aligns with the proposal.
5. B Reason: This argument is a con because it opposes the implementation of RCV as an alternative method to elected officials and representatives at all levels without providing any specific reasons.",1. First-past-the-post is the better choice currently.,,"1. A Reason: First-past-the-post is a voting system and not directly related to the proposal of restoring voting rights to citizens with felony convictions. Therefore, it is not applicable to the given proposal.
2. A Reason: This argument is in support of the proposal, as it suggests that restoring voting rights to citizens with felony convictions upon their release from prison is acceptable.
3. B Reason: This argument is against the proposal, as it suggests that restoring voting rights to citizens with felony convictions upon their release from prison is bad.
4. A Reason: This argument is in support of the proposal, as it suggests that restoring voting rights to citizens with felony convictions upon their release from prison is the best thing ever.
5. B Reason: This argument is against the proposal, as it suggests that restoring voting rights to citizens with felony convictions upon their release from prison is the worst thing ever.",True,False,False,False,False,False,False,False,True
