,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,48754,"""2:07"""," hello. this is robert ross. i live in connecticut, i'm a navy veteran and i'm really excited to be here and i'm very passionate about the subject matter.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,48756,"""2:19"""," hello, i'm donna.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,48756,"""2:19""", from colorado.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48756,"""2:19""", and i've enjoyed this.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48756,"""2:19""", information and topics that we're discussing very much and i thank you for inviting me. thank you.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,48764,"""2:46"""," hi, i'm tina from carencro louisiana and it's nice to meet you all.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,48762,"""2:55"""," hello, i'm rosemary. i'm from harper, woods michigan, right outside of detroit and i too, like, donna have enjoyed this so much",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,48758,"""3:08"""," hi. i'm james carroll. i'm from kalamazoo michigan, and looking forward to it. thanks for having me.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,48754,"""3:27""", you're on mute.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,48756,"""12:55"""," i am not for allowing citizens to vote online, i think it should be in person. i, i wish it would be one day and it would be a holiday. it's a privilege as an american to vote in it.",Yes,"1. Voting should be done in person, not online.
2. Voting should be considered a privilege for Americans.
3. Voting should be made into a holiday to encourage participation.",,,"1. [A] Reason: This argument is in support of the proposal as it suggests that voting should be done in person, which would likely be the case if the electoral college system were to be changed.
2. [B] Reason: This argument is against the proposal as it implies that voting should be considered a privilege, which could be seen as a reason to maintain the current electoral college system.
3. [C] Reason: This argument is not directly related to the proposal as it focuses on making voting a holiday rather than changing the electoral college system.
4. [A] Reason: This argument is in support of the proposal as it explicitly states that changing the current electoral college is okay.
5. [B] Reason: This argument is against the proposal as it suggests that changing the current electoral college is bad.",,,"1. [A] Reason: This argument is a con because it goes against the proposal of implementing more accessibility to voting by suggesting that voting should only be done in person.
2. [B] Reason: This argument is a con because it suggests that voting should be considered a privilege, which could limit accessibility to voting for certain groups of people.
3. [A] Reason: This argument is a pro because it aligns with the proposal of implementing more accessibility to voting by suggesting making voting a holiday to encourage participation.
4. [C] Reason: This argument is not applicable as it simply restates the proposal without providing any additional information or opinion.
5. [B] Reason: This argument is a con because it goes against the proposal of implementing more accessibility to voting by suggesting that it is bad.",,,"1.  [A] Reason: This argument is not applicable to the given proposal as it does not directly address the use of proportional representatives to elect elected officials.
2. [B] Reason: This argument is not applicable to the given proposal as it does not directly address the use of proportional representatives to elect elected officials.
3. [A] Reason: This argument is not applicable to the given proposal as it does not directly address the use of proportional representatives to elect elected officials.
4. [A] Reason: This argument is in support of the proposal to use proportional representatives to elect elected officials.
5. [B] Reason: This argument is against the proposal to use proportional representatives to elect elected officials.",,,"1.  [A] Reason: This argument is a pro because it supports the idea of changing the primary system by emphasizing the importance of in-person voting over online voting.
2. [B] Reason: This argument is a con because it suggests that voting should be considered a privilege, which could potentially limit access to voting for certain groups of people.
3. [A] Reason: This argument is a pro because it supports the idea of changing the primary system by proposing a solution to increase voter participation through making voting a holiday.
4. [A] Reason: This argument is a pro because it directly supports the proposal to change the primary system.
5. [B] Reason: This argument is a con because it opposes the proposal to change the primary system without providing any specific reasons or evidence.",,,"1. [A] Reason: This argument is a pro because implementing less strict voting standards could potentially make it easier for individuals to vote in person if they choose to do so.
2. [B] Reason: This argument is a con because considering voting a privilege for Americans could lead to stricter voting standards, which goes against the proposal of making them less strict.
3. [A] Reason: This argument is a pro because making voting a holiday could increase participation, which aligns with the goal of the proposal to make voting more accessible.
4. [A] Reason: This argument is a pro because it directly supports the proposal to implement less strict voting standards.
5. [B] Reason: This argument is a con because it goes against the proposal to implement less strict voting standards.",,,"1. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not directly relate to the topic at hand.
2. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not directly relate to the topic at hand.
3. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices as it does not directly relate to the topic at hand.
4. [A] Reason: This argument is in support of the proposal to implement a term limit for Supreme Court Justices, as it suggests that it is a good idea.
5. [B] Reason: This argument is against the proposal to implement a term limit for Supreme Court Justices, as it suggests that it is a bad idea.",,,"1. [A] Reason: This argument is a pro because voting in person can help prevent voter fraud by ensuring that the person casting the vote is who they say they are.
2. [B] Reason: This argument is a con because voting is considered a right for Americans, not just a privilege. Making it a privilege could disenfranchise certain groups of people.
3. [C] Reason: This argument is not directly applicable to the proposal to implement more measures to address voter fraud. While making voting a holiday could potentially increase participation, it does not directly address the issue of voter fraud.
4. [A] Reason: This argument is a pro because implementing more measures to address voter fraud can help ensure the integrity of the voting process.
5. [B] Reason: This argument is a con because addressing voter fraud is important for maintaining the integrity of the electoral process. Ignoring voter fraud could lead to doubts about the legitimacy of election results.",,,"1. [A] Reason: Voting in person can help prevent fraud and ensure the integrity of the election process.
2. [B] Reason: Considering voting a privilege may exclude certain groups of people from participating in the democratic process.
3. [A] Reason: Making voting a holiday can increase voter turnout and encourage more people to participate in elections.
4. [A] Reason: Implementing more fairness and transparency in the election process can help ensure that elections are conducted in a fair and just manner.
5. [B] Reason: Implementing more fairness and transparency in the election process is not inherently bad, as it can help improve the integrity of the electoral system.",,,"1. [A] Reason: This argument is not applicable to the given proposal as it does not directly address the increase in public funding and financing for campaigns.
2. [B] Reason: This argument is not applicable to the given proposal as it does not directly address the increase in public funding and financing for campaigns.
3. [C] Reason: This argument is not directly related to the increase in public funding and financing for campaigns, but it could potentially be seen as a pro argument as making voting a holiday could increase participation, which could benefit campaigns funded by public financing.
4. [A] Reason: This argument is a pro argument for the given proposal as it directly supports the idea of increasing public funding and financing for campaigns.
5. [B] Reason: This argument is a con argument for the given proposal as it directly opposes the idea of increasing public funding and financing for campaigns.",,,"1. [C] Reason: This argument is not applicable to the given proposal as it does not address the specific issue of restoring voting rights to citizens with felony convictions.
2. [B] Reason: This argument is a con because it suggests that voting should be considered a privilege, which goes against the proposal to restore voting rights to citizens with felony convictions.
3. [A] Reason: This argument is a pro as making voting a holiday could potentially increase participation, which aligns with the goal of the proposal.
4. [A] Reason: This argument is a pro as it directly supports the proposal to restore voting rights to citizens with felony convictions.
5. [B] Reason: This argument is a con as it goes against the proposal to restore voting rights to citizens with felony convictions.",,,"1. C Reason: This argument is not applicable to the given proposal as it is discussing the method of voting, not campaign financing.
2. C Reason: This argument is not applicable to the given proposal as it is discussing the concept of voting as a privilege, not campaign financing.
3. C Reason: This argument is not applicable to the given proposal as it is discussing making voting a holiday, not campaign financing.
4. A Reason: This argument is a pro for the given proposal as it supports implementing limits on financing individual candidates and parties.
5. B Reason: This argument is a con for the given proposal as it opposes implementing limits on financing individual candidates and parties.",,,"1. [A] Reason: This argument is a pro because it supports the idea of in-person voting, which is a traditional and secure method of voting.
2. [B] Reason: This argument is a con because it suggests that voting should be considered a privilege, which goes against the idea of promoting civic education and encouraging participation for all citizens.
3. [A] Reason: This argument is a pro because making voting a holiday can increase participation and engagement in the democratic process.
4. [A] Reason: This argument is a pro because it directly supports the proposal to increase opportunities for learning about civic education in schools.
5. [B] Reason: This argument is a con because it goes against the proposal to increase opportunities for learning about civic education in schools, without providing any specific reasons for why it is bad.",,,"1. [A] Reason: This argument is a pro for the given proposal because implementing RCV as an alternative method does not specify whether voting should be done in person or online. It focuses on the method of voting rather than the platform.
2. [B] Reason: This argument is a con for the given proposal because it suggests that voting should be considered a privilege, which could potentially limit access to voting for certain individuals. RCV aims to make voting more inclusive and representative.
3. [A] Reason: This argument is a pro for the given proposal because making voting into a holiday could encourage more participation, which aligns with the goal of implementing RCV to increase voter engagement and representation.
4. [C] Reason: This argument is not applicable to the given proposal as it simply states the proposal itself without providing any specific argument for or against it.
5. [C] Reason: This argument is not applicable to the given proposal as it simply restates the proposal without providing any specific argument for or against it.",False,False,False,False,False,False,False,False,False
