,Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,(Beta) For proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Against proposal: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) Proposal raw ouput for debugging: Implement RCV as an alternative method both to elected officials and representatives at all levels,(Beta) For proposal: Change the primary system,(Beta) Against proposal: Change the primary system,(Beta) Proposal raw ouput for debugging: Change the primary system,(Beta) For proposal: Use proportional representatives to elect elected officials,(Beta) Against proposal: Use proportional representatives to elect elected officials,(Beta) Proposal raw ouput for debugging: Use proportional representatives to elect elected officials,(Beta) For proposal: Change the current electoral college,(Beta) Against proposal: Change the current electoral college,(Beta) Proposal raw ouput for debugging: Change the current electoral college,(Beta) For proposal: Implement more accessibility to voting,(Beta) Against proposal: Implement more accessibility to voting,(Beta) Proposal raw ouput for debugging: Implement more accessibility to voting,(Beta) For proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Against proposal: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) Proposal raw ouput for debugging: Restore federal and state voting rights to citizens with felony convictions upon their release from prison,(Beta) For proposal: Implement voting standards that are less strict,(Beta) Against proposal: Implement voting standards that are less strict,(Beta) Proposal raw ouput for debugging: Implement voting standards that are less strict,(Beta) For proposal: Implement more measures to address voter fraud,(Beta) Against proposal: Implement more measures to address voter fraud,(Beta) Proposal raw ouput for debugging: Implement more measures to address voter fraud,(Beta) For proposal: Implement more fairness and transparency in the election process,(Beta) Against proposal: Implement more fairness and transparency in the election process,(Beta) Proposal raw ouput for debugging: Implement more fairness and transparency in the election process,(Beta) For proposal: Implement limits on financing individual candidates and parties,(Beta) Against proposal: Implement limits on financing individual candidates and parties,(Beta) Proposal raw ouput for debugging: Implement limits on financing individual candidates and parties,(Beta) For proposal: Increase in public funding and financing for campaigns,(Beta) Against proposal: Increase in public funding and financing for campaigns,(Beta) Proposal raw ouput for debugging: Increase in public funding and financing for campaigns,(Beta) For proposal: Implement a term limit for Supreme Court Justices,(Beta) Against proposal: Implement a term limit for Supreme Court Justices,(Beta) Proposal raw ouput for debugging: Implement a term limit for Supreme Court Justices,(Beta) For proposal: Increase opportunities for learning about civic education in schools,(Beta) Against proposal: Increase opportunities for learning about civic education in schools,(Beta) Proposal raw ouput for debugging: Increase opportunities for learning about civic education in schools,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
0,1,9493,"""2:05""", brian 00:45 from connecticut.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
1,2,9493,"""2:05""", welcome back everyone.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
2,3,9747,"""2:12"""," hi. this is bill from california. i don't know how many of you were on for the entire thing on tuesday, but the very last question that ray suarez asked was mine. thank you.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
3,4,48637,"""2:43"""," hi, this is eric still 861 from colorado. hello again.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
4,5,48234,"""2:51""", hi. this is kathy in central florida and i'm still 71 nice to see everybody.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
5,6,9453,"""2:58""", hi. this is mike and from ohio and d montoya. i think you're on mute or something. i saw your lips moving but i didn't hear no choice but welcome back.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
6,7,10415,"""3:08"""," hi, rhonda from south carolina, 70 years old, and bill. i did see that our, your question was the very last one. so, we're group. f is what i wrote down, i didn't know that either.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
7,8,9747,"""3:32"""," mr. montoya, i think you're still muted.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
8,9,48637,"""3:36"""," yeah, can't hear him either.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
9,10,9453,"""3:45"""," if you look at that web address where when they sign in, it says session 5 dash f. so i must be where they signed the group side.",Yes,"1. The speaker mentions a specific web address where users sign in, indicating that they are in the right place.
2. The speaker references a session number (session 5) and a group side, suggesting that they are in the correct session and group.",,,"1.  [A] Reason: The speaker providing a specific web address for users to sign in indicates that they are in favor of the proposal and are providing a means for individuals to support it.
2. [A] Reason: The speaker referencing a session number and group side suggests that they are in support of the proposal and are providing information for individuals to engage with it.
3. [A] Reason: This argument is in favor of changing the current electoral college, indicating support for the proposal.
4. [B] Reason: This argument is against changing the current electoral college, indicating opposition to the proposal.
5. [A] Reason: This argument is in favor of changing the current electoral college, indicating strong support for the proposal.",,,"1. C Reason: This argument does not provide a clear stance on the proposal, it simply indicates that the speaker is in the right place.
2. C Reason: This argument does not provide a clear stance on the proposal, it simply indicates that the speaker is in the correct session and group.
3. A Reason: This argument is in favor of the proposal, suggesting that implementing limits on financing individual candidates and parties is acceptable.
4. B Reason: This argument is against the proposal, suggesting that implementing limits on financing individual candidates and parties is bad.
5. A Reason: This argument is in favor of the proposal, suggesting that implementing limits on financing individual candidates and parties is the best thing ever.",,,"1. C Reason: This argument does not directly relate to the proposal of increasing public funding and financing for campaigns.
2. C Reason: This argument does not directly relate to the proposal of increasing public funding and financing for campaigns.
3. A Reason: This argument is in favor of the proposal, stating that increasing public funding and financing for campaigns is okay.
4. B Reason: This argument is against the proposal, stating that increasing public funding and financing for campaigns is bad.
5. A Reason: This argument is in favor of the proposal, stating that increasing public funding and financing for campaigns is the best thing ever.",,,"1. C Reason: This argument does not provide a clear stance on whether implementing more fairness and transparency in the election process is good or bad.
2. C Reason: This argument does not provide a clear stance on whether implementing more fairness and transparency in the election process is good or bad.
3. A Reason: This argument is a pro for the proposal as it supports the idea of implementing more fairness and transparency in the election process.
4. B Reason: This argument is a con for the proposal as it opposes the idea of implementing more fairness and transparency in the election process.
5. A Reason: This argument is a pro for the proposal as it supports the idea of implementing more fairness and transparency in the election process.",,,"1.  [1] C Reason: This argument is not applicable to the given proposal as it does not address the use of proportional representatives to elect elected officials.
2. [2] C Reason: This argument is not applicable to the given proposal as it does not address the use of proportional representatives to elect elected officials.
3. [3] A Reason: This argument is a pro for the given proposal as it supports the idea of using proportional representatives to elect elected officials.
4. [4] B Reason: This argument is a con for the given proposal as it opposes the idea of using proportional representatives to elect elected officials.
5. [5] C Reason: This argument is not applicable to the given proposal as it does not provide any specific reasoning or evidence related to the use of proportional representatives to elect elected officials.",,,"1.  [A] Reason: This argument is pro because it indicates that there are specific steps and processes in place to ensure users are in the right place to access voting, making it more accessible.
2. [A] Reason: This argument is pro because it shows that there are specific identifiers such as session numbers and group sides to guide users to the correct voting session, enhancing accessibility.
3. [A] Reason: This argument is pro because it aligns with the proposal to implement more accessibility to voting.
4. [B] Reason: This argument is con because it goes against the proposal to implement more accessibility to voting.
5. [A] Reason: This argument is pro because it supports the proposal to implement more accessibility to voting.",,,"1. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices. The mention of a specific web address does not relate to the topic of term limits for Supreme Court Justices.
2. [C] Reason: This argument is not applicable to the proposal of implementing a term limit for Supreme Court Justices. The reference to a session number and group side does not pertain to the topic of term limits for Supreme Court Justices.
3. [A] Reason: This argument is pro the proposal of implementing a term limit for Supreme Court Justices. It suggests that having a term limit for Supreme Court Justices is a positive idea.
4. [B] Reason: This argument is con the proposal of implementing a term limit for Supreme Court Justices. It suggests that having a term limit for Supreme Court Justices is a negative idea.
5. [A] Reason: This argument is pro the proposal of implementing a term limit for Supreme Court Justices. It suggests that having a term limit for Supreme Court Justices is the best option.",,,"1.  [A] Reason: This argument is a pro because it shows that the speaker has provided a specific web address for users to sign in, indicating that they are in the right place, which can make the voting process easier and more accessible.
2. [A] Reason: This argument is a pro because the speaker references a session number and group side, suggesting that they are in the correct session and group, which can help ensure that the voting process is organized and efficient.
3. [A] Reason: This argument is a pro because it supports the proposal to implement less strict voting standards, indicating that it is acceptable and beneficial.
4. [B] Reason: This argument is a con because it opposes the proposal to implement less strict voting standards, indicating that it is not a good idea.
5. [C] Reason: This argument is not applicable because it simply states an opinion without providing any reasoning or evidence to support it.",,,"1. C Reason: This argument does not directly relate to the proposal of implementing more measures to address voter fraud.
2. C Reason: This argument does not directly relate to the proposal of implementing more measures to address voter fraud.
3. A Reason: This argument is a pro for the proposal as it supports the idea of implementing more measures to address voter fraud.
4. B Reason: This argument is a con for the proposal as it opposes the idea of implementing more measures to address voter fraud.
5. C Reason: This argument does not provide any specific reasoning or evidence to support or oppose the proposal.","1. The speaker mentions a specific web address where users sign in, indicating that they are in the right place.
2. The speaker references a session number (session 5) and a group side, suggesting that they are in the correct session and group.",,"1. A Reason: The specific web address provided indicates that the speaker is in the right place, supporting the proposal for increasing opportunities for learning about civic education in schools.
2. A Reason: The reference to a session number and group side suggests that the speaker is in the correct session and group, further supporting the proposal.
3. A Reason: This argument is in favor of the proposal, indicating that increasing opportunities for learning about civic education in schools is acceptable.
4. B Reason: This argument is against the proposal, stating that increasing opportunities for learning about civic education in schools is bad.
5. C Reason: This argument does not provide any specific reasoning or evidence for or against the proposal, so it is not applicable.",,,"1. [C] Reason: This argument is not applicable to the proposal as it does not provide any specific support or opposition to implementing RCV as an alternative method.
2. [C] Reason: Similar to argument 1, this argument is not applicable to the proposal as it does not provide any specific support or opposition to implementing RCV as an alternative method.
3. [A] Reason: This argument is a pro for the proposal as it supports the idea of implementing RCV as an alternative method to elected officials and representatives at all levels.
4. [B] Reason: This argument is a con for the proposal as it opposes the idea of implementing RCV as an alternative method to elected officials and representatives at all levels.
5. [A] Reason: This argument is a pro for the proposal as it supports the idea of implementing RCV as an alternative method to elected officials and representatives at all levels.",,,"1.  [A] Reason: The mention of a specific web address where users sign in indicates that the speaker is providing relevant information to support the proposal.
2. [A] Reason: The reference to a session number and group side suggests that the speaker is discussing the proposal within the context of a specific session and group, providing relevant information.
3. [A] Reason: This argument is in support of the proposal, indicating that the speaker believes changing the primary system is acceptable.
4. [B] Reason: This argument is against the proposal, indicating that the speaker believes changing the primary system is bad.
5. [A] Reason: This argument is in support of the proposal, indicating that the speaker believes changing the primary system is the best thing ever.",,,"1. C Reason: This argument does not provide a clear stance on the proposal, it simply indicates that the speaker is in the right place to discuss it.
2. C Reason: This argument does not provide a clear stance on the proposal, it simply indicates that the speaker is in the correct session and group.
3. A Reason: This argument is in support of the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
4. B Reason: This argument is against the proposal to restore voting rights to citizens with felony convictions upon their release from prison.
5. A Reason: This argument is in strong support of the proposal to restore voting rights to citizens with felony convictions upon their release from prison.",False,False,False,False,False,False,False,False,False
